time,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2034.0,40323895000.0,40045232000.0,39996932000.0,39878218000.0,40133940000.0,40040493000.0,40072150000.0,39961715000.0,39018246000.0,39762743000.0
2035.0,40361060000.0,39981180000.0,39823196000.0,39809606000.0,39978684000.0,39927706000.0,40096367000.0,39884153000.0,38810595000.0,39663837000.0
2036.0,40224776000.0,39917240000.0,39810960000.0,39728587000.0,39938396000.0,39879790000.0,39971426000.0,39820850000.0,38607680000.0,39609418000.0
2037.0,40213390000.0,39873240000.0,39891333000.0,39645270000.0,39917080000.0,39842140000.0,39974924000.0,39750324000.0,38396660000.0,39506290000.0
2038.0,40134767000.0,39874610000.0,39875160000.0,39561736000.0,39811265000.0,39780770000.0,39874236000.0,39671490000.0,38143287000.0,39405600000.0
2039.0,40074473000.0,39763562000.0,39682220000.0,39536160000.0,39764234000.0,39716780000.0,39790526000.0,39604550000.0,37843722000.0,39272927000.0
2040.0,40032436000.0,39682744000.0,39612613000.0,39416898000.0,39713747000.0,39627936000.0,39753273000.0,39503620000.0,37609330000.0,39181550000.0
2041.0,40226574000.0,39589994000.0,39609467000.0,39376863000.0,39605547000.0,39551664000.0,39655910000.0,39419527000.0,37303763000.0,39131746000.0
2042.0,40034000000.0,39521755000.0,39533890000.0,39311577000.0,39545250000.0,39452934000.0,39580516000.0,39315360000.0,37026570000.0,38961644000.0
2043.0,39919900000.0,39501218000.0,39743220000.0,39188603000.0,39465005000.0,39395200000.0,39532147000.0,39253440000.0,36719153000.0,38830346000.0
2044.0,40219200000.0,39377908000.0,39733965000.0,39324803000.0,39452484000.0,39342810000.0,39494877000.0,39164120000.0,36386144000.0,38664348000.0
2045.0,39978385000.0,39312710000.0,39542420000.0,39111393000.0,39328436000.0,39200408000.0,39363793000.0,39073145000.0,36059283000.0,38480708000.0
2046.0,39841440000.0,39226855000.0,39345656000.0,38962426000.0,39247090000.0,39148036000.0,39291310000.0,38930727000.0,35766202000.0,38336830000.0
2047.0,39708340000.0,39137820000.0,39252574000.0,38940037000.0,39162995000.0,39160920000.0,39183030000.0,38789700000.0,35426644000.0,38256108000.0
2048.0,39634137000.0,39029230000.0,39255265000.0,38752950000.0,39061836000.0,38948946000.0,39071044000.0,38670290000.0,35019010000.0,38037803000.0
2049.0,39567962000.0,38938410000.0,39168295000.0,38778667000.0,39020460000.0,38892350000.0,38986060000.0,38552490000.0,34609090000.0,37802332000.0
2050.0,39492817000.0,38818850000.0,39074130000.0,38593500000.0,38897200000.0,38726787000.0,38899167000.0,38427095000.0,34279963000.0,37574010000.0
2051.0,39434613000.0,38682006000.0,39136215000.0,38498288000.0,38780710000.0,38600393000.0,38792794000.0,38280786000.0,33862937000.0,37352950000.0
2052.0,39450485000.0,38590190000.0,38964170000.0,38388543000.0,38673904000.0,38462726000.0,38691100000.0,38163313000.0,33450099000.0,37134810000.0
2053.0,39302943000.0,38532588000.0,38797144000.0,38271283000.0,38584430000.0,38334034000.0,38980084000.0,38028927000.0,33025720000.0,37007815000.0
2054.0,39211053000.0,38397153000.0,38654317000.0,38209870000.0,38471330000.0,38162100000.0,38679880000.0,37870318000.0,32563210000.0,36787290000.0
2055.0,39141585000.0,38266364000.0,38549110000.0,38065365000.0,38374250000.0,38030463000.0,38447124000.0,37736310000.0,32086061000.0,36567290000.0
2056.0,39064175000.0,38105575000.0,38365647000.0,37968142000.0,38264353000.0,38003790000.0,38423286000.0,37593907000.0,31572558000.0,36360483000.0
2057.0,38974420000.0,37984297000.0,38233730000.0,37793120000.0,38226383000.0,37872062000.0,38207197000.0,37435250000.0,31045085000.0,36098232000.0
2058.0,38905020000.0,37880060000.0,38088294000.0,37702435000.0,38096224000.0,37701940000.0,38126100000.0,37250183000.0,30494024000.0,35827724000.0
2059.0,38749920000.0,37741978000.0,37918527000.0,37770076000.0,37953190000.0,37544976000.0,37985480000.0,37104120000.0,29981100000.0,35624554000.0
2060.0,38778245000.0,37597524000.0,37767880000.0,37601513000.0,37948490000.0,37429180000.0,37854433000.0,36929110000.0,29489052000.0,35319235000.0
2061.0,38614454000.0,37482860000.0,37640840000.0,37471453000.0,37752386000.0,37268247000.0,37732758000.0,36729442000.0,29005324000.0,35046550000.0
2062.0,38525854000.0,37361553000.0,37432046000.0,37286072000.0,37622520000.0,37282095000.0,37601190000.0,36538870000.0,28616489000.0,34743410000.0
2063.0,38431100000.0,37194994000.0,37296222000.0,37148615000.0,37530767000.0,37086120000.0,37467496000.0,36348486000.0,28109718000.0,34497098000.0
2064.0,38312620000.0,37080280000.0,37151973000.0,37003465000.0,37430735000.0,36927040000.0,37328142000.0,36089962000.0,27679093000.0,34164599000.0
2065.0,38217200000.0,36927033000.0,36965196000.0,36863530000.0,37408590000.0,36771983000.0,37252690000.0,35899826000.0,27240382000.0,33861941000.0
2066.0,38095696000.0,36858410000.0,36739580000.0,36724420000.0,37288514000.0,36571128000.0,37148650000.0,35624534000.0,26816061000.0,33550633000.0
2067.0,37979660000.0,36710232000.0,36596924000.0,36530560000.0,37363536000.0,36346840000.0,36964704000.0,35294150000.0,26434378000.0,33222627000.0
2068.0,37895594000.0,36570403000.0,36428894000.0,36351250000.0,37140124000.0,36334690000.0,36810340000.0,35079200000.0,25985454000.0,32903576000.0
2069.0,37753030000.0,36387164000.0,36272153000.0,36219847000.0,36980277000.0,36052615000.0,36655882000.0,34835444000.0,25512421000.0,32517712000.0
2070.0,37614363000.0,36259615000.0,36151374000.0,36129735000.0,36839416000.0,36052410000.0,36551270000.0,34580742000.0,25077290000.0,32121790000.0
2071.0,37488080000.0,36077300000.0,35933960000.0,35870640000.0,36781752000.0,35769315000.0,36422898000.0,34309005000.0,24586150000.0,31775328000.0
2072.0,37361242000.0,35927904000.0,35824038000.0,35710157000.0,36682953000.0,35575583000.0,36284158000.0,34030903000.0,24174672000.0,31458636000.0
2073.0,37226746000.0,35744104000.0,35643757000.0,35561374000.0,36432364000.0,35325930000.0,36109455000.0,33812756000.0,23655690000.0,31066790000.0
2074.0,37073195000.0,35595088000.0,35605370000.0,35403800000.0,36408140000.0,35100490000.0,35965542000.0,33561815000.0,23211923000.0,30776812000.0
2075.0,36925900000.0,35442390000.0,35328483000.0,35193954000.0,36185473000.0,34964950000.0,35906097000.0,33304564000.0,22818845000.0,30418938000.0
2076.0,36774730000.0,35283140000.0,35031330000.0,35026390000.0,36050870000.0,34829496000.0,35654160000.0,32998506000.0,22450762000.0,30031730000.0
2077.0,36610200000.0,35091480000.0,34871116000.0,34863608000.0,35938492000.0,34731680000.0,35533136000.0,32690328000.0,22036214000.0,29639563000.0
2078.0,36469887000.0,34927505000.0,34651770000.0,34668750000.0,35813655000.0,34506470000.0,35285926000.0,32470858000.0,21593733000.0,29333864000.0
2079.0,36310030000.0,34735040000.0,34894545000.0,34493610000.0,35747130000.0,34320579000.0,35064693000.0,32214760000.0,21221760000.0,29060063000.0
2080.0,36174590000.0,34529608000.0,34813460000.0,34463883000.0,35715980000.0,34112383000.0,34889700000.0,32030239000.0,20792287000.0,28750336000.0
2081.0,36034440000.0,34348757000.0,34262378000.0,34174271000.0,35491290000.0,33899305000.0,34695130000.0,31700824000.0,20212430000.0,28359911000.0
2082.0,35846533000.0,34115970000.0,34015470000.0,33914204000.0,35351933000.0,33747430000.0,34624210000.0,31396370000.0,19724747000.0,28062760000.0
2083.0,35694180000.0,33909810000.0,33833290000.0,33687245000.0,35214004000.0,33532998000.0,34368910000.0,31081726000.0,19345983000.0,27775963000.0
2084.0,35645180000.0,33707713000.0,33563976000.0,33516120000.0,35071430000.0,33372248000.0,34153990000.0,30803400000.0,18787150000.0,27467944000.0
2085.0,35458572000.0,33647634000.0,33328992000.0,33308228000.0,34948104000.0,33156264000.0,33918663000.0,30494587000.0,18454753000.0,27136313000.0
2086.0,35332760000.0,33447248000.0,33099630000.0,33440057000.0,34800470000.0,32931140000.0,33664354000.0,30199198000.0,18057787000.0,26718722000.0
2087.0,35150885000.0,33246218000.0,32898950000.0,33042203000.0,34687996000.0,32612940000.0,33447838000.0,29827420000.0,17553086000.0,26420335000.0
2088.0,35027755000.0,33192490000.0,32693234000.0,32903557000.0,34591564000.0,32349174000.0,33264404000.0,29468359000.0,17169866000.0,26074325000.0
2089.0,34847710000.0,32959386000.0,32542556000.0,32638920000.0,34454720000.0,32115442000.0,33071565000.0,29133357000.0,16704164000.0,25775815000.0
2090.0,34747900000.0,32803880000.0,32292039000.0,32442792000.0,34313828000.0,31924490000.0,32880250000.0,28872923000.0,16249943000.0,25362176000.0
2091.0,34582810000.0,32597148000.0,32091726000.0,32476080000.0,34251586000.0,31745106000.0,32672823000.0,28529510000.0,15893868000.0,25011410000.0
2092.0,34363585000.0,32531442000.0,31836068000.0,32105700000.0,34060167000.0,31467310000.0,32593945000.0,28153903000.0,15601106000.0,24765320000.0
2093.0,34262596000.0,32313606000.0,31659740000.0,31913253000.0,33961814000.0,31253090000.0,32331792000.0,27864957000.0,15201408000.0,24599325000.0
2094.0,34205390000.0,32121115000.0,31358317000.0,31772457000.0,33791687000.0,31011494000.0,32131740000.0,27545588000.0,14820199000.0,24307513000.0
2095.0,34066379000.0,31915266000.0,31137820000.0,31600540000.0,33688994000.0,30732687000.0,31940841000.0,27273302000.0,14501586000.0,23919800000.0
2096.0,34273593000.0,31750660000.0,30900038000.0,31343978000.0,33507262000.0,30476802000.0,31705395000.0,27006822000.0,14111257000.0,23651850000.0
2097.0,34014138000.0,31607955000.0,30632008000.0,31267473000.0,33462278000.0,30151922000.0,31601689000.0,26717590000.0,13857779000.0,23354030000.0
2098.0,33785078000.0,31415355000.0,30469747000.0,31039283000.0,33202563000.0,29970104000.0,31352439000.0,26421035000.0,13500660000.0,23114529000.0
2099.0,33859045000.0,31241540000.0,30255245000.0,30801967000.0,33082786000.0,29661524000.0,31092384000.0,26129105000.0,13258658000.0,22954557000.0
2100.0,33807809000.0,31064973000.0,30067954000.0,30615425000.0,32951409000.0,29462002000.0,30928155000.0,25781555000.0,13000639000.0,22656688000.0
