time,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0
2063.0,78019990000.0,78827070000.0,76049040000.0,82059805000.0
2064.0,77950710000.0,78840726000.0,78306330000.0,82134020000.0
2065.0,77444480000.0,78485570000.0,76247835000.0,82533480000.0
2066.0,77138530000.0,78058900000.0,76441264000.0,81755234000.0
2067.0,77239820000.0,78347410000.0,76033400000.0,82589540000.0
2068.0,76925125000.0,78075230000.0,75745800000.0,81515720000.0
2069.0,76280740000.0,77714194000.0,76677145000.0,81534500000.0
2070.0,76078820000.0,78147330000.0,74898830000.0,81373450000.0
2071.0,75517985000.0,77658450000.0,76251430000.0,81151520000.0
2072.0,76749595000.0,77404510000.0,74551090000.0,80839670000.0
2073.0,75205894000.0,76727570000.0,74134266000.0,80625240000.0
2074.0,74792760000.0,76390010000.0,73866640000.0,80510280000.0
2075.0,74558685000.0,77475470000.0,73911060000.0,80604530000.0
2076.0,74215820000.0,76229070000.0,73509440000.0,79956570000.0
2077.0,73804866000.0,75847770000.0,73466585000.0,80134200000.0
2078.0,73486340000.0,75556620000.0,73357100000.0,79910670000.0
2079.0,73104140000.0,75499260000.0,74827370000.0,80094940000.0
2080.0,72863370000.0,75299250000.0,73206235000.0,79710994000.0
2081.0,72430020000.0,75372600000.0,72339960000.0,80421010000.0
2082.0,72267730000.0,75807160000.0,72040680000.0,80339706000.0
2083.0,72101945000.0,76426350000.0,72227635000.0,79863730000.0
2084.0,71605660000.0,74846750000.0,71913940000.0,79305966000.0
2085.0,71849230000.0,76050240000.0,71406450000.0,78914840000.0
2086.0,71222220000.0,74508510000.0,71174550000.0,78784406000.0
2087.0,70629710000.0,78767050000.0,71868916000.0,78653960000.0
2088.0,70190770000.0,77345554000.0,71274070000.0,78398770000.0
2089.0,70655664000.0,75242210000.0,72172630000.0,78452646000.0
2090.0,69826090000.0,74382836000.0,71298330000.0,78807870000.0
2091.0,69204150000.0,74134200000.0,71554350000.0,78816460000.0
2092.0,68966000000.0,73769790000.0,70616840000.0,78303175000.0
2093.0,68480100000.0,73267140000.0,70115330000.0,79559620000.0
2094.0,67920916000.0,73137840000.0,69672080000.0,77881100000.0
2095.0,67623113000.0,73043840000.0,70864570000.0,77966295000.0
2096.0,67350420000.0,74669830000.0,70562120000.0,77711950000.0
2097.0,66877387000.0,73021720000.0,70164414000.0,77222535000.0
2098.0,67015795000.0,73983410000.0,69763020000.0,77176290000.0
2099.0,66779560000.0,73220760000.0,69318450000.0,76889530000.0
2100.0,65858884000.0,72579620000.0,69742410000.0,76687100000.0
