time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2137.0,30763094000.0,25585863000.0,23898927000.0,39626050000.0
2138.0,30502210000.0,25543620000.0,23762141000.0,39678464000.0
2139.0,30270341000.0,25363570000.0,23399164000.0,39192044000.0
2140.0,29909545000.0,25123688000.0,23259496000.0,38915440000.0
2141.0,29695890000.0,24812063000.0,23162081000.0,38650094000.0
2142.0,29531546000.0,24470118000.0,22860747000.0,38593710000.0
2143.0,29260020000.0,24329010000.0,23037522000.0,38239660000.0
2144.0,29053911000.0,24294863000.0,22406244000.0,38145580000.0
2145.0,28882088000.0,23902880000.0,22292486000.0,37970215000.0
2146.0,28905960000.0,23601637000.0,22050533000.0,37583077000.0
2147.0,28923316000.0,27277076000.0,21852353000.0,37332894000.0
2148.0,28472748000.0,23913116000.0,21677390000.0,37236300000.0
2149.0,28303910000.0,24623352000.0,21784414000.0,37025530000.0
2150.0,28141285000.0,24118598000.0,21357398000.0,37174563000.0
2151.0,28096078000.0,24006685000.0,21238340000.0,36719436000.0
2152.0,27916710000.0,23157826000.0,21081356000.0,36700860000.0
2153.0,27752505000.0,23002876000.0,20928035000.0,36738793000.0
2154.0,27496813000.0,22673190000.0,20775094000.0,36372234000.0
2155.0,27282430000.0,22451081000.0,20775602000.0,36116200000.0
2156.0,27328338000.0,24537108000.0,20678623000.0,35980317000.0
2157.0,27131085000.0,22993687000.0,20340382000.0,35789370000.0
2158.0,26964652000.0,22454397000.0,20255580000.0,35513010000.0
2159.0,26814150000.0,22178339000.0,20122085000.0,35272446000.0
2160.0,26603307000.0,21886900000.0,19873730000.0,35327250000.0
2161.0,26737695000.0,21913610000.0,19644735000.0,34834104000.0
2162.0,26383436000.0,21748687000.0,20018063000.0,34659070000.0
2163.0,26262950000.0,21651032000.0,19625691000.0,34378750000.0
2164.0,26188830000.0,21591282000.0,19497834000.0,34250988000.0
2165.0,26168412000.0,21462942000.0,19297540000.0,33985000000.0
2166.0,25830697000.0,21389963000.0,19236545000.0,34083811000.0
2167.0,25657500000.0,21688730000.0,21010240000.0,34407610000.0
2168.0,25560280000.0,21248313000.0,19636625000.0,33567640000.0
2169.0,25454459000.0,21141221000.0,19268934000.0,33380323000.0
2170.0,25329558000.0,21073646000.0,19171645000.0,33160858000.0
2171.0,25210362000.0,20974074000.0,18933297000.0,33075386000.0
2172.0,25171913000.0,20887894000.0,18756307000.0,32843950000.0
2173.0,24992088000.0,21042084000.0,18632024000.0,32645622000.0
2174.0,24872788000.0,20938967000.0,18587404000.0,32884994000.0
2175.0,24747047000.0,21523773000.0,19182778000.0,32482042000.0
2176.0,24641782000.0,21713265000.0,18730674000.0,32460863000.0
2177.0,24495670000.0,21007280000.0,18551683000.0,32232047000.0
2178.0,24395653000.0,20823575000.0,18416570000.0,32132827000.0
2179.0,24305873000.0,20776524000.0,18330990000.0,32016595000.0
2180.0,24176943000.0,20711313000.0,18234028000.0,33929464000.0
2181.0,24074682000.0,20579090000.0,18249255000.0,32220336000.0
2182.0,24018293000.0,20516745000.0,18126787000.0,31987091000.0
2183.0,23821418000.0,20722346000.0,18070807000.0,31819114000.0
2184.0,23770634000.0,20938811000.0,18067436000.0,31666387000.0
2185.0,23901565000.0,20452364000.0,17952391000.0,31506956000.0
2186.0,23736504000.0,20411052000.0,17891092000.0,31419163000.0
2187.0,23755297000.0,20348428000.0,17798971000.0,31256322000.0
2188.0,23579922000.0,20342340000.0,17741912000.0,31458243000.0
2189.0,23508464000.0,20247839000.0,17666996000.0,31076522000.0
2190.0,23427860000.0,20280957000.0,17558966000.0,30928976000.0
2191.0,23411140000.0,20432454000.0,17562364000.0,30852536000.0
2192.0,23331473000.0,20566750000.0,17525277000.0,30741096000.0
2193.0,23184660000.0,20212318000.0,17395798000.0,30650808000.0
2194.0,23057500000.0,20055142000.0,17355315000.0,30548060000.0
2195.0,22920276000.0,20033298000.0,17368162000.0,30515405000.0
2196.0,22852219000.0,19987726000.0,17249116000.0,31373652000.0
2197.0,22794322000.0,19874679000.0,17166833000.0,30298073000.0
2198.0,22729265000.0,19844956000.0,17278330000.0,30385598000.0
2199.0,22675382000.0,19892527000.0,17234500000.0,30856468000.0
2200.0,22616498000.0,19763847000.0,17221237000.0,30481975000.0
2201.0,22546170000.0,19727108000.0,17016973000.0,30138202000.0
2202.0,22485572000.0,19672238000.0,16946132000.0,29991795000.0
2203.0,22393563000.0,19641033000.0,16902773000.0,29866291000.0
2204.0,22276473000.0,19627321000.0,17031756000.0,29774174000.0
2205.0,22208616000.0,19460168000.0,16861543000.0,29937224000.0
2206.0,22142011000.0,19383260000.0,16775667000.0,29723930000.0
2207.0,22119936000.0,19382766000.0,17628393000.0,29687687000.0
2208.0,22070280000.0,19292973000.0,16832321000.0,29690104000.0
2209.0,21981153000.0,19535490000.0,16710603000.0,29510242000.0
2210.0,21941015000.0,19217117000.0,17237697000.0,29974235000.0
2211.0,21873035000.0,19114832000.0,16800234000.0,29976775000.0
2212.0,21806352000.0,19010010000.0,16658228000.0,29601480000.0
2213.0,21632016000.0,18961766000.0,16482601000.0,29252800000.0
2214.0,21491458000.0,19053486000.0,16459868000.0,29527777000.0
2215.0,21420861000.0,18827305000.0,16947680000.0,29125929000.0
2216.0,21363976000.0,18905070000.0,16653187000.0,29421343000.0
2217.0,21273485000.0,18813805000.0,16386470000.0,29250918000.0
2218.0,21211330000.0,18593987000.0,16301929000.0,29029388000.0
2219.0,21092616000.0,18561460000.0,16268045000.0,29094318000.0
2220.0,20965590000.0,18611433000.0,16196096000.0,28929317000.0
2221.0,20828553000.0,18341724000.0,16274994000.0,29230040000.0
2222.0,20769006000.0,18268381000.0,16516612000.0,29157968000.0
2223.0,20660210000.0,18459187000.0,16118673000.0,29230348000.0
2224.0,20552989000.0,18141854000.0,16060425000.0,28816840000.0
2225.0,20428708000.0,18499054000.0,16136600000.0,28717597000.0
2226.0,20320256000.0,18417558000.0,16277236000.0,28666638000.0
2227.0,20170588000.0,19001793000.0,15995004000.0,28599927000.0
2228.0,20153836000.0,18127150000.0,15862985000.0,28542317000.0
2229.0,20532510000.0,18010671000.0,15825545000.0,28691276000.0
2230.0,20100035000.0,18163462000.0,15822800000.0,28538673000.0
2231.0,19985127000.0,17953014000.0,15752502000.0,29477550000.0
2232.0,20040730000.0,17973254000.0,15664360000.0,28487588000.0
2233.0,20415089000.0,17909832000.0,15679402000.0,29039813000.0
2234.0,20307511000.0,17993314000.0,15629137000.0,28967508000.0
2235.0,19998670000.0,17803827000.0,15903037000.0,28533987000.0
2236.0,20396319000.0,17896858000.0,15544612000.0,28723356000.0
2237.0,19811936000.0,18958457000.0,15586974000.0,29828747000.0
2238.0,20167221000.0,17852922000.0,15412008000.0,28614586000.0
2239.0,19817861000.0,17742285000.0,15358661000.0,28400220000.0
2240.0,19750558000.0,17715694000.0,15341437000.0,28386576000.0
2241.0,19698295000.0,17713236000.0,15498225000.0,28327336000.0
2242.0,20487506000.0,17666351000.0,15476936000.0,29063401000.0
2243.0,19942107000.0,17867098000.0,15352633000.0,28626874000.0
2244.0,19782545000.0,17834394000.0,15216303000.0,28882495000.0
2245.0,19694662000.0,17966390000.0,15232080000.0,28343695000.0
2246.0,19685042000.0,17592877000.0,15167444000.0,28312203000.0
2247.0,20201128000.0,17540012000.0,15105277000.0,28223547000.0
2248.0,19836555000.0,17478803000.0,15139327000.0,28206380000.0
2249.0,19774160000.0,17566337000.0,15121501000.0,28518832000.0
2250.0,19707660000.0,17693102000.0,15036276000.0,28213416000.0
2251.0,19971973000.0,17443461000.0,14998697000.0,28212685000.0
2252.0,19717382000.0,17403040000.0,15003321000.0,29146950000.0
2253.0,19661769000.0,17362557000.0,14976043000.0,28320354000.0
2254.0,19603304000.0,17353296000.0,14949047000.0,29981580000.0
2255.0,19640867000.0,17343046000.0,15247347000.0,28169990000.0
2256.0,19750410000.0,17399685000.0,14987997000.0,28113050000.0
2257.0,19618277000.0,17329388000.0,14867381000.0,28102140000.0
2258.0,19533240000.0,17283381000.0,14847031000.0,29143646000.0
2259.0,19462304000.0,17463620000.0,14928179000.0,28602653000.0
2260.0,19385491000.0,17406042000.0,14848739000.0,28775262000.0
2261.0,19279327000.0,17243525000.0,14789790000.0,28344895000.0
2262.0,19292480000.0,17191877000.0,14782299000.0,28119284000.0
2263.0,19214540000.0,17164388000.0,14766219000.0,28049824000.0
2264.0,19222843000.0,17163749000.0,14716502000.0,27991590000.0
2265.0,19193455000.0,18114513000.0,14688500000.0,27933964000.0
2266.0,19146066000.0,17867862000.0,15141688000.0,27901774000.0
2267.0,19118555000.0,17193380000.0,14843300000.0,27813294000.0
2268.0,19058115000.0,17090420000.0,14622058000.0,27864228000.0
2269.0,19041489000.0,17167835000.0,14973704000.0,27756198000.0
2270.0,19004680000.0,17045469000.0,14623644000.0,27806382000.0
2271.0,19095247000.0,17034797000.0,14863166000.0,27859438000.0
2272.0,18898645000.0,17257939000.0,14850664000.0,28541768000.0
2273.0,18864128000.0,17049611000.0,14585276000.0,28807848000.0
2274.0,18836742000.0,17150903000.0,14571049000.0,27845601000.0
2275.0,18850085000.0,18080225000.0,14544675000.0,27611433000.0
2276.0,18698633000.0,17175585000.0,14955194000.0,27533100000.0
2277.0,18690898000.0,16987350000.0,14608690000.0,27556645000.0
2278.0,18688436000.0,17000824000.0,14589652000.0,27490955000.0
2279.0,18632704000.0,16974363000.0,14705532000.0,27470617000.0
2280.0,18587546000.0,17537806000.0,14477410000.0,27632116000.0
2281.0,18555226000.0,17538695000.0,14449791000.0,27473811000.0
2282.0,18731170000.0,17147517000.0,15064723000.0,27499653000.0
2283.0,18580627000.0,17058139000.0,14643923000.0,27399072000.0
2284.0,18472808000.0,16962542000.0,14366456000.0,27354060000.0
2285.0,18471457000.0,16990081000.0,14296408000.0,27298652000.0
2286.0,18547388000.0,17022515000.0,14334414000.0,27528862000.0
2287.0,18392977000.0,16954055000.0,14257770000.0,27302068000.0
2288.0,18834334000.0,16928561000.0,14217507000.0,28558486000.0
2289.0,18332254000.0,16898454000.0,14180292000.0,28058546000.0
2290.0,18269903000.0,16908696000.0,14200494000.0,28503962000.0
2291.0,18250721000.0,16929294000.0,14224463000.0,27736775000.0
2292.0,18223178000.0,16854764000.0,14148191000.0,27853853000.0
2293.0,18344430000.0,16842453000.0,14115514000.0,27650380000.0
2294.0,18175046000.0,16864858000.0,14105364000.0,27531444000.0
2295.0,18111720000.0,18624403000.0,14160164000.0,27675318000.0
2296.0,18057044000.0,17324585000.0,14045519000.0,27364674000.0
2297.0,18009022000.0,16831051000.0,14038061000.0,28657700000.0
2298.0,17979898000.0,16782867000.0,14027387000.0,27695503000.0
2299.0,17937005000.0,17191766000.0,13996915000.0,27405697000.0
2300.0,17913917000.0,16837848000.0,13971025000.0,27243327000.0
