time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2033.0,4410102000000.0,4191612800000.0,4242442300000.0,4217800200000.0,4411615000000.0,4354708900000.0,4219765000000.0,4129956300000.0,4389487500000.0,4330917500000.0,4226389400000.0,4282445200000.0,4362135000000.0,4272855700000.0,4180557700000.0,4353516000000.0,4221626500000.0,4414797500000.0,4263754000000.0
2034.0,4383941300000.0,4111304800000.0,4222593800000.0,4168892000000.0,4391782800000.0,4347229600000.0,4176897400000.0,4106411000000.0,4357392700000.0,4305789000000.0,4176648900000.0,4260794000000.0,4334574000000.0,4256993400000.0,4123740900000.0,4316211400000.0,4181040600000.0,4409018000000.0,4243478800000.0
2035.0,4376158800000.0,4038798900000.0,4189964200000.0,4151905600000.0,4375098200000.0,4320675200000.0,4129189000000.0,4055397600000.0,4337105400000.0,4299408300000.0,4166506800000.0,4229827000000.0,4307431500000.0,4229479300000.0,4090404300000.0,4278549200000.0,4157641000000.0,4390981700000.0,4207434300000.0
2036.0,4363963600000.0,4006875000000.0,4157473800000.0,4141060200000.0,4359627200000.0,4281029600000.0,4085189200000.0,4014217000000.0,4309517000000.0,4277181000000.0,4124877000000.0,4201083300000.0,4272732800000.0,4206531000000.0,4053355200000.0,4259997800000.0,4114249200000.0,4366870200000.0,4176382300000.0
2037.0,4355345400000.0,3967637300000.0,4137468300000.0,4105073300000.0,4337440400000.0,4256530200000.0,4044251700000.0,3990831200000.0,4273459200000.0,4257495600000.0,4094660000000.0,4173310200000.0,4242961000000.0,4195987000000.0,4032923700000.0,4244354400000.0,4076055000000.0,4316507400000.0,4158248500000.0
2038.0,4324916000000.0,3919601700000.0,4100847800000.0,4079146500000.0,4307612900000.0,4238830200000.0,3965645800000.0,3959501400000.0,4251792200000.0,4230445000000.0,4073892300000.0,4133403200000.0,4215117200000.0,4169968600000.0,3999288000000.0,4213684300000.0,4023104800000.0,4283441300000.0,4151746500000.0
2039.0,4312938800000.0,3877173700000.0,4074534000000.0,4041685000000.0,4272740400000.0,4178363500000.0,3926499000000.0,3905205000000.0,4232609300000.0,4200435800000.0,4048244400000.0,4093195800000.0,4176848600000.0,4164797600000.0,3962769000000.0,4174460500000.0,3997040000000.0,4269891600000.0,4117173600000.0
2040.0,4287904600000.0,3830862000000.0,4054608200000.0,4010266000000.0,4242133500000.0,4132776400000.0,3872194000000.0,3876390400000.0,4202684500000.0,4163276600000.0,4026014600000.0,4062849300000.0,4151899600000.0,4122316600000.0,3914136800000.0,4149035700000.0,3962720700000.0,4240148300000.0,4095188700000.0
2041.0,4251494000000.0,3793268800000.0,4033810800000.0,3978153000000.0,4210430300000.0,4088236300000.0,3834339400000.0,3849798300000.0,4161483000000.0,4138805500000.0,3994149200000.0,4024069300000.0,4105472600000.0,4090246500000.0,3891671000000.0,4136721200000.0,3935704400000.0,4217380000000.0,4050190900000.0
2042.0,4238678700000.0,3768819400000.0,3993318700000.0,3944164000000.0,4143792500000.0,4026600800000.0,3796402400000.0,3803057000000.0,4123655000000.0,4108831400000.0,3938982000000.0,3998109100000.0,4061095800000.0,4061026300000.0,3856747000000.0,4110122500000.0,3890913500000.0,4186530400000.0,4019861600000.0
2043.0,4214779800000.0,3724993000000.0,3949982400000.0,3911048500000.0,4096798500000.0,3958467000000.0,3769737000000.0,3774974000000.0,4086631000000.0,4085301400000.0,3897866600000.0,3955998900000.0,4036774300000.0,4023318000000.0,3820060700000.0,4072691500000.0,3843695300000.0,4129665600000.0,3999256000000.0
2044.0,4192920100000.0,3690190600000.0,3912534600000.0,3873937600000.0,4052123600000.0,3951695800000.0,3736464500000.0,3736234400000.0,4065205400000.0,4056484700000.0,3877549400000.0,3912941200000.0,4013550200000.0,3985435800000.0,3791142500000.0,4021094200000.0,3812461600000.0,4066596400000.0,3986502700000.0
2045.0,4179181700000.0,3647678700000.0,3849795000000.0,3841668000000.0,4023068400000.0,3909066200000.0,3696626200000.0,3677105200000.0,4034174600000.0,4034257000000.0,3852459300000.0,3843915500000.0,3945318800000.0,3958739600000.0,3736230200000.0,3989832500000.0,3774217000000.0,4036824000000.0,3934447500000.0
2046.0,4159391000000.0,3614840000000.0,3810163700000.0,3794516800000.0,3981669600000.0,3856176000000.0,3668317300000.0,3635050200000.0,4010412900000.0,4018277000000.0,3820463600000.0,3784235500000.0,3912127500000.0,3927498600000.0,3696351200000.0,3962345400000.0,3735390300000.0,4026279400000.0,3907529200000.0
2047.0,4129377700000.0,3561373800000.0,3779958000000.0,3769572800000.0,3955218400000.0,3819755300000.0,3630093300000.0,3603181600000.0,3990247400000.0,3997571000000.0,3772105000000.0,3737463800000.0,3882909400000.0,3886645000000.0,3659726600000.0,3916776000000.0,3707229700000.0,3996803000000.0,3853193000000.0
2048.0,4090857500000.0,3525642800000.0,3747601200000.0,3737916500000.0,3918819200000.0,3754905000000.0,3591740300000.0,3548751000000.0,3962780300000.0,3987373600000.0,3706302000000.0,3688770300000.0,3838417300000.0,3869760300000.0,3648202000000.0,3865728000000.0,3673203100000.0,3965199300000.0,3782570400000.0
