time,IPSL-CM6A-LR,TAIESM1,IITM-ESM,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MRI-ESM2-0
2063.0,107005000000.0,81926070000.0,171724620000.0,128119600000.0,203550060000.0,132858040000.0,45091830000.0,57160004000.0,112955850000.0
2064.0,107867685000.0,79255540000.0,169299250000.0,126614650000.0,201443340000.0,131757040000.0,41910870000.0,55119135000.0,112091430000.0
2065.0,106774330000.0,77930860000.0,166398080000.0,123694980000.0,198690900000.0,128615600000.0,40105610000.0,52870676000.0,110309290000.0
2066.0,105021686000.0,74921480000.0,162943470000.0,119544570000.0,196614180000.0,126094975000.0,37732440000.0,50572517000.0,106395255000.0
2067.0,102187650000.0,72285620000.0,160045470000.0,117445360000.0,192757330000.0,121789480000.0,35443520000.0,48453186000.0,103761895000.0
2068.0,99696320000.0,71440270000.0,157641360000.0,116241970000.0,188541800000.0,120390740000.0,33212215000.0,47280910000.0,100472365000.0
2069.0,96684650000.0,67483034000.0,154586480000.0,112753950000.0,186038830000.0,118778650000.0,31415022000.0,44524155000.0,100167320000.0
2070.0,94513990000.0,65309400000.0,155258960000.0,109780170000.0,182790780000.0,116927740000.0,29325271000.0,42824802000.0,96947536000.0
2071.0,93014440000.0,63522693000.0,154683720000.0,107999200000.0,178223710000.0,115298960000.0,26914066000.0,40385720000.0,94526510000.0
2072.0,90492840000.0,60511780000.0,152003970000.0,105687610000.0,175291710000.0,113245160000.0,24717883000.0,38259155000.0,91497234000.0
2073.0,87482530000.0,56953676000.0,150641200000.0,102138430000.0,172441120000.0,112293400000.0,21935670000.0,36447506000.0,90684970000.0
2074.0,83822880000.0,54723478000.0,150323380000.0,99279810000.0,170564270000.0,109317005000.0,20439474000.0,35150010000.0,87786455000.0
2075.0,80215010000.0,52592222000.0,149472760000.0,99369860000.0,166559580000.0,107656720000.0,18384394000.0,34224935000.0,87605160000.0
2076.0,76706320000.0,49689776000.0,146544540000.0,97433100000.0,161216510000.0,105066030000.0,16980448000.0,33042633000.0,85009850000.0
2077.0,72995830000.0,47607935000.0,143761780000.0,98622554000.0,159277370000.0,103692540000.0,15786426000.0,32071408000.0,83386920000.0
2078.0,69671470000.0,45418280000.0,142034170000.0,98993130000.0,152612830000.0,103161700000.0,14416991000.0,30028972000.0,81966326000.0
2079.0,67462033000.0,43475837000.0,141920830000.0,96810170000.0,148296700000.0,101274220000.0,13327436000.0,27387120000.0,79651750000.0
2080.0,64562830000.0,42324697000.0,141778670000.0,91675690000.0,146602560000.0,99116294000.0,12012087000.0,25855121000.0,79487650000.0
2081.0,61355940000.0,39694352000.0,139594650000.0,91513970000.0,144684320000.0,97787710000.0,10950740000.0,24593754000.0,77683606000.0
2082.0,58639620000.0,37560406000.0,137372890000.0,90409800000.0,141794330000.0,95372230000.0,9925146000.0,23206758000.0,75329290000.0
2083.0,56342510000.0,35169133000.0,135480810000.0,90350000000.0,139376720000.0,94758560000.0,8766037000.0,22430691000.0,73845465000.0
2084.0,53754614000.0,32828230000.0,133080740000.0,88443535000.0,137741910000.0,93265150000.0,7672072000.0,21342079000.0,72823800000.0
2085.0,51511103000.0,30748338000.0,129101370000.0,89823040000.0,134814835000.0,90537950000.0,6771350000.0,21045275000.0,72155360000.0
2086.0,48891610000.0,29339183000.0,126936056000.0,90731990000.0,132173500000.0,87133950000.0,6137873000.0,20123470000.0,71625245000.0
2087.0,46700630000.0,28316236000.0,124633870000.0,86533095000.0,131379450000.0,85128820000.0,5245496300.0,18985533000.0,69687500000.0
2088.0,43200524000.0,26774890000.0,122910790000.0,85388280000.0,127903370000.0,82886440000.0,4500604000.0,18601430000.0,69425620000.0
2089.0,42287690000.0,24886070000.0,120794830000.0,84912560000.0,122853520000.0,81604930000.0,3993908500.0,17538087000.0,68197556000.0
2090.0,40658990000.0,22998540000.0,120311720000.0,83149270000.0,120433615000.0,79759740000.0,3473855000.0,16461101000.0,68571357000.0
2091.0,39307900000.0,21355782000.0,118413476000.0,81947510000.0,117973926000.0,78403800000.0,3028115200.0,15600387000.0,66965377000.0
2092.0,38236460000.0,19815096000.0,116196240000.0,80406250000.0,114653330000.0,77741230000.0,2643899000.0,14803138000.0,65981436000.0
2093.0,36643107000.0,18872054000.0,112494700000.0,79234105000.0,113016400000.0,74863290000.0,2260809000.0,14106201000.0,64493777000.0
2094.0,34770260000.0,17770942000.0,111706490000.0,78245765000.0,110066900000.0,72411510000.0,1965199100.0,13579349000.0,63218504000.0
2095.0,33422629000.0,16844404000.0,110113505000.0,75601200000.0,107012210000.0,70406170000.0,1667642400.0,13226221000.0,61616790000.0
2096.0,31528346000.0,15590914000.0,108163260000.0,73708870000.0,106330090000.0,69590170000.0,1410237700.0,12819460000.0,60099560000.0
2097.0,29377294000.0,14628835000.0,105602875000.0,71511430000.0,104890450000.0,67697210000.0,1130045300.0,12371653000.0,58948530000.0
2098.0,27921514000.0,13638826000.0,103781280000.0,73175270000.0,102941630000.0,67248538000.0,919446400.0,12116852000.0,58415090000.0
2099.0,26485043000.0,12492647000.0,102168780000.0,69680914000.0,100190360000.0,67861602000.0,701445570.0,11562292000.0,57415193000.0
2100.0,25122572000.0,11388751000.0,100881860000.0,67646370000.0,96505810000.0,66064167000.0,588706400.0,10948846000.0,56801436000.0
