time,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL
2029.0,43565330000000.0,43303563000000.0,43732968000000.0,43272450000000.0,43124050000000.0
2030.0,43575680000000.0,43231790000000.0,43722033000000.0,43146310000000.0,43064815000000.0
2031.0,43441730000000.0,43063280000000.0,43605863000000.0,42967250000000.0,42989578000000.0
2032.0,43355280000000.0,42913044000000.0,43528986000000.0,42735533000000.0,42854404000000.0
2033.0,43227810000000.0,42726450000000.0,43474590000000.0,42522596000000.0,42749090000000.0
2034.0,43116803000000.0,42436156000000.0,43424400000000.0,42402730000000.0,42661200000000.0
2035.0,42928560000000.0,42225770000000.0,43335160000000.0,42270405000000.0,42619237000000.0
2036.0,42724158000000.0,42161807000000.0,43252960000000.0,42070706000000.0,42448050000000.0
2037.0,42599163000000.0,41853260000000.0,43230213000000.0,41880436000000.0,42231373000000.0
2038.0,42503877000000.0,41535157000000.0,43091508000000.0,41678000000000.0,42043955000000.0
2039.0,42402874000000.0,41193023000000.0,42979297000000.0,41536776000000.0,41863940000000.0
2040.0,42354980000000.0,40931458000000.0,42916320000000.0,41329040000000.0,41554463000000.0
2041.0,42168170000000.0,40715585000000.0,42796140000000.0,41129483000000.0,41223110000000.0
2042.0,42023508000000.0,40341588000000.0,42571450000000.0,41022977000000.0,41008016000000.0
2043.0,41952406000000.0,40046270000000.0,42413050000000.0,40856678000000.0,40716010000000.0
2044.0,41884982000000.0,39814552000000.0,42222913000000.0,40641963000000.0,40310185000000.0
2045.0,41760454000000.0,39595752000000.0,41987676000000.0,40400130000000.0,39923906000000.0
2046.0,41634750000000.0,39370938000000.0,41815344000000.0,40092280000000.0,39591460000000.0
2047.0,41362544000000.0,38984380000000.0,41645580000000.0,39851798000000.0,39268630000000.0
2048.0,41159766000000.0,38680958000000.0,41379690000000.0,39646315000000.0,38967047000000.0
2049.0,40996060000000.0,38427080000000.0,41133674000000.0,39522394000000.0,38706606000000.0
2050.0,40853830000000.0,38165025000000.0,40958910000000.0,39427230000000.0,38405824000000.0
2051.0,40687366000000.0,37878625000000.0,40757530000000.0,39301240000000.0,38070263000000.0
2052.0,40598690000000.0,37488488000000.0,40625265000000.0,39036880000000.0,37782366000000.0
2053.0,40427328000000.0,37141600000000.0,40481182000000.0,38727552000000.0,37376512000000.0
2054.0,40278710000000.0,36943128000000.0,40256166000000.0,38491940000000.0,37055262000000.0
2055.0,39990243000000.0,36648897000000.0,40094630000000.0,38284170000000.0,36747187000000.0
2056.0,39824900000000.0,36359608000000.0,39901257000000.0,38041503000000.0,36306743000000.0
2057.0,39547983000000.0,36015637000000.0,39635040000000.0,37826473000000.0,35886960000000.0
2058.0,39324955000000.0,35480087000000.0,39451787000000.0,37664305000000.0,35535347000000.0
2059.0,39185856000000.0,35079129000000.0,39263706000000.0,37556176000000.0,35259270000000.0
2060.0,39021980000000.0,34642500000000.0,38963193000000.0,37451330000000.0,34917370000000.0
2061.0,38850114000000.0,34342806000000.0,38779193000000.0,37218210000000.0,34541314000000.0
2062.0,38594210000000.0,34037477000000.0,38594975000000.0,37018118000000.0,34113554000000.0
2063.0,38530693000000.0,33748056000000.0,38415290000000.0,36786986000000.0,33811981000000.0
2064.0,38362447000000.0,33431197000000.0,38152027000000.0,36541586000000.0,33492258000000.0
2065.0,38068040000000.0,33032197000000.0,37833574000000.0,36304914000000.0,33147620000000.0
2066.0,37803850000000.0,32470910000000.0,37587503000000.0,36133023000000.0,32945200000000.0
2067.0,37583610000000.0,31983126000000.0,37333020000000.0,35878810000000.0,32719728000000.0
2068.0,37447962000000.0,31593995000000.0,37014473000000.0,35789710000000.0,32402215000000.0
2069.0,37275648000000.0,31186347000000.0,36733320000000.0,35606140000000.0,32110862000000.0
2070.0,37089723000000.0,30997773000000.0,36519276000000.0,35392045000000.0,31859017000000.0
2071.0,36901190000000.0,30468198000000.0,36289860000000.0,35183010000000.0,31641817000000.0
2072.0,36723988000000.0,29943862000000.0,35934100000000.0,34964640000000.0,31407760000000.0
2073.0,36532853000000.0,29519677000000.0,35667304000000.0,34698074000000.0,31108146000000.0
2074.0,36375462000000.0,29137056000000.0,35487025000000.0,34479679000000.0,30619952000000.0
2075.0,36126715000000.0,28828898000000.0,35305790000000.0,34308184000000.0,30246745000000.0
2076.0,35920160000000.0,28389654000000.0,35133862000000.0,34173310000000.0,29899746000000.0
2077.0,35690927000000.0,27995333000000.0,34874797000000.0,33907210000000.0,29689693000000.0
2078.0,35500405000000.0,27676096000000.0,34538414000000.0,33677296000000.0,29444406000000.0
2079.0,35217360000000.0,27415384000000.0,34294943000000.0,33523782000000.0,29218461000000.0
2080.0,35037913000000.0,27002044000000.0,34136964000000.0,33372296000000.0,28876995000000.0
2081.0,34850436000000.0,26633967000000.0,33917332000000.0,33259002000000.0,28522928000000.0
2082.0,34658155000000.0,26266527000000.0,33668091000000.0,33100344000000.0,28193686000000.0
2083.0,34451378000000.0,25942649000000.0,33432516000000.0,32917858000000.0,27931263000000.0
2084.0,34184563000000.0,25377825000000.0,33175047000000.0,32748457000000.0,27573620000000.0
2085.0,33928788000000.0,24983514000000.0,32939193000000.0,32574974000000.0,27327623000000.0
2086.0,33786675000000.0,24600507000000.0,32712948000000.0,32372040000000.0,27115932000000.0
2087.0,33696630000000.0,24240060000000.0,32566541000000.0,32183943000000.0,26919674000000.0
2088.0,33603933000000.0,23846150000000.0,32354050000000.0,32095560000000.0,26624070000000.0
2089.0,33494812000000.0,23586098000000.0,32161896000000.0,31939577000000.0,26401638000000.0
2090.0,33241750000000.0,23278054000000.0,31947462000000.0,31732986000000.0,26144787000000.0
2091.0,33107617000000.0,22942948000000.0,31762573000000.0,31603701000000.0,25898756000000.0
2092.0,32938960000000.0,22527418000000.0,31599077000000.0,31437403000000.0,25594054000000.0
2093.0,32785184000000.0,22121021000000.0,31378584000000.0,31185254000000.0,25364686000000.0
2094.0,32594704000000.0,21694408000000.0,31130068000000.0,31088276000000.0,25208075000000.0
2095.0,32423360000000.0,21280090000000.0,30901998000000.0,30913304000000.0,24945613000000.0
2096.0,32318180000000.0,20951920000000.0,30616125000000.0,30758566000000.0,24721769000000.0
2097.0,32191057000000.0,20579780000000.0,30404858000000.0,30614443000000.0,24565653000000.0
2098.0,32111575000000.0,20248428000000.0,30224243000000.0,30451510000000.0,24402152000000.0
2099.0,32038490000000.0,19825095000000.0,30016987000000.0,30326894000000.0,24165403000000.0
2100.0,31890110000000.0,19473950000000.0,29776771000000.0,30193890000000.0,23945323000000.0
