time,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,INM-CM5-0,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2038.0,2477525000000.0,2341942300000.0,2618522600000.0,2694432400000.0,2473874000000.0,2573929000000.0,2737244500000.0,2548461200000.0,2517536300000.0,2585549600000.0,2633079200000.0,2606648500000.0,2598341700000.0
2039.0,2429431800000.0,2304763000000.0,2591489300000.0,2673670000000.0,2438643600000.0,2537461000000.0,2709042800000.0,2521147400000.0,2475502000000.0,2568074000000.0,2620498400000.0,2575915800000.0,2563383200000.0
2040.0,2390276000000.0,2272591000000.0,2556252700000.0,2641936000000.0,2414751000000.0,2499453400000.0,2693978400000.0,2481327000000.0,2430806300000.0,2569141200000.0,2603974400000.0,2537137000000.0,2536982700000.0
2041.0,2353603300000.0,2226705700000.0,2536046600000.0,2596664200000.0,2355286800000.0,2466835000000.0,2684251300000.0,2440971700000.0,2393708000000.0,2547774400000.0,2590268200000.0,2496510600000.0,2510015200000.0
2042.0,2310384400000.0,2195066700000.0,2489421100000.0,2551006400000.0,2310122500000.0,2435431000000.0,2661764600000.0,2387526800000.0,2338522100000.0,2496922600000.0,2565022400000.0,2465726000000.0,2479737800000.0
2043.0,2271203000000.0,2153614100000.0,2457400800000.0,2521674500000.0,2278584700000.0,2411183500000.0,2645342600000.0,2349224000000.0,2294220000000.0,2459578400000.0,2538028100000.0,2412476000000.0,2451689700000.0
2044.0,2238925800000.0,2111169900000.0,2422502000000.0,2496682500000.0,2240601700000.0,2389719600000.0,2610096000000.0,2304850000000.0,2260433400000.0,2450002300000.0,2503226200000.0,2373951400000.0,2426984000000.0
2045.0,2198435800000.0,2065746500000.0,2367234200000.0,2469443700000.0,2199011000000.0,2353344300000.0,2566707700000.0,2272902800000.0,2224855400000.0,2412634000000.0,2490965200000.0,2333241500000.0,2398768000000.0
2046.0,2154534400000.0,2017498600000.0,2335927000000.0,2441242000000.0,2171743400000.0,2320197000000.0,2542351200000.0,2213958600000.0,2187403900000.0,2374551500000.0,2461447200000.0,2304151000000.0,2365100400000.0
2047.0,2128132300000.0,1971393100000.0,2310411000000.0,2410616700000.0,2139794000000.0,2287714200000.0,2515136200000.0,2171877000000.0,2140883400000.0,2341505600000.0,2425505200000.0,2269570400000.0,2328377000000.0
2048.0,2091753300000.0,1937225500000.0,2270944600000.0,2394846000000.0,2090891000000.0,2257975500000.0,2489640000000.0,2138500500000.0,2093636600000.0,2334676700000.0,2387477300000.0,2233590000000.0,2296951300000.0
2049.0,2049861000000.0,1896990900000.0,2234138200000.0,2357491000000.0,2062888500000.0,2228731000000.0,2445340600000.0,2101241400000.0,2057446900000.0,2277254400000.0,2345388200000.0,2188687200000.0,2260812700000.0
2050.0,2021096800000.0,1860691600000.0,2189497300000.0,2345150700000.0,2036485300000.0,2184119200000.0,2430825100000.0,2059515300000.0,2025573600000.0,2237586200000.0,2307218000000.0,2150083200000.0,2206933500000.0
2051.0,1974034900000.0,1804811000000.0,2150691200000.0,2311477800000.0,1997925400000.0,2158589100000.0,2407890400000.0,2018668300000.0,1988907800000.0,2229349400000.0,2254094500000.0,2120534300000.0,2161648900000.0
2052.0,1932366200000.0,1753178600000.0,2129501100000.0,2278070700000.0,1951268700000.0,2125549500000.0,2364826500000.0,1989161800000.0,1959077500000.0,2189538900000.0,2215145600000.0,2068878700000.0,2129331500000.0
2053.0,1900668400000.0,1719212800000.0,2094737400000.0,2232661800000.0,1911337900000.0,2089359800000.0,2328935500000.0,1963070200000.0,1919640400000.0,2158716500000.0,2179932100000.0,2027906800000.0,2086432100000.0
