time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2043.0,103542080000.0,102652640000.0,103398940000.0,103618260000.0,103324430000.0,103952470000.0,103567350000.0,103545010000.0,103351796000.0,101808560000.0,103549980000.0,103286320000.0,103040565000.0,100176930000.0
2044.0,103608140000.0,102445270000.0,103216880000.0,105554310000.0,103276100000.0,103834220000.0,103477020000.0,103479790000.0,103208665000.0,101552460000.0,103530750000.0,103247315000.0,102923380000.0,99813130000.0
2045.0,103496310000.0,102257250000.0,103137755000.0,103661126000.0,103248540000.0,103657890000.0,103414060000.0,103613240000.0,103179320000.0,101213950000.0,103467440000.0,103160850000.0,102833545000.0,99556680000.0
2046.0,103318860000.0,102061160000.0,103363910000.0,103333680000.0,103137070000.0,103989450000.0,103423740000.0,103475230000.0,103471530000.0,100807920000.0,103460620000.0,103043200000.0,102815650000.0,99204415000.0
2047.0,103290750000.0,101921860000.0,103083580000.0,103282910000.0,103040115000.0,103845520000.0,103317940000.0,103407690000.0,103244850000.0,100463710000.0,103492850000.0,102954615000.0,102704270000.0,98702550000.0
2048.0,103238440000.0,101747950000.0,102983190000.0,103852510000.0,102940430000.0,103511380000.0,103360864000.0,103306380000.0,103130460000.0,100051000000.0,103339065000.0,103003865000.0,102579200000.0,98188110000.0
2049.0,103132774000.0,101586715000.0,102862050000.0,103214880000.0,102839320000.0,103373320000.0,103392760000.0,103239570000.0,102911210000.0,99750085000.0,103430320000.0,102902950000.0,102489190000.0,98090620000.0
2050.0,103049070000.0,101335376000.0,102817325000.0,103013970000.0,102752890000.0,103290495000.0,103194526000.0,103178990000.0,102800920000.0,99453230000.0,103314770000.0,102759800000.0,102473820000.0,97641100000.0
2051.0,102965710000.0,101114085000.0,103038970000.0,102920086000.0,104979630000.0,103161100000.0,103092855000.0,103093625000.0,102812080000.0,99166310000.0,103195890000.0,102622520000.0,102251120000.0,97234715000.0
2052.0,102910300000.0,100951500000.0,102603200000.0,102857940000.0,103065900000.0,103230490000.0,103029370000.0,103043660000.0,102644320000.0,98684625000.0,103283730000.0,102814740000.0,102167450000.0,96867500000.0
