time,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0
2058.0,129975330000.0,129322940000.0,130452095000.0,131880520000.0
2059.0,129866870000.0,128985210000.0,130340220000.0,132826710000.0
2060.0,129932820000.0,128697260000.0,130201035000.0,132794190000.0
2061.0,129779040000.0,128221880000.0,130221990000.0,132088880000.0
2062.0,129536475000.0,128371580000.0,129990920000.0,132190280000.0
2063.0,129274620000.0,128096970000.0,129801140000.0,132018045000.0
2064.0,129303490000.0,128223210000.0,129903100000.0,131724540000.0
2065.0,128859000000.0,127598220000.0,130071520000.0,131807010000.0
2066.0,128788980000.0,127658295000.0,129855180000.0,131554720000.0
2067.0,128574980000.0,127659060000.0,129468430000.0,131669850000.0
2068.0,128540990000.0,127330210000.0,130187500000.0,131553214000.0
2069.0,128253940000.0,126888485000.0,129961310000.0,131160940000.0
2070.0,128039320000.0,126588480000.0,129799240000.0,131446430000.0
2071.0,127849340000.0,126477070000.0,130107150000.0,131507495000.0
2072.0,127533154000.0,126392540000.0,129117880000.0,131607500000.0
2073.0,127500650000.0,125762080000.0,128622870000.0,131211470000.0
2074.0,128082060000.0,125694796000.0,128445374000.0,131037680000.0
2075.0,127636390000.0,125781205000.0,129661930000.0,131144510000.0
2076.0,127878200000.0,125431920000.0,128090540000.0,130637780000.0
2077.0,127198460000.0,125099246000.0,128195070000.0,131153650000.0
2078.0,126712390000.0,125744570000.0,128301730000.0,130430026000.0
2079.0,126692400000.0,124929475000.0,127978040000.0,130196730000.0
2080.0,126300370000.0,124727075000.0,129229500000.0,130578320000.0
2081.0,125811290000.0,124420890000.0,127840790000.0,130241070000.0
2082.0,125367580000.0,124255370000.0,127607865000.0,129860880000.0
2083.0,125207020000.0,123907280000.0,127431480000.0,129812950000.0
2084.0,125205050000.0,123664660000.0,127361020000.0,129944550000.0
2085.0,124827570000.0,123495740000.0,127409910000.0,129633700000.0
2086.0,124617744000.0,123345410000.0,127137070000.0,129843990000.0
2087.0,124515770000.0,123295440000.0,127217160000.0,129615390000.0
2088.0,124345220000.0,123347845000.0,127058215000.0,131006550000.0
2089.0,124225190000.0,123054320000.0,127243760000.0,129841980000.0
2090.0,123736810000.0,122874510000.0,127546960000.0,129664820000.0
2091.0,123512136000.0,123082010000.0,127320230000.0,129245990000.0
2092.0,123113560000.0,122676535000.0,128127160000.0,129094975000.0
2093.0,123092480000.0,122428735000.0,127193680000.0,129264740000.0
2094.0,122697000000.0,122029260000.0,126359700000.0,129321150000.0
2095.0,122439640000.0,121728890000.0,126314820000.0,129081655000.0
2096.0,122052895000.0,121272200000.0,127012180000.0,128793870000.0
2097.0,122017820000.0,121237720000.0,126189430000.0,130308490000.0
2098.0,121631220000.0,121052815000.0,125880220000.0,128959150000.0
2099.0,121716834000.0,120399170000.0,126154360000.0,129319050000.0
2100.0,121458480000.0,120315110000.0,126976205000.0,128323480000.0
