time,CAMS-CSM1-0,ACCESS-ESM1-5,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,TAIESM1,MRI-ESM2-0,INM-CM5-0,CESM2,CESM2-WACCM,EC-EARTH3-VEG,NORESM2-MM,CANESM5,CMCC-CM2-SR5,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2
2034.0,4328380200000.0,4269620300000.0,4190019000000.0,4318101500000.0,4119239300000.0,4190087400000.0,4125129000000.0,4403255300000.0,4369546200000.0,4358360000000.0,4193608300000.0,4345321800000.0,4256806200000.0,4272978400000.0,4420635000000.0,4394607700000.0,4181323700000.0,4235457500000.0,4137242000000.0
2035.0,4290685000000.0,4241746600000.0,4142063700000.0,4311359000000.0,4067748500000.0,4179484500000.0,4052518200000.0,4386424000000.0,4349247600000.0,4331501300000.0,4169687400000.0,4317758400000.0,4220605700000.0,4241697300000.0,4402420000000.0,4386320300000.0,4163920200000.0,4202497300000.0,4103458000000.0
2036.0,4271656100000.0,4218368000000.0,4097618200000.0,4288873200000.0,4026126300000.0,4137500000000.0,4020028800000.0,4370556500000.0,4321375000000.0,4291406300000.0,4125978300000.0,4282736000000.0,4189281000000.0,4212679000000.0,4378050200000.0,4373765400000.0,4152451100000.0,4169619000000.0,4065936500000.0
2037.0,4255501800000.0,4207379200000.0,4056265000000.0,4268651000000.0,4002047300000.0,4106793000000.0,3980288600000.0,4347983300000.0,4285163600000.0,4266495800000.0,4087239000000.0,4252697400000.0,4170502400000.0,4184459000000.0,4327688000000.0,4364668500000.0,4116031000000.0,4148977700000.0,4044919000000.0
2038.0,4224517400000.0,4180826000000.0,3977417000000.0,4241110300000.0,3970076000000.0,4085566000000.0,3931643300000.0,4317923500000.0,4263110500000.0,4248151800000.0,4033853000000.0,4224418800000.0,4163495800000.0,4144242400000.0,4294175600000.0,4333899600000.0,4089735300000.0,4111950700000.0,4011015300000.0
2039.0,4184979800000.0,4175054800000.0,3938192700000.0,4210634500000.0,3915752700000.0,4059474400000.0,3889302600000.0,4282750900000.0,4243446800000.0,4187708200000.0,4007666400000.0,4185595000000.0,4128567000000.0,4103701800000.0,4280016000000.0,4321443000000.0,4051888200000.0,4085230900000.0,3974352300000.0
2040.0,4159281000000.0,4132185000000.0,3884157200000.0,4173379100000.0,3886897200000.0,4037080800000.0,3843204300000.0,4251701200000.0,4213273000000.0,4142159600000.0,3973438500000.0,4160452800000.0,4106297300000.0,4073278100000.0,4250002800000.0,4296203300000.0,4020275200000.0,4065025000000.0,3925678500000.0
2041.0,4146722800000.0,4100198500000.0,3846392300000.0,4148956000000.0,3860195000000.0,4005221400000.0,3805617800000.0,4219960800000.0,4172072600000.0,4097712300000.0,3946128300000.0,4114145000000.0,4061294200000.0,4034663800000.0,4227134700000.0,4259902400000.0,3988298700000.0,4044217000000.0,3903207500000.0
2042.0,4120159700000.0,4071135400000.0,3808406300000.0,4119056000000.0,3813507000000.0,3950021700000.0,3781286400000.0,4153684800000.0,4134203600000.0,4036047700000.0,3901376000000.0,4069850300000.0,4030896000000.0,4008465400000.0,4196085300000.0,4246862600000.0,3954402400000.0,4003770100000.0,3868344000000.0
2043.0,4082873700000.0,4033433000000.0,3781833500000.0,4095658400000.0,3785582000000.0,3908905200000.0,3737747000000.0,4107024700000.0,4097364500000.0,3968187000000.0,3854405000000.0,4045380500000.0,4010327400000.0,3966402300000.0,4139333500000.0,4222960800000.0,3921380000000.0,3960457700000.0,3831873100000.0
2044.0,4031506300000.0,3995687500000.0,3749132000000.0,4066684200000.0,3747436600000.0,3888626300000.0,3703288400000.0,4062490100000.0,4075906400000.0,3961445000000.0,3823612000000.0,4022015000000.0,3997597700000.0,3923607000000.0,4076663700000.0,4200909500000.0,3884401600000.0,3923196500000.0,3803381000000.0
2045.0,4000356500000.0,3969268800000.0,3710379400000.0,4044400000000.0,3689076500000.0,3863883300000.0,3661321700000.0,4033622300000.0,4044880300000.0,3919286000000.0,3786138000000.0,3954283000000.0,3946101300000.0,3855228000000.0,4047194000000.0,4187059000000.0,3852305200000.0,3861293800000.0,3749324300000.0
2046.0,3973159300000.0,3938323300000.0,3682733400000.0,4028565300000.0,3647761300000.0,3832500200000.0,3629021000000.0,3992705300000.0,4021123500000.0,3867185800000.0,3747836600000.0,3921728500000.0,3919496300000.0,3796460600000.0,4036929800000.0,4167449400000.0,3806082000000.0,3822610800000.0,3709981700000.0
2047.0,3928311000000.0,3898194300000.0,3645155600000.0,4008193600000.0,3616377000000.0,3785053200000.0,3576143500000.0,3966720800000.0,4001112500000.0,3831601800000.0,3720257000000.0,3893203600000.0,3865989300000.0,3750633000000.0,4008076400000.0,4138106400000.0,3781892500000.0,3793184400000.0,3673996000000.0
2048.0,3878181700000.0,3882069800000.0,3607405800000.0,3998438000000.0,3562854400000.0,3720067000000.0,3540979500000.0,3930700600000.0,3974291300000.0,3767911000000.0,3686692800000.0,3849603800000.0,3796453800000.0,3702696200000.0,3977138700000.0,4100191000000.0,3750924400000.0,3761545700000.0,3662884400000.0
2049.0,3858120000000.0,3871586600000.0,3565721200000.0,3962717000000.0,3525816600000.0,3700452000000.0,3491716700000.0,3890191800000.0,3950697000000.0,3729124800000.0,3642865000000.0,3810327500000.0,3758489300000.0,3665075600000.0,3953356700000.0,4073947100000.0,3713616000000.0,3727921800000.0,3642702400000.0
2050.0,3815031700000.0,3857184700000.0,3526546200000.0,3944360200000.0,3501972500000.0,3684361000000.0,3429151300000.0,3843988400000.0,3935187000000.0,3703113800000.0,3585819000000.0,3773509100000.0,3713109900000.0,3625412000000.0,3922773100000.0,4042743300000.0,3687091000000.0,3707313600000.0,3627789000000.0
2051.0,3785511700000.0,3840687200000.0,3458838300000.0,3918241700000.0,3483288200000.0,3647194000000.0,3374978200000.0,3803527000000.0,3891962000000.0,3662159800000.0,3572669600000.0,3723175700000.0,3692426000000.0,3587405000000.0,3891174300000.0,4001218400000.0,3678506000000.0,3687579600000.0,3585976600000.0
2052.0,3761953300000.0,3829957000000.0,3416708000000.0,3888097500000.0,3450386800000.0,3592226900000.0,3351430600000.0,3791200000000.0,3857552200000.0,3629528400000.0,3554539500000.0,3670450000000.0,3684138000000.0,3557729000000.0,3862732200000.0,3980692800000.0,3650941000000.0,3652176800000.0,3561715100000.0
2053.0,3733345800000.0,3805904400000.0,3388970000000.0,3851470200000.0,3400213700000.0,3542442800000.0,3305280000000.0,3774549900000.0,3828648200000.0,3599883300000.0,3519069000000.0,3629708000000.0,3648726200000.0,3511808000000.0,3837629600000.0,3950571000000.0,3612786000000.0,3607337400000.0,3517875200000.0
2054.0,3697696000000.0,3762997700000.0,3363719000000.0,3805463000000.0,3360065600000.0,3515289400000.0,3276854500000.0,3733106500000.0,3795658500000.0,3557258700000.0,3493634000000.0,3579838000000.0,3595149500000.0,3484410400000.0,3830514200000.0,3929596800000.0,3591337400000.0,3568509600000.0,3469235000000.0
2055.0,3677505200000.0,3725490000000.0,3332726300000.0,3776460600000.0,3323365000000.0,3482354700000.0,3225258600000.0,3713817000000.0,3776036700000.0,3522662200000.0,3439042000000.0,3540973800000.0,3572822700000.0,3437311000000.0,3798066000000.0,3900567000000.0,3556806000000.0,3539254400000.0,3426662200000.0
2056.0,3658450500000.0,3676955700000.0,3299058000000.0,3744454400000.0,3282436600000.0,3460000600000.0,3178314600000.0,3688320500000.0,3768724000000.0,3479634700000.0,3408655500000.0,3514937600000.0,3557583700000.0,3373843000000.0,3763557600000.0,3867941300000.0,3543167100000.0,3508591000000.0,3381543300000.0
2057.0,3631319600000.0,3662430000000.0,3272866500000.0,3724857600000.0,3242659700000.0,3427948600000.0,3138255600000.0,3657394600000.0,3737938600000.0,3445082600000.0,3361293200000.0,3457665200000.0,3554265500000.0,3319484000000.0,3699666800000.0,3827690400000.0,3509464000000.0,3478322700000.0,3341641800000.0
2058.0,3601756000000.0,3640549700000.0,3249911400000.0,3701398800000.0,3224965000000.0,3394192800000.0,3101527000000.0,3632502700000.0,3715291000000.0,3413387800000.0,3315453700000.0,3426792000000.0,3535986000000.0,3267036400000.0,3665387600000.0,3812251400000.0,3487122300000.0,3428019300000.0,3314228400000.0
2059.0,3590805800000.0,3596499600000.0,3216386600000.0,3670644400000.0,3185932200000.0,3352677800000.0,3068714500000.0,3606976700000.0,3701757200000.0,3368337500000.0,3295958500000.0,3382927000000.0,3486818500000.0,3242431600000.0,3625496000000.0,3784122000000.0,3459128800000.0,3402385000000.0,3261895800000.0
2060.0,3562069300000.0,3550798200000.0,3180141000000.0,3654997500000.0,3126254000000.0,3316342800000.0,3017374000000.0,3577380900000.0,3671326200000.0,3324727500000.0,3267710000000.0,3336543100000.0,3446003200000.0,3200631700000.0,3594696500000.0,3765066500000.0,3431892500000.0,3372361000000.0,3219696400000.0
2061.0,3549237000000.0,3529806400000.0,3130626400000.0,3628431000000.0,3087964300000.0,3274391400000.0,2972267600000.0,3547025400000.0,3649320300000.0,3272401200000.0,3215920500000.0,3292221100000.0,3413849000000.0,3159659000000.0,3577555500000.0,3755136800000.0,3409114600000.0,3320340500000.0,3180777700000.0
2062.0,3511724300000.0,3480336700000.0,3087989200000.0,3595526000000.0,3052751600000.0,3233901000000.0,2923432000000.0,3533306300000.0,3620412600000.0,3213111900000.0,3165537400000.0,3248957200000.0,3367097600000.0,3119975200000.0,3535666700000.0,3730856500000.0,3389127100000.0,3298305200000.0,3123929200000.0
2063.0,3478001300000.0,3449670900000.0,3060420800000.0,3566128600000.0,3012917000000.0,3200781600000.0,2885663000000.0,3508171700000.0,3586820100000.0,3154683400000.0,3117695600000.0,3206077200000.0,3339248500000.0,3070610600000.0,3474388700000.0,3694327200000.0,3369902800000.0,3257060300000.0,3075381400000.0
2064.0,3454024500000.0,3412335300000.0,3035088800000.0,3543408800000.0,2975200200000.0,3148003700000.0,2853698800000.0,3482561500000.0,3563340200000.0,3093941200000.0,3058491000000.0,3175575700000.0,3318252800000.0,3036029400000.0,3431858700000.0,3667081300000.0,3348053000000.0,3225209500000.0,3033127700000.0
2065.0,3432792200000.0,3372726600000.0,2995621500000.0,3521238300000.0,2949681800000.0,3101223000000.0,2809630300000.0,3452195300000.0,3533378200000.0,3072126400000.0,3019557800000.0,3128694000000.0,3299393700000.0,2995442700000.0,3388497000000.0,3649388200000.0,3316842500000.0,3185950600000.0,2972353000000.0
2066.0,3404577400000.0,3332751500000.0,2960930600000.0,3496706000000.0,2889916600000.0,3080988400000.0,2764867600000.0,3392758600000.0,3510981600000.0,3022285400000.0,2945826400000.0,3086677200000.0,3281452500000.0,2963478700000.0,3375416500000.0,3621448300000.0,3292659700000.0,3155186000000.0,2926475700000.0
2067.0,3385256600000.0,3292785300000.0,2918875100000.0,3474838800000.0,2825690800000.0,3046234000000.0,2714597600000.0,3352264000000.0,3484257600000.0,2956384000000.0,2898813000000.0,3042976500000.0,3252765600000.0,2911261000000.0,3341165000000.0,3593393700000.0,3259962500000.0,3111026700000.0,2876834800000.0
2068.0,3358240800000.0,3271114400000.0,2892733000000.0,3453354500000.0,2803084600000.0,2999575400000.0,2666774000000.0,3316299900000.0,3451974600000.0,2902839000000.0,2862630600000.0,2989692300000.0,3215565300000.0,2855210600000.0,3309883400000.0,3560160400000.0,3239703000000.0,3067201000000.0,2825626800000.0
2069.0,3337435700000.0,3217523500000.0,2867517200000.0,3426448300000.0,2767858200000.0,2945676200000.0,2611242000000.0,3270872700000.0,3433287000000.0,2858980000000.0,2807264400000.0,2935369000000.0,3200809200000.0,2803675700000.0,3258544000000.0,3534856000000.0,3218515700000.0,3035334000000.0,2791012800000.0
2070.0,3311438700000.0,3166571300000.0,2829432700000.0,3405438500000.0,2715372200000.0,2906273300000.0,2571532000000.0,3246281700000.0,3417223500000.0,2814167500000.0,2758122000000.0,2864807400000.0,3160871500000.0,2769351600000.0,3236409000000.0,3514811800000.0,3193270400000.0,3000861000000.0,2749243900000.0
2071.0,3278192500000.0,3140994000000.0,2789715000000.0,3377989000000.0,2675032000000.0,2882079600000.0,2520237700000.0,3219127300000.0,3397632400000.0,2769670400000.0,2695840000000.0,2811400000000.0,3118495700000.0,2721243200000.0,3212496000000.0,3478396000000.0,3164945300000.0,2962780600000.0,2691872600000.0
2072.0,3252308700000.0,3112060800000.0,2759735400000.0,3342756700000.0,2640495500000.0,2832436800000.0,2455147600000.0,3193881200000.0,3371424300000.0,2738239000000.0,2645247700000.0,2769110200000.0,3091192300000.0,2676538000000.0,3180585300000.0,3446673500000.0,3131664200000.0,2919825000000.0,2643985000000.0
2073.0,3222298200000.0,3080824000000.0,2720734400000.0,3311024700000.0,2595503700000.0,2776511000000.0,2410916600000.0,3161835200000.0,3341057000000.0,2684206700000.0,2569575000000.0,2712814000000.0,3051743300000.0,2626238500000.0,3144474000000.0,3419150200000.0,3117419600000.0,2883957000000.0,2596881000000.0
2074.0,3192719100000.0,3035522000000.0,2680320700000.0,3294796200000.0,2529366600000.0,2742067100000.0,2370421000000.0,3144367200000.0,3320616300000.0,2639917000000.0,2522515000000.0,2644159200000.0,3012945200000.0,2583031200000.0,3099604000000.0,3385746800000.0,3108707200000.0,2830950200000.0,2556094800000.0
2075.0,3169167900000.0,3002189700000.0,2636853500000.0,3255837000000.0,2487283600000.0,2693980200000.0,2313684000000.0,3111788500000.0,3298732300000.0,2598275600000.0,2482115700000.0,2596396000000.0,2993266000000.0,2528263300000.0,3078308200000.0,3351925800000.0,3081879000000.0,2795266400000.0,2512170500000.0
2076.0,3158536400000.0,2976554200000.0,2574448600000.0,3243334700000.0,2440016200000.0,2651506900000.0,2275045300000.0,3056567000000.0,3273411800000.0,2533130800000.0,2410775000000.0,2540993200000.0,2969961000000.0,2463677800000.0,3051770000000.0,3329839000000.0,3053704000000.0,2754610200000.0,2459295800000.0
2077.0,3153288000000.0,2953693600000.0,2541899700000.0,3230621800000.0,2392021000000.0,2599771700000.0,2229489400000.0,3024680400000.0,3242567400000.0,2489377600000.0,2357220900000.0,2480577000000.0,2931366600000.0,2408094400000.0,3031653200000.0,3303004400000.0,3028968800000.0,2711826500000.0,2401442000000.0
2078.0,3144431700000.0,2914935000000.0,2509294800000.0,3213202800000.0,2346256000000.0,2549550400000.0,2175735700000.0,2994276000000.0,3214434400000.0,2432821000000.0,2294602800000.0,2445330400000.0,2882109200000.0,2349338200000.0,3015708200000.0,3279570900000.0,3021037000000.0,2672251000000.0,2361960400000.0
2079.0,3128604200000.0,2881733500000.0,2471571000000.0,3191840400000.0,2288248700000.0,2507893000000.0,2116847700000.0,2977045400000.0,3193394000000.0,2378598000000.0,2261443100000.0,2405310400000.0,2857905000000.0,2293489200000.0,2985830000000.0,3266343000000.0,2999751500000.0,2636223600000.0,2314921800000.0
2080.0,3104787000000.0,2849015000000.0,2445321000000.0,3160169300000.0,2240557000000.0,2451501200000.0,2068242200000.0,2939105600000.0,3172132500000.0,2326623700000.0,2210989300000.0,2362211800000.0,2829698000000.0,2243773000000.0,2941894000000.0,3239251800000.0,2970181700000.0,2599098500000.0,2270580400000.0
2081.0,3091073000000.0,2811105000000.0,2415208400000.0,3125085700000.0,2207110000000.0,2413064600000.0,2029722700000.0,2906699300000.0,3139616600000.0,2269389300000.0,2179365500000.0,2309022000000.0,2793681200000.0,2193567900000.0,2891381000000.0,3211139200000.0,2936353800000.0,2554778600000.0,2225375500000.0
2082.0,3071302000000.0,2773643200000.0,2381087500000.0,3105291200000.0,2163056400000.0,2374645800000.0,1999411000000.0,2873461000000.0,3099321000000.0,2226642500000.0,2116940700000.0,2256289400000.0,2766271000000.0,2149885300000.0,2860395800000.0,3190583200000.0,2900051400000.0,2518302000000.0,2189935900000.0
2083.0,3055418900000.0,2729524600000.0,2358313500000.0,3077612800000.0,2114262000000.0,2315548600000.0,1959345100000.0,2836544600000.0,3079073200000.0,2170005700000.0,2081261600000.0,2203750000000.0,2738562300000.0,2095491600000.0,2834553600000.0,3158430700000.0,2865881700000.0,2479739000000.0,2144147700000.0
2084.0,3024624000000.0,2704807800000.0,2332464300000.0,3056695500000.0,2073728800000.0,2241822200000.0,1912132300000.0,2811151000000.0,3052942400000.0,2131506000000.0,2041319100000.0,2147473300000.0,2716192000000.0,2042001900000.0,2797507400000.0,3111113200000.0,2839036600000.0,2437025000000.0,2096926300000.0
