time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2074.0,2492270300.0,827317570.0,1309684100.0,4226326300.0,182012500.0
2075.0,2259827700.0,774803460.0,1237429900.0,4144221400.0,160124200.0
2076.0,2868843500.0,688117400.0,1398897900.0,3965112300.0,142442740.0
2077.0,2220923400.0,633370560.0,1146232600.0,3850348000.0,107015590.0
2078.0,2262382800.0,580512700.0,1097705200.0,3699852500.0,103352940.0
2079.0,2173654500.0,576927740.0,1045575000.0,3675326200.0,97044280.0
2080.0,2159761200.0,517118180.0,994861000.0,3459034400.0,93410104.0
2081.0,1958125800.0,505720220.0,921870400.0,3349793800.0,89436130.0
2082.0,1804197400.0,504487140.0,877875600.0,3189126100.0,85772700.0
2083.0,1816630800.0,518954800.0,829562050.0,3885208800.0,82028610.0
2084.0,2776058600.0,470669700.0,788381950.0,3271030800.0,78072584.0
2085.0,1829845200.0,505632830.0,775560200.0,2993999000.0,83016850.0
2086.0,1734304600.0,460588540.0,787992060.0,2899835600.0,75626330.0
2087.0,1617802000.0,434078430.0,712846000.0,3242602800.0,73225810.0
2088.0,1635066400.0,484037570.0,695015230.0,2765037600.0,71136710.0
2089.0,1559820700.0,343559600.0,1693915900.0,2683458300.0,78388290.0
2090.0,1980532400.0,427708800.0,721157800.0,2606455300.0,84935460.0
2091.0,1545607000.0,359217540.0,804646900.0,2643876600.0,78383920.0
2092.0,1558298100.0,393472500.0,675694100.0,2504132000.0,67064964.0
2093.0,2205866500.0,327033000.0,717415700.0,2489800400.0,65298990.0
2094.0,1762308000.0,371778720.0,581314200.0,2341226000.0,64684230.0
2095.0,1556792800.0,361595550.0,668086300.0,2282746400.0,63116160.0
2096.0,1382506100.0,585159040.0,586334300.0,2175779300.0,62798524.0
2097.0,1335319300.0,327565400.0,606232700.0,2108682500.0,62260970.0
2098.0,1317278200.0,317732860.0,607715300.0,1959618800.0,61751620.0
2099.0,1970698400.0,527068000.0,572754000.0,2060783400.0,106582584.0
2100.0,1675163300.0,421385400.0,586866000.0,2125961100.0,62411020.0
