time,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,IPSL-CM5A-LR,CCSM4,GFDL-ESM2G,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,CANESM2
2071.0,2047432300000.0,1993482400000.0,2077535400000.0,1100813000000.0,2108546400000.0,2068806500000.0,2233678400000.0,2108304700000.0,1803761700000.0,2021359600000.0,1792877500000.0
2072.0,2042989400000.0,1987939100000.0,2083268300000.0,1073636600000.0,2102297900000.0,2057191300000.0,2228876700000.0,2085425900000.0,1797533200000.0,2013135900000.0,1776667200000.0
2073.0,2038632700000.0,1998914300000.0,2073143700000.0,1054722360000.0,2104555500000.0,2059676500000.0,2238397500000.0,2090254000000.0,1773119700000.0,2020666600000.0,1767908300000.0
2074.0,2032641600000.0,1998966100000.0,2088176300000.0,1032274440000.0,2092962400000.0,2047661800000.0,2242949000000.0,2076004500000.0,1752437900000.0,2013599500000.0,1763795900000.0
2075.0,2022898300000.0,2002563900000.0,2083061000000.0,1014210700000.0,2075387600000.0,2046357000000.0,2247252800000.0,2071828000000.0,1747040100000.0,1999885800000.0,1738101200000.0
2076.0,2024860400000.0,1988013900000.0,2072894600000.0,995518600000.0,2051241300000.0,2039680600000.0,2243016500000.0,2061120000000.0,1762830700000.0,1991570800000.0,1735621300000.0
2077.0,2012801400000.0,1983267000000.0,2059418700000.0,972065140000.0,2049205900000.0,2025860800000.0,2233223300000.0,2057546800000.0,1746652500000.0,1979252700000.0,1727221700000.0
2078.0,2014728200000.0,1977243000000.0,2062486600000.0,958744900000.0,2033944400000.0,2019026100000.0,2239546300000.0,2058069000000.0,1727822800000.0,1968964900000.0,1708136700000.0
2079.0,2028298300000.0,1968897100000.0,2068072200000.0,939253600000.0,2017118300000.0,2022590100000.0,2246103800000.0,2046840300000.0,1718788800000.0,1962310500000.0,1688304900000.0
2080.0,2015738000000.0,1951834600000.0,2068900600000.0,924411200000.0,2002111400000.0,1996523600000.0,2236592700000.0,2034373000000.0,1700902200000.0,1944669100000.0,1687498800000.0
2081.0,2010163800000.0,1940737200000.0,2079411100000.0,905881500000.0,1977446400000.0,1978363000000.0,2236153900000.0,2023289100000.0,1674334700000.0,1937248900000.0,1683259500000.0
2082.0,2023194600000.0,1931498700000.0,2090342200000.0,887111200000.0,1989622600000.0,1986599000000.0,2227142100000.0,2014828800000.0,1658113400000.0,1931914200000.0,1670628500000.0
2083.0,2034358700000.0,1921264900000.0,2092152700000.0,873243540000.0,1971739800000.0,1984002000000.0,2240728800000.0,2001759400000.0,1651018000000.0,1929869300000.0,1660522700000.0
2084.0,2039056300000.0,1926334300000.0,2089429900000.0,855816900000.0,1992472400000.0,1983350000000.0,2241575800000.0,1985281000000.0,1649211500000.0,1927638400000.0,1648176500000.0
2085.0,2038405000000.0,1910953300000.0,2079753100000.0,844829160000.0,1995566500000.0,1970532100000.0,2248341700000.0,1971094300000.0,1626705000000.0,1897591200000.0,1640991200000.0
2086.0,2029697900000.0,1893434400000.0,2078464900000.0,836470050000.0,1984751300000.0,1972194500000.0,2251744300000.0,1953301100000.0,1611433400000.0,1882705600000.0,1634514800000.0
2087.0,2024778400000.0,1890856900000.0,2089909000000.0,823040800000.0,1972698100000.0,1959045000000.0,2247291000000.0,1946082500000.0,1603471800000.0,1875720300000.0,1609991200000.0
2088.0,2034565600000.0,1879664200000.0,2107297200000.0,809254060000.0,1975037600000.0,1949382700000.0,2255400700000.0,1950583500000.0,1612852800000.0,1866396900000.0,1596607000000.0
2089.0,2040226100000.0,1871280900000.0,2123870000000.0,795232760000.0,1972408500000.0,1963082900000.0,2256240600000.0,1942601600000.0,1600604200000.0,1857261700000.0,1591834400000.0
2090.0,2037532300000.0,1868223300000.0,2110350600000.0,782803860000.0,1972286500000.0,1951683200000.0,2276640200000.0,1928421200000.0,1593998800000.0,1853983600000.0,1575197500000.0
2091.0,2030705400000.0,1855535400000.0,2115071600000.0,767717150000.0,1955333700000.0,1932395000000.0,2276724000000.0,1917102000000.0,1601696600000.0,1831515500000.0,1582707000000.0
2092.0,2043553100000.0,1850264300000.0,2113818000000.0,753318200000.0,1949102900000.0,1919885500000.0,2286040600000.0,1910099300000.0,1624217500000.0,1820845500000.0,1561002400000.0
2093.0,2040240000000.0,1841109400000.0,2128049900000.0,744626600000.0,1948853600000.0,1914063200000.0,2290541000000.0,1899638300000.0,1607615100000.0,1814524100000.0,1559637100000.0
2094.0,2051035400000.0,1837516500000.0,2122237900000.0,735949300000.0,1955388600000.0,1912516200000.0,2291100500000.0,1905458500000.0,1594750300000.0,1797837300000.0,1548694300000.0
2095.0,2063157000000.0,1825004800000.0,2120016900000.0,725457630000.0,1956212000000.0,1913690000000.0,2296811000000.0,1895279800000.0,1607218400000.0,1791037300000.0,1541867700000.0
2096.0,2074038500000.0,1821209800000.0,2122969100000.0,714602900000.0,1945899600000.0,1907681900000.0,2306987500000.0,1886700700000.0,1600427500000.0,1785970200000.0,1554959700000.0
2097.0,2074975000000.0,1820466600000.0,2127435000000.0,702388700000.0,1924302900000.0,1907246600000.0,2304112000000.0,1867068500000.0,1595491500000.0,1763902200000.0,1542633200000.0
2098.0,2071085400000.0,1814255000000.0,2130873300000.0,690928200000.0,1954282300000.0,1908586700000.0,2310069300000.0,1858870600000.0,1593024700000.0,1763176700000.0,1544216600000.0
2099.0,2074884400000.0,1819134900000.0,2139557700000.0,681324700000.0,1939070900000.0,1904759100000.0,2308531800000.0,1846328700000.0,1588695500000.0,1747082500000.0,1533294300000.0
2100.0,2080470600000.0,1830389800000.0,2136054300000.0,669076100000.0,1946061500000.0,1891861500000.0,2297912400000.0,1831397500000.0,1573947400000.0,1743024600000.0,1539377200000.0
