time,BCC-CSM2-MR,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,CAMS-CSM1-0,MPI-ESM1-2-HR,TAIESM1,EC-EARTH3-VEG,FGOALS-F3-L,GFDL-ESM4,CESM2-WACCM,NORESM2-MM,ACCESS-CM2,CESM2,EC-EARTH3,ACCESS-ESM1-5,CANESM5,INM-CM4-8
2029.0,12693488000.0,12603377000.0,12571175000.0,12603178000.0,12318946000.0,13051241000.0,12729646000.0,12511350000.0,12715793000.0,12787618000.0,12731118000.0,12283976000.0,12603300000.0,12803656000.0,12443694000.0,12666178000.0,12363817000.0,12499623000.0,12879120000.0
2030.0,12499930000.0,12450914000.0,12517647000.0,12423431000.0,12048481000.0,12802405000.0,12546900000.0,12291329000.0,12530292000.0,12599934000.0,12462874000.0,12074490000.0,12719482000.0,12617033000.0,12308455000.0,12505156000.0,12187698000.0,12293605000.0,12717276000.0
2031.0,12408649000.0,12266299000.0,12263473000.0,12271040000.0,11790565000.0,12785219000.0,12397568000.0,12080748000.0,12339964000.0,12498444000.0,12329282000.0,11872684000.0,12263986000.0,12462360000.0,12027467000.0,12353421000.0,11979404000.0,12046818000.0,12593531000.0
2032.0,12321989000.0,12072794000.0,12058740000.0,12113911000.0,11577191000.0,12510771000.0,12233850000.0,11811397000.0,12225511000.0,12358871000.0,12197341000.0,11705997000.0,12171788000.0,12430479000.0,11804291000.0,12161505000.0,11745559000.0,11851189000.0,12470200000.0
2033.0,12105864000.0,11953079000.0,11881191000.0,11958229000.0,11323830000.0,12364476000.0,12046391000.0,11575358000.0,12099940000.0,12064521000.0,12037443000.0,11440441000.0,11948618000.0,12199652000.0,11595937000.0,11945770000.0,11491937000.0,11553668000.0,12342561000.0
2034.0,11902509000.0,11821790000.0,11660070000.0,11786537000.0,11042659000.0,12237158000.0,11883291000.0,11342222000.0,12037473000.0,11910673000.0,11875306000.0,11250185000.0,11716510000.0,11990588000.0,11358433000.0,11698485000.0,11224024000.0,11336573000.0,12176765000.0
2035.0,11764356000.0,11707598000.0,11591288000.0,11693249000.0,10760077000.0,12059170000.0,11798235000.0,11171532000.0,11788877000.0,11864861000.0,11661356000.0,11455487000.0,11537803000.0,11749249000.0,11144863000.0,11451457000.0,10953678000.0,11024671000.0,12010321000.0
2036.0,11578495000.0,11480809000.0,11413504000.0,11506618000.0,10477867000.0,11909496000.0,11606176000.0,10890678000.0,11630624000.0,11569675000.0,11495303000.0,11120489000.0,11425451000.0,11548575000.0,10953838000.0,11208925000.0,10759792000.0,10804185000.0,11870687000.0
2037.0,11411355000.0,11284519000.0,11308551000.0,11324356000.0,10262779000.0,11917942000.0,11452527000.0,10613092000.0,11604142000.0,11321453000.0,11292863000.0,10837117000.0,11238019000.0,11353587000.0,10707961000.0,11006704000.0,10498655000.0,10609755000.0,11749037000.0
2038.0,11315207000.0,11066842000.0,11116854000.0,11137595000.0,10048365000.0,11642789000.0,11363279000.0,10282769000.0,11317897000.0,11157672000.0,11145587000.0,10597457000.0,11029413000.0,11147934000.0,10468263000.0,10767980000.0,10248727000.0,10298164000.0,11589044000.0
2039.0,11060731000.0,10837305000.0,10959052000.0,10935615000.0,9761221000.0,11464741000.0,11106671000.0,9964343000.0,11164810000.0,10955733000.0,11042123000.0,10371070000.0,10823844000.0,10896455000.0,10250201000.0,10510796000.0,10061842000.0,10004279000.0,11462793000.0
2040.0,10891992000.0,10709101000.0,10781799000.0,10796307000.0,9501812000.0,11374704000.0,10932660000.0,9600925000.0,10968619000.0,10827845000.0,10867032000.0,10189673000.0,10645638000.0,10580221000.0,10027020000.0,10242766000.0,9814299000.0,9996913000.0,11238320000.0
2041.0,10772855000.0,10478375000.0,10544433000.0,10689516000.0,9172498000.0,11259385000.0,10779859000.0,9468757000.0,10783978000.0,10717790000.0,10785973000.0,10001175000.0,10403534000.0,10311886000.0,9802190000.0,9998722000.0,9601751000.0,9760858000.0,11095050000.0
2042.0,10515897000.0,10255335000.0,10314619000.0,10495884000.0,8968007000.0,11078329000.0,10598546000.0,9130875000.0,10554454000.0,10564329000.0,10615251000.0,9831770000.0,10123916000.0,10038065000.0,9595715000.0,9730343000.0,9363020000.0,9453553000.0,10967981000.0
2043.0,10309530000.0,10025974000.0,10091246000.0,10304634000.0,8693949000.0,10920701000.0,10429965000.0,8833840000.0,10351710000.0,10434824000.0,10446579000.0,9664830000.0,9939869000.0,9735056000.0,9384251000.0,9456132000.0,9111470000.0,9099711000.0,10788485000.0
2044.0,10114015000.0,9787847000.0,9906863000.0,10118678000.0,8382851000.0,10748246000.0,10254262000.0,8507617000.0,10214187000.0,10351695000.0,10249136000.0,9450376000.0,9726752000.0,9434589000.0,9115228000.0,9199535000.0,8880215000.0,8855694000.0,10636591000.0
2045.0,9904614000.0,9606437000.0,9682865000.0,9969555000.0,8140253000.0,10573168000.0,10093137000.0,8187754000.0,10009462000.0,10006565000.0,10090070000.0,9234193000.0,9609908000.0,9162633000.0,8882501000.0,8896880000.0,8645845000.0,8609116000.0,10499426000.0
2046.0,9774713000.0,9435247000.0,9484967000.0,9825521000.0,7887354400.0,10396315000.0,9901312000.0,8013578000.0,9810468000.0,9813599000.0,9896865000.0,9052276000.0,9374865000.0,8907803000.0,8692170000.0,8665732000.0,8422492000.0,8398242000.0,10330570000.0
2047.0,9538998000.0,9256201000.0,9259656000.0,9699244000.0,7609900000.0,10234807000.0,9691732000.0,7671697000.0,9591456000.0,9632314000.0,9707086000.0,8787011000.0,9175750000.0,8534187000.0,8435833300.0,8446062600.0,8227315000.0,8035511000.0,10162878000.0
2048.0,9328029000.0,9043421000.0,9039931000.0,9529788000.0,7306640400.0,10080886000.0,9532140000.0,7398203400.0,9408308000.0,9416195000.0,9533269000.0,8582367700.0,8932057000.0,8198651000.0,8229066000.0,8195523000.0,7955699000.0,7721387000.0,9994476000.0
2049.0,9102503000.0,8842216000.0,8807251000.0,9537379000.0,7053969400.0,9954291000.0,9383853000.0,7081593300.0,9203652000.0,9192727000.0,9387323000.0,8405256000.0,8696488000.0,7886544400.0,7974534700.0,7968245000.0,7710513000.0,7380832000.0,9851830000.0
2050.0,8923634000.0,8653414000.0,8567209000.0,9350910000.0,6854542300.0,10124216000.0,9228306000.0,6874174000.0,8975303000.0,8980580000.0,9197159000.0,8235609600.0,8469160000.0,7553279000.0,7748487000.0,7737732000.0,7511643600.0,7088667600.0,9675889000.0
2051.0,8655010000.0,8417566700.0,8327308300.0,9135933000.0,6656979500.0,9706585000.0,8980184000.0,6523265000.0,8735045000.0,8872040000.0,8975760000.0,8027725000.0,8250194000.0,7212539000.0,7556520400.0,7536238000.0,7266075600.0,6756177000.0,9545198000.0
2052.0,8442492000.0,8605365000.0,8105149400.0,8954457000.0,6411967500.0,9509482000.0,8848438000.0,6355206700.0,8459712000.0,8588786000.0,8807913000.0,7797849600.0,8008732000.0,6961277400.0,7293112300.0,7288077300.0,7065728500.0,6445991400.0,9388548000.0
2053.0,8239285000.0,8224070000.0,7836047400.0,8785766000.0,6162295000.0,9337413000.0,8604364000.0,6080149500.0,8201488400.0,8350370000.0,8631254000.0,7561995300.0,7841180000.0,6750165500.0,7109732400.0,7080237000.0,6851332600.0,6109801500.0,9236149000.0
2054.0,8014168000.0,7970466000.0,7591244000.0,8617142000.0,5966462500.0,9195056000.0,8394983000.0,5835493400.0,7955007500.0,8415671000.0,8441333000.0,7395727400.0,7640974300.0,6520602600.0,6912194600.0,6856471000.0,6636627500.0,5790139000.0,9090320000.0
