time,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2076.0,5278314000000.0,5792615400000.0,4233173000000.0,5282244600000.0,4820874300000.0,4930768000000.0
2077.0,5225566400000.0,5742596700000.0,4163302600000.0,5224600700000.0,4761790000000.0,4845534000000.0
2078.0,5182430600000.0,5713142000000.0,4106187700000.0,5178348000000.0,4718638700000.0,4764048300000.0
2079.0,5127154000000.0,5673764500000.0,4034862800000.0,5112787400000.0,4655099700000.0,4683159600000.0
2080.0,5100298300000.0,5636176000000.0,3988182500000.0,5063963000000.0,4593168700000.0,4600314700000.0
2081.0,5065071400000.0,5591164500000.0,3924106100000.0,4994859000000.0,4550282400000.0,4524187600000.0
2082.0,5017612000000.0,5545941500000.0,3866105000000.0,4939827400000.0,4508618300000.0,4441025500000.0
2083.0,4975841000000.0,5508060700000.0,3800263800000.0,4894867000000.0,4459728500000.0,4384253800000.0
2084.0,4930702700000.0,5462008300000.0,3737144000000.0,4837237000000.0,4405988400000.0,4307690200000.0
2085.0,4895685000000.0,5429296400000.0,3671671000000.0,4793360000000.0,4352108000000.0,4243295000000.0
2086.0,4864381300000.0,5388855400000.0,3611748000000.0,4747780700000.0,4301870600000.0,4165157300000.0
2087.0,4820846000000.0,5364166700000.0,3548071600000.0,4704367500000.0,4230057300000.0,4077943300000.0
2088.0,4783701000000.0,5325770000000.0,3493352400000.0,4647165000000.0,4179224000000.0,4015065000000.0
2089.0,4743840000000.0,5282749000000.0,3438549100000.0,4598196000000.0,4117700300000.0,3946142200000.0
2090.0,4714583300000.0,5262833400000.0,3395457400000.0,4540777000000.0,4066343000000.0,3856155000000.0
2091.0,4686452000000.0,5222196000000.0,3329863500000.0,4483259000000.0,4018418000000.0,3776187700000.0
2092.0,4663025300000.0,5189661600000.0,3261085000000.0,4437156000000.0,3963864000000.0,3711594400000.0
2093.0,4618367000000.0,5145874700000.0,3196053400000.0,4384228600000.0,3924334200000.0,3636687000000.0
