time,NORESM1-M,GFDL-ESM2G,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2048.0,32871043000.0,33036510000.0,32801413000.0,32665660000.0,33200710000.0,33098756000.0,32508514000.0
2049.0,32771576000.0,32996819000.0,32754810000.0,32603023000.0,33171007000.0,33047996000.0,32387793000.0
2050.0,32681392000.0,32921065000.0,32688430000.0,32546783000.0,33090753000.0,33007907000.0,32233048000.0
2051.0,32625949000.0,32904055000.0,32635445000.0,32443425000.0,33071590000.0,32938174000.0,32087288000.0
2052.0,32538372000.0,32821584000.0,32577538000.0,32362870000.0,33043096000.0,32867530000.0,31902228000.0
2053.0,32422242000.0,32769139000.0,32470274000.0,32276908000.0,32976495000.0,32816850000.0,31704852000.0
2054.0,32319746000.0,32681423000.0,32371735000.0,32218477000.0,32939475000.0,32753885000.0,31542858000.0
2055.0,32226918000.0,32643443000.0,32275489000.0,32151775000.0,32881623000.0,32679277000.0,31259400000.0
2056.0,32103006000.0,32568373000.0,32208708000.0,32060264000.0,32855540000.0,32616907000.0,31005670000.0
2057.0,32015337000.0,32484768000.0,32096401000.0,31979354000.0,32782453000.0,32559010000.0,30762031000.0
2058.0,31963542000.0,32413063000.0,32037212000.0,31861530000.0,32730698000.0,32489562000.0,30503338000.0
2059.0,31894833000.0,32313827000.0,31948320000.0,31744776000.0,32694473000.0,32446644000.0,30073866000.0
2060.0,31810804000.0,32235297000.0,31872164000.0,31655225000.0,32662161000.0,32361708000.0,29763903000.0
2061.0,31690330000.0,32143150000.0,31760617000.0,31517383000.0,32643844000.0,32283259000.0,29540243000.0
2062.0,31596347000.0,32094510000.0,31620243000.0,31374910000.0,32549499000.0,32183499000.0,29195092000.0
2063.0,31485104000.0,31964957000.0,31520840000.0,31188144000.0,32473901000.0,32141046000.0,28812812000.0
2064.0,31401433000.0,31883616000.0,31431692000.0,31063038000.0,32427063000.0,32092344000.0,28414517000.0
2065.0,31303990000.0,31786789000.0,31333120000.0,30956673000.0,32351605000.0,32023103000.0,27924517000.0
2066.0,31248601000.0,31710454000.0,31291527000.0,30798924000.0,32297163000.0,31966503000.0,27438010000.0
2067.0,31129776000.0,31673168000.0,31182025000.0,30672495000.0,32191158000.0,31869667000.0,26937072000.0
2068.0,30957754000.0,31569600000.0,30967601000.0,30584818000.0,32114070000.0,31773649000.0,26415233000.0
2069.0,30792626000.0,31476240000.0,30834694000.0,30402790000.0,32055828000.0,31709618000.0,25966985000.0
2070.0,30622167000.0,31340952000.0,30646610000.0,30256787000.0,31957334000.0,31627614000.0,25425244000.0
2071.0,30497628000.0,31249394000.0,30467408000.0,30056819000.0,31913791000.0,31514268000.0,24695630000.0
2072.0,30315741000.0,31145445000.0,30308246000.0,29843962000.0,31839953000.0,31468212000.0,24122511000.0
2073.0,30158125000.0,31038104000.0,30181233000.0,29718512000.0,31785435000.0,31392426000.0,23607640000.0
2074.0,29983443000.0,30868793000.0,30009813000.0,29505565000.0,31680866000.0,31247563000.0,22863520000.0
2075.0,29740173000.0,30740783000.0,29862480000.0,29268259000.0,31609367000.0,31155857000.0,22295407000.0
2076.0,29556680000.0,30636562000.0,29702806000.0,29048041000.0,31536568000.0,31048485000.0,21844484000.0
2077.0,29324460000.0,30526660000.0,29502034000.0,28808516000.0,31453930000.0,30925816000.0,21333643000.0
2078.0,29175646000.0,30414127000.0,29363022000.0,28575291000.0,31363980000.0,30861510000.0,20888775000.0
2079.0,29014716000.0,30342138000.0,29180365000.0,28376623000.0,31288830000.0,30771513000.0,20582291000.0
2080.0,28817564000.0,30206718000.0,28878991000.0,28077290000.0,31198657000.0,30646581000.0,20159597000.0
2081.0,28600760000.0,30030793000.0,28720134000.0,27884177000.0,31110748000.0,30500774000.0,19693130000.0
2082.0,28369138000.0,29905269000.0,28436470000.0,27610610000.0,31011138000.0,30401477000.0,19267078000.0
2083.0,28135676000.0,29773646000.0,28148790000.0,27301896000.0,30932015000.0,30246265000.0,18811670000.0
2084.0,27921994000.0,29642801000.0,27982600000.0,27027315000.0,30831352000.0,30143013000.0,18368193000.0
2085.0,27598926000.0,29486440000.0,27859542000.0,26618522000.0,30677043000.0,30001537000.0,17974740000.0
2086.0,27340830000.0,29317593000.0,27642920000.0,26336238000.0,30577380000.0,29834815000.0,17667557000.0
2087.0,27137600000.0,29157000000.0,27409902000.0,26051856000.0,30467574000.0,29681072000.0,17293947000.0
2088.0,26785772000.0,28932061000.0,27116640000.0,25729770000.0,30329061000.0,29595318000.0,16989311000.0
2089.0,26418151000.0,28784572000.0,26870194000.0,25449748000.0,30241343000.0,29368674000.0,16715241000.0
2090.0,26006830000.0,28598532000.0,26658712000.0,25210829000.0,30152395000.0,29225947000.0,16433897000.0
2091.0,25694587000.0,28397974000.0,26385115000.0,24924578000.0,29992000000.0,29110184000.0,16110055000.0
2092.0,25430331000.0,28202291000.0,26115369000.0,24671134000.0,29939726000.0,29124418000.0,15821531000.0
2093.0,25123540000.0,28025027000.0,25928160000.0,24405650000.0,29800262000.0,28882833000.0,15481181000.0
2094.0,24769985000.0,27775550000.0,25692387000.0,24142588000.0,29723791000.0,28743942000.0,15111409000.0
2095.0,24493984000.0,27576736000.0,25451657000.0,23907617000.0,29625227000.0,28517317000.0,14794496000.0
2096.0,24141769000.0,27402912000.0,25105695000.0,23621930000.0,29512182000.0,28318355000.0,14395416000.0
2097.0,23880706000.0,27112145000.0,24814324000.0,23354712000.0,29343801000.0,28101335000.0,14036852000.0
2098.0,23548594000.0,26905770000.0,24481032000.0,23127073000.0,29250939000.0,27896324000.0,13705744000.0
2099.0,23174310000.0,26654521000.0,24186257000.0,22808287000.0,29081340000.0,27661974000.0,13335072000.0
2100.0,22828341000.0,26472223000.0,23878593000.0,22577426000.0,28988373000.0,27492712000.0,13010199000.0
