time,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5,GISS-E2-R,CCSM4,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0
2075.0,273377150000.0,199598720000.0,125247400000.0,330860170000.0,236047100000.0,229946750000.0,114347570000.0,262290330000.0
2076.0,267894770000.0,192936770000.0,116691485000.0,326752470000.0,230461000000.0,215811240000.0,111564760000.0,253237440000.0
2077.0,262337100000.0,187713770000.0,108656525000.0,317899100000.0,222078040000.0,205397880000.0,104477565000.0,238981610000.0
2078.0,256837600000.0,178875250000.0,99544850000.0,310833280000.0,217868800000.0,196370150000.0,98169496000.0,227987420000.0
2079.0,250479950000.0,170511650000.0,92227570000.0,300742600000.0,211269960000.0,191885210000.0,92197855000.0,216006150000.0
2080.0,244848020000.0,163769170000.0,85692620000.0,300751880000.0,208141350000.0,184706120000.0,85201330000.0,206110870000.0
2081.0,237232520000.0,154861270000.0,78312006000.0,298139700000.0,204801460000.0,179822220000.0,81269390000.0,197362450000.0
2082.0,230357750000.0,148035850000.0,69951330000.0,294106660000.0,196386470000.0,171823370000.0,77113230000.0,191978100000.0
2083.0,224536790000.0,140287600000.0,63585616000.0,290125480000.0,190032670000.0,164715860000.0,71459790000.0,183882320000.0
2084.0,220928950000.0,137657120000.0,59518562000.0,282953350000.0,181091170000.0,158577770000.0,66309760000.0,174812040000.0
2085.0,215950690000.0,132397244000.0,55395013000.0,277096300000.0,173673300000.0,147303970000.0,61674760000.0,166553750000.0
2086.0,209984290000.0,125695330000.0,50767397000.0,272185150000.0,165364100000.0,140538180000.0,56773790000.0,157021390000.0
2087.0,201107140000.0,117547680000.0,45872210000.0,267309060000.0,156385820000.0,133492670000.0,53597475000.0,146377720000.0
2088.0,193667090000.0,109718620000.0,41227350000.0,263516300000.0,150004940000.0,125998470000.0,50103157000.0,142368620000.0
2089.0,187528220000.0,103189540000.0,38054154000.0,260612160000.0,141234440000.0,119775420000.0,46744390000.0,135475060000.0
2090.0,177001870000.0,95798485000.0,34372403000.0,257656720000.0,132416210000.0,109721120000.0,43079516000.0,128945010000.0
2091.0,173771540000.0,88661390000.0,30862744000.0,253262890000.0,127565200000.0,103127510000.0,40316334000.0,119575994000.0
2092.0,166303190000.0,81671550000.0,28209064000.0,246074670000.0,123380050000.0,95794810000.0,36623766000.0,113480980000.0
2093.0,158088820000.0,75997420000.0,25659060000.0,244360460000.0,117983810000.0,88984265000.0,33941416000.0,108453860000.0
2094.0,154487490000.0,72065900000.0,22766514000.0,238999390000.0,113669505000.0,84165320000.0,32034378000.0,99787730000.0
2095.0,146425920000.0,67413287000.0,20734345000.0,238745680000.0,108759340000.0,79046640000.0,30240457000.0,94762300000.0
2096.0,137783400000.0,63288623000.0,19309758000.0,236526000000.0,103266790000.0,75270680000.0,28199598000.0,90167930000.0
2097.0,127189020000.0,59156533000.0,17806873000.0,232294060000.0,98618070000.0,71162620000.0,26551192000.0,86049600000.0
2098.0,124667650000.0,56462300000.0,16269473000.0,230186190000.0,97280260000.0,67701973000.0,24835385000.0,79543520000.0
2099.0,120910630000.0,51713114000.0,15031753000.0,226420080000.0,94831985000.0,63594460000.0,23053586000.0,75686870000.0
2100.0,114341400000.0,49017250000.0,14145555000.0,226639020000.0,93550910000.0,58730828000.0,21754743000.0,71730070000.0
