time,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL
2079.0,131001020000.0,104384990000.0,100654370000.0,140690740000.0,26224198000.0
2080.0,130160710000.0,104350770000.0,100409230000.0,137476600000.0,24176114000.0
2081.0,131006740000.0,104187370000.0,98882314000.0,135655770000.0,22540351000.0
2082.0,127398630000.0,101104206000.0,97832250000.0,136480540000.0,20383416000.0
2083.0,124531470000.0,99703830000.0,96946990000.0,134725665000.0,19289276000.0
2084.0,122410470000.0,97993654000.0,98842280000.0,132892560000.0,17996483000.0
2085.0,121525540000.0,97139310000.0,98990375000.0,131088210000.0,17257818000.0
2086.0,120568630000.0,94878600000.0,98003180000.0,129266520000.0,16056827000.0
2087.0,118359230000.0,92503010000.0,97871320000.0,127556450000.0,14911162000.0
2088.0,117979630000.0,90814880000.0,95906250000.0,125224034000.0,14071929000.0
2089.0,119502550000.0,89186664000.0,94737090000.0,126142860000.0,13138142000.0
2090.0,117852330000.0,87499230000.0,92608510000.0,124306055000.0,12050673000.0
2091.0,115149770000.0,85103440000.0,91970970000.0,124369180000.0,11466785000.0
2092.0,114166320000.0,82721640000.0,91833210000.0,122463110000.0,10583151000.0
2093.0,114460560000.0,80996380000.0,91162950000.0,120229814000.0,9810478000.0
2094.0,114167420000.0,78662370000.0,89143200000.0,120146620000.0,9146832000.0
2095.0,111405080000.0,78068710000.0,87444440000.0,118744244000.0,8545095000.0
2096.0,110626200000.0,76591830000.0,87046980000.0,116292810000.0,7986111500.0
2097.0,110113645000.0,76446650000.0,88295880000.0,114273020000.0,7108390400.0
2098.0,108866355000.0,75578294000.0,87741190000.0,113099330000.0,6490032000.0
2099.0,109656920000.0,74234765000.0,87791165000.0,111886836000.0,5945834000.0
2100.0,107608380000.0,72409760000.0,87202630000.0,109865260000.0,5548705000.0
