time,CSIRO-MK3-6-0,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2047.0,36840804000.0,58187145000.0,43574616000.0,24337099000.0,44722110000.0,44268080000.0,52549284000.0,47481370000.0
2048.0,33215076000.0,56329585000.0,41601640000.0,23144737000.0,42432110000.0,43779590000.0,50854867000.0,46626830000.0
2049.0,32348969000.0,54365913000.0,38708370000.0,21898002000.0,39987930000.0,43600730000.0,49847927000.0,45680873000.0
2050.0,30060067000.0,52807950000.0,38608940000.0,21496334000.0,37277810000.0,42697056000.0,49235472000.0,45734830000.0
2051.0,29156178000.0,52842377000.0,39430468000.0,21062263000.0,36281557000.0,41956100000.0,48052294000.0,44758720000.0
2052.0,27459910000.0,50691985000.0,37848023000.0,20291887000.0,34975433000.0,42109510000.0,47107994000.0,42002764000.0
2053.0,26095491000.0,49203114000.0,35410190000.0,20400067000.0,35259870000.0,42121445000.0,45503885000.0,42693210000.0
2054.0,23898810000.0,47842710000.0,34085550000.0,18557385000.0,35681812000.0,39989404000.0,43857560000.0,43067113000.0
2055.0,23335221000.0,46193080000.0,33885190000.0,17728670000.0,34021745000.0,39182720000.0,44426580000.0,41210470000.0
2056.0,22004330000.0,45428500000.0,32432923000.0,17228202000.0,32360900000.0,37523018000.0,42782843000.0,39304598000.0
2057.0,20804480000.0,44723565000.0,31053212000.0,16907508000.0,31196279000.0,35275360000.0,41253650000.0,38907130000.0
2058.0,20337347000.0,43435060000.0,29188200000.0,16109367000.0,29976228000.0,35035140000.0,40794010000.0,36618945000.0
2059.0,19217610000.0,41500058000.0,29122824000.0,15766278000.0,29114495000.0,34371650000.0,40764674000.0,38213255000.0
2060.0,18769416000.0,38362243000.0,28666470000.0,15325221000.0,28243094000.0,33924002000.0,39260920000.0,35491490000.0
2061.0,18462826000.0,36470850000.0,27852114000.0,14260022000.0,26535320000.0,33482224000.0,39993630000.0,33807127000.0
2062.0,18452107000.0,36328595000.0,26795837000.0,14426025000.0,26258897000.0,32940878000.0,39161692000.0,32986505000.0
2063.0,17727902000.0,35149017000.0,25663902000.0,13431336000.0,25675717000.0,32152152000.0,38865540000.0,33262254000.0
2064.0,17404367000.0,34641330000.0,25167290000.0,12660906000.0,26188747000.0,29158986000.0,39540830000.0,33292993000.0
2065.0,16660384000.0,34185020000.0,23229417000.0,12071400000.0,25550412000.0,28992893000.0,39407354000.0,32855292000.0
2066.0,16210640000.0,34782840000.0,22727283000.0,12266875000.0,24163166000.0,29597882000.0,37719280000.0,31043713000.0
2067.0,16048624000.0,33899702000.0,21582135000.0,11269154000.0,23353246000.0,29519493000.0,37308860000.0,29329211000.0
2068.0,15798426000.0,32032266000.0,20960125000.0,10361367000.0,23482685000.0,29934981000.0,36925387000.0,29501164000.0
2069.0,15394109000.0,30807798000.0,19401680000.0,9864038000.0,22780135000.0,29287944000.0,36440715000.0,28386955000.0
2070.0,14592150000.0,28962021000.0,18195642000.0,8851112000.0,22013508000.0,28213002000.0,36029650000.0,25984014000.0
2071.0,14013011000.0,26074750000.0,18140650000.0,7965869600.0,21796825000.0,28501880000.0,35135066000.0,26823948000.0
2072.0,13362939000.0,25303112000.0,16758437000.0,7715357700.0,21429830000.0,28871033000.0,34916606000.0,25041236000.0
2073.0,13181218000.0,24675500000.0,16790591000.0,6965598000.0,21097200000.0,28777940000.0,34047160000.0,23229118000.0
2074.0,12217868000.0,24593324000.0,16599675000.0,6524256000.0,20623364000.0,27926188000.0,33420726000.0,21700649000.0
2075.0,11176620000.0,23958413000.0,17314980000.0,5690517000.0,20392989000.0,27376552000.0,32796666000.0,20991746000.0
2076.0,10722026000.0,23845505000.0,16181416000.0,5407826400.0,19234834000.0,26795258000.0,30844920000.0,20395930000.0
2077.0,10421211000.0,22749778000.0,16469619000.0,5127061500.0,17717650000.0,27001420000.0,30004429000.0,21003729000.0
2078.0,10311292000.0,21819247000.0,15883659000.0,4943342000.0,17154053000.0,26053800000.0,29560460000.0,20041935000.0
2079.0,9798685000.0,20869087000.0,15844084000.0,4737782000.0,16176665000.0,25293300000.0,27716910000.0,18123997000.0
2080.0,9302905000.0,18928587000.0,15290100000.0,4493959700.0,15497639000.0,24798087000.0,25327020000.0,17388716000.0
2081.0,8182704000.0,18152284000.0,15337267000.0,3961150500.0,14578977000.0,22943380000.0,24163785000.0,16305132000.0
2082.0,7552742400.0,16749745000.0,15020640000.0,3612899000.0,14462566000.0,23128280000.0,22097721000.0,15849551000.0
2083.0,6866912000.0,15786431000.0,14862088000.0,3639122000.0,14278427000.0,23244680000.0,20628392000.0,15373887000.0
2084.0,6358996000.0,15073196000.0,14524583000.0,3099757800.0,13994003000.0,23048950000.0,20809175000.0,15621622000.0
2085.0,5791151600.0,13259045000.0,13541375000.0,2826719000.0,14374234000.0,23058221000.0,20123703000.0,14781924000.0
2086.0,4994287000.0,12570114000.0,13436929000.0,2758062600.0,13843896000.0,22993394000.0,18456682000.0,14558182000.0
2087.0,4587704300.0,12118505000.0,13471445000.0,2588079400.0,14078862000.0,21450004000.0,18204592000.0,13399950000.0
2088.0,4510390000.0,10865678000.0,13288382000.0,2434751500.0,13633646000.0,19815547000.0,16132374000.0,13133409000.0
2089.0,4377924600.0,10254056000.0,13733710000.0,2413300000.0,12421248000.0,19253619000.0,15821960000.0,12213135000.0
2090.0,4062769000.0,9976795000.0,12051924000.0,2419178200.0,11637688000.0,18577832000.0,14999442000.0,11598687000.0
2091.0,3669987300.0,8971825000.0,11324194000.0,2304500700.0,10768773000.0,18160970000.0,14656733000.0,10752525000.0
2092.0,3531145000.0,8157093000.0,10220166000.0,2130607200.0,10344764000.0,17871520000.0,14360642000.0,10292892000.0
2093.0,3469407500.0,7551035400.0,9777614000.0,2137962800.0,10313206000.0,16700440000.0,14419037000.0,9892206000.0
2094.0,3288488000.0,7318167000.0,9544889000.0,2085313000.0,10512185000.0,15997976000.0,14502808000.0,9002312000.0
2095.0,3008795000.0,7016787500.0,9517953000.0,1843151900.0,9980510000.0,15507991000.0,14429409000.0,8940725000.0
2096.0,2646944800.0,6449432600.0,9209250000.0,1622377900.0,9895329000.0,15373132000.0,14296510000.0,8779681000.0
2097.0,2442475800.0,6557989400.0,8437387000.0,1616795300.0,9516684000.0,15465154000.0,14589054000.0,8462163000.0
2098.0,2274461200.0,6345229300.0,8041969700.0,1659417900.0,9213896000.0,14672303000.0,15007064000.0,7610727000.0
2099.0,2120879400.0,6018834000.0,7522041300.0,1517916200.0,9172788000.0,14698817000.0,13703412000.0,7130981000.0
2100.0,1841197000.0,6311410700.0,7347337700.0,1459999400.0,8768065000.0,14722182000.0,13099800000.0,6615015000.0
