time,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,GISS-E2-R,CCSM4,CNRM-CM5,CANESM2,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G
2072.0,6445814300.0,1673272700.0,1370930300.0,13543211000.0,9250856000.0,13230687000.0,2906169000.0,8450550000.0,7815693000.0,14707098000.0
2073.0,5816642600.0,1557095800.0,1175511400.0,13160596000.0,8699472000.0,12391443000.0,2565758700.0,7536932400.0,7685239000.0,14718250000.0
2074.0,5371704300.0,1367995100.0,1013054000.0,12919109000.0,8384897500.0,12355951000.0,2394893000.0,7148973000.0,7095403500.0,13625811000.0
2075.0,4795533000.0,1261540700.0,954329900.0,12663621000.0,7489660400.0,11964092000.0,2194125000.0,7481563000.0,6720251400.0,13848452000.0
2076.0,4500328400.0,1095316400.0,890556600.0,11923492000.0,7022140000.0,10570468000.0,2053049200.0,7079362000.0,6210274000.0,13572135000.0
2077.0,4298247000.0,1043508030.0,813681200.0,11983754000.0,6579529000.0,9854798000.0,1889498600.0,6600752000.0,5943565000.0,13749746000.0
2078.0,3876757500.0,919830200.0,823441500.0,11552240000.0,6382901000.0,9595076000.0,1860919400.0,6574143000.0,5653392000.0,13062963000.0
2079.0,3060854300.0,910651970.0,717454340.0,11453639000.0,6302058000.0,8894026000.0,1710530800.0,6453759500.0,5422455000.0,11902583000.0
2080.0,2685185800.0,909145540.0,683863400.0,10816645000.0,6130569000.0,8351033300.0,1665770400.0,6243009500.0,5356202500.0,11197718000.0
2081.0,2284471600.0,794331260.0,599352000.0,10833162000.0,5723480600.0,7598175000.0,1513661000.0,6091584500.0,4970305500.0,11224509000.0
2082.0,2068236300.0,787740200.0,541408960.0,10382454000.0,5482824000.0,7151942000.0,1316242000.0,5849146000.0,4642902500.0,10668823000.0
2083.0,1739752800.0,763555600.0,489761340.0,10229335000.0,5353968000.0,6928871400.0,1197056500.0,5270144000.0,4464705500.0,10065833000.0
2084.0,1486490900.0,777241200.0,440897000.0,9748842000.0,5195304400.0,6130886000.0,1151542000.0,4947536400.0,4173477000.0,9564282000.0
2085.0,1342839700.0,714382460.0,401781060.0,9471103000.0,4503188500.0,5934787600.0,1029815300.0,4680767000.0,3794426400.0,8640421000.0
2086.0,1363532900.0,652058000.0,374483740.0,9590094000.0,4109126000.0,5616823300.0,1001192300.0,4076629800.0,3432149500.0,8521234400.0
2087.0,1302261100.0,613860740.0,366498270.0,9356294000.0,4013862000.0,5468459000.0,871701100.0,3424334300.0,3340818400.0,8100705300.0
2088.0,1289474000.0,557681200.0,324734400.0,8353452500.0,3778184200.0,5347807700.0,754716160.0,3043024000.0,3039166700.0,7211451000.0
2089.0,1242432300.0,521678900.0,304228300.0,7837417500.0,3435491300.0,4897089500.0,706014660.0,2607993000.0,2893220000.0,6451911000.0
