time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,CANESM5
2065.0,16758194000.0,9889467000.0,8105854000.0,2117122200.0,7333070300.0
2066.0,15504834000.0,9875625000.0,7593758000.0,2064464800.0,6670150000.0
2067.0,15497460000.0,10166539000.0,7001878000.0,1979599400.0,6439830500.0
2068.0,14720788000.0,9804667000.0,6962548700.0,1946230000.0,6467391500.0
2069.0,13736812000.0,9246578000.0,6482946000.0,1878523000.0,6132484600.0
2070.0,13694164000.0,9467781000.0,6454198300.0,1842618900.0,6106561500.0
2071.0,13925268000.0,9140370000.0,6384904700.0,1780930700.0,5727773000.0
2072.0,13262391000.0,9516093000.0,6470873000.0,1763774800.0,5601555500.0
2073.0,12854585000.0,9390517000.0,6493652000.0,1733126100.0,5739021300.0
2074.0,12520121000.0,9689514000.0,6325159400.0,1708522200.0,5633183000.0
2075.0,12663793000.0,9554555000.0,6246387000.0,1662334200.0,5663168000.0
2076.0,12889262000.0,9563699000.0,5969690000.0,1567513300.0,5618235000.0
2077.0,13168577000.0,9583638000.0,5890433000.0,1547639400.0,5706868700.0
2078.0,12879896000.0,9355823000.0,5820362000.0,1513072300.0,5692626400.0
2079.0,12761040000.0,9545700000.0,5539269600.0,1457308500.0,5460102700.0
2080.0,12983495000.0,9658592000.0,5340676600.0,1405511400.0,5212201500.0
2081.0,12837647000.0,9833765000.0,5168631300.0,1426272900.0,5355511300.0
2082.0,12636541000.0,9908391000.0,5552791000.0,1413014000.0,5131978000.0
2083.0,12238015000.0,10246370000.0,5747397000.0,1379823500.0,5018432000.0
2084.0,12280601000.0,10429822000.0,5732434400.0,1377843100.0,5070875600.0
2085.0,12281736000.0,10456185000.0,5779212000.0,1399808000.0,5484867600.0
2086.0,12195867000.0,10436841000.0,5691124700.0,1417418500.0,5155494000.0
2087.0,11872598000.0,10694633000.0,5785211000.0,1419577000.0,5239592000.0
2088.0,12095878000.0,10645538000.0,5612616700.0,1421190900.0,5262588000.0
2089.0,11798042000.0,10780501000.0,5664537600.0,1448548900.0,5871509000.0
2090.0,12016538000.0,11110812000.0,5613399600.0,1506530800.0,5999653000.0
2091.0,11844377000.0,11580839000.0,5710939600.0,1467735800.0,6017394700.0
2092.0,11812988000.0,11679405000.0,5436011000.0,1436142700.0,6012787700.0
2093.0,11491077000.0,11445169000.0,5427244500.0,1468808800.0,5792622600.0
2094.0,11861529000.0,11256372000.0,5483981300.0,1517827300.0,6059863600.0
2095.0,11900735000.0,11857609000.0,5570779000.0,1528930000.0,6306614000.0
2096.0,11962673000.0,11869726000.0,5808396000.0,1559182700.0,6852712400.0
2097.0,11981195000.0,11795458000.0,5888806000.0,1601420200.0,6636020700.0
2098.0,11684645000.0,12213382000.0,5972912000.0,1649630800.0,6846517000.0
2099.0,12195998000.0,12826387000.0,6122100000.0,1661757800.0,6832781300.0
2100.0,12180828000.0,13248127000.0,6258776600.0,1768730100.0,6650615300.0
