time,CCSM4,GFDL-CM3,GISS-E2-R,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2024.0,51477160000.0,51491373000.0,51547730000.0,51502764000.0,51642190000.0,51543876000.0,51485737000.0
2025.0,51450090000.0,51475700000.0,51514098000.0,51483353000.0,51604130000.0,51509797000.0,51463344000.0
2026.0,51424117000.0,51444896000.0,51465466000.0,51460612000.0,51547623000.0,51490510000.0,51529716000.0
2027.0,51412280000.0,51417043000.0,51456850000.0,51453150000.0,51495432000.0,51473890000.0,51529680000.0
2028.0,51394933000.0,51394515000.0,51443016000.0,51482580000.0,51488276000.0,51433296000.0,51515900000.0
2029.0,51402207000.0,51373818000.0,51501090000.0,51437167000.0,51493870000.0,51425825000.0,51438334000.0
2030.0,51378442000.0,51343528000.0,51426198000.0,51417297000.0,51448860000.0,51417633000.0,51822620000.0
2031.0,51345568000.0,51328475000.0,51447714000.0,51415515000.0,51440644000.0,51451670000.0,51481305000.0
2032.0,51315122000.0,51289530000.0,51413100000.0,51397950000.0,51429580000.0,51406710000.0,51515790000.0
2033.0,51252466000.0,51261040000.0,51395460000.0,51389546000.0,51430506000.0,51395047000.0,51423547000.0
2034.0,51227288000.0,51210810000.0,51379708000.0,51377470000.0,51452183000.0,51374436000.0,51372425000.0
2035.0,51181490000.0,51164176000.0,51364800000.0,51363350000.0,51394458000.0,51355693000.0,51383378000.0
2036.0,51145503000.0,51127312000.0,51353370000.0,51331300000.0,51371217000.0,51341530000.0,51379260000.0
2037.0,51083250000.0,51088650000.0,51335350000.0,51314192000.0,51354223000.0,51305095000.0,51335426000.0
2038.0,51052630000.0,51039228000.0,51338430000.0,51279376000.0,51357327000.0,51268116000.0,51299050000.0
2039.0,51013960000.0,50972670000.0,51406504000.0,51255394000.0,51346190000.0,51246817000.0,51281318000.0
2040.0,50975550000.0,50903175000.0,51412150000.0,51226130000.0,51334730000.0,51233350000.0,51278537000.0
2041.0,50932036000.0,50869340000.0,51276270000.0,51190907000.0,51279830000.0,51238330000.0,51250590000.0
2042.0,50901803000.0,50824675000.0,51264885000.0,51177402000.0,51245170000.0,51178496000.0,51220330000.0
2043.0,50879193000.0,50769940000.0,51229176000.0,51159300000.0,51226750000.0,51157580000.0,51188310000.0
2044.0,50831245000.0,50695356000.0,51212423000.0,51121807000.0,51210380000.0,51129397000.0,51169698000.0
2045.0,50779200000.0,50643440000.0,51215315000.0,51081273000.0,51182723000.0,51103666000.0,51150463000.0
2046.0,50736810000.0,50561774000.0,51177705000.0,51033903000.0,51159190000.0,51081580000.0,51087446000.0
2047.0,50670160000.0,50499030000.0,51166257000.0,51010548000.0,51135013000.0,51063976000.0,51040334000.0
2048.0,50638004000.0,50386248000.0,51134034000.0,50965467000.0,51101397000.0,51002434000.0,51014100000.0
2049.0,50574220000.0,50269490000.0,51081167000.0,50921160000.0,51068520000.0,50967466000.0,50978017000.0
2050.0,50508450000.0,50174230000.0,51055050000.0,50869690000.0,51016282000.0,50893853000.0,50954740000.0
2051.0,50422820000.0,50068640000.0,51055330000.0,50817163000.0,50990977000.0,50867843000.0,50927930000.0
2052.0,50370163000.0,49987015000.0,51020710000.0,50745470000.0,50952350000.0,50822468000.0,50886310000.0
2053.0,50306335000.0,49901724000.0,50980925000.0,50688730000.0,50930635000.0,50790687000.0,50829130000.0
2054.0,50231304000.0,49797673000.0,50952282000.0,50610024000.0,50889400000.0,50739190000.0,50806915000.0
2055.0,50171350000.0,49719402000.0,50912190000.0,50567016000.0,50858760000.0,50714202000.0,50724823000.0
2056.0,50082623000.0,49620500000.0,50922910000.0,50499543000.0,50804888000.0,50646660000.0,50666760000.0
2057.0,50007564000.0,49481350000.0,50850787000.0,50427100000.0,50769950000.0,50595450000.0,50616095000.0
2058.0,49982562000.0,49370202000.0,50900330000.0,50387767000.0,50811770000.0,50547503000.0,50570985000.0
2059.0,49872884000.0,49310188000.0,50809967000.0,50330410000.0,50736234000.0,50499445000.0,50505523000.0
2060.0,49813762000.0,49193750000.0,50763403000.0,50276290000.0,50686947000.0,50434380000.0,50406162000.0
2061.0,49736530000.0,49091506000.0,50735854000.0,50211037000.0,50673304000.0,50367107000.0,50323915000.0
2062.0,49645190000.0,48944894000.0,50683056000.0,50149230000.0,50627953000.0,50324570000.0,50251215000.0
2063.0,49577530000.0,48737380000.0,50655110000.0,50084340000.0,50571006000.0,50243396000.0,50112647000.0
2064.0,49500283000.0,48538590000.0,50643110000.0,50006810000.0,50534617000.0,50200460000.0,50023076000.0
2065.0,49460957000.0,48325070000.0,50570340000.0,49949975000.0,50476170000.0,50138560000.0,49927746000.0
2066.0,49382175000.0,48185725000.0,50542514000.0,49884710000.0,50454890000.0,50059547000.0,49820746000.0
2067.0,49353646000.0,48008240000.0,50482246000.0,49794960000.0,50385916000.0,50003067000.0,49637860000.0
2068.0,49266700000.0,47830110000.0,50429243000.0,49672730000.0,50340196000.0,49934037000.0,49514037000.0
2069.0,49134170000.0,47662436000.0,50381144000.0,49561457000.0,50307215000.0,49828024000.0,49402630000.0
2070.0,49001378000.0,47463096000.0,50333532000.0,49447432000.0,50245700000.0,49762234000.0,49293545000.0
2071.0,48933320000.0,47257735000.0,50292367000.0,49359233000.0,50186396000.0,49691050000.0,49009394000.0
2072.0,48867930000.0,47038680000.0,50223140000.0,49298180000.0,50157597000.0,49611560000.0,48854490000.0
2073.0,48740360000.0,46844297000.0,50179190000.0,49214853000.0,50104865000.0,49544983000.0,48698070000.0
2074.0,48655940000.0,46603340000.0,50165600000.0,49073775000.0,50068492000.0,49451000000.0,48350800000.0
2075.0,48551820000.0,46346846000.0,50102820000.0,48945455000.0,49997582000.0,49337213000.0,48089326000.0
2076.0,48415020000.0,46073455000.0,50055570000.0,48810906000.0,49942757000.0,49267933000.0,47856040000.0
2077.0,48302543000.0,45792895000.0,49976350000.0,48704406000.0,49893786000.0,49182340000.0,47616995000.0
2078.0,48141824000.0,45504150000.0,49936750000.0,48619970000.0,49859940000.0,49070590000.0,47453913000.0
2079.0,48017270000.0,45314520000.0,49895563000.0,48512680000.0,49788744000.0,49014940000.0,47319335000.0
2080.0,47809454000.0,45095440000.0,49823360000.0,48330125000.0,49761580000.0,48906710000.0,47184986000.0
2081.0,47687160000.0,44911880000.0,49738252000.0,48201433000.0,49713435000.0,48797147000.0,47051530000.0
2082.0,47492090000.0,44668973000.0,49677250000.0,48065960000.0,49646277000.0,48726350000.0,46904357000.0
2083.0,47334666000.0,44363790000.0,49658806000.0,47915870000.0,49574010000.0,48624840000.0,46791795000.0
2084.0,47221068000.0,44008473000.0,49595170000.0,47787840000.0,49552265000.0,48534630000.0,46636920000.0
2085.0,47175303000.0,43658180000.0,49525170000.0,47623336000.0,49563960000.0,48438470000.0,46497882000.0
2086.0,47062650000.0,43299990000.0,49457110000.0,47485256000.0,49396842000.0,48318290000.0,46342110000.0
2087.0,46945096000.0,42964955000.0,49301307000.0,47340237000.0,49312588000.0,48151500000.0,46089990000.0
2088.0,46780854000.0,42534048000.0,49252315000.0,47117270000.0,49224913000.0,47996620000.0,45909410000.0
2089.0,46507090000.0,42123276000.0,49187566000.0,46837770000.0,49132790000.0,47869223000.0,45791120000.0
2090.0,46323913000.0,41720455000.0,49148195000.0,46607040000.0,49049560000.0,47711515000.0,45591570000.0
2091.0,46153580000.0,41426990000.0,49049080000.0,46427595000.0,49009922000.0,47595127000.0,45426720000.0
2092.0,46000930000.0,41117045000.0,48987820000.0,46230880000.0,48960733000.0,47445110000.0,45286867000.0
2093.0,45872070000.0,40766628000.0,48928055000.0,46064787000.0,48891810000.0,47356965000.0,45069898000.0
2094.0,45706764000.0,40429335000.0,48835785000.0,45798980000.0,48798118000.0,47270060000.0,44918100000.0
2095.0,45574880000.0,40042488000.0,48733766000.0,45598937000.0,48738755000.0,47102743000.0,44727680000.0
2096.0,45385724000.0,39686943000.0,48663490000.0,45455600000.0,48652040000.0,46935190000.0,44544213000.0
2097.0,45222510000.0,39423870000.0,48577217000.0,45231317000.0,48593072000.0,46812200000.0,44395190000.0
2098.0,45041553000.0,39084618000.0,48527004000.0,45082026000.0,48515187000.0,46671794000.0,44189114000.0
2099.0,44866810000.0,38744658000.0,48376580000.0,44911423000.0,48400480000.0,46532490000.0,43946746000.0
2100.0,44655935000.0,38458340000.0,48388657000.0,44670670000.0,48296104000.0,46478885000.0,43754525000.0
