time,CCSM4,CESM1-CAM5,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CSIRO-MK3-6-0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104763570000.0,104682310000.0,104822630000.0,104760140000.0,104657760000.0,104684356000.0,104681810000.0,104745430000.0,104728000000.0,104720390000.0,104785175000.0
2022.0,104798480000.0,104594880000.0,104733870000.0,104724150000.0,104615576000.0,104598980000.0,104682730000.0,104754370000.0,104708686000.0,104655860000.0,104701890000.0
2023.0,104698260000.0,104558305000.0,104734320000.0,104649120000.0,104562650000.0,104556030000.0,104581730000.0,104670910000.0,104690060000.0,104624050000.0,104786440000.0
2024.0,104710880000.0,104537735000.0,104701610000.0,104595100000.0,104505940000.0,104567880000.0,104502575000.0,104636350000.0,104661300000.0,104563380000.0,104675370000.0
2025.0,104629030000.0,104460435000.0,104588820000.0,104532450000.0,104464590000.0,104557010000.0,104443150000.0,104666630000.0,104601010000.0,104521105000.0,104589490000.0
2026.0,104570090000.0,104396440000.0,104706730000.0,104491065000.0,104406565000.0,104637030000.0,104424670000.0,104621960000.0,104582750000.0,104462230000.0,104523690000.0
2027.0,104523820000.0,104339010000.0,105092800000.0,104477410000.0,104335565000.0,104515740000.0,104384170000.0,104669320000.0,104538710000.0,104480470000.0,104474170000.0
2028.0,104467190000.0,104293940000.0,104577700000.0,104423110000.0,104242900000.0,104423130000.0,104325554000.0,104512315000.0,104504010000.0,104425456000.0,104431580000.0
2029.0,104542495000.0,104250925000.0,104476860000.0,104370850000.0,104174080000.0,104385320000.0,104258180000.0,104459920000.0,104548380000.0,104316290000.0,104424040000.0
2030.0,104410260000.0,104185110000.0,104426660000.0,104321680000.0,104105165000.0,104352650000.0,104197240000.0,104446600000.0,104452700000.0,104227120000.0,104417214000.0
2031.0,104434524000.0,104155980000.0,104697405000.0,104225200000.0,104010360000.0,104434940000.0,104164820000.0,104701000000.0,104409890000.0,104182645000.0,104315360000.0
2032.0,104360090000.0,104114635000.0,104324145000.0,104147600000.0,103991140000.0,104503970000.0,104104980000.0,104380970000.0,104426870000.0,104073710000.0,104282740000.0
2033.0,104291115000.0,103996645000.0,104349230000.0,104087550000.0,103906660000.0,104484310000.0,104131640000.0,104276250000.0,104494370000.0,104029630000.0,104257890000.0
2034.0,104319844000.0,103952000000.0,104254370000.0,104005590000.0,103857490000.0,104319400000.0,104034180000.0,104404890000.0,104381390000.0,103941520000.0,104269046000.0
2035.0,104279550000.0,103856900000.0,104180425000.0,104343330000.0,103771685000.0,104204730000.0,103927660000.0,104172904000.0,104392335000.0,103842620000.0,104145690000.0
2036.0,104221090000.0,103734040000.0,104180700000.0,103956730000.0,103712140000.0,104560430000.0,103796850000.0,104119650000.0,104438040000.0,103699690000.0,104122340000.0
2037.0,104143630000.0,103675830000.0,104151180000.0,103981820000.0,103607650000.0,104181400000.0,103726370000.0,104134940000.0,104455180000.0,103598930000.0,104174985000.0
2038.0,104190180000.0,103607070000.0,104120930000.0,103833310000.0,103605450000.0,104174125000.0,103725590000.0,104069310000.0,104316400000.0,103468820000.0,104058585000.0
2039.0,104020810000.0,103466060000.0,105152610000.0,103805770000.0,103463920000.0,104109970000.0,103598280000.0,103966640000.0,104287660000.0,103326530000.0,103925780000.0
2040.0,103943004000.0,103304130000.0,104060390000.0,103827960000.0,103296120000.0,104005230000.0,103495160000.0,103863830000.0,104230140000.0,103214180000.0,103839736000.0
2041.0,103879180000.0,103221100000.0,104061714000.0,103900120000.0,103195410000.0,103911195000.0,103405910000.0,103823860000.0,104214170000.0,103146594000.0,103823230000.0
2042.0,103826040000.0,103073870000.0,103965930000.0,103721010000.0,103034290000.0,103928420000.0,103284834000.0,103788000000.0,104126880000.0,104296915000.0,103826980000.0
2043.0,103746585000.0,102907340000.0,104007500000.0,103575950000.0,102889180000.0,103804250000.0,103177910000.0,103753170000.0,104053826000.0,103108230000.0,103792360000.0
2044.0,103682880000.0,102738805000.0,103836570000.0,103463040000.0,102741520000.0,103764030000.0,103043015000.0,103616440000.0,103965370000.0,102925900000.0,103704530000.0
2045.0,103568800000.0,102579650000.0,103752240000.0,103350290000.0,102555700000.0,103596980000.0,102915730000.0,103445950000.0,103913710000.0,102760860000.0,103694220000.0
2046.0,103465394000.0,102490000000.0,105527845000.0,103225170000.0,102398170000.0,103638630000.0,102810450000.0,103323110000.0,103833200000.0,102597850000.0,103505050000.0
2047.0,103361880000.0,102368230000.0,104043310000.0,103279790000.0,102204020000.0,103446210000.0,102609130000.0,103205470000.0,103756956000.0,102417230000.0,103427140000.0
2048.0,103373190000.0,102210490000.0,103702710000.0,103116450000.0,102069410000.0,103690215000.0,102901030000.0,103382335000.0,103648060000.0,102267320000.0,103397540000.0
2049.0,103285285000.0,101988930000.0,103600870000.0,103124480000.0,101927530000.0,103443200000.0,102513130000.0,103141630000.0,103612300000.0,102142706000.0,103300150000.0
2050.0,103234280000.0,101934050000.0,103445070000.0,103325620000.0,101746720000.0,103253010000.0,102345910000.0,103208430000.0,103515790000.0,102037225000.0,103211150000.0
2051.0,103411440000.0,101808950000.0,103410540000.0,102852420000.0,101560090000.0,103317720000.0,102171386000.0,102968920000.0,103506190000.0,102079700000.0,103129410000.0
2052.0,103243370000.0,101606860000.0,103289120000.0,102724610000.0,101312410000.0,103022980000.0,102054640000.0,102826940000.0,103405020000.0,101722400000.0,103079940000.0
2053.0,103086490000.0,101399760000.0,103206290000.0,102612450000.0,101083920000.0,102821270000.0,102515820000.0,102764580000.0,103624880000.0,101501300000.0,102984420000.0
2054.0,103003580000.0,101211990000.0,103112330000.0,102483910000.0,100765024000.0,103100960000.0,101884580000.0,102699480000.0,103391790000.0,101311504000.0,102878610000.0
2055.0,102864290000.0,100992700000.0,103703320000.0,102403146000.0,100507690000.0,102786620000.0,101694160000.0,102646020000.0,103632036000.0,101169790000.0,102818710000.0
2056.0,104155020000.0,100741310000.0,103096720000.0,102217620000.0,100243490000.0,102564560000.0,101693776000.0,102546090000.0,103317500000.0,101095145000.0,102783680000.0
2057.0,103513030000.0,100497970000.0,102984294000.0,102026590000.0,99937740000.0,102399690000.0,101909594000.0,102511340000.0,103280075000.0,100962960000.0,102647595000.0
2058.0,103018650000.0,100193640000.0,102871360000.0,102052170000.0,99756180000.0,103397335000.0,101430436000.0,102359600000.0,103252440000.0,100616950000.0,102528340000.0
2059.0,102839920000.0,99891170000.0,102827930000.0,101955180000.0,99467485000.0,102843154000.0,101259990000.0,102453354000.0,103115530000.0,100963710000.0,102454010000.0
2060.0,102623660000.0,99538800000.0,102621070000.0,101937594000.0,99301690000.0,101982080000.0,101084185000.0,102264930000.0,103293450000.0,100229160000.0,102308110000.0
2061.0,102706995000.0,99195510000.0,102565490000.0,101771160000.0,98984215000.0,102008726000.0,100838646000.0,101994280000.0,103064535000.0,100062490000.0,102614920000.0
2062.0,102435030000.0,98827400000.0,104122240000.0,101599010000.0,98685520000.0,101780540000.0,100686030000.0,101877680000.0,103006280000.0,100035390000.0,102238446000.0
2063.0,102864224000.0,98373680000.0,102424986000.0,101828936000.0,98338880000.0,101631080000.0,100502300000.0,101754370000.0,102910720000.0,99849940000.0,102128910000.0
2064.0,102450960000.0,97908015000.0,102236226000.0,101390440000.0,97943620000.0,101369100000.0,100365310000.0,101596480000.0,102803740000.0,99592970000.0,102062440000.0
2065.0,102622765000.0,97424190000.0,102180585000.0,101307515000.0,97606660000.0,101205434000.0,100155240000.0,101793800000.0,102738575000.0,99425290000.0,101915110000.0
2066.0,102369350000.0,97082060000.0,102484740000.0,101140010000.0,97327500000.0,101174480000.0,100042630000.0,101507990000.0,102915604000.0,99413820000.0,101887420000.0
2067.0,103025080000.0,96680490000.0,102087360000.0,101070530000.0,96871030000.0,100909490000.0,99881390000.0,101349860000.0,102660640000.0,99000670000.0,101753730000.0
2068.0,102369530000.0,96446590000.0,101943490000.0,100851474000.0,96462320000.0,101369580000.0,99631920000.0,101184184000.0,102508270000.0,98896630000.0,101649030000.0
2069.0,102022595000.0,96025534000.0,101845530000.0,100768570000.0,96114030000.0,100729090000.0,100051130000.0,101137610000.0,102477234000.0,98602975000.0,101564980000.0
2070.0,101858580000.0,95633150000.0,102281710000.0,100563894000.0,95899350000.0,100580960000.0,99422160000.0,101070300000.0,102335290000.0,98409325000.0,101481530000.0
2071.0,101776830000.0,95662785000.0,102624760000.0,100477180000.0,95505660000.0,100382860000.0,99164630000.0,100924180000.0,102419590000.0,98129760000.0,101321940000.0
2072.0,101536920000.0,95062720000.0,102214830000.0,100382120000.0,95095450000.0,100277450000.0,99034550000.0,100726874000.0,102886834000.0,97803600000.0,101269670000.0
2073.0,101445410000.0,94761850000.0,101757290000.0,100373700000.0,94841950000.0,100088530000.0,98806840000.0,100576020000.0,102389180000.0,97470380000.0,101191530000.0
2074.0,101366930000.0,94406100000.0,101699640000.0,100056760000.0,94439236000.0,99977460000.0,98666620000.0,100613680000.0,102224460000.0,97158820000.0,101132880000.0
2075.0,101195270000.0,94027375000.0,101703190000.0,100016595000.0,94236130000.0,99855335000.0,98521810000.0,100276770000.0,102706030000.0,96919370000.0,101013390000.0
2076.0,101050600000.0,93741450000.0,101263620000.0,99752760000.0,93626910000.0,99687380000.0,98433330000.0,100119980000.0,102186656000.0,96696310000.0,100933080000.0
2077.0,101110235000.0,93405160000.0,101153720000.0,99609040000.0,93504950000.0,99410250000.0,98197700000.0,100087810000.0,102169400000.0,96662740000.0,100855140000.0
2078.0,102025990000.0,92931210000.0,101017700000.0,100086790000.0,93024540000.0,100880320000.0,98048100000.0,100099424000.0,102422910000.0,96357196000.0,100645724000.0
2079.0,100886200000.0,92423150000.0,100857560000.0,99188040000.0,92503110000.0,99274240000.0,97799135000.0,100348760000.0,101978150000.0,96052036000.0,100574900000.0
2080.0,100920760000.0,91872260000.0,101062020000.0,98976090000.0,92185300000.0,99070960000.0,97686086000.0,99770230000.0,101857490000.0,95815780000.0,100395030000.0
2081.0,100691010000.0,91451260000.0,100662230000.0,98716440000.0,91831800000.0,98841860000.0,97348270000.0,99524090000.0,101724140000.0,95531840000.0,100290730000.0
2082.0,100519470000.0,90958070000.0,100537290000.0,99461940000.0,91353890000.0,98689690000.0,97157840000.0,99400460000.0,101728395000.0,95943460000.0,100138476000.0
2083.0,100393484000.0,90539246000.0,100985635000.0,98409685000.0,90940236000.0,98532810000.0,96882910000.0,99200260000.0,101584910000.0,95220030000.0,99981705000.0
2084.0,100663890000.0,90065510000.0,100910620000.0,98350280000.0,90722670000.0,99039000000.0,96576590000.0,99017680000.0,101469650000.0,95143180000.0,99889050000.0
2085.0,100703410000.0,89898295000.0,100423180000.0,98126905000.0,90319995000.0,98213090000.0,96451870000.0,99349020000.0,101415570000.0,94736286000.0,100099195000.0
2086.0,100260810000.0,89428574000.0,100302430000.0,97752820000.0,89888040000.0,98094870000.0,96221620000.0,98762930000.0,101313266000.0,94643120000.0,99930730000.0
2087.0,100113695000.0,89042700000.0,100204360000.0,97660820000.0,89418560000.0,97842600000.0,96076350000.0,98530270000.0,101314730000.0,95364850000.0,101097200000.0
2088.0,99938380000.0,88570660000.0,100434540000.0,97763170000.0,89148790000.0,98305570000.0,95767085000.0,98451620000.0,101203250000.0,94155310000.0,99620720000.0
2089.0,99793270000.0,88157315000.0,99982720000.0,97521410000.0,88929165000.0,97509320000.0,95480530000.0,98422690000.0,101170460000.0,95323630000.0,99407120000.0
2090.0,99579820000.0,87573594000.0,99857230000.0,97923030000.0,87901045000.0,97157500000.0,95209100000.0,98161170000.0,101031420000.0,93875814000.0,99318170000.0
2091.0,99427420000.0,86917520000.0,101444000000.0,96813695000.0,87425475000.0,97217350000.0,94941780000.0,98546400000.0,100996210000.0,93728650000.0,99061290000.0
2092.0,99719860000.0,86190750000.0,100440450000.0,96648370000.0,86993740000.0,96853770000.0,94591230000.0,97890796000.0,100924390000.0,93486465000.0,99116430000.0
2093.0,100109140000.0,85577120000.0,99933130000.0,96417464000.0,86680040000.0,96628200000.0,94346080000.0,99320150000.0,100836620000.0,93238034000.0,98898330000.0
2094.0,99118720000.0,84983950000.0,99673870000.0,96483844000.0,86987510000.0,96407590000.0,94244995000.0,97808785000.0,100802160000.0,93296845000.0,98682446000.0
2095.0,98982250000.0,84473200000.0,99573480000.0,96267895000.0,85818300000.0,96155700000.0,94281710000.0,97616520000.0,101134520000.0,92638190000.0,98749580000.0
2096.0,99267060000.0,84087644000.0,101015510000.0,95921150000.0,87271250000.0,96454935000.0,94233550000.0,97832420000.0,100876280000.0,92356540000.0,98435400000.0
2097.0,98981495000.0,83536910000.0,99364050000.0,95770560000.0,85350550000.0,95885420000.0,93752040000.0,97464390000.0,100831450000.0,92100050000.0,98564375000.0
2098.0,98886074000.0,83052265000.0,99240400000.0,95562334000.0,84915930000.0,95740020000.0,93469670000.0,97197360000.0,100552150000.0,91753600000.0,98151520000.0
2099.0,98513570000.0,82051840000.0,99237680000.0,95446655000.0,84552850000.0,95521270000.0,93229300000.0,97184390000.0,100454470000.0,91589304000.0,98060845000.0
2100.0,99291080000.0,81499570000.0,99052044000.0,95381810000.0,84103690000.0,95330320000.0,93097820000.0,97025696000.0,100346610000.0,91532360000.0,97974340000.0
