time,CESM1-CAM5,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40392536000.0,40454832000.0,40457724000.0,40420282000.0,40451895000.0,40419107000.0,40459043000.0,40426290000.0,40403550000.0,40366584000.0,40390040000.0
2022.0,40331317000.0,40408100000.0,40416907000.0,40392620000.0,40372994000.0,40371597000.0,40387730000.0,40378946000.0,40378524000.0,40291893000.0,40345666000.0
2023.0,40258822000.0,40400564000.0,40368402000.0,40348238000.0,40324890000.0,40338244000.0,40442683000.0,40353317000.0,40318185000.0,40205267000.0,40335417000.0
2024.0,40162660000.0,40476844000.0,40324612000.0,40291910000.0,40310895000.0,40314835000.0,40350028000.0,40381833000.0,40265224000.0,40127267000.0,40321960000.0
2025.0,40057725000.0,40624560000.0,40300070000.0,40379003000.0,40258600000.0,40296430000.0,40303985000.0,40340020000.0,40201550000.0,40040860000.0,40230486000.0
2026.0,39980466000.0,40461427000.0,40244167000.0,40228164000.0,40203207000.0,40250110000.0,40264570000.0,40266793000.0,40172750000.0,39942490000.0,40170254000.0
2027.0,39883580000.0,40415814000.0,40239276000.0,40195527000.0,40136390000.0,40216250000.0,40195748000.0,40210227000.0,40116474000.0,39845570000.0,40114717000.0
2028.0,39774370000.0,40457970000.0,40185254000.0,40155990000.0,40162360000.0,40159056000.0,40150335000.0,40300420000.0,40100004000.0,39737930000.0,40054047000.0
2029.0,39657796000.0,40343830000.0,40192524000.0,40068990000.0,40063440000.0,40100164000.0,40125362000.0,40191205000.0,40023056000.0,39646480000.0,39998850000.0
2030.0,39503675000.0,40243110000.0,40098136000.0,39986950000.0,39983055000.0,40055280000.0,40068604000.0,40131360000.0,39996310000.0,39532155000.0,39938466000.0
2031.0,39360102000.0,40195342000.0,40045437000.0,39971586000.0,39938070000.0,40003084000.0,40024322000.0,40058020000.0,39940420000.0,39385272000.0,39867550000.0
2032.0,39187700000.0,40256950000.0,40046800000.0,39895925000.0,39875210000.0,39945080000.0,39973347000.0,40029830000.0,39891784000.0,39248097000.0,39795240000.0
2033.0,38976640000.0,40239700000.0,39990493000.0,39830376000.0,39800037000.0,39920026000.0,39953690000.0,39967154000.0,39841710000.0,39098032000.0,39720410000.0
2034.0,38792364000.0,40150335000.0,39911473000.0,39830190000.0,39750350000.0,39949525000.0,39898890000.0,39917793000.0,39813140000.0,38926488000.0,39649340000.0
2035.0,38634840000.0,40179980000.0,39851393000.0,39699948000.0,39694164000.0,39833125000.0,39802410000.0,39922980000.0,39751970000.0,38720463000.0,39553004000.0
2036.0,38408580000.0,40067977000.0,39791047000.0,39667855000.0,39616460000.0,39803396000.0,39752364000.0,39824520000.0,39691830000.0,38519153000.0,39493317000.0
2037.0,38180745000.0,40045870000.0,39742837000.0,39702720000.0,39534130000.0,39755604000.0,39703450000.0,39815176000.0,39621450000.0,38309507000.0,39396280000.0
2038.0,37881180000.0,39983320000.0,39736242000.0,39668367000.0,39453557000.0,39678616000.0,39643120000.0,39729200000.0,39548334000.0,38058086000.0,39298208000.0
2039.0,37600453000.0,39927247000.0,39636267000.0,39530010000.0,39409460000.0,39630873000.0,39581114000.0,39653120000.0,39482253000.0,37760627000.0,39168426000.0
2040.0,37285380000.0,39886676000.0,39559230000.0,39465095000.0,39308470000.0,39572140000.0,39503282000.0,39617544000.0,39385203000.0,37527716000.0,39072313000.0
2041.0,36960666000.0,39988093000.0,39469867000.0,39446086000.0,39248724000.0,39481455000.0,39424668000.0,39527526000.0,39301810000.0,37224690000.0,39011480000.0
2042.0,36686676000.0,39849845000.0,39399817000.0,39359033000.0,39201677000.0,39418300000.0,39334396000.0,39453690000.0,39200400000.0,36949238000.0,38859170000.0
2043.0,36303426000.0,39758230000.0,39370207000.0,39555600000.0,39076160000.0,39339807000.0,39274550000.0,39388790000.0,39131177000.0,36643810000.0,38729760000.0
2044.0,35906417000.0,39987577000.0,39261233000.0,39556375000.0,39143866000.0,39296180000.0,39209280000.0,39336670000.0,39047385000.0,36312810000.0,38566035000.0
2045.0,35522520000.0,39777018000.0,39192994000.0,39331975000.0,38963196000.0,39200473000.0,39085027000.0,39237698000.0,38957916000.0,35987590000.0,38384173000.0
2046.0,35125137000.0,39669367000.0,39111780000.0,39181630000.0,38847360000.0,39123380000.0,39020100000.0,39166444000.0,38819865000.0,35696177000.0,38241264000.0
2047.0,34709234000.0,39561175000.0,39024280000.0,39098360000.0,38789997000.0,39043770000.0,39018850000.0,39060820000.0,38680887000.0,35358610000.0,38149845000.0
2048.0,34296940000.0,39491777000.0,38917194000.0,39083848000.0,38645850000.0,38947490000.0,38832930000.0,38951346000.0,38563040000.0,34953576000.0,37944540000.0
2049.0,33937844000.0,39426298000.0,38823110000.0,38988755000.0,38616388000.0,38896400000.0,38756620000.0,38864770000.0,38445683000.0,34546090000.0,37711192000.0
2050.0,33467912000.0,39353602000.0,38709120000.0,38903325000.0,38474433000.0,38782018000.0,38614900000.0,38774792000.0,38322065000.0,34217818000.0,37484356000.0
2051.0,33028290000.0,39295738000.0,38573523000.0,38922932000.0,38376470000.0,38670120000.0,38491345000.0,38675083000.0,38177665000.0,33803626000.0,37264785000.0
2052.0,32562086000.0,39289390000.0,38478860000.0,38773514000.0,38269194000.0,38564827000.0,38354776000.0,38574520000.0,38059114000.0,33392690000.0,37048560000.0
2053.0,32005240000.0,39166685000.0,38416310000.0,38634010000.0,38155997000.0,38466576000.0,38227804000.0,38779888000.0,37927230000.0,32970959000.0,36916140000.0
2054.0,31545522000.0,39076830000.0,38286570000.0,38510035000.0,38093680000.0,38363386000.0,38057992000.0,38526554000.0,37769798000.0,32510370000.0,36698513000.0
2055.0,31055917000.0,39007478000.0,38159147000.0,38388140000.0,37957390000.0,38266008000.0,37926093000.0,38323360000.0,37636764000.0,32035498000.0,36484424000.0
2056.0,30427777000.0,38931608000.0,38000394000.0,38225700000.0,37855388000.0,38157110000.0,37875016000.0,38243324000.0,37493236000.0,31523584000.0,36278895000.0
2057.0,29863030000.0,38842327000.0,37880110000.0,38093160000.0,37692840000.0,38101300000.0,37750137000.0,38083523000.0,37337550000.0,30997754000.0,36018393000.0
2058.0,29409851000.0,38767180000.0,37769150000.0,37956720000.0,37583892000.0,37979890000.0,37593506000.0,37992970000.0,37153890000.0,30448871000.0,35749800000.0
2059.0,28943804000.0,38621550000.0,37637800000.0,37793014000.0,37633835000.0,37840770000.0,37441135000.0,37863690000.0,37008200000.0,29938227000.0,35545550000.0
2060.0,28491650000.0,38626746000.0,37496963000.0,37644837000.0,37462290000.0,37822775000.0,37326900000.0,37738470000.0,36833930000.0,29447746000.0,35243586000.0
2061.0,27893303000.0,38483427000.0,37376700000.0,37517130000.0,37322813000.0,37644055000.0,37168566000.0,37618176000.0,36636434000.0,28965827000.0,34972783000.0
2062.0,27497095000.0,38396654000.0,37251408000.0,37315375000.0,37168775000.0,37519286000.0,37120872000.0,37487180000.0,36446810000.0,28577866000.0,34671178000.0
2063.0,27093641000.0,38304338000.0,37095617000.0,37182566000.0,37041540000.0,37416270000.0,36965830000.0,37354670000.0,36257720000.0,28072212000.0,34425220000.0
2064.0,26607104000.0,38187745000.0,36977370000.0,37037146000.0,36900500000.0,37317410000.0,36811477000.0,37218790000.0,36001040000.0,27643382000.0,34095374000.0
2065.0,26104359000.0,38093373000.0,36829786000.0,36856910000.0,36760764000.0,37276240000.0,36664664000.0,37134537000.0,35811630000.0,27205732000.0,33790091000.0
2066.0,25571228000.0,37973400000.0,36745097000.0,36635628000.0,36617187000.0,37169512000.0,36474515000.0,36996575000.0,35538133000.0,26782212000.0,33483920000.0
2067.0,25104368000.0,37856657000.0,36605820000.0,36488864000.0,36434395000.0,37216006000.0,36254544000.0,36845870000.0,35209523000.0,26401686000.0,33157237000.0
2068.0,24710519000.0,37772186000.0,36469380000.0,36313830000.0,36259930000.0,37016166000.0,36187260000.0,36702106000.0,34995454000.0,25953765000.0,32839740000.0
2069.0,24209388000.0,37634224000.0,36292936000.0,36166750000.0,36124710000.0,36865372000.0,35952005000.0,36550152000.0,34753716000.0,25481968000.0,32456073000.0
2070.0,23780730000.0,37497373000.0,36159672000.0,36041530000.0,36000416000.0,36728190000.0,35939370000.0,36435030000.0,34500755000.0,25048082000.0,32062403000.0
2071.0,23370318000.0,37372334000.0,35982330000.0,35828404000.0,35781743000.0,36650263000.0,35674042000.0,36301360000.0,34230540000.0,24557871000.0,31717829000.0
2072.0,22957976000.0,37246833000.0,35834106000.0,35717177000.0,35622285000.0,36554797000.0,35486260000.0,36171612000.0,33954339000.0,24147510000.0,31402723000.0
2073.0,22535630000.0,37113717000.0,35652022000.0,35542938000.0,35471220000.0,36330830000.0,35239460000.0,36004753000.0,33736995000.0,23629572000.0,31012422000.0
2074.0,22053132000.0,36961890000.0,35498280000.0,35485310000.0,35317674000.0,36256166000.0,35015610000.0,35861620000.0,33485950000.0,23186700000.0,30722138000.0
2075.0,21585265000.0,36815640000.0,35344986000.0,35230577000.0,35110310000.0,36080775000.0,34871210000.0,35751760000.0,33231790000.0,22794453000.0,30366736000.0
2076.0,21151996000.0,36665823000.0,35190130000.0,34939224000.0,34944266000.0,35948573000.0,34732323000.0,35536916000.0,32928168000.0,22427228000.0,29980692000.0
2077.0,20751860000.0,36502217000.0,35002930000.0,34774163000.0,34781893000.0,35834040000.0,34611954000.0,35411570000.0,32621080000.0,22013100000.0,29590292000.0
2078.0,20189823000.0,36361097000.0,34838480000.0,34562610000.0,34589213000.0,35711205000.0,34414203000.0,35180982000.0,32402727000.0,21572938000.0,29285833000.0
2079.0,19753603000.0,36202263000.0,34649104000.0,34760270000.0,34414780000.0,35606410000.0,34221371000.0,34963624000.0,32147870000.0,21202727000.0,29013316000.0
2080.0,19326048000.0,36069690000.0,34444767000.0,34660053000.0,34337020000.0,35558890000.0,34027282000.0,34774508000.0,31956965000.0,20774570000.0,28704793000.0
2081.0,18775366000.0,35931394000.0,34264572000.0,34159403000.0,34095389000.0,35369210000.0,33818610000.0,34595324000.0,31636110000.0,20196260000.0,28315068000.0
2082.0,18145182000.0,35746193000.0,34033668000.0,33925175000.0,33839700000.0,35242500000.0,33664735000.0,34504913000.0,31333134000.0,19709823000.0,28019040000.0
2083.0,17497336000.0,35595076000.0,33828465000.0,33747517000.0,33613887000.0,35109347000.0,33453552000.0,34266397000.0,31019893000.0,19332065000.0,27732826000.0
2084.0,16943180000.0,35530490000.0,33627527000.0,33480320000.0,33442937000.0,34968900000.0,33293085000.0,34056129000.0,30742503000.0,18774000000.0,27425417000.0
2085.0,16505701000.0,35356467000.0,33546904000.0,33246732000.0,33237238000.0,34840654000.0,33078827000.0,33822069000.0,30435637000.0,18441945000.0,27094704000.0
2086.0,16013783000.0,35227804000.0,33362678000.0,33018790000.0,33330289000.0,34705400000.0,32852280000.0,33568748000.0,30141796000.0,18045413000.0,26678026000.0
2087.0,15594041000.0,35051827000.0,33163983000.0,32819378000.0,32961341000.0,34588897000.0,32540084000.0,33353406000.0,29771420000.0,17541170000.0,26380104000.0
2088.0,15161043000.0,34923504000.0,33082192000.0,32614128000.0,32817953000.0,34465735000.0,32278139000.0,33169840000.0,29413790000.0,17158273000.0,26034776000.0
2089.0,14768691000.0,34749755000.0,32863910000.0,32457520000.0,32569952000.0,34341210000.0,32045080000.0,32978240000.0,29080607000.0,16693360000.0,25736722000.0
2090.0,14370701000.0,34651610000.0,32716700000.0,32214657000.0,32375388000.0,34207631000.0,31849656000.0,32786293000.0,28820853000.0,16239730000.0,25324149000.0
2091.0,14057913000.0,34488513000.0,32515504000.0,32015008000.0,32378860000.0,34142278000.0,31668558000.0,32580872000.0,28478738000.0,15884124000.0,24973916000.0
2092.0,13831375000.0,34272885000.0,32437285000.0,31760396000.0,32034960000.0,33960987000.0,31395834000.0,32491086000.0,28104368000.0,15592061000.0,24726555000.0
2093.0,13495745000.0,34166110000.0,32229597000.0,31580994000.0,31842595000.0,33857923000.0,31184691000.0,32239802000.0,27816290000.0,15192881000.0,24552395000.0
2094.0,13108480000.0,34098235000.0,32041589000.0,31284464000.0,31701916000.0,33697927000.0,30940550000.0,32041300000.0,27497935000.0,14811887000.0,24268503000.0
2095.0,12861262000.0,33963823000.0,31837872000.0,31059060000.0,31531414000.0,33585527000.0,30662370000.0,31850811000.0,27226170000.0,14493358000.0,23884438000.0
2096.0,12625498000.0,34109833000.0,31674374000.0,30825064000.0,31280364000.0,33413796000.0,30412351000.0,31616420000.0,26960542000.0,14103324000.0,23617624000.0
2097.0,12370796000.0,33871266000.0,31526736000.0,30560524000.0,31183833000.0,33349590000.0,30089923000.0,31483156000.0,26672181000.0,13850535000.0,23320486000.0
2098.0,12073307000.0,33662814000.0,31340173000.0,30378007000.0,30973284000.0,33114982000.0,29901588000.0,31264557000.0,26377226000.0,13493689000.0,23081700000.0
2099.0,11715815000.0,33721256000.0,31168215000.0,30178259000.0,30739812000.0,32992324000.0,29601327000.0,31004768000.0,26086052000.0,13252181000.0,22921443000.0
2100.0,11433962000.0,33668684000.0,30993015000.0,29994523000.0,30546725000.0,32840903000.0,29398733000.0,30837453000.0,25739735000.0,12994463000.0,22623482000.0
