time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,CANESM5
2050.0,1030489700.0,539415550.0,724346800.0,369891200.0,627381760.0
2051.0,985066000.0,513868700.0,679333570.0,341880960.0,590185900.0
2052.0,958655800.0,487491600.0,633327700.0,297754340.0,574751740.0
2053.0,923429900.0,473786600.0,627872200.0,274501540.0,536513660.0
2054.0,901590340.0,435188700.0,582525400.0,254885010.0,498783800.0
2055.0,864973400.0,416160130.0,548618000.0,286683800.0,474228060.0
2056.0,827340900.0,387277900.0,519374000.0,232844600.0,449157340.0
2057.0,784779140.0,363292480.0,489614700.0,202761700.0,427335070.0
2058.0,766130750.0,348265020.0,461756200.0,190808500.0,400986240.0
2059.0,725575040.0,338153820.0,445916700.0,165528270.0,386276130.0
2060.0,681399500.0,328718100.0,409338750.0,142137500.0,362875870.0
2061.0,649468200.0,319569950.0,385683840.0,134514370.0,334836100.0
2062.0,610899300.0,310761760.0,365410080.0,120435096.0,313633470.0
2063.0,593134140.0,322906620.0,334940960.0,114260280.0,302981630.0
2064.0,584365250.0,314570850.0,315271330.0,95872180.0,284189340.0
2065.0,548516540.0,296135970.0,308993700.0,93206160.0,272645470.0
2066.0,520046880.0,298778460.0,287315740.0,92192260.0,250216180.0
2067.0,527275650.0,331490200.0,270139840.0,83779496.0,239837090.0
2068.0,480581860.0,283108260.0,269031230.0,80670540.0,233080420.0
2069.0,451083200.0,272927870.0,249885260.0,78265336.0,218491380.0
2070.0,456028350.0,329503070.0,244929100.0,75119096.0,215515570.0
2071.0,486810850.0,266362770.0,237667520.0,69318740.0,205478640.0
2072.0,423226720.0,353259360.0,241985680.0,68655110.0,196499550.0
2073.0,410580600.0,268337490.0,236066320.0,66278680.0,201506160.0
2074.0,395140640.0,323428100.0,225029200.0,65712140.0,189542030.0
2075.0,396701000.0,266654960.0,217699570.0,58987910.0,184650260.0
2076.0,393918720.0,263297730.0,201548210.0,57947304.0,179933650.0
2077.0,409749800.0,265466860.0,196797760.0,57053292.0,195626430.0
2078.0,366159170.0,252803840.0,193677660.0,55365068.0,178968100.0
2079.0,359582500.0,305592030.0,189159780.0,54449170.0,172649520.0
2080.0,411298370.0,281696640.0,181192800.0,52529310.0,166592420.0
2081.0,365064580.0,273626080.0,175545710.0,51172796.0,191482420.0
2082.0,344280030.0,262700780.0,299119000.0,50044530.0,164027380.0
2083.0,336579200.0,309768600.0,260938780.0,48383640.0,159605780.0
2084.0,346283300.0,282635680.0,202087730.0,45397244.0,160133900.0
2085.0,334753200.0,272213900.0,195561010.0,44536860.0,342948960.0
2086.0,328710530.0,262707710.0,179501170.0,45122884.0,164808130.0
2087.0,319408860.0,304210500.0,182730510.0,44260230.0,163024000.0
2088.0,335247400.0,266878510.0,171472220.0,42764770.0,164694000.0
2089.0,311383400.0,268801660.0,178345220.0,44432148.0,462754240.0
2090.0,405879580.0,338555680.0,165037250.0,59965520.0,265220160.0
2091.0,315656700.0,464450400.0,173298200.0,42144628.0,207104130.0
2092.0,307423550.0,333524830.0,161527060.0,41795532.0,184367280.0
2093.0,301325500.0,277585340.0,160926020.0,47303108.0,160366580.0
2094.0,327445220.0,269967580.0,166972780.0,54650308.0,225410800.0
2095.0,309401820.0,565878800.0,169923140.0,44117550.0,225218860.0
2096.0,307448500.0,356502880.0,251682620.0,48371696.0,491677800.0
2097.0,309157470.0,293940060.0,180837340.0,49142900.0,223916260.0
2098.0,294509540.0,431636900.0,174193000.0,52120616.0,237987540.0
2099.0,396956600.0,540938300.0,181711100.0,48400524.0,203630560.0
2100.0,322031420.0,501148700.0,175122180.0,87475096.0,180635260.0
