time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2194.0,4890344400.0,581368640.0,8419337700.0
2195.0,4718440400.0,531891170.0,8156129300.0
2196.0,4682297000.0,454015580.0,7693075500.0
2197.0,4565054500.0,379578800.0,7387205600.0
2198.0,4317768000.0,320136700.0,7115191300.0
2199.0,4125713700.0,152291280.0,6788797000.0
2200.0,4087702500.0,9503259.0,6422393300.0
2201.0,3908904400.0,9435096.0,6104983600.0
2202.0,3859848700.0,9344729.0,5918698000.0
2203.0,3715135200.0,8591162.0,5714785000.0
2204.0,3553531100.0,8429004.0,5505518000.0
2205.0,3536902700.0,8125978.0,5211866600.0
2206.0,3592144400.0,8095074.0,5041256400.0
2207.0,3404974000.0,8033607.5,4899569000.0
2208.0,3352700000.0,7629922.5,4674926600.0
2209.0,3220266500.0,7553680.0,4502383600.0
2210.0,3387019800.0,7069979.0,4344997400.0
2211.0,3209996800.0,6571509.5,4246148000.0
2212.0,3064712700.0,5162088.0,4083965400.0
2213.0,3087125200.0,4683489.0,3864603400.0
2214.0,2937314800.0,4658449.5,3682663000.0
2215.0,2938284800.0,3627293.8,3600784000.0
2216.0,2894713000.0,3047607.5,3400204300.0
2217.0,2786757000.0,3039805.2,3342150400.0
2218.0,2781615400.0,2437663.0,3252271900.0
2219.0,2716073500.0,2432752.0,3107527700.0
2220.0,2669688600.0,2429177.8,3065719300.0
2221.0,2655098400.0,1896366.5,2912242400.0
2222.0,2551392800.0,1884342.1,2822026000.0
2223.0,2554749700.0,1880768.6,2716064800.0
2224.0,2749391000.0,1869779.4,2687800300.0
2225.0,2458324000.0,1866918.6,2528844800.0
2226.0,2411587800.0,1863273.8,2479814700.0
2227.0,2319580400.0,1860842.1,2387977000.0
2228.0,2304801000.0,1812831.9,2336887300.0
2229.0,2296553700.0,1816865.4,2229185500.0
2230.0,2330337500.0,1813688.0,2164229000.0
2231.0,2215428600.0,1764065.1,2110825000.0
2232.0,2268653800.0,1765344.6,2016744300.0
2233.0,2270948000.0,1766511.9,1980977900.0
2234.0,2226092800.0,1766603.9,1887257700.0
2235.0,2124836900.0,1765631.9,1785321700.0
2236.0,2126285400.0,1762676.9,1694130600.0
