time,CCSM4,CSIRO-MK3-6-0,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CNRM-CM5,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G
2060.0,148393100000.0,164659200000.0,104589750000.0,156782900000.0,112836820000.0,107294770000.0,146250550000.0,144896410000.0,126985970000.0,140583500000.0
2061.0,143773100000.0,160766310000.0,103404770000.0,154560600000.0,110717210000.0,105580140000.0,142551380000.0,142704800000.0,123544230000.0,138809490000.0
2062.0,141519470000.0,160614040000.0,100518670000.0,152458790000.0,107481270000.0,101814880000.0,140299600000.0,141876560000.0,119775930000.0,137015560000.0
2063.0,137548270000.0,158555600000.0,96868114000.0,150487100000.0,104515910000.0,98381360000.0,137719560000.0,140346380000.0,116839840000.0,133840710000.0
2064.0,135929290000.0,156816970000.0,93463770000.0,148059520000.0,101486035000.0,96224040000.0,135075560000.0,138303100000.0,114509490000.0,130750775000.0
2065.0,133144420000.0,156314140000.0,90327910000.0,147714400000.0,97773036000.0,93924800000.0,133956210000.0,136669360000.0,111956280000.0,127473130000.0
2066.0,128278900000.0,155812070000.0,87601870000.0,145443450000.0,94332500000.0,89801980000.0,132137590000.0,135103940000.0,109323950000.0,124572310000.0
2067.0,125077890000.0,152678990000.0,84787870000.0,142916120000.0,91872460000.0,86031280000.0,130870256000.0,133961580000.0,107749650000.0,120862300000.0
2068.0,122396050000.0,150156100000.0,80709170000.0,137299034000.0,89404660000.0,83270700000.0,129156750000.0,130705020000.0,104581860000.0,117308424000.0
2069.0,119521600000.0,149084100000.0,77693440000.0,136486370000.0,86697150000.0,80510200000.0,126511410000.0,127795070000.0,102891940000.0,114346270000.0
2070.0,116970720000.0,148694240000.0,75248340000.0,132745085000.0,84917390000.0,78160085000.0,123729986000.0,124248630000.0,100848165000.0,113251850000.0
2071.0,112835270000.0,149340830000.0,72278650000.0,129535650000.0,82850820000.0,74653480000.0,122010040000.0,120251090000.0,99233240000.0,110899640000.0
2072.0,110691690000.0,147782750000.0,69663010000.0,127553420000.0,79885420000.0,72529215000.0,119254070000.0,117660370000.0,97003230000.0,108349540000.0
2073.0,107826550000.0,146310580000.0,67263280000.0,125834960000.0,78401150000.0,70027540000.0,115227980000.0,113928660000.0,94968570000.0,106859570000.0
2074.0,104843890000.0,145883000000.0,65214345000.0,124801430000.0,76414650000.0,67945456000.0,112101170000.0,113756320000.0,93006980000.0,104556470000.0
2075.0,102926880000.0,144970090000.0,63160090000.0,120641530000.0,73447690000.0,65695023000.0,108657750000.0,112166780000.0,90213515000.0,101195506000.0
2076.0,99727925000.0,143562770000.0,61320040000.0,117050690000.0,73566180000.0,64022790000.0,105100370000.0,110753350000.0,88683040000.0,98947810000.0
2077.0,98068600000.0,143480080000.0,59393737000.0,114405335000.0,70226120000.0,61590893000.0,103597840000.0,108521560000.0,87174500000.0,97730020000.0
2078.0,95606260000.0,144092500000.0,58064937000.0,111986610000.0,67920060000.0,59891876000.0,100766470000.0,106142400000.0,85085815000.0,96106660000.0
2079.0,94184400000.0,144345100000.0,56132650000.0,109610340000.0,65263722000.0,57397890000.0,97053320000.0,103511110000.0,84246910000.0,94393290000.0
2080.0,92082330000.0,144115200000.0,53561550000.0,106828325000.0,63690260000.0,55255015000.0,93617260000.0,101009190000.0,82839400000.0,93466240000.0
2081.0,90407400000.0,142270890000.0,50900510000.0,105027715000.0,62402617000.0,53252096000.0,91189690000.0,100737150000.0,82415110000.0,90925000000.0
2082.0,88363610000.0,142755320000.0,49265213000.0,103888600000.0,60519014000.0,52121740000.0,89896660000.0,99341500000.0,79982860000.0,88807820000.0
2083.0,86107234000.0,142084830000.0,47394790000.0,100985310000.0,59499352000.0,50999300000.0,88181146000.0,97562330000.0,78636670000.0,87510065000.0
2084.0,83168090000.0,141556810000.0,45617738000.0,98942330000.0,58637670000.0,48839336000.0,86314350000.0,95614640000.0,76574750000.0,84355120000.0
2085.0,81680690000.0,140865930000.0,44050290000.0,96936346000.0,57080177000.0,47570485000.0,86472810000.0,93399110000.0,76471090000.0,83464045000.0
2086.0,80794160000.0,140647170000.0,42191098000.0,96588055000.0,55612154000.0,46185120000.0,83002650000.0,92398576000.0,74783450000.0,81512020000.0
2087.0,79379360000.0,139495330000.0,40340190000.0,94869070000.0,54099866000.0,44897820000.0,82298390000.0,89484470000.0,72777270000.0,79615270000.0
2088.0,77449900000.0,138987010000.0,38711595000.0,94012826000.0,51653517000.0,43652624000.0,80780910000.0,85759790000.0,71502270000.0,78824590000.0
2089.0,75306480000.0,134788415000.0,37128600000.0,91466450000.0,49694745000.0,42076570000.0,79537630000.0,84409550000.0,70086530000.0,77275230000.0
2090.0,73296420000.0,133823594000.0,35342300000.0,90715010000.0,47961182000.0,40975680000.0,77891270000.0,81466330000.0,67691573000.0,74851385000.0
2091.0,71586940000.0,132678040000.0,33886765000.0,88134930000.0,46517744000.0,39245173000.0,75711020000.0,80469430000.0,67181840000.0,73136790000.0
2092.0,71014840000.0,130423890000.0,32288815000.0,85739290000.0,44594766000.0,37709615000.0,73233840000.0,78688030000.0,65529600000.0,72022990000.0
2093.0,69585060000.0,128810470000.0,31186290000.0,83609805000.0,43167433000.0,36082960000.0,71824100000.0,78389740000.0,63852356000.0,70765480000.0
2094.0,68290470000.0,127999540000.0,29431130000.0,82108570000.0,41403550000.0,34184980000.0,70424240000.0,76739900000.0,62363415000.0,69876785000.0
2095.0,66163540000.0,126574220000.0,27430027000.0,80975670000.0,39824503000.0,33121782000.0,69558940000.0,76306014000.0,60712250000.0,68150436000.0
2096.0,64874980000.0,124096270000.0,25995060000.0,79852750000.0,38148964000.0,32071832000.0,70077160000.0,75418760000.0,59284970000.0,67077644000.0
2097.0,63779510000.0,123416100000.0,24564625000.0,77300950000.0,37367345000.0,30973990000.0,68294610000.0,73564630000.0,58099077000.0,65314900000.0
2098.0,63460390000.0,120752830000.0,23494212000.0,76224910000.0,36181910000.0,29039100000.0,66232090000.0,72653060000.0,56353477000.0,64265820000.0
2099.0,61811860000.0,121815400000.0,22201522000.0,74303324000.0,34217447000.0,27425337000.0,64241476000.0,70609380000.0,54788890000.0,63245840000.0
2100.0,59783295000.0,121517320000.0,21288910000.0,72650560000.0,33226623000.0,25876007000.0,63112900000.0,69815870000.0,52631030000.0,61372264000.0
