time,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,NORESM1-M,IPSL-CM5A-LR,GISS-E2-R,GFDL-ESM2G
2026.0,270841790000.0,259394550000.0,248056510000.0,260611330000.0,253746540000.0,262216200000.0,252799760000.0
2027.0,271403800000.0,257501680000.0,244359660000.0,260676470000.0,247140220000.0,259837970000.0,247689720000.0
2028.0,271642300000.0,254537730000.0,241574870000.0,258111060000.0,244684100000.0,256584970000.0,244033650000.0
2029.0,268968250000.0,248729580000.0,233565750000.0,257026300000.0,236893060000.0,252241480000.0,240687280000.0
2030.0,269229470000.0,243527420000.0,228375300000.0,256067340000.0,237665060000.0,251873950000.0,240176190000.0
2031.0,266526080000.0,240835560000.0,224886600000.0,256027070000.0,231450940000.0,245323990000.0,238549240000.0
2032.0,263673230000.0,239118660000.0,221318770000.0,251827100000.0,229523870000.0,242869730000.0,236186240000.0
2033.0,264430110000.0,237024950000.0,217879250000.0,249515930000.0,223375000000.0,239843430000.0,237286520000.0
2034.0,262698650000.0,231706000000.0,212953800000.0,247949020000.0,219427360000.0,238568850000.0,234332100000.0
2035.0,260730030000.0,230641000000.0,208354440000.0,244466430000.0,213418890000.0,234993700000.0,231081530000.0
2036.0,258980280000.0,228471600000.0,203577480000.0,243253220000.0,206999950000.0,233969140000.0,228440770000.0
2037.0,257185990000.0,223955880000.0,201463900000.0,242757980000.0,201784460000.0,231057050000.0,226198950000.0
2038.0,257573180000.0,222541070000.0,196754310000.0,240282190000.0,196917410000.0,226734130000.0,222244180000.0
2039.0,256381800000.0,218373820000.0,191884210000.0,237380750000.0,190390390000.0,225245170000.0,218955560000.0
2040.0,258167980000.0,214572710000.0,186331000000.0,234567970000.0,184291590000.0,222467570000.0,217952160000.0
2041.0,256885180000.0,209268790000.0,183498690000.0,232967980000.0,179976620000.0,218997560000.0,217096500000.0
2042.0,257128140000.0,209646800000.0,178776310000.0,229658280000.0,175929540000.0,213517780000.0,211402640000.0
2043.0,253442740000.0,207377500000.0,175791010000.0,226725680000.0,171868590000.0,211410100000.0,209829050000.0
2044.0,248710350000.0,204016220000.0,171579180000.0,223471100000.0,169585870000.0,210467320000.0,207617000000.0
2045.0,247486680000.0,201968040000.0,168701250000.0,220290400000.0,165011180000.0,208022800000.0,205451870000.0
2046.0,242263500000.0,199512110000.0,162016840000.0,216715620000.0,162015170000.0,206323910000.0,206438740000.0
2047.0,239889920000.0,198136380000.0,157613420000.0,216260100000.0,155024670000.0,204259890000.0,204530520000.0
2048.0,238651820000.0,197409330000.0,155619250000.0,214436510000.0,151984670000.0,201072180000.0,202040670000.0
2049.0,236769690000.0,195513970000.0,152283760000.0,211201600000.0,149096150000.0,198898370000.0,199788360000.0
2050.0,235445390000.0,191655600000.0,148402860000.0,208914220000.0,142994590000.0,195772920000.0,194543700000.0
2051.0,230698040000.0,189484800000.0,143960520000.0,206954790000.0,136149350000.0,192151780000.0,191885150000.0
2052.0,230392710000.0,186308250000.0,141504100000.0,206948530000.0,130742540000.0,188876300000.0,189685370000.0
2053.0,228426300000.0,183140550000.0,137866130000.0,203005170000.0,128003120000.0,184030100000.0,186159280000.0
2054.0,224729510000.0,177174400000.0,133878840000.0,199860030000.0,123308140000.0,182784080000.0,184589400000.0
2055.0,222578820000.0,176652170000.0,130273380000.0,196047670000.0,118576325000.0,180001230000.0,181414220000.0
2056.0,219989410000.0,174428110000.0,125532594000.0,194022980000.0,113483530000.0,179563460000.0,178088030000.0
2057.0,221233330000.0,168646120000.0,120688960000.0,190428550000.0,109692445000.0,177526730000.0,175650650000.0
2058.0,219917170000.0,164000760000.0,116699960000.0,190748300000.0,105463480000.0,173538870000.0,170837150000.0
2059.0,220516170000.0,160335130000.0,112125810000.0,188494710000.0,100976470000.0,170326080000.0,165041060000.0
2060.0,219119000000.0,156127120000.0,108833686000.0,185564020000.0,97792360000.0,167883520000.0,161376100000.0
2061.0,216057150000.0,152147740000.0,104838110000.0,182846200000.0,94090265000.0,166119700000.0,158644320000.0
2062.0,211064570000.0,148685260000.0,99994610000.0,181492960000.0,90268490000.0,162484800000.0,155859190000.0
2063.0,210797200000.0,147095910000.0,95921890000.0,177332010000.0,86258190000.0,161945490000.0,153741300000.0
2064.0,211817790000.0,143860420000.0,92633710000.0,176295820000.0,82469814000.0,160205050000.0,149396570000.0
2065.0,211651150000.0,140785800000.0,90083040000.0,174291300000.0,81139155000.0,157627350000.0,147419970000.0
2066.0,208473110000.0,137606970000.0,86889810000.0,170696410000.0,78431290000.0,153687130000.0,144112520000.0
2067.0,206300090000.0,133928910000.0,84127430000.0,168258850000.0,75920610000.0,151712090000.0,140306270000.0
2068.0,203489540000.0,128457730000.0,81515550000.0,166605700000.0,72323260000.0,149767960000.0,135882530000.0
2069.0,203284560000.0,126804400000.0,78784580000.0,164913990000.0,69814910000.0,148893560000.0,133032340000.0
2070.0,200075600000.0,124458140000.0,75345540000.0,163989880000.0,67771500000.0,146112680000.0,131433415000.0
2071.0,200216770000.0,121566280000.0,73667210000.0,158823060000.0,65911243000.0,144386920000.0,129095210000.0
2072.0,201046440000.0,118707560000.0,70473700000.0,157177680000.0,63409940000.0,142176800000.0,126531260000.0
2073.0,201750970000.0,113935960000.0,67640950000.0,155149170000.0,60769948000.0,139845480000.0,124688870000.0
2074.0,201590100000.0,111236284000.0,65175850000.0,152729600000.0,57955815000.0,138317790000.0,119659310000.0
2075.0,199849400000.0,109380805000.0,62959190000.0,149075460000.0,55658476000.0,136253740000.0,116652820000.0
2076.0,200169100000.0,106052035000.0,60168933000.0,145576640000.0,53858150000.0,133153650000.0,115147104000.0
2077.0,194917990000.0,103605810000.0,56723290000.0,142037200000.0,51586523000.0,130604170000.0,112530110000.0
2078.0,192941200000.0,102029740000.0,53904180000.0,140604600000.0,49072430000.0,128609550000.0,109738385000.0
2079.0,190959340000.0,98147660000.0,51631116000.0,137207054000.0,46570463000.0,127489730000.0,107661690000.0
2080.0,189276640000.0,96218820000.0,49029165000.0,134277235000.0,43815690000.0,125919380000.0,103951140000.0
2081.0,186758430000.0,93730005000.0,47199265000.0,132537330000.0,41183860000.0,123381480000.0,101576820000.0
2082.0,181127560000.0,90472610000.0,44917146000.0,130811360000.0,39442125000.0,119691060000.0,98980400000.0
2083.0,179117160000.0,86695700000.0,42042663000.0,128882690000.0,38149935000.0,117245534000.0,96674110000.0
2084.0,175912710000.0,84261904000.0,40676086000.0,124859376000.0,36170953000.0,113998406000.0,95659620000.0
2085.0,171757960000.0,82142890000.0,38117147000.0,121466585000.0,34653233000.0,112117015000.0,93468710000.0
2086.0,169309140000.0,78588840000.0,36190077000.0,118157664000.0,33046160000.0,109400970000.0,92837810000.0
2087.0,164663030000.0,75698184000.0,34262900000.0,118448800000.0,31114520000.0,106299640000.0,91611520000.0
2088.0,159660700000.0,74129030000.0,32561715000.0,115232180000.0,29316377000.0,103512785000.0,89290780000.0
2089.0,153778750000.0,73097760000.0,30639657000.0,114088790000.0,27872018000.0,100666930000.0,87866710000.0
2090.0,148286870000.0,71468750000.0,28740567000.0,110614690000.0,26541218000.0,99132770000.0,86633220000.0
2091.0,144362960000.0,69243460000.0,27260280000.0,108685200000.0,25246302000.0,97323580000.0,84037850000.0
2092.0,140674760000.0,67690420000.0,26244055000.0,106432400000.0,24109860000.0,94736210000.0,82722546000.0
2093.0,138212280000.0,65893057000.0,24512817000.0,103266180000.0,22865402000.0,93063720000.0,80310845000.0
2094.0,136678580000.0,64541688000.0,23127245000.0,101806990000.0,21618647000.0,90435215000.0,77682524000.0
2095.0,132952550000.0,62691906000.0,21879695000.0,99306830000.0,20613452000.0,89137280000.0,76397620000.0
2096.0,129625450000.0,60386673000.0,20473635000.0,96489230000.0,19433480000.0,87658160000.0,75433030000.0
2097.0,125906510000.0,58413646000.0,19368038000.0,94228080000.0,18441994000.0,85042250000.0,72150155000.0
2098.0,123246895000.0,56004850000.0,18162555000.0,92705800000.0,17480501000.0,84206290000.0,69956340000.0
2099.0,119219530000.0,54079430000.0,17086520000.0,89803930000.0,16277806000.0,82522580000.0,67645350000.0
2100.0,117367650000.0,52722078000.0,16346615000.0,87091970000.0,15376715000.0,80769670000.0,66059610000.0
