time,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3-VEG,CAMS-CSM1-0
2075.0,34865385000.0,49757070000.0,34602040000.0,52769760000.0
2076.0,35047457000.0,51367850000.0,34034600000.0,52891247000.0
2077.0,34436153000.0,53321910000.0,34787525000.0,55372140000.0
2078.0,35485766000.0,53311894000.0,33839792000.0,55959458000.0
2079.0,36057760000.0,54410280000.0,33050595000.0,56420557000.0
2080.0,35116550000.0,54390860000.0,34241140000.0,56939870000.0
2081.0,34268232000.0,53417120000.0,35173593000.0,57268924000.0
2082.0,35370480000.0,53554210000.0,35554780000.0,57921974000.0
2083.0,35576550000.0,53769146000.0,35413107000.0,57062195000.0
2084.0,34528793000.0,54278967000.0,34738220000.0,55450140000.0
2085.0,36331246000.0,54559990000.0,36181357000.0,55170634000.0
2086.0,37377860000.0,55565160000.0,36542780000.0,55901710000.0
2087.0,37239804000.0,55862420000.0,36298760000.0,56982640000.0
2088.0,36151747000.0,57063002000.0,35890467000.0,58098570000.0
2089.0,36382073000.0,57804560000.0,36949283000.0,58150605000.0
2090.0,36904624000.0,58792270000.0,38780940000.0,58360370000.0
2091.0,37447926000.0,58766586000.0,38580343000.0,57775563000.0
2092.0,37606015000.0,57584710000.0,38454570000.0,56828285000.0
2093.0,37387944000.0,56605900000.0,39821853000.0,56310500000.0
2094.0,37930000000.0,58335050000.0,40609100000.0,57817395000.0
2095.0,38057996000.0,58212900000.0,40520850000.0,59644154000.0
2096.0,39013884000.0,57802596000.0,40231550000.0,61369565000.0
2097.0,39010800000.0,59352830000.0,40345040000.0,60828058000.0
2098.0,39822574000.0,60285730000.0,38608060000.0,60063556000.0
2099.0,41006490000.0,61295900000.0,38866530000.0,60804770000.0
2100.0,41259168000.0,60606853000.0,39480054000.0,62565224000.0
