time,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR
2050.0,32574587000.0,22944932000.0,59014566000.0,40345735000.0
2051.0,31699700000.0,21622153000.0,58373290000.0,37804310000.0
2052.0,30708355000.0,21075724000.0,56774156000.0,36215600000.0
2053.0,30322650000.0,20076612000.0,55288170000.0,35487007000.0
2054.0,30017788000.0,19354774000.0,54032527000.0,34591474000.0
2055.0,29149350000.0,18648472000.0,52955130000.0,33450285000.0
2056.0,28412370000.0,18183903000.0,51642110000.0,31911954000.0
2057.0,27453336000.0,17685105000.0,50531430000.0,30749354000.0
2058.0,26761413000.0,17172007000.0,50335300000.0,29755156000.0
2059.0,26046570000.0,16504872000.0,49874970000.0,29058232000.0
2060.0,25366178000.0,16043980000.0,49339560000.0,28169347000.0
2061.0,24828375000.0,15404289000.0,50083774000.0,27776152000.0
2062.0,24647848000.0,14801814000.0,49093804000.0,27277570000.0
2063.0,24006038000.0,14256594000.0,48651063000.0,26501523000.0
2064.0,24032926000.0,13747031000.0,48597357000.0,25555055000.0
2065.0,23591188000.0,13011389000.0,48270980000.0,25231479000.0
2066.0,23272217000.0,12649944000.0,48257155000.0,24607115000.0
2067.0,23021623000.0,12313688000.0,47913226000.0,24232110000.0
2068.0,23150746000.0,12275076000.0,46573236000.0,23445029000.0
2069.0,23135105000.0,12017188000.0,45861500000.0,22700728000.0
2070.0,22783734000.0,11939242000.0,45978190000.0,22364502000.0
2071.0,22576607000.0,11584545000.0,44869083000.0,22017022000.0
2072.0,22100562000.0,11263890000.0,44645347000.0,21939423000.0
2073.0,21906534000.0,11039200000.0,44979732000.0,21476210000.0
2074.0,21831897000.0,10818947000.0,44290232000.0,21215246000.0
2075.0,22011286000.0,10732467000.0,43700170000.0,21263327000.0
2076.0,21703293000.0,10538589000.0,44189577000.0,22143120000.0
2077.0,22000865000.0,10325747000.0,44032356000.0,21693305000.0
2078.0,22536864000.0,10234575000.0,44860404000.0,21734294000.0
2079.0,22711095000.0,10012166000.0,43955716000.0,21530753000.0
2080.0,22638426000.0,9906424000.0,44047630000.0,21723250000.0
2081.0,22514260000.0,9718555000.0,43644305000.0,21654125000.0
2082.0,22482317000.0,9749572000.0,43482292000.0,21850919000.0
2083.0,22466335000.0,9672961000.0,43486880000.0,21756604000.0
2084.0,22242644000.0,9578352000.0,43818926000.0,21499924000.0
2085.0,21989420000.0,9481166000.0,43859055000.0,21247334000.0
2086.0,21934690000.0,9511008000.0,43978490000.0,21411985000.0
2087.0,21611750000.0,9473220000.0,43598877000.0,21019806000.0
2088.0,21281257000.0,9420520000.0,43802608000.0,20805642000.0
2089.0,21547820000.0,9405664000.0,43473674000.0,20392724000.0
2090.0,21397965000.0,9337132000.0,42776293000.0,20158636000.0
2091.0,21397850000.0,9405407000.0,42039010000.0,20075026000.0
2092.0,21625065000.0,9282883000.0,41877684000.0,20049814000.0
2093.0,21566159000.0,9206341000.0,42088595000.0,20011440000.0
2094.0,21931719000.0,9200139000.0,41831400000.0,20099025000.0
2095.0,22052665000.0,9288073000.0,41321263000.0,20084886000.0
2096.0,22262733000.0,9318813000.0,41708614000.0,20162994000.0
2097.0,22171564000.0,9346097000.0,42004013000.0,20352420000.0
2098.0,22578954000.0,9303457000.0,42195767000.0,20514636000.0
2099.0,22516961000.0,9236891000.0,42507403000.0,20635318000.0
2100.0,22795483000.0,9075047000.0,42031014000.0,20794538000.0
