time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2060.0,15201908000.0,17627752000.0,30609590000.0,9701903000.0,19357905000.0
2061.0,14477955000.0,17001034000.0,29637216000.0,9290001000.0,18801457000.0
2062.0,13815084000.0,16694700000.0,28755067000.0,8672208000.0,17891355000.0
2063.0,13469677000.0,16355042000.0,27927410000.0,8350490600.0,17039421000.0
2064.0,12901889000.0,16063553000.0,27018826000.0,7992476700.0,16502225000.0
2065.0,12243527000.0,15567759000.0,25869668000.0,7771484700.0,15832749000.0
2066.0,11783492000.0,15210644000.0,26104380000.0,7531226000.0,15217221000.0
2067.0,11369080000.0,14949264000.0,25793708000.0,7214745600.0,14664417000.0
2068.0,11187060000.0,14778818000.0,24833554000.0,7000455700.0,14014587000.0
2069.0,10745682000.0,14316452000.0,23925025000.0,6818251000.0,13281538000.0
2070.0,10453142000.0,14090675000.0,23678667000.0,6592172500.0,12735425000.0
2071.0,10248068000.0,13770251000.0,23382315000.0,6415086000.0,12177578000.0
2072.0,10262775000.0,13659832000.0,22685032000.0,6223622700.0,11870742000.0
2073.0,10039164000.0,13436508000.0,22453920000.0,6158301000.0,11581201000.0
2074.0,10002057000.0,13333350000.0,21774373000.0,6097006000.0,11341626000.0
2075.0,9770585000.0,13200352000.0,21188274000.0,5922626600.0,11152383000.0
2076.0,9735822000.0,13013224000.0,20371378000.0,5829681700.0,10941370000.0
2077.0,9650629000.0,12920496000.0,19919397000.0,5784963600.0,10749604000.0
2078.0,9607668000.0,13169812000.0,19278502000.0,5734986000.0,10651146000.0
2079.0,9392347000.0,12968591000.0,18772480000.0,5495682600.0,10457357000.0
2080.0,9312886000.0,12965494000.0,18619886000.0,5328302000.0,10247349000.0
2081.0,9365801000.0,12900083000.0,18207121000.0,5200518000.0,10026996000.0
2082.0,9356781000.0,12860877000.0,17696629000.0,5068318000.0,10023848000.0
2083.0,9320291000.0,12745680000.0,17387762000.0,4943149000.0,10029568000.0
2084.0,9258754000.0,12629280000.0,17140897000.0,4957633500.0,10091786000.0
2085.0,9129934000.0,12602464000.0,17032748000.0,4912273400.0,10031907000.0
2086.0,9201222000.0,12642919000.0,16339056000.0,4892653600.0,10041427000.0
2087.0,9163949000.0,12682046000.0,15838182000.0,4829072400.0,10131177000.0
2088.0,9135386000.0,12750459000.0,15658123000.0,4756743700.0,10120228000.0
2089.0,9113314000.0,12719882000.0,15386162000.0,4688934400.0,10057280000.0
2090.0,9127924000.0,12800539000.0,15544194000.0,4606104600.0,10006076000.0
2091.0,9002213000.0,12859529000.0,15380975000.0,4649264600.0,9981279000.0
2092.0,8965567000.0,12898502000.0,15302579000.0,4633441300.0,9946082000.0
2093.0,8981047000.0,13011798000.0,15229706000.0,4602622000.0,9911964000.0
2094.0,9051927000.0,13141144000.0,15290740000.0,4588559400.0,9906212000.0
2095.0,9075071000.0,13305987000.0,15277664000.0,4570595000.0,9800203000.0
2096.0,9038382000.0,13557668000.0,15304397000.0,4515963000.0,9940019000.0
2097.0,9045382000.0,13829587000.0,15446255000.0,4480716300.0,9923151000.0
2098.0,9069280000.0,13932161000.0,15467306000.0,4540163600.0,9910936000.0
2099.0,9079871000.0,14077134000.0,15313902000.0,4584395000.0,9932728000.0
2100.0,9068522000.0,14073333000.0,15178893000.0,4582348000.0,10048227000.0
