time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0
2056.0,8151322000.0,5735234000.0,7678317600.0,6731750400.0,7518955000.0,8496822000.0,8819534000.0,4659790000.0,6073444400.0,6384395300.0,8842281000.0,6816065000.0,5447028000.0,10970760000.0
2057.0,7923162000.0,5557996000.0,7453938000.0,6547825000.0,7582539300.0,8257719300.0,8698213000.0,4555145700.0,5851907000.0,6152368000.0,8744854000.0,6662081000.0,5409952000.0,10787898000.0
2058.0,7658772000.0,5376292000.0,7338818000.0,6308726300.0,7146907000.0,8160890000.0,8506130400.0,4422232000.0,5689183700.0,5998841000.0,8640976000.0,6467877400.0,5012387000.0,10647900000.0
2059.0,7387361300.0,5179671000.0,7295922700.0,6117892000.0,6817769500.0,7842759000.0,8286782000.0,4175355100.0,5610270000.0,5876781600.0,8586376700.0,6292488000.0,4772534300.0,10621220000.0
2060.0,8041017300.0,4990136300.0,7180652500.0,5934823000.0,6574902000.0,7661881300.0,8132345300.0,4013276700.0,5320186400.0,5656522000.0,8291361000.0,6103401500.0,4511428600.0,10488141000.0
2061.0,7143259000.0,4837862400.0,7026683000.0,5842338000.0,6263988000.0,7444208000.0,8034566000.0,3873624600.0,5049963500.0,5363591000.0,8104224300.0,5998375000.0,4271761200.0,10324176000.0
2062.0,6872808000.0,4661016000.0,6766436000.0,5645082600.0,5913153500.0,7238656500.0,7853094000.0,3752394000.0,4893102600.0,5178247700.0,8171579000.0,5880313300.0,4151988200.0,10210277000.0
2063.0,6759021600.0,4798256600.0,6560358400.0,5415269000.0,5836039000.0,7041950000.0,7648735000.0,3741310500.0,4775595500.0,4977628000.0,7882307000.0,5739147300.0,3954199600.0,10425766000.0
2064.0,6554565000.0,4586255400.0,6422543000.0,5136723500.0,5595069400.0,6870954000.0,7792363000.0,3558706700.0,4640511000.0,4840583000.0,7726757400.0,5624100400.0,3817720300.0,10226915000.0
2065.0,6345690000.0,4366770000.0,6314114600.0,4973989400.0,5350106000.0,6777169400.0,7469917700.0,3442822400.0,4537982500.0,4653373000.0,7656719400.0,5505756000.0,3669599500.0,10039506000.0
2066.0,6155988000.0,4216036900.0,6295445500.0,4743445500.0,5194107400.0,6469831000.0,7303888000.0,3244965000.0,4421129700.0,4496155000.0,7430940700.0,5388174300.0,3515704300.0,9910163000.0
2067.0,6073044500.0,4098659600.0,6140004400.0,4584225000.0,5133358600.0,6333454300.0,7169978000.0,3148236000.0,4282116600.0,4314502700.0,7296374300.0,5246348000.0,3368283100.0,9801341000.0
2068.0,5822531000.0,3928789800.0,6001514500.0,4386852000.0,5085246000.0,6132250000.0,7191910400.0,3037088300.0,4320434000.0,4187933000.0,7131847700.0,5106641000.0,3248823600.0,9642918000.0
2069.0,5566138400.0,3834195000.0,5937177600.0,4237990100.0,4790208500.0,5967449000.0,7073659000.0,2927670800.0,4075074300.0,3987534000.0,6972535000.0,5085553000.0,3111107600.0,9574721000.0
2070.0,5391253500.0,3894809600.0,6029160400.0,4068460000.0,4701891000.0,5862272000.0,6915847700.0,2934167000.0,3902190000.0,3866571800.0,6816713700.0,5077280000.0,2992270300.0,9449469000.0
2071.0,5211360000.0,3646737400.0,5798604000.0,3939250700.0,4542245400.0,6629317000.0,6716814300.0,2704410600.0,3746592300.0,3616480300.0,6675990500.0,4871297500.0,2879727600.0,9376420000.0
2072.0,4967849500.0,3512660700.0,5661760500.0,3774888700.0,4484035600.0,5634947600.0,6635759000.0,2594318300.0,3658092800.0,3529650200.0,6562578000.0,4769819600.0,2751793000.0,9275907000.0
2073.0,4844886000.0,3422773000.0,5493091300.0,3619733500.0,4410181000.0,5528244700.0,6510045700.0,2580086500.0,3543287000.0,3403879000.0,6444951600.0,4664522000.0,2636848000.0,9140531000.0
2074.0,4634407400.0,3382622500.0,5379124000.0,3436952300.0,4233588700.0,5471270400.0,6341316600.0,2437999900.0,3417996800.0,3254298400.0,6244957700.0,4564628500.0,2561674800.0,9081758000.0
2075.0,4516358000.0,3199245600.0,5312143400.0,3244395500.0,4174195000.0,5217425000.0,6236238300.0,2354621400.0,3308862200.0,3173486600.0,6121872400.0,4518945000.0,2476412000.0,8887873000.0
2076.0,4385155600.0,3132763100.0,5272933000.0,3066504200.0,3956377900.0,5132797400.0,6059273000.0,2324600600.0,3250237000.0,3276146400.0,6022600000.0,4359960600.0,2402390800.0,8716230000.0
2077.0,4258860000.0,2994275800.0,5289915400.0,2925906400.0,3890847500.0,4889156000.0,5920850400.0,2188876000.0,3192645000.0,3005940200.0,5891673000.0,4290031400.0,2243242200.0,8470959000.0
2078.0,4088536800.0,2918541600.0,5035446300.0,2774542600.0,3748160800.0,4760372000.0,5810053600.0,2101200000.0,2999825700.0,2882202400.0,5734961700.0,4228005600.0,2186295300.0,8421832000.0
2079.0,4044526300.0,2898108000.0,5003105000.0,2595452200.0,3639527200.0,4552319500.0,5703188500.0,2014478100.0,2945606700.0,2799415800.0,5566604000.0,4162018300.0,2026904300.0,8179547600.0
2080.0,3846127600.0,2775397600.0,4841599000.0,2454550800.0,3474958000.0,4489986600.0,5592189000.0,2004942100.0,2792365800.0,2694380300.0,5499247000.0,4066573300.0,2086361900.0,8106631700.0
2081.0,3747092000.0,2673779700.0,4719287000.0,2303370500.0,3589131800.0,4409088000.0,5614480400.0,1872796900.0,2681616600.0,2662683400.0,5465200600.0,3981053700.0,1993529300.0,8366474000.0
2082.0,3781119500.0,2597172200.0,4688408000.0,2089538800.0,3284590600.0,4251407600.0,5376293400.0,1768971100.0,2617314800.0,2422272300.0,5536926000.0,4028350000.0,1748961800.0,7876472300.0
2083.0,3652447000.0,2546207000.0,4628629000.0,1954507900.0,3166636500.0,4124898600.0,5245540400.0,1658489300.0,2544627200.0,2316138200.0,5388430300.0,3837289000.0,1599629800.0,7691172400.0
2084.0,3421389800.0,2445219300.0,4443053000.0,1835992000.0,3024318200.0,4040934400.0,5298138000.0,1640892500.0,2436565800.0,2713609700.0,5226311700.0,3751650800.0,1632185500.0,7690670600.0
2085.0,3281858600.0,2398845700.0,4343954000.0,1758382300.0,2932213800.0,3935011000.0,5107767000.0,1526833800.0,2360585200.0,2314478600.0,5113491000.0,3755016700.0,1437636600.0,7670817000.0
2086.0,3100393200.0,2329569800.0,4321089000.0,1675414000.0,2827737300.0,3858182100.0,4968040400.0,1462450600.0,2252020000.0,2115083300.0,4975837000.0,3697248000.0,1358382200.0,7382863000.0
2087.0,2974536400.0,2185669400.0,4189920300.0,1614240500.0,2769934300.0,3744322300.0,4799874600.0,1396966500.0,2104449700.0,2009046400.0,4855472000.0,3600428000.0,1322267100.0,7400016400.0
2088.0,2757470700.0,2081391900.0,4406117000.0,1521231600.0,2668467500.0,3642696400.0,4694559000.0,1337643300.0,2026531200.0,2566311400.0,4700759600.0,3558388000.0,1272141600.0,7136155600.0
2089.0,2666203600.0,2025973400.0,4062654500.0,1402563000.0,2605560800.0,3601358600.0,4559210500.0,1333780700.0,1895944600.0,1929268400.0,4633402000.0,3477433300.0,1189518300.0,7051912000.0
2090.0,2543271400.0,1931505700.0,4000631300.0,1319556100.0,2490567200.0,3445430800.0,4499054600.0,1275722500.0,1861854500.0,1809635100.0,4539443000.0,3360870100.0,1119939100.0,7169771000.0
2091.0,2446864400.0,1929707400.0,3862218200.0,1237950500.0,2378326300.0,3378749700.0,4513671700.0,1182570400.0,1756228200.0,1711604900.0,4505444400.0,3317354800.0,1054503500.0,6793619000.0
2092.0,2422974200.0,1837654800.0,3880071700.0,1175045600.0,2285263400.0,3205321500.0,4323772400.0,1115772500.0,1678906600.0,1584798300.0,4340457500.0,3213013000.0,989645630.0,6653674500.0
2093.0,2281144300.0,1756307200.0,3798529000.0,1123399000.0,2192523500.0,3120415500.0,4190903000.0,1068378400.0,1581375700.0,1501433300.0,4279989800.0,3110562800.0,994980100.0,6660770300.0
2094.0,2164371000.0,1711979600.0,3660424000.0,1107876000.0,2079909400.0,3024657400.0,4113840000.0,1016499400.0,1541623600.0,1457584900.0,4167865900.0,3057086000.0,890797760.0,6524963300.0
2095.0,2116202200.0,1671090700.0,3644274700.0,1014025300.0,2097225500.0,2955913700.0,4078208300.0,986519740.0,1465347000.0,1414787100.0,4094139600.0,2982310000.0,855932160.0,6493806600.0
2096.0,1975206700.0,1600794800.0,3613237500.0,985336200.0,1980098600.0,2811850500.0,3788877000.0,955188160.0,1396342900.0,1362904000.0,4001111800.0,2924484600.0,972737300.0,6411465000.0
2097.0,1841137300.0,1557142400.0,3478348800.0,928464450.0,1823880600.0,2743700500.0,3793888300.0,918872640.0,1363725600.0,1297138600.0,4004902000.0,2880182800.0,903337540.0,6279692300.0
2098.0,1745985800.0,1521535500.0,3382771700.0,863717300.0,1760387500.0,2661637400.0,3731821600.0,900015900.0,1425980500.0,1288034600.0,3797739800.0,2799559000.0,828487800.0,6531069000.0
2099.0,1673542700.0,1502127200.0,3376065800.0,821296830.0,1879395600.0,2619852500.0,3565446700.0,871999100.0,1251964300.0,1490721800.0,3738936300.0,2679185000.0,774538700.0,6066855000.0
2100.0,1606245900.0,1457945600.0,3416464400.0,759170500.0,1686167300.0,2570900700.0,3554062300.0,864897100.0,1218532100.0,1181423600.0,3658800400.0,2621119500.0,730584700.0,6078836700.0
