time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2043.0,44547110000000.0,42597213000000.0,42948710000000.0,43410895000000.0,41437308000000.0,41718724000000.0,41591700000000.0,43101154000000.0,43272850000000.0,43095635000000.0
2044.0,44556840000000.0,42522790000000.0,42754810000000.0,43310940000000.0,41263693000000.0,41522427000000.0,41280810000000.0,42979977000000.0,43054290000000.0,42991810000000.0
2045.0,44497190000000.0,42426643000000.0,42602120000000.0,43182226000000.0,41129903000000.0,41336296000000.0,41061695000000.0,42937933000000.0,42794895000000.0,42885390000000.0
2046.0,44460193000000.0,42312360000000.0,42451444000000.0,43178304000000.0,40967760000000.0,41119874000000.0,40873425000000.0,42901660000000.0,42573863000000.0,42636430000000.0
2047.0,44456275000000.0,42091690000000.0,42271345000000.0,43132330000000.0,40849983000000.0,40921735000000.0,40658614000000.0,42882360000000.0,42436880000000.0,42414526000000.0
2048.0,44372284000000.0,41942220000000.0,42145784000000.0,43012378000000.0,40726640000000.0,40673810000000.0,40412698000000.0,42834050000000.0,42349002000000.0,42259593000000.0
2049.0,44314302000000.0,41823683000000.0,41951726000000.0,42992200000000.0,40521040000000.0,40439490000000.0,40130800000000.0,42766840000000.0,42220938000000.0,42094333000000.0
2050.0,44301216000000.0,41739746000000.0,41865220000000.0,42983605000000.0,40319542000000.0,40277300000000.0,39894273000000.0,42604956000000.0,42073790000000.0,41968420000000.0
2051.0,44322460000000.0,41543155000000.0,41739935000000.0,42906090000000.0,39956610000000.0,40139970000000.0,39614230000000.0,42460303000000.0,41930670000000.0,41878796000000.0
2052.0,44432520000000.0,41453158000000.0,41615914000000.0,42828780000000.0,39755765000000.0,39906227000000.0,39417340000000.0,42355273000000.0,41813760000000.0,41718250000000.0
2053.0,44482340000000.0,41269204000000.0,41481323000000.0,42697306000000.0,39430620000000.0,39676590000000.0,39307427000000.0,42263334000000.0,41729495000000.0,41598667000000.0
2054.0,44461925000000.0,41053017000000.0,41325785000000.0,42645116000000.0,39262880000000.0,39393420000000.0,39067077000000.0,42107560000000.0,41477103000000.0,41352566000000.0
2055.0,44392840000000.0,40995215000000.0,41277706000000.0,42537420000000.0,39033414000000.0,39080407000000.0,38806080000000.0,42014138000000.0,41377640000000.0,41034560000000.0
2056.0,44377292000000.0,40871148000000.0,41300040000000.0,42468188000000.0,38787030000000.0,38742178000000.0,38397117000000.0,41908550000000.0,41136257000000.0,40822146000000.0
2057.0,44331386000000.0,40675130000000.0,41144420000000.0,42411774000000.0,38575907000000.0,38520287000000.0,38018845000000.0,41918130000000.0,40871567000000.0,40589840000000.0
2058.0,44281750000000.0,40553190000000.0,41085334000000.0,42324118000000.0,38233853000000.0,38244763000000.0,37500500000000.0,41776505000000.0,40640063000000.0,40411268000000.0
2059.0,44216927000000.0,40372718000000.0,40996950000000.0,42281583000000.0,37939174000000.0,37954932000000.0,37229860000000.0,41666086000000.0,40388388000000.0,40017125000000.0
