time,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R
2045.0,135598630000.0,134018556000.0,131823665000.0,131574096000.0,131589440000.0,131510740000.0,131523780000.0,130922660000.0,132243060000.0,132558150000.0
2046.0,134916230000.0,133560520000.0,131688010000.0,131494460000.0,131451760000.0,131358050000.0,131732830000.0,130871990000.0,132116210000.0,132525620000.0
2047.0,134536500000.0,133154365000.0,131527705000.0,131580970000.0,131366625000.0,131302870000.0,131185780000.0,130585340000.0,131980260000.0,132554646000.0
2048.0,134477234000.0,133186830000.0,131421030000.0,131322500000.0,131370460000.0,131173876000.0,131066560000.0,130598400000.0,131741200000.0,132768690000.0
2049.0,134210855000.0,132866350000.0,131245330000.0,131126850000.0,131297630000.0,130838040000.0,131133390000.0,130143986000.0,131552220000.0,132555960000.0
2050.0,134751030000.0,133135880000.0,130981430000.0,131552625000.0,131356434000.0,130405065000.0,130923274000.0,129920440000.0,132359650000.0,132748270000.0
2051.0,134488090000.0,133351260000.0,130855770000.0,130940860000.0,130888930000.0,130256580000.0,130796490000.0,129576170000.0,132120840000.0,132847665000.0
2052.0,135483605000.0,132901190000.0,130644140000.0,130872510000.0,130809610000.0,130737900000.0,130345750000.0,129329226000.0,131710165000.0,132209280000.0
2053.0,134923210000.0,132650760000.0,130305230000.0,130628330000.0,130686970000.0,130014585000.0,130313170000.0,129288585000.0,132631610000.0,132009060000.0
2054.0,135005676000.0,132893360000.0,130091820000.0,130395170000.0,130450326000.0,129915070000.0,130257650000.0,129209870000.0,131207420000.0,132103270000.0
2055.0,134176604000.0,132748480000.0,130019434000.0,130258610000.0,130145450000.0,129898545000.0,130158120000.0,128853300000.0,130929760000.0,131709520000.0
2056.0,135123390000.0,132687890000.0,129811640000.0,130069600000.0,130031310000.0,129480510000.0,129629815000.0,128347046000.0,131054850000.0,131582070000.0
2057.0,134115990000.0,132845910000.0,129717850000.0,130083290000.0,129632395000.0,129210060000.0,129429060000.0,128413800000.0,130822990000.0,131556745000.0
2058.0,133793810000.0,132042540000.0,129525240000.0,130146120000.0,129507060000.0,128947320000.0,129999990000.0,127919680000.0,130559435000.0,131494560000.0
2059.0,133896135000.0,132909600000.0,129501210000.0,129843520000.0,129346110000.0,128615055000.0,129885690000.0,127676604000.0,129849205000.0,131516680000.0
2060.0,134304604000.0,131913120000.0,128928874000.0,129684800000.0,129327950000.0,128420350000.0,129340060000.0,127347180000.0,129852040000.0,131078414000.0
2061.0,133928280000.0,131926820000.0,128937950000.0,129558130000.0,128937075000.0,128074020000.0,129104580000.0,126535560000.0,129244320000.0,130942890000.0
2062.0,135117510000.0,131906314000.0,128579210000.0,129449240000.0,128806980000.0,127831286000.0,128742460000.0,126366450000.0,128948230000.0,130964590000.0
2063.0,133850280000.0,132372350000.0,128339400000.0,129673360000.0,128674520000.0,127566110000.0,128447830000.0,125976120000.0,128804710000.0,130830205000.0
2064.0,134304420000.0,131684340000.0,128244600000.0,129331500000.0,128395080000.0,127042190000.0,128317060000.0,125890790000.0,128538200000.0,131426140000.0
2065.0,135402630000.0,131825680000.0,128021430000.0,128997010000.0,127816835000.0,126522640000.0,128807540000.0,125646725000.0,128337210000.0,130621690000.0
2066.0,133755765000.0,131613070000.0,127617294000.0,128750420000.0,127688890000.0,125861520000.0,128077360000.0,125313090000.0,127997690000.0,130406965000.0
2067.0,134391480000.0,131999736000.0,127212530000.0,128556110000.0,127257940000.0,125741590000.0,127776840000.0,124931620000.0,127706950000.0,130294200000.0
2068.0,134088950000.0,131568620000.0,127020490000.0,128280490000.0,127308850000.0,125459600000.0,127905595000.0,124633780000.0,127442125000.0,130330430000.0
2069.0,133974770000.0,131200740000.0,126729420000.0,128790850000.0,126762610000.0,125550640000.0,127731790000.0,124363070000.0,127872090000.0,130440585000.0
2070.0,133736400000.0,131173080000.0,126627815000.0,128680714000.0,126290890000.0,125114960000.0,127757410000.0,124145850000.0,127125250000.0,130431705000.0
2071.0,133416420000.0,131283040000.0,126376130000.0,128098060000.0,125971430000.0,124572970000.0,127264860000.0,123632230000.0,126620840000.0,130231610000.0
2072.0,133266950000.0,131291234000.0,125901990000.0,127859660000.0,125739820000.0,124360340000.0,126943880000.0,123057600000.0,126393420000.0,129751410000.0
2073.0,133864310000.0,130990990000.0,125693210000.0,127587130000.0,125455204000.0,124076196000.0,126956315000.0,122714990000.0,126110060000.0,129497660000.0
2074.0,133791015000.0,130784000000.0,125514200000.0,127421690000.0,125269705000.0,124119700000.0,126500950000.0,122264710000.0,125885970000.0,129413920000.0
2075.0,133325430000.0,130698730000.0,125477134000.0,127253760000.0,125049020000.0,123934425000.0,126575750000.0,122103840000.0,125606535000.0,129552430000.0
2076.0,133135990000.0,130707210000.0,124848100000.0,127119000000.0,124509460000.0,123414610000.0,126082744000.0,121693660000.0,125093980000.0,129141465000.0
2077.0,133423415000.0,133308420000.0,124444205000.0,126676330000.0,124094060000.0,123179230000.0,126534000000.0,121362690000.0,124697800000.0,129092670000.0
2078.0,133770265000.0,131588280000.0,124152365000.0,126207780000.0,123903255000.0,122747190000.0,125937074000.0,120699490000.0,124297250000.0,128773960000.0
2079.0,134637000000.0,131090964000.0,124125370000.0,126410320000.0,123647210000.0,122232060000.0,125000070000.0,120365250000.0,123893300000.0,128641240000.0
2080.0,135445530000.0,131288965000.0,123847524000.0,126237170000.0,123534470000.0,121939990000.0,124515770000.0,119975980000.0,123474880000.0,128597810000.0
2081.0,134813080000.0,131545990000.0,123309285000.0,125989446000.0,123131520000.0,121597230000.0,124316885000.0,119692200000.0,122830240000.0,128248890000.0
2082.0,134491910000.0,131040485000.0,122913866000.0,126299480000.0,122638860000.0,121018160000.0,123828290000.0,119096780000.0,122539970000.0,128138250000.0
2083.0,134482575000.0,130943250000.0,122683560000.0,126109680000.0,122091570000.0,120778370000.0,123213790000.0,118709840000.0,121804880000.0,127772580000.0
2084.0,133584740000.0,131206600000.0,122414760000.0,126082245000.0,121723350000.0,120223370000.0,123353750000.0,118168490000.0,121571700000.0,127789270000.0
2085.0,133920830000.0,130607140000.0,122210520000.0,125586110000.0,121132010000.0,120111866000.0,123124100000.0,117457945000.0,121323850000.0,127509010000.0
2086.0,134811600000.0,130469265000.0,122029870000.0,125324590000.0,121084305000.0,119475724000.0,123222490000.0,116948810000.0,120666070000.0,127300400000.0
2087.0,135100695000.0,130526040000.0,121435190000.0,124760210000.0,121211880000.0,119222250000.0,122301670000.0,116536260000.0,120076920000.0,126928945000.0
2088.0,134239120000.0,130378750000.0,121071950000.0,124615420000.0,120671570000.0,118368370000.0,122045110000.0,116010180000.0,119844770000.0,126789460000.0
2089.0,134402330000.0,130323420000.0,120995320000.0,124411450000.0,120241360000.0,118069080000.0,121720640000.0,115405455000.0,119301060000.0,126571850000.0
2090.0,133272084000.0,131001614000.0,120750120000.0,124380510000.0,119779120000.0,117675200000.0,121598370000.0,114865190000.0,118747050000.0,126590810000.0
2091.0,133337960000.0,129962050000.0,120377550000.0,124416336000.0,119327050000.0,117449360000.0,121204040000.0,114313765000.0,118321050000.0,126743630000.0
2092.0,133347030000.0,129797740000.0,120092656000.0,124033900000.0,119226630000.0,117353750000.0,120866200000.0,113772675000.0,118684930000.0,126813080000.0
2093.0,132894240000.0,129507210000.0,119892180000.0,123723880000.0,118599430000.0,117295060000.0,120647230000.0,113474650000.0,118072566000.0,126145730000.0
2094.0,132515270000.0,129601520000.0,119523705000.0,123368554000.0,118257510000.0,116679115000.0,120261090000.0,112728450000.0,117318330000.0,125882480000.0
2095.0,132324024000.0,129298465000.0,119215650000.0,122977165000.0,117505810000.0,116051310000.0,120335520000.0,112219170000.0,116753400000.0,125825810000.0
2096.0,132392900000.0,129447270000.0,119125950000.0,122744840000.0,117313640000.0,115727910000.0,119868090000.0,111848430000.0,115751870000.0,125361930000.0
2097.0,132179960000.0,129960575000.0,118714130000.0,122971470000.0,116914610000.0,115430930000.0,119615685000.0,111698625000.0,115330380000.0,125294840000.0
2098.0,132025340000.0,129434410000.0,118581570000.0,122527160000.0,116581080000.0,115254075000.0,119382540000.0,110507090000.0,114535190000.0,124817650000.0
2099.0,131930950000.0,129348714000.0,118600550000.0,122388630000.0,116244120000.0,114681400000.0,118941060000.0,109922990000.0,113976850000.0,125007960000.0
2100.0,131656920000.0,129403126000.0,117933785000.0,121984470000.0,115959914000.0,114133670000.0,118467670000.0,109326770000.0,113191035000.0,124328650000.0
