time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2045.0,2825245200000.0,3099808000000.0,2902578400000.0,3015490700000.0,3156591000000.0,2892988700000.0,3079044000000.0,3157937600000.0,3213417800000.0,2923051000000.0,3394789000000.0,3371175800000.0,3184670000000.0,3144617300000.0
2046.0,2802823200000.0,3079787000000.0,2878051500000.0,3004841300000.0,3131808200000.0,2875808500000.0,3063776500000.0,3138651400000.0,3180923500000.0,2890811000000.0,3381139000000.0,3366933800000.0,3171641500000.0,3129424000000.0
2047.0,2768856400000.0,3055896000000.0,2863326600000.0,2987820800000.0,3109473500000.0,2854384600000.0,3038142000000.0,3114300600000.0,3160011400000.0,2860356700000.0,3383574000000.0,3342103700000.0,3153625400000.0,3107227000000.0
2048.0,2735676300000.0,3032703300000.0,2858434200000.0,2959641700000.0,3093767400000.0,2834480000000.0,3019541800000.0,3081965700000.0,3132256700000.0,2825242000000.0,3376231000000.0,3326612300000.0,3137644300000.0,3083071700000.0
2049.0,2703968700000.0,3012884700000.0,2853264400000.0,2934707300000.0,3078857700000.0,2825149200000.0,2997483000000.0,3043540900000.0,3099266400000.0,2796716600000.0,3373897000000.0,3313185800000.0,3120246300000.0,3064201500000.0
2050.0,2671143000000.0,2983494400000.0,2845461200000.0,2916383000000.0,3060108400000.0,2803461800000.0,2972329400000.0,3008240300000.0,3074313200000.0,2751471000000.0,3379273100000.0,3295445300000.0,3107148000000.0,3056923300000.0
2051.0,2638763300000.0,2964505200000.0,2835942500000.0,2909844000000.0,3048694600000.0,2787920800000.0,2947554000000.0,2971056500000.0,3050271400000.0,2729199800000.0,3374457000000.0,3278956700000.0,3095240000000.0,3026854000000.0
2052.0,2606323200000.0,2932228800000.0,2823510300000.0,2899220400000.0,3020610300000.0,2773313700000.0,2922624000000.0,2937513000000.0,3023727000000.0,2694653100000.0,3373763700000.0,3267365000000.0,3080349800000.0,3018702200000.0
2053.0,2579026700000.0,2896303000000.0,2809743300000.0,2882177300000.0,2987020000000.0,2751698000000.0,2890984000000.0,2901554200000.0,3002987700000.0,2670579400000.0,3372468100000.0,3241272000000.0,3066335900000.0,3003788000000.0
2054.0,2550607600000.0,2875818200000.0,2786572600000.0,2858660000000.0,2957422000000.0,2735799800000.0,2860059000000.0,2865744000000.0,2978320000000.0,2644790700000.0,3375544400000.0,3227127400000.0,3057470100000.0,2990809300000.0
