time,CSIRO-MK3-6-0,CCSM4,NORESM1-M,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2029.0,48112030000.0,47932404000.0,47716033000.0,48140104000.0,48108626000.0,47920580000.0,45851075000.0
2030.0,48108680000.0,47784206000.0,47523283000.0,47787460000.0,47784747000.0,47676654000.0,45378110000.0
2031.0,47636087000.0,48659137000.0,47513596000.0,47853910000.0,47745315000.0,47421125000.0,44846895000.0
2032.0,47374553000.0,48048860000.0,47310303000.0,48793203000.0,47665852000.0,47202180000.0,44298790000.0
2033.0,47219306000.0,47383753000.0,46889734000.0,47751864000.0,47346570000.0,46968020000.0,43721347000.0
2034.0,46965440000.0,47049736000.0,46646006000.0,47118905000.0,47197590000.0,46669177000.0,43094850000.0
2035.0,46887150000.0,46858125000.0,46432740000.0,47833764000.0,46936793000.0,46309315000.0,42427620000.0
2036.0,46707790000.0,46579143000.0,46184407000.0,47364284000.0,46750024000.0,45988463000.0,41707460000.0
2037.0,46411575000.0,46350086000.0,45862445000.0,47317260000.0,46482480000.0,45653780000.0,41046323000.0
2038.0,46147228000.0,46030960000.0,45920014000.0,46814710000.0,46150255000.0,45263503000.0,40213635000.0
2039.0,45798236000.0,45710844000.0,45359380000.0,46512630000.0,45911896000.0,44893980000.0,39303127000.0
2040.0,45564550000.0,45415764000.0,44970803000.0,46714982000.0,45589094000.0,44417577000.0,38482500000.0
2041.0,45213037000.0,44996735000.0,44696140000.0,46437720000.0,45312720000.0,44078360000.0,37755590000.0
2042.0,45007520000.0,44697810000.0,44296372000.0,45888717000.0,45057675000.0,43686978000.0,36924220000.0
2043.0,44783227000.0,44346585000.0,43985617000.0,45742445000.0,44802925000.0,43351590000.0,36294520000.0
2044.0,44412424000.0,44908650000.0,43621040000.0,45416400000.0,44760203000.0,42844226000.0,35174070000.0
2045.0,44019106000.0,43719926000.0,43299357000.0,45070650000.0,44530330000.0,42426044000.0,34323591000.0
2046.0,43707970000.0,43425595000.0,42974306000.0,44967555000.0,44108263000.0,41991700000.0,33457551000.0
2047.0,43399360000.0,43146480000.0,42578110000.0,45491573000.0,43703600000.0,41437802000.0,32694086000.0
2048.0,43222487000.0,42788520000.0,42358830000.0,44868510000.0,43449504000.0,40887624000.0,31828302000.0
2049.0,42821720000.0,42445156000.0,41979232000.0,45026040000.0,43128640000.0,40148742000.0,30940258000.0
2050.0,42897215000.0,41963897000.0,41687642000.0,44354646000.0,42770040000.0,39593040000.0,30171705000.0
2051.0,42278244000.0,41614627000.0,41217405000.0,45629325000.0,42344870000.0,39134798000.0,29373843000.0
2052.0,41774030000.0,41354105000.0,40737067000.0,44841652000.0,42226120000.0,38640554000.0,28457032000.0
2053.0,41314095000.0,41012870000.0,40452880000.0,43801140000.0,41851077000.0,38045307000.0,27703908000.0
2054.0,40867906000.0,40484840000.0,40039170000.0,43322278000.0,41530830000.0,37431840000.0,26878605000.0
2055.0,40412205000.0,40083755000.0,39593656000.0,42747030000.0,41185595000.0,36796506000.0,25962470000.0
2056.0,40057810000.0,39790825000.0,39103685000.0,42681540000.0,40833114000.0,36203770000.0,25053182000.0
2057.0,39478006000.0,39334480000.0,38692102000.0,42187977000.0,40352256000.0,35662377000.0,24204685000.0
2058.0,39037880000.0,38883586000.0,38231280000.0,41575424000.0,40037850000.0,35064676000.0,23405943000.0
2059.0,38770467000.0,38460236000.0,37945442000.0,41202246000.0,39884767000.0,34608255000.0,22659240000.0
2060.0,38149005000.0,37968175000.0,37499105000.0,40605348000.0,39465267000.0,34219575000.0,21977254000.0
2061.0,37547370000.0,37661650000.0,37215556000.0,40014746000.0,39111680000.0,33602930000.0,21194105000.0
2062.0,36986696000.0,37208590000.0,36928140000.0,39672025000.0,38749700000.0,33205100000.0,20535720000.0
2063.0,36457860000.0,36806840000.0,36354142000.0,39174775000.0,38378150000.0,32612925000.0,19765422000.0
2064.0,35887120000.0,36416668000.0,35969460000.0,38810137000.0,38016733000.0,32115980000.0,19080423000.0
2065.0,35406380000.0,35968057000.0,35588235000.0,38672396000.0,37677535000.0,31592684000.0,18488867000.0
2066.0,35018207000.0,35542300000.0,35210130000.0,37962700000.0,37437950000.0,31046693000.0,17978200000.0
2067.0,34745537000.0,35034235000.0,34615840000.0,37296366000.0,37159090000.0,30498877000.0,17395442000.0
2068.0,33830357000.0,34506050000.0,34293678000.0,36881170000.0,36769337000.0,29963422000.0,16828469000.0
2069.0,33455660000.0,33979916000.0,33678481000.0,36310847000.0,36484747000.0,29454207000.0,16340795000.0
2070.0,32724850000.0,33512843000.0,33229988000.0,35662766000.0,36098190000.0,28913168000.0,15684133000.0
2071.0,31941370000.0,33058718000.0,32720732000.0,35190755000.0,35820000000.0,28467900000.0,15219597000.0
2072.0,31473580000.0,32500503000.0,32149182000.0,34676453000.0,35512803000.0,27943391000.0,14710284000.0
2073.0,31234578000.0,31918832000.0,31641344000.0,34184167000.0,35251294000.0,27473420000.0,14265203000.0
2074.0,30499164000.0,31458632000.0,31209515000.0,34097295000.0,34883125000.0,27022000000.0,13825795000.0
2075.0,29878053000.0,30935878000.0,30629937000.0,33393545000.0,34608345000.0,26484613000.0,13410861000.0
2076.0,29269387000.0,30346064000.0,29904663000.0,32966910000.0,34174247000.0,25871618000.0,12991803000.0
2077.0,28789764000.0,29913570000.0,29499087000.0,32427567000.0,33802725000.0,25463880000.0,12524448000.0
2078.0,28133405000.0,29470102000.0,29102836000.0,32045414000.0,33459450000.0,24881770000.0,12214528000.0
2079.0,27582080000.0,29001036000.0,28625150000.0,31453362000.0,33234510000.0,24378628000.0,11847506000.0
2080.0,27248658000.0,28587667000.0,28128072000.0,30845164000.0,32791802000.0,23859247000.0,11496505000.0
2081.0,26524854000.0,28029295000.0,27618738000.0,30402759000.0,32405391000.0,23363025000.0,11170298000.0
2082.0,25959942000.0,27426430000.0,27200760000.0,29919244000.0,32000990000.0,22934587000.0,10896820000.0
2083.0,25456601000.0,26984505000.0,26806546000.0,29402558000.0,31621173000.0,22492158000.0,10556726000.0
2084.0,25146294000.0,26489980000.0,26374785000.0,28918450000.0,31224164000.0,22004576000.0,10262771000.0
2085.0,24649464000.0,25925032000.0,25976472000.0,28526506000.0,30742637000.0,21622614000.0,9942349000.0
2086.0,24173806000.0,25544921000.0,25540012000.0,28136663000.0,30300682000.0,21163696000.0,9668135000.0
2087.0,23865092000.0,25180220000.0,24979384000.0,27785870000.0,29992212000.0,20778435000.0,9422060000.0
2088.0,23333487000.0,24715733000.0,24519975000.0,27430912000.0,29631928000.0,20383594000.0,9139207000.0
2089.0,22885478000.0,25116334000.0,24146120000.0,26982617000.0,29307849000.0,19978914000.0,8894423000.0
2090.0,22406328000.0,23988660000.0,23685923000.0,26567033000.0,28881693000.0,19482190000.0,8619758000.0
2091.0,21890048000.0,23494873000.0,23231357000.0,26024876000.0,28525371000.0,19093494000.0,8391714300.0
2092.0,21451422000.0,23078973000.0,22821580000.0,26136330000.0,28092467000.0,18609910000.0,8198770000.0
2093.0,21053530000.0,22712932000.0,22480270000.0,25613093000.0,27741762000.0,18112434000.0,7934460400.0
2094.0,20767180000.0,22353040000.0,22141616000.0,24891707000.0,27582210000.0,17708714000.0,7721707000.0
2095.0,20296042000.0,21967217000.0,21644763000.0,26016008000.0,27157641000.0,17282216000.0,7455281700.0
2096.0,19905602000.0,21603967000.0,21257460000.0,26490317000.0,26861113000.0,16911201000.0,7289905700.0
2097.0,19576642000.0,21284400000.0,20876214000.0,25806418000.0,26511518000.0,16553738000.0,7093652000.0
2098.0,19184318000.0,20955247000.0,20430422000.0,24825047000.0,26073338000.0,16272301000.0,6942289000.0
2099.0,18903884000.0,20649363000.0,20022622000.0,24131460000.0,25686209000.0,15892343000.0,6773066000.0
2100.0,18461450000.0,20405746000.0,19619574000.0,23785556000.0,25359673000.0,15546783000.0,6614343000.0
