time,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2049.0,37439152000.0,35463782000.0,40763550000.0,34795225000.0,38481450000.0,41496244000.0,40268046000.0,38958820000.0,34456080000.0,25612102000.0
2050.0,36670570000.0,34458317000.0,40273120000.0,34001048000.0,37890966000.0,41207976000.0,39688122000.0,38641420000.0,33609716000.0,24233554000.0
2051.0,36151927000.0,33450856000.0,39826993000.0,33051530000.0,37198766000.0,40714666000.0,39058985000.0,37809517000.0,32694080000.0,23304940000.0
2052.0,35492594000.0,32453077000.0,39292666000.0,32527227000.0,36549160000.0,40084940000.0,38446383000.0,37169754000.0,31795634000.0,22175728000.0
2053.0,34707083000.0,31365364000.0,38888040000.0,31621513000.0,35976490000.0,39860520000.0,37816635000.0,36534784000.0,30860530000.0,21173486000.0
2054.0,34068732000.0,30430487000.0,38267654000.0,30927667000.0,35460580000.0,39270707000.0,37215756000.0,35996140000.0,29829470000.0,20111444000.0
2055.0,33433326000.0,29628381000.0,37616493000.0,30148835000.0,34844344000.0,38608204000.0,37907050000.0,35353883000.0,28991020000.0,19313230000.0
2056.0,32730360000.0,28878873000.0,37087683000.0,29301200000.0,34122637000.0,37999796000.0,36280656000.0,34631840000.0,28015858000.0,18424666000.0
2057.0,31895716000.0,27897053000.0,36479170000.0,28626640000.0,33430084000.0,37263897000.0,35377558000.0,33854327000.0,27236018000.0,17684754000.0
2058.0,31154690000.0,26868818000.0,35796390000.0,27633460000.0,32749994000.0,36779483000.0,34636240000.0,33295870000.0,26322220000.0,16863107000.0
2059.0,30340141000.0,26151543000.0,35222073000.0,26827764000.0,32185106000.0,36136080000.0,33872112000.0,32590930000.0,25466380000.0,16121865000.0
2060.0,29584270000.0,25226179000.0,34778202000.0,26006252000.0,31555576000.0,35599810000.0,33035917000.0,31871166000.0,24698237000.0,15362951000.0
2061.0,29004814000.0,24269832000.0,34252310000.0,25317239000.0,30883815000.0,35008930000.0,32112220000.0,31294433000.0,24077982000.0,14770976000.0
2062.0,28463473000.0,23383470000.0,33799334000.0,24607742000.0,30163884000.0,34527370000.0,31069510000.0,30738364000.0,23282237000.0,14161355000.0
2063.0,27766470000.0,22559246000.0,33159195000.0,23911617000.0,29613128000.0,33978157000.0,30356600000.0,30221257000.0,22593323000.0,13508738000.0
2064.0,26891727000.0,21952203000.0,32476710000.0,23021314000.0,28934777000.0,33633604000.0,29499488000.0,29714594000.0,21986423000.0,12912389000.0
2065.0,26138522000.0,21215427000.0,31912675000.0,22223858000.0,28286910000.0,32896696000.0,28639752000.0,29076201000.0,21116291000.0,12389738000.0
2066.0,25515833000.0,20430619000.0,31158014000.0,21553517000.0,27612766000.0,32268743000.0,27725920000.0,28507429000.0,20458328000.0,11913324000.0
2067.0,24889997000.0,19662200000.0,30491382000.0,20967080000.0,27017085000.0,31689849000.0,26810671000.0,27971998000.0,19783504000.0,11384458000.0
2068.0,24318532000.0,19031556000.0,29818510000.0,20318638000.0,26325246000.0,30959180000.0,26012920000.0,27343580000.0,19055450000.0,10878045000.0
2069.0,23573790000.0,18415063000.0,29245993000.0,19700597000.0,25581416000.0,30564061000.0,25328845000.0,26757157000.0,18478890000.0,10363404000.0
2070.0,22815150000.0,17857761000.0,28793733000.0,19050238000.0,24838169000.0,29874897000.0,24615283000.0,26242500000.0,17750315000.0,9939662000.0
2071.0,22155063000.0,17179918000.0,28109263000.0,18533888000.0,24212072000.0,29136239000.0,23701973000.0,25725782000.0,17072242000.0,9497699000.0
2072.0,21566202000.0,16713378000.0,27481979000.0,17951148000.0,23643415000.0,28619606000.0,22969397000.0,25208895000.0,16409614000.0,9101172000.0
2073.0,20984355000.0,16220177000.0,26781397000.0,17478042000.0,22999992000.0,28016128000.0,22405394000.0,24667329000.0,15903562000.0,8716005000.0
2074.0,20415620000.0,15699690000.0,26187536000.0,16889705000.0,22438177000.0,27439800000.0,21868796000.0,24137855000.0,15231071000.0,8403320300.0
2075.0,19770325000.0,15184547000.0,25695545000.0,16380073000.0,21994478000.0,26700100000.0,21035821000.0,23649800000.0,14624454000.0,8051099600.0
2076.0,19186653000.0,14712449000.0,25011714000.0,15762703000.0,21389420000.0,26042806000.0,20245383000.0,23161300000.0,14079546000.0,7752159000.0
2077.0,18608202000.0,14169597000.0,24355496000.0,15246906000.0,20696019000.0,25439939000.0,19692458000.0,22638250000.0,13549221000.0,7505495000.0
2078.0,18123852000.0,13617307000.0,23799013000.0,14718773000.0,20131213000.0,24933792000.0,19107150000.0,22167986000.0,13016854000.0,7275827700.0
2079.0,17528023000.0,13159965000.0,23324254000.0,14199666000.0,19582396000.0,24242627000.0,18615069000.0,21737112000.0,12648340000.0,6984443000.0
2080.0,17049363000.0,12843416000.0,22748408000.0,13873510000.0,19066757000.0,23671763000.0,17928538000.0,21294914000.0,12157474000.0,6752306700.0
2081.0,16593539000.0,12429081000.0,22245046000.0,13475556000.0,18516009000.0,23248460000.0,17151019000.0,20881121000.0,11771750000.0,6407037000.0
2082.0,16201173000.0,11975357000.0,21793649000.0,12995664000.0,18000159000.0,22604216000.0,16602408000.0,20394381000.0,11373398000.0,6184692700.0
2083.0,15710386000.0,11541732000.0,21133154000.0,12619219000.0,17654436000.0,22111738000.0,16068252000.0,19963089000.0,10988840000.0,5885347300.0
2084.0,15279073000.0,11094827000.0,20781586000.0,12282236000.0,17143598000.0,21593188000.0,15579586000.0,19514341000.0,10620841000.0,5635435500.0
2085.0,14811396000.0,10665696000.0,20247740000.0,11939533000.0,16627812000.0,20918376000.0,16032025000.0,19158704000.0,10299575000.0,5381586400.0
2086.0,14430874000.0,10305793000.0,19759413000.0,11604127000.0,16167506000.0,20262183000.0,14700648000.0,18693652000.0,9784910000.0,5020058600.0
2087.0,14050951000.0,9861314000.0,19156744000.0,11247539000.0,15717633000.0,19698037000.0,14176733000.0,18273204000.0,9367554000.0,4657664500.0
2088.0,13758419000.0,9540930000.0,18670117000.0,10867551000.0,15337025000.0,19167992000.0,13665963000.0,17888172000.0,8940360000.0,4422691000.0
2089.0,13298183000.0,9064320000.0,18282105000.0,10392293000.0,15084112000.0,18661728000.0,13160655000.0,17531620000.0,8488433000.0,4097468000.0
2090.0,12889037000.0,8522659000.0,17818802000.0,10054104000.0,14558053000.0,18328280000.0,12658119000.0,17200810000.0,8125809700.0,3827272400.0
2091.0,12494360000.0,8088560600.0,17434182000.0,9679273000.0,14120145000.0,17905381000.0,12202672000.0,16832321000.0,7738514000.0,3575055400.0
2092.0,12175727000.0,7575916000.0,17016668000.0,9316844000.0,13729430000.0,17401608000.0,11810094000.0,16500553000.0,7272048000.0,3418079200.0
2093.0,11904185000.0,7184295000.0,16770028000.0,9049575000.0,13353923000.0,16932880000.0,11379014000.0,16155065000.0,6760730000.0,3250934800.0
2094.0,11594241000.0,6857177000.0,16229891000.0,8652606000.0,12893352000.0,16374153000.0,11023273000.0,15861070000.0,6381798000.0,3059091200.0
2095.0,11370797000.0,6519996000.0,15822782000.0,8219243500.0,12560640000.0,16008530000.0,10748689000.0,15482258000.0,5927156700.0,2819323100.0
2096.0,11096297000.0,6226701300.0,15449904000.0,7844209700.0,12259491000.0,15628170000.0,10351069000.0,15122932000.0,5561557500.0,2664659000.0
2097.0,10776661000.0,5777084400.0,15140973000.0,7495681000.0,11953419000.0,15388363000.0,10035665000.0,14813951000.0,5210984000.0,2550105000.0
2098.0,10520691000.0,5439144000.0,14783090000.0,7129883600.0,11687969000.0,14917827000.0,9757001000.0,14464772000.0,4938609700.0,2390205000.0
2099.0,10239850000.0,5206875000.0,14440825000.0,6821540400.0,11431473000.0,14711288000.0,9346454000.0,14169306000.0,4683723300.0,2260971500.0
2100.0,9948319000.0,4939532300.0,14158916000.0,6576204300.0,11145956000.0,14203255000.0,9012440000.0,13868270000.0,4431987700.0,2156568000.0
