time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2136.0,17950765000.0,17894912000.0,27705256000.0,17325680000.0,15667867000.0,9465219000.0
2137.0,17831516000.0,17865372000.0,27942971000.0,17634345000.0,15694303000.0,9370111000.0
2138.0,17932230000.0,18122867000.0,27847256000.0,17498364000.0,15921766000.0,9610691000.0
2139.0,17833716000.0,17714862000.0,27723825000.0,17692990000.0,15444340000.0,9896913000.0
2140.0,18210992000.0,17615960000.0,27593734000.0,17586582000.0,15729444000.0,10065930000.0
2141.0,17886024000.0,18272109000.0,26960757000.0,17609216000.0,15935254000.0,10088500000.0
2142.0,17851159000.0,18191583000.0,26853597000.0,17225350000.0,16376664000.0,10428817000.0
2143.0,18338843000.0,17722160000.0,27285166000.0,17214908000.0,16764772000.0,10338327000.0
2144.0,18027463000.0,18318463000.0,27067800000.0,16974824000.0,17295940000.0,10591927000.0
2145.0,18373073000.0,18172072000.0,27496788000.0,17323596000.0,17387815000.0,10537272000.0
2146.0,19090610000.0,18694697000.0,27237022000.0,17457308000.0,17300260000.0,10607100000.0
2147.0,19306746000.0,19044700000.0,27533576000.0,17593694000.0,17748090000.0,10659351000.0
2148.0,18842257000.0,19668124000.0,27512881000.0,17368828000.0,17872636000.0,10938129000.0
2149.0,18943033000.0,19810116000.0,27613477000.0,17697436000.0,18184180000.0,11146562000.0
2150.0,18240696000.0,20075772000.0,27154061000.0,18129936000.0,18199960000.0,11285866000.0
2151.0,18663651000.0,20110965000.0,27400114000.0,18675077000.0,17981657000.0,11606206000.0
2152.0,18084897000.0,20488569000.0,27251870000.0,18791406000.0,18025898000.0,11685469000.0
2153.0,18202472000.0,20636801000.0,27122485000.0,18927415000.0,18534770000.0,11601613000.0
2154.0,18414442000.0,20636020000.0,26902491000.0,19524420000.0,19347931000.0,11501424000.0
2155.0,18354797000.0,20359092000.0,27197614000.0,19131679000.0,19620878000.0,11356775000.0
2156.0,18163212000.0,20613951000.0,27077423000.0,19421262000.0,19646335000.0,11231537000.0
