time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL
2061.0,11578887000000.0,12833101000000.0,11107839000000.0,9535375000000.0
2062.0,11470607000000.0,12853031000000.0,11012818000000.0,9387193000000.0
2063.0,11359547000000.0,12859703000000.0,10976312000000.0,9234670000000.0
2064.0,11266646000000.0,12839199000000.0,10908690000000.0,9096419000000.0
2065.0,11183726000000.0,12810172000000.0,10849423000000.0,8968083000000.0
2066.0,11072360000000.0,12806077000000.0,10801747000000.0,8857382000000.0
2067.0,10998241000000.0,12798373000000.0,10743404000000.0,8715027600000.0
2068.0,10877423000000.0,12792255000000.0,10687861000000.0,8599820000000.0
2069.0,10829846000000.0,12743777000000.0,10661220000000.0,8495621500000.0
2070.0,10730527000000.0,12724250000000.0,10614374000000.0,8432618000000.0
2071.0,10660538000000.0,12684264000000.0,10574414000000.0,8337929300000.0
2072.0,10621569000000.0,12654860000000.0,10478920000000.0,8287184500000.0
2073.0,10558662000000.0,12621378000000.0,10460736000000.0,8245318500000.0
2074.0,10512169000000.0,12609716000000.0,10402867000000.0,8193698700000.0
2075.0,10463475000000.0,12562091000000.0,10349322000000.0,8097213400000.0
2076.0,10381862000000.0,12541442000000.0,10259125000000.0,7991982600000.0
2077.0,10323077000000.0,12517245000000.0,10162847000000.0,7884038500000.0
2078.0,10203000000000.0,12474303000000.0,10063981000000.0,7775258700000.0
2079.0,10143886000000.0,12480960000000.0,9953420000000.0,7644963700000.0
2080.0,10083188000000.0,12469002000000.0,9888609000000.0,7536766400000.0
2081.0,10060481000000.0,12431818000000.0,9825798000000.0,7429684000000.0
2082.0,10029639000000.0,12415100000000.0,9769421000000.0,7349845000000.0
2083.0,9935058000000.0,12383697000000.0,9739848000000.0,7252176500000.0
2084.0,9918625000000.0,12369922000000.0,9675427000000.0,7171734000000.0
2085.0,9897641000000.0,12361953000000.0,9626905000000.0,7100267000000.0
2086.0,9845192000000.0,12337448000000.0,9599331000000.0,7010151000000.0
2087.0,9821311000000.0,12325886000000.0,9563102000000.0,6941575000000.0
2088.0,9806037000000.0,12331265000000.0,9488131000000.0,6881403000000.0
2089.0,9779994000000.0,12327860000000.0,9420736000000.0,6784049000000.0
2090.0,9745957000000.0,12307728000000.0,9351703000000.0,6681114700000.0
2091.0,9725186000000.0,12288329000000.0,9277351000000.0,6605875700000.0
2092.0,9700476000000.0,12284118000000.0,9230286000000.0,6518632600000.0
2093.0,9637650000000.0,12268750000000.0,9203725000000.0,6446848000000.0
2094.0,9636932000000.0,12252535000000.0,9152467000000.0,6373851000000.0
2095.0,9570824000000.0,12260617000000.0,9134326000000.0,6300286600000.0
2096.0,9553531000000.0,12249182000000.0,9104686000000.0,6267075000000.0
2097.0,9513790000000.0,12255568000000.0,9082534000000.0,6179995000000.0
2098.0,9461052000000.0,12264249000000.0,9053260000000.0,6136602000000.0
2099.0,9402719000000.0,12242379000000.0,8991889000000.0,6055675000000.0
2100.0,9368709000000.0,12242250000000.0,8948404000000.0,5971443000000.0
