time,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL
2082.0,9756067000.0,16867458000.0,21873947000.0,17504033000.0,10981937000.0
2083.0,10035705000.0,16497675000.0,19190612000.0,17338235000.0,11454063000.0
2084.0,11782577000.0,16349137000.0,18527805000.0,17127158000.0,10649261000.0
2085.0,10751436000.0,15999485000.0,18297900000.0,17120328000.0,10395543000.0
2086.0,10174474000.0,16117552000.0,18263409000.0,17318453000.0,11987459000.0
2087.0,10095807000.0,16009979000.0,18123577000.0,16797241000.0,10356321000.0
2088.0,13525319000.0,15577658000.0,17590700000.0,20964434000.0,10055052000.0
2089.0,10622497000.0,15412802000.0,18494867000.0,18844840000.0,9911894000.0
2090.0,9578143000.0,16420480000.0,17434139000.0,17543410000.0,9783577000.0
2091.0,9246788000.0,17492888000.0,17168226000.0,17737020000.0,9825555000.0
2092.0,9116993000.0,15621444000.0,16909173000.0,17696852000.0,11324893000.0
2093.0,9054836000.0,14936678000.0,17040041000.0,16754556000.0,9753547000.0
2094.0,8745332000.0,14746259000.0,16562152000.0,16787101000.0,9411156000.0
2095.0,8610600000.0,14690627000.0,16460111000.0,17656111000.0,9193349000.0
2096.0,8730692000.0,14578510000.0,16302425000.0,18126653000.0,9237205000.0
2097.0,8568888000.0,14363406000.0,16574754000.0,16213589000.0,9214180000.0
2098.0,8480553500.0,14830760000.0,17148536000.0,16220068000.0,8835455000.0
2099.0,8673369000.0,14494110000.0,17679161000.0,16450659000.0,8713073000.0
2100.0,8536687600.0,14307205000.0,16264397000.0,17068784000.0,8557145000.0
