time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2022.0,28197902000.0,28216550000.0,28350982000.0,28236350000.0,28166523000.0,28246520000.0,28477940000.0,28195730000.0,28185630000.0,28170019000.0,28543543000.0,28370735000.0,28300825000.0,28254990000.0
2023.0,28049790000.0,28118596000.0,28153002000.0,28169126000.0,28105691000.0,28083847000.0,28322056000.0,28020703000.0,28023103000.0,28111000000.0,28362410000.0,28169103000.0,28049723000.0,28169476000.0
2024.0,27888394000.0,28085932000.0,27970916000.0,28000029000.0,28061256000.0,27941626000.0,28200075000.0,27872782000.0,27900199000.0,28026479000.0,28162066000.0,28027988000.0,27951108000.0,27934552000.0
2025.0,27730205000.0,27965096000.0,27758604000.0,27923464000.0,27986336000.0,27826168000.0,28095377000.0,27820978000.0,27856968000.0,27766030000.0,28243403000.0,27907133000.0,27878877000.0,27799355000.0
2026.0,27672703000.0,27836310000.0,27733858000.0,27697027000.0,27839693000.0,27715312000.0,27937866000.0,27709518000.0,27929350000.0,27633959000.0,28067019000.0,27790090000.0,27700541000.0,27787379000.0
2027.0,27512252000.0,27771780000.0,27526971000.0,27586945000.0,27647375000.0,27590191000.0,27815707000.0,27777540000.0,27661900000.0,27453910000.0,28124050000.0,27642558000.0,27535583000.0,27535670000.0
2028.0,27354415000.0,27647963000.0,27346276000.0,27487711000.0,27475175000.0,27379257000.0,27949857000.0,27432034000.0,27663016000.0,27459248000.0,27831876000.0,27477877000.0,27309003000.0,27359680000.0
2029.0,27228678000.0,27445918000.0,27191020000.0,27306789000.0,27412226000.0,27337670000.0,27760554000.0,27349303000.0,27397890000.0,27208983000.0,27696906000.0,27345015000.0,26966618000.0,27171869000.0
2030.0,27146934000.0,27375317000.0,27114695000.0,27116250000.0,27409904000.0,26977770000.0,27602420000.0,27109233000.0,27495860000.0,27070167000.0,27554675000.0,27241904000.0,26745400000.0,26988595000.0
2031.0,26920632000.0,27172950000.0,26896585000.0,26977407000.0,27181599000.0,26803692000.0,27531215000.0,26891549000.0,27320150000.0,27075310000.0,27425489000.0,26982908000.0,26497411000.0,26735137000.0
2032.0,26698584000.0,26949104000.0,26954084000.0,26818025000.0,26926480000.0,26740177000.0,27360903000.0,26696636000.0,27262917000.0,26765085000.0,27344654000.0,26787715000.0,26165586000.0,26496227000.0
2033.0,26480007000.0,26820624000.0,26667016000.0,26726636000.0,26735743000.0,26454884000.0,27197899000.0,26544802000.0,27018818000.0,26634293000.0,27276986000.0,26622261000.0,26046794000.0,26386588000.0
2034.0,26314097000.0,26692477000.0,26474086000.0,26592102000.0,26834133000.0,26195040000.0,27006906000.0,26317824000.0,27116503000.0,26480964000.0,27242574000.0,26400457000.0,25893198000.0,26100054000.0
2035.0,26186787000.0,26618049000.0,26392322000.0,26257132000.0,26508740000.0,26018796000.0,26865676000.0,26132003000.0,26730050000.0,26361346000.0,27096824000.0,26165720000.0,25612958000.0,25835233000.0
2036.0,26047308000.0,26420710000.0,26189490000.0,26175260000.0,26448468000.0,25518193000.0,26656926000.0,26092120000.0,26673234000.0,26166930000.0,26942136000.0,25887033000.0,25435142000.0,25516430000.0
2037.0,25879812000.0,26315049000.0,26047513000.0,26033780000.0,26229030000.0,25259016000.0,26625681000.0,25900442000.0,26459474000.0,26006809000.0,26841174000.0,25673316000.0,25183007000.0,25350793000.0
2038.0,25711038000.0,26166684000.0,25859950000.0,25773650000.0,26125533000.0,25451633000.0,26331337000.0,25946409000.0,26475090000.0,25902074000.0,26667016000.0,25612007000.0,24948345000.0,25014684000.0
2039.0,25564895000.0,26245628000.0,25695050000.0,25681680000.0,25888010000.0,24879133000.0,26199407000.0,25500869000.0,26365532000.0,25761014000.0,26529075000.0,25286695000.0,24808315000.0,24976374000.0
2040.0,25465199000.0,25982790000.0,25559347000.0,25498038000.0,25754325000.0,24647520000.0,26861582000.0,25367329000.0,26450094000.0,25621402000.0,26404975000.0,25113135000.0,24371520000.0,24653093000.0
2041.0,25321814000.0,25822470000.0,25390268000.0,25197892000.0,25578883000.0,24352600000.0,26373513000.0,25195942000.0,26219821000.0,25971792000.0,26297387000.0,24870070000.0,24107956000.0,24362330000.0
2042.0,25147193000.0,25762360000.0,25423550000.0,25035160000.0,25410814000.0,24143702000.0,26025998000.0,25023824000.0,26125620000.0,25450666000.0,26229490000.0,24574249000.0,24042146000.0,24210616000.0
2043.0,24996465000.0,25521328000.0,25044163000.0,24911946000.0,25234506000.0,24725619000.0,25858384000.0,24822477000.0,25960690000.0,25279693000.0,26131057000.0,24453968000.0,23856755000.0,24037716000.0
2044.0,24890515000.0,25405740000.0,24898992000.0,24713728000.0,25106866000.0,24132985000.0,25820391000.0,24681542000.0,25831805000.0,25130150000.0,26000679000.0,24169460000.0,23603595000.0,23832904000.0
2045.0,24786016000.0,25287342000.0,24778263000.0,24542048000.0,25014819000.0,23702952000.0,25456736000.0,24488028000.0,25700964000.0,24996315000.0,25868160000.0,24001530000.0,23447546000.0,23563080000.0
2046.0,24603527000.0,25168800000.0,24609327000.0,24348396000.0,24923335000.0,23466484000.0,25316805000.0,24342847000.0,25559607000.0,24960610000.0,25733786000.0,23919370000.0,23181940000.0,23454913000.0
2047.0,24401252000.0,25061792000.0,24414347000.0,24148640000.0,24759656000.0,23131181000.0,25427104000.0,24223457000.0,25481691000.0,24829895000.0,25639182000.0,23643927000.0,22826646000.0,23165645000.0
2048.0,24318730000.0,24892346000.0,24229591000.0,23988386000.0,24486650000.0,22876244000.0,25091666000.0,24001616000.0,25366432000.0,24707308000.0,25492701000.0,23380900000.0,22546606000.0,22993890000.0
2049.0,24291980000.0,24746496000.0,24048577000.0,23772367000.0,24391641000.0,22755056000.0,25000516000.0,23854694000.0,25158246000.0,24524005000.0,25343050000.0,23200223000.0,22452767000.0,22872280000.0
2050.0,23984712000.0,24694909000.0,23858444000.0,23599518000.0,24187814000.0,22346713000.0,24712047000.0,23700871000.0,25052965000.0,24333101000.0,25203462000.0,23033930000.0,22218435000.0,22535629000.0
2051.0,23941216000.0,24566650000.0,23736254000.0,23445656000.0,24065456000.0,22067208000.0,24614058000.0,23594084000.0,24922255000.0,24238133000.0,25059432000.0,22783492000.0,21988567000.0,22334650000.0
2052.0,23860582000.0,24392788000.0,23433302000.0,23393573000.0,23944194000.0,21837095000.0,24463251000.0,23413750000.0,24747645000.0,24168560000.0,24891777000.0,22520060000.0,21819180000.0,22189777000.0
2053.0,23653163000.0,24453278000.0,23280703000.0,23120593000.0,23692657000.0,21651315000.0,24328815000.0,23555109000.0,24602094000.0,24004733000.0,24712442000.0,22148473000.0,21636831000.0,21896944000.0
2054.0,23433603000.0,24356108000.0,23130657000.0,22883572000.0,23557437000.0,21476436000.0,24142125000.0,23042308000.0,24594076000.0,23848724000.0,24644598000.0,21914925000.0,21490885000.0,21573929000.0
2055.0,23327630000.0,24124668000.0,22892888000.0,22765308000.0,23417068000.0,21201240000.0,23980786000.0,22914840000.0,24464587000.0,23707912000.0,24506239000.0,21611196000.0,21321705000.0,21352240000.0
2056.0,23262824000.0,24038595000.0,22690540000.0,22567932000.0,23315474000.0,21064493000.0,23859280000.0,22808120000.0,24315754000.0,23669518000.0,24320225000.0,21335216000.0,21125941000.0,21083974000.0
2057.0,23053130000.0,23896680000.0,22487452000.0,22449555000.0,23154282000.0,20621638000.0,23700680000.0,22711310000.0,24091154000.0,23516176000.0,24158767000.0,21082393000.0,20890085000.0,20966830000.0
2058.0,22899460000.0,23769065000.0,22529937000.0,22239222000.0,22953296000.0,20369943000.0,23473360000.0,22541435000.0,23886363000.0,23341126000.0,23942197000.0,20844753000.0,20650017000.0,20659474000.0
2059.0,22836179000.0,23674950000.0,22257773000.0,21960219000.0,23142062000.0,20199606000.0,23290240000.0,22590038000.0,23683035000.0,23189352000.0,23714558000.0,20587557000.0,20501277000.0,20428925000.0
2060.0,22637040000.0,23556866000.0,21987550000.0,21810199000.0,22686335000.0,19936385000.0,23103584000.0,22385353000.0,23499108000.0,23036768000.0,23533634000.0,20470934000.0,20269560000.0,20159720000.0
2061.0,22510920000.0,23441630000.0,21719920000.0,21597446000.0,22469825000.0,19645751000.0,23419840000.0,22040519000.0,23366558000.0,22936720000.0,23481231000.0,20103617000.0,20040202000.0,19932453000.0
2062.0,22369837000.0,23272684000.0,21405518000.0,21388351000.0,22658347000.0,19395880000.0,22909553000.0,21910671000.0,23228434000.0,22796601000.0,23285547000.0,19805913000.0,19955345000.0,19853451000.0
2063.0,22193480000.0,23125630000.0,21226514000.0,21204247000.0,22166405000.0,19273146000.0,22780250000.0,21782491000.0,23068428000.0,22642094000.0,23046615000.0,19568250000.0,19699120000.0,19671912000.0
2064.0,22116921000.0,23092929000.0,21057380000.0,20935617000.0,21977307000.0,19014367000.0,22634136000.0,21592332000.0,22913042000.0,22525944000.0,22778280000.0,19420967000.0,19534750000.0,19511755000.0
2065.0,21940580000.0,22957450000.0,20815167000.0,20717644000.0,21826160000.0,18855090000.0,22500491000.0,22331984000.0,22713235000.0,22330388000.0,22776377000.0,19233114000.0,19513810000.0,19321932000.0
2066.0,21834582000.0,22825722000.0,20660259000.0,20581280000.0,21611370000.0,18684527000.0,22295722000.0,21882130000.0,22517723000.0,22270163000.0,22471193000.0,19046680000.0,19611937000.0,19218455000.0
2067.0,21688414000.0,22711448000.0,20463940000.0,20685826000.0,21720316000.0,18594085000.0,22177077000.0,21538484000.0,22381435000.0,22099614000.0,22538525000.0,18841332000.0,19255532000.0,19021048000.0
2068.0,21555614000.0,22577283000.0,20284916000.0,20326314000.0,21489664000.0,18393307000.0,22130563000.0,21512655000.0,22246224000.0,21985274000.0,22225297000.0,18658894000.0,19170590000.0,18852841000.0
2069.0,21434590000.0,22470617000.0,20123960000.0,20082227000.0,21359223000.0,18207265000.0,21990680000.0,21801202000.0,22075136000.0,21799010000.0,22133050000.0,18619828000.0,19032547000.0,18732808000.0
2070.0,21307386000.0,22378433000.0,19993831000.0,19889430000.0,21194280000.0,18099857000.0,21933937000.0,21178400000.0,21927188000.0,21661280000.0,21945405000.0,18394184000.0,18831500000.0,18541335000.0
2071.0,21332097000.0,22268930000.0,19827683000.0,19738700000.0,21015118000.0,17943759000.0,21694816000.0,21027557000.0,22048967000.0,21527927000.0,21782739000.0,18226823000.0,18833074000.0,18439244000.0
2072.0,21107847000.0,22189900000.0,19650679000.0,19572550000.0,20954943000.0,17811579000.0,21562160000.0,20903487000.0,21675098000.0,21525410000.0,21585971000.0,18452607000.0,18777481000.0,18577869000.0
2073.0,20991666000.0,22060265000.0,19469787000.0,19422960000.0,20725107000.0,17583235000.0,21459315000.0,20723214000.0,21486877000.0,21305983000.0,21399828000.0,17977670000.0,18566689000.0,18423044000.0
2074.0,20955111000.0,21960188000.0,19304942000.0,19368544000.0,20758299000.0,17401285000.0,21313487000.0,20581511000.0,21330584000.0,21219893000.0,21272881000.0,17962355000.0,18409286000.0,18119143000.0
2075.0,20819802000.0,21867014000.0,18968130000.0,19053615000.0,20636720000.0,17209702000.0,21226578000.0,20481522000.0,21173934000.0,21133976000.0,21119748000.0,17681210000.0,18264930000.0,18267963000.0
2076.0,20672166000.0,21772284000.0,18823993000.0,18904834000.0,20461457000.0,17009030000.0,21142598000.0,20371063000.0,21033530000.0,20959660000.0,20888396000.0,17495740000.0,18119035000.0,17915181000.0
2077.0,20534090000.0,21680552000.0,18672622000.0,18778993000.0,20321038000.0,16873388000.0,20968320000.0,20267696000.0,20937273000.0,20806537000.0,20691632000.0,17310577000.0,18038985000.0,17783878000.0
2078.0,20456851000.0,21551753000.0,18459748000.0,18617430000.0,20243124000.0,16835451000.0,20876186000.0,20132643000.0,20922638000.0,20628756000.0,20518885000.0,17132667000.0,17926222000.0,17660193000.0
2079.0,20377741000.0,21394240000.0,18337343000.0,18454368000.0,20136985000.0,16613756000.0,20740946000.0,19992222000.0,20675154000.0,20534182000.0,20417716000.0,16935666000.0,17858617000.0,17593694000.0
2080.0,20328753000.0,21289304000.0,18176428000.0,18346516000.0,20068108000.0,16452094000.0,20702726000.0,19910027000.0,20533932000.0,20470616000.0,20232557000.0,16856358000.0,17739608000.0,17386203000.0
2081.0,20381426000.0,21160722000.0,18016463000.0,18147353000.0,20109193000.0,16248047000.0,20481851000.0,19677830000.0,20418441000.0,20383027000.0,20049474000.0,16659450000.0,17622108000.0,17287570000.0
2082.0,20094680000.0,21150020000.0,17840273000.0,17958003000.0,19875092000.0,16080361000.0,20291734000.0,20186552000.0,20255164000.0,20228805000.0,19846308000.0,16525956000.0,17497567000.0,17239134000.0
2083.0,20063492000.0,20942810000.0,17672362000.0,17818120000.0,19755758000.0,15975292000.0,20128620000.0,19599948000.0,20294564000.0,20098902000.0,19675570000.0,16334492000.0,17468318000.0,17006346000.0
2084.0,19949795000.0,20794590000.0,17497643000.0,17627060000.0,20026126000.0,15883831000.0,20032227000.0,19543966000.0,20064426000.0,19967857000.0,19703220000.0,16177599000.0,17320473000.0,16887773000.0
2085.0,19830497000.0,20684157000.0,17491660000.0,17498180000.0,19702639000.0,15646880000.0,19881794000.0,19541346000.0,19985013000.0,20279405000.0,19396456000.0,15976405000.0,17250314000.0,16806412000.0
2086.0,19698622000.0,20626668000.0,17288864000.0,17365983000.0,19749028000.0,15485690000.0,19870159000.0,19234517000.0,19887788000.0,19948478000.0,19209261000.0,15863002000.0,17893177000.0,16696650000.0
2087.0,19630096000.0,20550695000.0,17176365000.0,17241151000.0,20289962000.0,15441775000.0,19794786000.0,19048385000.0,19834720000.0,19691573000.0,18978610000.0,15697465000.0,17074118000.0,16621011000.0
2088.0,19640640000.0,20487133000.0,17132705000.0,17096105000.0,19510057000.0,15219587000.0,19549618000.0,18896669000.0,19675271000.0,19601170000.0,18797574000.0,15610364000.0,16904415000.0,16512495000.0
2089.0,19454618000.0,20250104000.0,17051075000.0,16942132000.0,19437590000.0,15077465000.0,19659166000.0,18834924000.0,19578874000.0,19500171000.0,18818906000.0,15432570000.0,16827564000.0,16441169000.0
2090.0,19398790000.0,20181912000.0,16914833000.0,16777772000.0,19412423000.0,14897392000.0,19417727000.0,18704460000.0,19478491000.0,19680060000.0,18515614000.0,15286926000.0,16744029000.0,16347151000.0
2091.0,19325831000.0,20030097000.0,16786404000.0,16663029000.0,19272974000.0,14781573000.0,19144548000.0,18568133000.0,19387170000.0,19316441000.0,18354524000.0,15165141000.0,16928076000.0,16256856000.0
2092.0,19206318000.0,20261906000.0,16577864000.0,16487629000.0,19241834000.0,14617571000.0,18978100000.0,18426618000.0,19278686000.0,19206597000.0,18179310000.0,14998483000.0,16895516000.0,16136588000.0
2093.0,19160158000.0,19872969000.0,16454736000.0,16371808000.0,19143973000.0,14456921000.0,18822558000.0,18345945000.0,19175754000.0,19122606000.0,18006964000.0,14867301000.0,16597154000.0,16036761000.0
2094.0,19090899000.0,19764208000.0,16293406000.0,16236874000.0,19052220000.0,14275354000.0,18701089000.0,18257424000.0,19156566000.0,18960996000.0,17908318000.0,14771084000.0,16460502000.0,15946842000.0
2095.0,18958221000.0,19666860000.0,16196414000.0,16100853000.0,19087264000.0,14161816000.0,18601925000.0,18340903000.0,19008424000.0,18899380000.0,17716400000.0,14553257000.0,16352727000.0,15844069000.0
2096.0,18882103000.0,19553665000.0,16089348000.0,15943547000.0,18900498000.0,14018130000.0,18498546000.0,18078521000.0,18932347000.0,18807253000.0,17953808000.0,14371593000.0,16256254000.0,15674567000.0
2097.0,18815110000.0,19477795000.0,15928069000.0,15823919000.0,18817864000.0,13860529000.0,18350954000.0,17936708000.0,19073010000.0,18771796000.0,17512282000.0,14364176000.0,16182774000.0,15642037000.0
2098.0,19179991000.0,19647429000.0,15838176000.0,15668882000.0,18776424000.0,13760851000.0,18212063000.0,17883798000.0,18786873000.0,18977092000.0,17411560000.0,14050224000.0,16108240000.0,15487171000.0
2099.0,18714116000.0,19440716000.0,15728113000.0,15562351000.0,18680680000.0,13654206000.0,18091004000.0,17789790000.0,18689174000.0,18548822000.0,17278657000.0,14005237000.0,16051375000.0,15400350000.0
2100.0,18654908000.0,19290847000.0,15600688000.0,15465979000.0,18608667000.0,13462670000.0,17988518000.0,17761884000.0,18605525000.0,18414887000.0,17176643000.0,13886293000.0,15948548000.0,15313704000.0
