time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR
2038.0,39658950000.0,44012716000.0,41445080000.0,44271014000.0,43662737000.0
2039.0,38651640000.0,43352777000.0,40470778000.0,43639310000.0,43464000000.0
2040.0,37765145000.0,42742280000.0,39870960000.0,43126817000.0,42858676000.0
2041.0,36866064000.0,42016084000.0,39052450000.0,42682130000.0,42249720000.0
2042.0,35945345000.0,41311666000.0,38580003000.0,42196000000.0,42142840000.0
2043.0,35054430000.0,40567120000.0,37803258000.0,41773050000.0,41544995000.0
2044.0,34106874000.0,39812903000.0,37090170000.0,41289990000.0,41012638000.0
2045.0,33096223000.0,38982947000.0,36282770000.0,41005494000.0,40509030000.0
2046.0,32121045000.0,38321525000.0,35441780000.0,40284930000.0,39932068000.0
2047.0,31024470000.0,37557625000.0,34636510000.0,39720698000.0,39935783000.0
2048.0,30074194000.0,36776976000.0,33991543000.0,39149040000.0,38889136000.0
2049.0,29303515000.0,35803500000.0,33160028000.0,38792827000.0,38291720000.0
2050.0,28181360000.0,34808380000.0,32473354000.0,38103912000.0,37840216000.0
2051.0,27176628000.0,33791089000.0,31741985000.0,37432947000.0,37077885000.0
2052.0,26132759000.0,33061548000.0,31022330000.0,36638753000.0,36375920000.0
2053.0,25021700000.0,32054890000.0,30193635000.0,35876348000.0,35698065000.0
2054.0,23871244000.0,30980063000.0,29781004000.0,35342770000.0,34956505000.0
2055.0,22754292000.0,30106055000.0,28958280000.0,34883530000.0,34519330000.0
2056.0,21818993000.0,29199745000.0,28313055000.0,34251307000.0,33724810000.0
2057.0,20948130000.0,28280210000.0,27649352000.0,33573920000.0,32976345000.0
2058.0,20041062000.0,27485956000.0,26987220000.0,32957061000.0,32533160000.0
2059.0,19147040000.0,26473935000.0,26336006000.0,32240509000.0,31820052000.0
2060.0,18529165000.0,25599306000.0,25672354000.0,31485833000.0,31208161000.0
2061.0,17906143000.0,24838218000.0,24996704000.0,30736914000.0,30777321000.0
2062.0,17208852000.0,24049945000.0,24274936000.0,30829679000.0,30067923000.0
2063.0,16624068000.0,23172028000.0,23618617000.0,29998856000.0,29288112000.0
2064.0,16023471000.0,22396848000.0,22809141000.0,29500113000.0,28456950000.0
2065.0,15352447000.0,21607533000.0,22348694000.0,29160604000.0,27665897000.0
2066.0,14912620000.0,20951146000.0,21824078000.0,28471710000.0,27526390000.0
2067.0,14227878000.0,20313825000.0,21350715000.0,27972196000.0,26693014000.0
2068.0,13605240000.0,19601640000.0,20667292000.0,27421160000.0,25926021000.0
2069.0,12989142000.0,18970310000.0,20278407000.0,26881903000.0,25355594000.0
2070.0,12457912000.0,18227430000.0,19776140000.0,26479442000.0,24899670000.0
2071.0,11948622000.0,17580718000.0,19242758000.0,26114695000.0,24354925000.0
2072.0,11579690000.0,16919170000.0,18708287000.0,25424873000.0,23676817000.0
2073.0,11259439000.0,16245689000.0,18319835000.0,24930781000.0,23156509000.0
2074.0,10859067000.0,15622732000.0,17887445000.0,24541477000.0,22688350000.0
2075.0,10321495000.0,15007982000.0,17403673000.0,24417935000.0,22044166000.0
2076.0,9929442000.0,14361116000.0,16817048000.0,23718238000.0,21406329000.0
2077.0,9548741000.0,13770125000.0,16433858000.0,23286739000.0,20873916000.0
2078.0,9234502000.0,13282755000.0,15921654000.0,22852465000.0,20276847000.0
2079.0,8835654000.0,12725261000.0,15393360000.0,22323743000.0,19730168000.0
2080.0,8548160000.0,12162928000.0,15025652000.0,21837607000.0,19146662000.0
2081.0,8115647000.0,11711826000.0,14671047000.0,21405356000.0,18628581000.0
2082.0,7730310700.0,11172400000.0,14284354000.0,20967125000.0,18116143000.0
2083.0,7286275000.0,10589311000.0,14034981000.0,20470077000.0,17667852000.0
2084.0,6954362400.0,10101592000.0,13542287000.0,19980190000.0,17075877000.0
2085.0,6592236000.0,9698010000.0,13195458000.0,19516262000.0,16613243000.0
2086.0,6006908000.0,9230954000.0,12818788000.0,19235926000.0,16076854000.0
2087.0,5561366500.0,8762833000.0,12426511000.0,18844045000.0,15703936000.0
2088.0,5110982700.0,8122912000.0,12126606000.0,18382604000.0,15114532000.0
2089.0,4758830000.0,7700749300.0,11770416000.0,18062942000.0,14668935000.0
2090.0,4299044000.0,7236175000.0,11486535000.0,17674880000.0,14192421000.0
2091.0,3993672700.0,6710342000.0,11219234000.0,17188108000.0,13783848000.0
2092.0,3574558700.0,6297633000.0,10981880000.0,16860394000.0,13426439000.0
2093.0,3240160800.0,5927497000.0,10598048000.0,16434383000.0,13016642000.0
2094.0,2932817400.0,5602639000.0,10161850000.0,16040482000.0,12598277000.0
2095.0,2763779600.0,5241984000.0,9626529000.0,15855743000.0,12258080000.0
2096.0,2545624000.0,4947237400.0,9254868000.0,15488291000.0,11961053000.0
2097.0,2329220000.0,4634992600.0,8868473000.0,15121134000.0,11627844000.0
2098.0,2153161700.0,4328236500.0,8384222700.0,14672061000.0,11282641000.0
2099.0,1981591000.0,4043332600.0,8014151000.0,14269460000.0,11033276000.0
2100.0,1821524500.0,3850401500.0,7775555600.0,13867159000.0,10694326000.0
