time,CESM2,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0
2067.0,2650153000000.0,3171671900000.0,2719821000000.0,2607885800000.0,3035460000000.0,3086786800000.0,3191043000000.0,3135420200000.0,2644951700000.0,3054682800000.0,2588088700000.0,2704805700000.0,3081395500000.0
2068.0,2617615300000.0,3155879300000.0,2682214000000.0,2569843000000.0,3005699900000.0,3083034400000.0,3178894200000.0,3098895000000.0,2594679300000.0,3014455500000.0,2549388700000.0,2662674500000.0,3036686300000.0
2069.0,2587165000000.0,3148438000000.0,2643120400000.0,2544439400000.0,2968323000000.0,3055373000000.0,3152318300000.0,3080501600000.0,2563501700000.0,2985174000000.0,2512987600000.0,2637614300000.0,3001662800000.0
2070.0,2553547800000.0,3136073800000.0,2617963400000.0,2502826700000.0,2929985000000.0,3031378000000.0,3123784200000.0,3063899800000.0,2531189600000.0,2959474200000.0,2487552000000.0,2611672000000.0,2946235000000.0
2071.0,2506755000000.0,3129219500000.0,2586425200000.0,2464401900000.0,2912190200000.0,3017004300000.0,3105122000000.0,3040723900000.0,2500193700000.0,2935236600000.0,2443807600000.0,2580833400000.0,2885018200000.0
2072.0,2453762700000.0,3121627800000.0,2559654800000.0,2417695000000.0,2870063100000.0,2998183100000.0,3076992300000.0,3012402600000.0,2467993700000.0,2904275600000.0,2398111100000.0,2540169900000.0,2839950000000.0
2073.0,2401577500000.0,3099408000000.0,2518510700000.0,2383627400000.0,2840231400000.0,2979959000000.0,3055474700000.0,2984406400000.0,2434536800000.0,2883534700000.0,2343750300000.0,2497159000000.0,2797222200000.0
2074.0,2368412600000.0,3072209000000.0,2481544800000.0,2339018600000.0,2825223700000.0,2940015000000.0,3025258200000.0,2959337000000.0,2405633000000.0,2841717500000.0,2309400600000.0,2475334300000.0,2778131600000.0
2075.0,2331806000000.0,3046837000000.0,2439204800000.0,2294071700000.0,2793187000000.0,2890200500000.0,2994946200000.0,2924961000000.0,2378484200000.0,2823060000000.0,2273562000000.0,2436990500000.0,2731273400000.0
2076.0,2300246800000.0,3020838400000.0,2389018400000.0,2238940000000.0,2752963000000.0,2858657500000.0,2962561400000.0,2893611800000.0,2353058300000.0,2802313300000.0,2241330000000.0,2403140600000.0,2695461300000.0
2077.0,2225604100000.0,2999475500000.0,2347932000000.0,2197541400000.0,2703970000000.0,2828938500000.0,2928690600000.0,2878127000000.0,2312416500000.0,2780240300000.0,2201066100000.0,2359650000000.0,2676442500000.0
