time,EC-EARTH3,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,CESM2,EC-EARTH3-VEG,CESM2-WACCM,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM5-0
2074.0,1297386300000.0,1946417400000.0,1203318200000.0,1963191000000.0,1704140200000.0,1724556600000.0,1840878200000.0,1544038500000.0,1741693400000.0,1837009900000.0,1838276800000.0,1876928400000.0,1466661900000.0,1732367200000.0
2075.0,1292505000000.0,1934547500000.0,1178442300000.0,1955899100000.0,1687044200000.0,1694550200000.0,1806500200000.0,1511985400000.0,1726277000000.0,1811550200000.0,1818046800000.0,1848476600000.0,1448964400000.0,1709728000000.0
2076.0,1265068400000.0,1914485600000.0,1157966700000.0,1936255500000.0,1676885400000.0,1679001300000.0,1778436400000.0,1464025500000.0,1710011600000.0,1790784300000.0,1790778800000.0,1825047200000.0,1436823500000.0,1694413500000.0
2077.0,1234469800000.0,1890039400000.0,1137321800000.0,1915943900000.0,1661671400000.0,1663644600000.0,1759707300000.0,1416109200000.0,1696621500000.0,1771348300000.0,1759035500000.0,1794650500000.0,1424792700000.0,1677692500000.0
2078.0,1207548100000.0,1867300300000.0,1113159600000.0,1893208300000.0,1648487300000.0,1647157800000.0,1744209300000.0,1396566000000.0,1677236000000.0,1750450400000.0,1727598300000.0,1755588900000.0,1400639700000.0,1658713800000.0
2079.0,1181712600000.0,1852517600000.0,1091325800000.0,1884832000000.0,1630827700000.0,1624119000000.0,1715776900000.0,1368643300000.0,1659403600000.0,1727070900000.0,1692390000000.0,1731651600000.0,1382339600000.0,1634219000000.0
2080.0,1158980000000.0,1844565900000.0,1068972300000.0,1875074600000.0,1614244500000.0,1617865100000.0,1688512400000.0,1346496800000.0,1643209200000.0,1713981900000.0,1665536200000.0,1705983500000.0,1371528000000.0,1616182200000.0
2081.0,1137844800000.0,1821834700000.0,1042703100000.0,1854710600000.0,1579704100000.0,1606130900000.0,1667773500000.0,1316307500000.0,1628134700000.0,1694164300000.0,1647493500000.0,1678781300000.0,1354031700000.0,1595894300000.0
2082.0,1123500400000.0,1804948700000.0,1026443900000.0,1853932400000.0,1563374300000.0,1587207300000.0,1653906100000.0,1275572000000.0,1614429800000.0,1670070800000.0,1620573300000.0,1661517400000.0,1343278300000.0,1580449700000.0
2083.0,1097905200000.0,1791824600000.0,1009872540000.0,1851448200000.0,1534091500000.0,1570478100000.0,1639337400000.0,1246151300000.0,1600995300000.0,1643846700000.0,1600797800000.0,1644878600000.0,1327262200000.0,1559112500000.0
2084.0,1071662370000.0,1791468900000.0,987270700000.0,1830564900000.0,1511313600000.0,1550131300000.0,1618274700000.0,1220977100000.0,1600520200000.0,1618912700000.0,1570149100000.0,1616640300000.0,1315277500000.0,1548129300000.0
2085.0,1045853800000.0,1782626000000.0,965893900000.0,1813013100000.0,1501303400000.0,1535937500000.0,1605818500000.0,1195134700000.0,1576166500000.0,1594083400000.0,1547445000000.0,1602792500000.0,1300892900000.0,1539779300000.0
2086.0,1021123170000.0,1773887800000.0,948156760000.0,1808771600000.0,1488209200000.0,1526864500000.0,1583133500000.0,1163402000000.0,1550683200000.0,1573570600000.0,1518739800000.0,1583353700000.0,1287764000000.0,1519090300000.0
2087.0,1000388030000.0,1755503800000.0,925948400000.0,1804368200000.0,1475652100000.0,1519538300000.0,1567195500000.0,1130057400000.0,1542548200000.0,1549345800000.0,1489246000000.0,1563947800000.0,1272490500000.0,1517475900000.0
2088.0,969112940000.0,1739373800000.0,904005750000.0,1793039500000.0,1458354700000.0,1501680400000.0,1554590000000.0,1108252400000.0,1536197100000.0,1528913500000.0,1462568600000.0,1546541300000.0,1261346600000.0,1497452800000.0
2089.0,946542400000.0,1742791800000.0,891576300000.0,1779958300000.0,1439819200000.0,1499391500000.0,1536116900000.0,1096809900000.0,1525167400000.0,1508339500000.0,1425649400000.0,1525977800000.0,1245511000000.0,1477858000000.0
2090.0,927441550000.0,1735123000000.0,872861500000.0,1764340000000.0,1423050300000.0,1483666200000.0,1518077700000.0,1083370960000.0,1515781600000.0,1485868400000.0,1396018500000.0,1519787300000.0,1235248600000.0,1470911100000.0
2091.0,906676700000.0,1726951000000.0,850372800000.0,1755268100000.0,1401265300000.0,1463772600000.0,1501010200000.0,1061132800000.0,1497123900000.0,1468841900000.0,1370618500000.0,1510155200000.0,1217222000000.0,1464259400000.0
2092.0,887313300000.0,1703580900000.0,831417800000.0,1742224500000.0,1386145600000.0,1442529400000.0,1491002500000.0,1039315500000.0,1471119100000.0,1454791000000.0,1335547500000.0,1498862200000.0,1199294400000.0,1450393600000.0
2093.0,870990150000.0,1689210000000.0,816109900000.0,1735158300000.0,1364088700000.0,1433106300000.0,1481779200000.0,1021672000000.0,1455070500000.0,1437968800000.0,1306602400000.0,1481245600000.0,1182956800000.0,1428868400000.0
2094.0,849246360000.0,1683255600000.0,793264300000.0,1721959000000.0,1344402100000.0,1420140200000.0,1478771600000.0,997188700000.0,1443511700000.0,1414158400000.0,1280002200000.0,1465229900000.0,1177031000000.0,1416265300000.0
2095.0,819845500000.0,1676399700000.0,781856740000.0,1707409700000.0,1329676300000.0,1396554700000.0,1451574700000.0,982434450000.0,1425051000000.0,1390468500000.0,1257318300000.0,1443718200000.0,1163121700000.0,1406573700000.0
2096.0,800391950000.0,1667749600000.0,760850940000.0,1703722400000.0,1316649800000.0,1380794900000.0,1425507000000.0,957553000000.0,1415178000000.0,1370909200000.0,1232204100000.0,1429985400000.0,1146312300000.0,1402993400000.0
2097.0,781703400000.0,1659441500000.0,745474160000.0,1683058700000.0,1304048200000.0,1369613100000.0,1410477200000.0,939531400000.0,1394493800000.0,1350877300000.0,1207795200000.0,1414075600000.0,1139673300000.0,1390656000000.0
2098.0,756392400000.0,1646612400000.0,726344660000.0,1672935400000.0,1291856100000.0,1347908500000.0,1402214700000.0,912187100000.0,1375422500000.0,1331550600000.0,1186660200000.0,1406623300000.0,1131596000000.0,1372036300000.0
2099.0,731536200000.0,1637705800000.0,710209240000.0,1653100600000.0,1276554200000.0,1329888900000.0,1383590800000.0,895091400000.0,1358020500000.0,1313953400000.0,1167599500000.0,1395160100000.0,1123380000000.0,1365520000000.0
2100.0,710088600000.0,1639458900000.0,692491600000.0,1642573900000.0,1270232300000.0,1325044300000.0,1371167000000.0,879048700000.0,1350635200000.0,1295507100000.0,1151716600000.0,1384020400000.0,1113780100000.0,1355529800000.0
