time,CCSM4,IPSL-CM5A-LR,CANESM2,NORESM1-M,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,CSIRO-MK3-6-0
2013.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0
2014.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0
2015.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0
2016.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0
2017.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0
2018.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0
2019.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0
2020.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0
2021.0,33849448000.0,33787353000.0,34294560000.0,33740966000.0,33872478000.0,33787351000.0,33733507000.0,33681943000.0,33788946000.0,33800888000.0
2022.0,33703840000.0,33653420000.0,33915978000.0,33684267000.0,33659355000.0,34016162000.0,33644673000.0,33691589000.0,33822925000.0,33682133000.0
2023.0,33833867000.0,33595576000.0,33711866000.0,33596164000.0,33553224000.0,33679796000.0,33526580000.0,33623960000.0,33728326000.0,33609996000.0
2024.0,33782526000.0,33675155000.0,33799256000.0,33643586000.0,33507992000.0,33584888000.0,33405528000.0,33580747000.0,33697694000.0,33515900000.0
2025.0,33618473000.0,33411523000.0,33620685000.0,33410648000.0,33536623000.0,33517165000.0,33294103000.0,33432326000.0,33685912000.0,33722970000.0
2026.0,33797474000.0,33412583000.0,33426060000.0,33332926000.0,33516580000.0,33737726000.0,33158013000.0,33356904000.0,33557518000.0,33447633000.0
2027.0,33514387000.0,33787066000.0,33294590000.0,33203407000.0,33474167000.0,33550234000.0,33119398000.0,33251742000.0,33489865000.0,33316278000.0
2028.0,33516425000.0,33306157000.0,33106430000.0,33089660000.0,33255380000.0,33373039000.0,33230780000.0,33862164000.0,33404807000.0,33179064000.0
2029.0,33372860000.0,33111341000.0,32987372000.0,33118312000.0,33095768000.0,33267007000.0,32885217000.0,33259310000.0,33357496000.0,33078930000.0
2030.0,33348626000.0,33199477000.0,33238837000.0,32986663000.0,32983830000.0,33330743000.0,32634060000.0,33086122000.0,33280444000.0,32993917000.0
2031.0,33807333000.0,32836741000.0,32824474000.0,32871522000.0,32898804000.0,33180230000.0,32401869000.0,32879438000.0,33228083000.0,33016777000.0
2032.0,33368699000.0,32628275000.0,32635610000.0,32750651000.0,32778949000.0,33120901000.0,32085273000.0,32859308000.0,33110560000.0,32776489000.0
2033.0,33835993000.0,32467997000.0,32594730000.0,32560065000.0,32691410000.0,32993196000.0,31788340000.0,32682404000.0,33024573000.0,32761655000.0
2034.0,33109807000.0,32276165000.0,32356438000.0,32358496000.0,32556077000.0,33403906000.0,31532292000.0,32672565000.0,32991742000.0,32551280000.0
2035.0,32996598000.0,32171964000.0,32231800000.0,32143634000.0,32378376000.0,32918006000.0,31245937000.0,32520700000.0,33195645000.0,32367737000.0
2036.0,32954798000.0,31821353000.0,31915708000.0,31939338000.0,32241822000.0,32690770000.0,30947308000.0,32520315000.0,32800266000.0,32204915000.0
2037.0,32842097000.0,31495215000.0,31646685000.0,32059190000.0,32032100000.0,32543302000.0,30652076000.0,32266373000.0,32744116000.0,32061151000.0
2038.0,32688185000.0,31205663000.0,31848071000.0,31766295000.0,31886428000.0,32764064000.0,30380962000.0,32046674000.0,32568310000.0,32178481000.0
2039.0,32557520000.0,30969990000.0,31323462000.0,31444806000.0,31919675000.0,32360319000.0,29956060000.0,31942270000.0,32438370000.0,32001071000.0
2040.0,32458703000.0,30693087000.0,31011127000.0,31577987000.0,31562410000.0,32208847000.0,29534822000.0,31573570000.0,32288370000.0,31722826000.0
2041.0,32349676000.0,30368210000.0,30807780000.0,31160474000.0,31305982000.0,31931326000.0,29239575000.0,31363080000.0,32198642000.0,31539546000.0
2042.0,32127623000.0,30110853000.0,30440270000.0,30850122000.0,31191708000.0,31675404000.0,28929042000.0,31190200000.0,32039960000.0,31221680000.0
2043.0,31939787000.0,29939196000.0,30486219000.0,30567313000.0,30965084000.0,31472732000.0,28454177000.0,31000652000.0,31865560000.0,31039087000.0
2044.0,31808233000.0,29441642000.0,30130300000.0,30431291000.0,31098675000.0,31867759000.0,28065829000.0,30696458000.0,31708530000.0,30740074000.0
2045.0,31721170000.0,29082642000.0,29652370000.0,30129168000.0,30744120000.0,31228418000.0,28128553000.0,30471922000.0,31539864000.0,30509193000.0
2046.0,31633228000.0,28722936000.0,29195430000.0,30015742000.0,30479663000.0,30862627000.0,27517645000.0,30188210000.0,31466654000.0,30224882000.0
2047.0,31287622000.0,28225290000.0,29110231000.0,29617260000.0,30339290000.0,30572884000.0,26950228000.0,29891353000.0,31248028000.0,29897644000.0
2048.0,31061623000.0,27988744000.0,28681552000.0,29230092000.0,30113675000.0,30369569000.0,26395770000.0,29711477000.0,31119650000.0,29632498000.0
2049.0,30881767000.0,27629285000.0,28230128000.0,29008028000.0,29705720000.0,30090484000.0,25858654000.0,29450099000.0,30731616000.0,29388468000.0
2050.0,30660166000.0,27257145000.0,27887655000.0,28552118000.0,29520966000.0,29804430000.0,25357392000.0,29220762000.0,30487840000.0,29060166000.0
2051.0,30440387000.0,26917538000.0,27426482000.0,28227370000.0,29198455000.0,29447903000.0,25055630000.0,28957653000.0,30182150000.0,28916795000.0
2052.0,30208045000.0,26488707000.0,27467954000.0,27881988000.0,28962828000.0,29192073000.0,24495825000.0,28632508000.0,29857055000.0,28858823000.0
2053.0,30175510000.0,26118570000.0,26679962000.0,27554570000.0,28716370000.0,28912431000.0,24010908000.0,28337414000.0,29622106000.0,28320502000.0
2054.0,30195132000.0,25760725000.0,26636620000.0,27429042000.0,28513950000.0,28551733000.0,23476441000.0,28158180000.0,29355778000.0,28083282000.0
2055.0,30048606000.0,25369520000.0,25840275000.0,27072720000.0,28175730000.0,28284830000.0,22865117000.0,28297834000.0,29151216000.0,27857783000.0
2056.0,29635627000.0,24948767000.0,25352466000.0,26798832000.0,27933202000.0,27963427000.0,22330952000.0,27918893000.0,28895120000.0,27389650000.0
2057.0,29356093000.0,24500224000.0,24975352000.0,26564663000.0,27684188000.0,27597453000.0,21804333000.0,27587300000.0,28667902000.0,26921058000.0
2058.0,29155109000.0,24083060000.0,24618664000.0,26272748000.0,27660454000.0,27191517000.0,21350269000.0,27290624000.0,28351433000.0,26560066000.0
2059.0,28930333000.0,23890137000.0,24166846000.0,26214705000.0,27211307000.0,26976715000.0,20761522000.0,27337378000.0,28156346000.0,26162672000.0
2060.0,28688423000.0,23431300000.0,24274596000.0,25867741000.0,26829703000.0,26493852000.0,20106240000.0,26816754000.0,27931394000.0,25842606000.0
2061.0,28414962000.0,22982842000.0,23828015000.0,25749672000.0,26474777000.0,26173331000.0,19579052000.0,26603444000.0,27551631000.0,25992036000.0
2062.0,28311384000.0,22641308000.0,23280054000.0,25493027000.0,26249697000.0,25863256000.0,18928687000.0,26634040000.0,27147571000.0,25241225000.0
2063.0,27916564000.0,22365889000.0,22804707000.0,25180400000.0,26275873000.0,25568647000.0,18391930000.0,26205983000.0,26894455000.0,24837607000.0
2064.0,27716311000.0,22014276000.0,22313226000.0,24922890000.0,25892545000.0,25311136000.0,17770084000.0,25874442000.0,26636413000.0,24586805000.0
2065.0,27465097000.0,21576415000.0,21933588000.0,24567536000.0,26758455000.0,25094200000.0,17170217000.0,25767963000.0,26392920000.0,24221348000.0
2066.0,27188212000.0,21188493000.0,21523630000.0,24398156000.0,26035380000.0,24705730000.0,16572640000.0,25528795000.0,26062778000.0,23872870000.0
2067.0,26892935000.0,20803516000.0,21209446000.0,24088046000.0,25332324000.0,24461918000.0,15919693000.0,25404084000.0,25828198000.0,24151230000.0
2068.0,26783783000.0,20471894000.0,20841734000.0,23815225000.0,25178487000.0,24075244000.0,15339784000.0,26172264000.0,25565284000.0,23290774000.0
2069.0,26630402000.0,20103166000.0,20452506000.0,23423638000.0,24862240000.0,23807928000.0,14778598000.0,25074033000.0,25375791000.0,22959900000.0
2070.0,26333086000.0,20099088000.0,20115263000.0,23187177000.0,24586056000.0,24290521000.0,14335171000.0,24902580000.0,25120817000.0,22635416000.0
2071.0,26517720000.0,19621181000.0,19779318000.0,22982316000.0,24419492000.0,23567294000.0,13917668000.0,24964334000.0,24916200000.0,24230640000.0
2072.0,26262399000.0,19219622000.0,19477463000.0,22803986000.0,24331702000.0,23100453000.0,13487235000.0,24653705000.0,24611588000.0,22170980000.0
2073.0,25853430000.0,18734086000.0,19086838000.0,22544994000.0,24043807000.0,22855803000.0,13083667000.0,24474378000.0,24548770000.0,22528223000.0
2074.0,25582524000.0,18368156000.0,18868357000.0,22307680000.0,24176330000.0,22534576000.0,12739596000.0,25505993000.0,24296389000.0,21787683000.0
2075.0,25643334000.0,19460694000.0,18480577000.0,22552950000.0,23605460000.0,22365213000.0,12251999000.0,24275341000.0,24022094000.0,21359743000.0
2076.0,25408268000.0,18295630000.0,18219868000.0,22037764000.0,23593107000.0,22030864000.0,11885887000.0,24188037000.0,23739533000.0,21172748000.0
2077.0,25162633000.0,17721194000.0,18249875000.0,21713600000.0,23165950000.0,21800643000.0,11453343000.0,24062190000.0,23497820000.0,20862190000.0
2078.0,25172992000.0,17352060000.0,17712257000.0,21512958000.0,22978654000.0,21591128000.0,11009835000.0,23873378000.0,23321299000.0,20991273000.0
2079.0,25100935000.0,17105747000.0,17438320000.0,21350025000.0,22690048000.0,21370675000.0,10623928000.0,23662522000.0,22960431000.0,20556080000.0
2080.0,24683610000.0,16815983000.0,17061298000.0,21013641000.0,22407627000.0,21140898000.0,10244868000.0,23526986000.0,22734932000.0,20230717000.0
2081.0,24489600000.0,16652684000.0,19434504000.0,20747698000.0,22210128000.0,20988928000.0,9886599000.0,25326438000.0,22496598000.0,20609118000.0
2082.0,26031663000.0,17529262000.0,17847660000.0,20559243000.0,22144627000.0,22095354000.0,9489033000.0,24148800000.0,22251375000.0,20226617000.0
2083.0,24586550000.0,16381956000.0,16689704000.0,20261603000.0,21755490000.0,20808935000.0,9224111000.0,23327074000.0,21968368000.0,20608391000.0
2084.0,24200520000.0,16058185000.0,16374461000.0,19951442000.0,21582858000.0,20357177000.0,8945464000.0,23061370000.0,21723568000.0,19538772000.0
2085.0,24021273000.0,15821543000.0,16032857000.0,19758164000.0,21342826000.0,20166033000.0,8645295000.0,22981048000.0,21535738000.0,19256500000.0
2086.0,23827102000.0,15601937000.0,15749716000.0,19537234000.0,21168755000.0,19964932000.0,8340297700.0,22838223000.0,21380602000.0,19272942000.0
2087.0,23749753000.0,15330974000.0,16144972000.0,19288460000.0,20974993000.0,19838704000.0,8126521000.0,22634433000.0,21197558000.0,18780776000.0
2088.0,23748465000.0,15088232000.0,15476658000.0,19007486000.0,20721076000.0,19527110000.0,7979007500.0,22843441000.0,21047261000.0,18653067000.0
2089.0,23721090000.0,14833616000.0,15190782000.0,18734592000.0,20442575000.0,19336935000.0,7673580500.0,22621057000.0,20860824000.0,18389232000.0
2090.0,23591592000.0,14671646000.0,15107464000.0,18600147000.0,20364964000.0,19035556000.0,7323827000.0,22447050000.0,20622365000.0,18199250000.0
2091.0,23279680000.0,14456190000.0,14872304000.0,18380755000.0,20074746000.0,18935263000.0,7181698000.0,22290356000.0,20453200000.0,17973807000.0
2092.0,23106410000.0,14828652000.0,14628787000.0,18150031000.0,20274328000.0,18608542000.0,6874082000.0,22187178000.0,20715958000.0,17719163000.0
2093.0,22997811000.0,16963415000.0,14316773000.0,18101258000.0,19656583000.0,18319084000.0,6642439000.0,22182650000.0,20268456000.0,17584142000.0
2094.0,22838061000.0,14142888000.0,14135921000.0,17686538000.0,19368616000.0,18146652000.0,6412435000.0,22072345000.0,20033604000.0,17392579000.0
2095.0,22704660000.0,14454639000.0,14088348000.0,17460951000.0,19162930000.0,18114175000.0,6228726300.0,21954353000.0,19868850000.0,17195176000.0
2096.0,22723490000.0,13847563000.0,13802827000.0,17314454000.0,19494427000.0,18483767000.0,6051524000.0,21862666000.0,19652078000.0,17521033000.0
2097.0,22509440000.0,14074310000.0,13631533000.0,17433616000.0,18796124000.0,17805992000.0,5830249000.0,21716914000.0,19514915000.0,17997824000.0
2098.0,22328328000.0,13490438000.0,13422085000.0,16980698000.0,18570086000.0,17590900000.0,5668980000.0,21612708000.0,19328109000.0,17833028000.0
2099.0,22161596000.0,13212951000.0,13281488000.0,16737467000.0,18375764000.0,17439330000.0,5535761400.0,21785672000.0,19157045000.0,17099420000.0
2100.0,22469206000.0,13194980000.0,13077748000.0,16579765000.0,18253621000.0,17264617000.0,5295382000.0,21570716000.0,19046140000.0,17006484000.0
