time,NORESM1-M,IPSL-CM5A-LR,CCSM4,GISS-E2-R,GFDL-ESM2G,GFDL-CM3,CSIRO-MK3-6-0
2024.0,34053933000.0,33735137000.0,33609890000.0,33735258000.0,33799918000.0,33464115000.0,33840753000.0
2025.0,33894912000.0,33667564000.0,33540230000.0,33640792000.0,33676904000.0,33331057000.0,33736151000.0
2026.0,33709222000.0,33643141000.0,33599787000.0,33538490000.0,33643452000.0,33300881000.0,33644782000.0
2027.0,33661497000.0,33555952000.0,33826990000.0,33441452000.0,33466147000.0,33062935000.0,33567322000.0
2028.0,33649189000.0,33466085000.0,33493178000.0,33477554000.0,33371976000.0,32901448000.0,33605218000.0
2029.0,33546908000.0,33381190000.0,33446545000.0,33916860000.0,33332230000.0,32718553000.0,34575213000.0
2030.0,33981241000.0,33278568000.0,33490352000.0,33517361000.0,33152598000.0,32601051000.0,33951947000.0
2031.0,33947500000.0,33271972000.0,34718773000.0,33371922000.0,33146565000.0,32314436000.0,33482610000.0
2032.0,33866195000.0,33205348000.0,33898099000.0,33211054000.0,33066725000.0,32063848000.0,33329983000.0
2033.0,33537632000.0,33785470000.0,33478871000.0,33118956000.0,32969552000.0,32015413000.0,33513335000.0
2034.0,33459470000.0,33043081000.0,33295337000.0,33049266000.0,32809892000.0,31633453000.0,33221788000.0
2035.0,33357443000.0,32811086000.0,33278159000.0,32936229000.0,32769116000.0,31371610000.0,33127119000.0
2036.0,33481343000.0,32686981000.0,33158291000.0,32811815000.0,32562209000.0,31038340000.0,33409458000.0
2037.0,33303124000.0,32540778000.0,33106016000.0,32856543000.0,33457175000.0,30750673000.0,33204312000.0
2038.0,33171886000.0,32419985000.0,32933591000.0,32590279000.0,32900186000.0,30388513000.0,33011560000.0
2039.0,33071650000.0,32193274000.0,32799800000.0,32491640000.0,32550089000.0,30023234000.0,32863863000.0
2040.0,32954296000.0,31868125000.0,32799488000.0,32496650000.0,32407947000.0,29699262000.0,32980386000.0
2041.0,32863949000.0,32330770000.0,32600748000.0,32179925000.0,32197374000.0,29300410000.0,32838595000.0
2042.0,32686141000.0,31690656000.0,32515992000.0,31995435000.0,31915342000.0,28890317000.0,32827632000.0
2043.0,32584042000.0,31521300000.0,32398045000.0,31854223000.0,31776471000.0,28493324000.0,33116870000.0
2044.0,32476944000.0,31241517000.0,32739334000.0,31860177000.0,31569916000.0,27917600000.0,32672586000.0
2045.0,32370053000.0,31025816000.0,32133042000.0,31734983000.0,31344390000.0,27463550000.0,32521961000.0
2046.0,32204952000.0,30706905000.0,31990411000.0,31516252000.0,31194532000.0,27016825000.0,32638462000.0
2047.0,32094890000.0,30772716000.0,31931953000.0,31287648000.0,31514864000.0,26666330000.0,32370143000.0
2048.0,31948263000.0,30234683000.0,31801242000.0,31089453000.0,30855590000.0,26318625000.0,32282966000.0
2049.0,31764216000.0,29620160000.0,31633535000.0,30947564000.0,30706668000.0,25785338000.0,32190943000.0
2050.0,31616846000.0,29368201000.0,31391666000.0,30737668000.0,30506346000.0,25553635000.0,32893940000.0
2051.0,31358470000.0,29208881000.0,31168285000.0,30612451000.0,30413068000.0,25131401000.0,32184965000.0
2052.0,31115266000.0,29392120000.0,31044766000.0,30428520000.0,30320347000.0,24737823000.0,32167248000.0
2053.0,30951647000.0,28734960000.0,30846523000.0,30188800000.0,29936497000.0,24248609000.0,31826237000.0
2054.0,31220597000.0,28479960000.0,30596983000.0,30031774000.0,29719855000.0,24021338000.0,31638573000.0
2055.0,30620774000.0,28085211000.0,30426180000.0,29819038000.0,29491120000.0,23476810000.0,31476353000.0
2056.0,30289615000.0,27749020000.0,30417965000.0,29658006000.0,29289345000.0,23032166000.0,31495330000.0
2057.0,30094055000.0,27357407000.0,30231198000.0,29457742000.0,28932528000.0,22578547000.0,31109356000.0
2058.0,29766148000.0,27049350000.0,29986798000.0,29277972000.0,28579813000.0,22152524000.0,30927740000.0
2059.0,29642873000.0,27114234000.0,29727115000.0,29190902000.0,28342422000.0,21806060000.0,30777747000.0
2060.0,29413683000.0,26791485000.0,29442488000.0,29005744000.0,27902763000.0,21393890000.0,30553795000.0
2061.0,29246657000.0,26349144000.0,29180340000.0,28778390000.0,27508951000.0,20921516000.0,30297954000.0
2062.0,29028577000.0,25952565000.0,28977844000.0,28696125000.0,27272542000.0,20546537000.0,30027342000.0
2063.0,28913857000.0,25663430000.0,28767832000.0,28467505000.0,27020940000.0,20134850000.0,29847337000.0
2064.0,28737292000.0,25413835000.0,28552860000.0,28303573000.0,26631434000.0,19644770000.0,29591140000.0
2065.0,28465238000.0,25082490000.0,28298965000.0,28129995000.0,26330153000.0,19281666000.0,29354252000.0
2066.0,28542624000.0,24756308000.0,28032311000.0,28084894000.0,26017233000.0,18958735000.0,29179472000.0
2067.0,27989365000.0,24451551000.0,27782058000.0,27812274000.0,26070694000.0,18517244000.0,28913787000.0
2068.0,27916362000.0,24218436000.0,27487207000.0,27615275000.0,25691658000.0,18105890000.0,28609573000.0
2069.0,27530340000.0,23916710000.0,27187567000.0,27451760000.0,25238140000.0,17710870000.0,28402495000.0
2070.0,27185875000.0,23534666000.0,26983062000.0,27196516000.0,25215633000.0,17223141000.0,28032810000.0
2071.0,26881360000.0,23287183000.0,26731321000.0,27068353000.0,24745693000.0,16876938000.0,27608480000.0
2072.0,26624367000.0,22971382000.0,26437540000.0,26862363000.0,24405078000.0,16475605000.0,27404225000.0
2073.0,26333673000.0,22639133000.0,26111740000.0,26614342000.0,24012192000.0,16078270000.0,27414864000.0
2074.0,26131590000.0,22269633000.0,25974225000.0,26506428000.0,24303460000.0,15715519000.0,26950950000.0
2075.0,25814913000.0,21887672000.0,25742447000.0,26260881000.0,23739066000.0,15340796000.0,26559750000.0
2076.0,25369820000.0,21447025000.0,25308789000.0,26011010000.0,23490558000.0,14918905000.0,26175648000.0
2077.0,25130525000.0,21157245000.0,25000344000.0,25783738000.0,23214377000.0,14420485000.0,26296570000.0
2078.0,24930486000.0,20725699000.0,24760418000.0,25591056000.0,22974861000.0,14016260000.0,25786483000.0
2079.0,24644815000.0,20231125000.0,24470807000.0,25514963000.0,22643005000.0,13597079000.0,25580540000.0
2080.0,24302096000.0,19837882000.0,24673346000.0,25270692000.0,22333026000.0,13182260000.0,25236548000.0
2081.0,23954835000.0,19587120000.0,24204308000.0,25064665000.0,22024921000.0,12720157000.0,25139180000.0
2082.0,23681840000.0,19258776000.0,23713815000.0,24716554000.0,21831365000.0,12286923000.0,24570227000.0
2083.0,23369500000.0,18953923000.0,23510862000.0,24478403000.0,21532480000.0,11866839000.0,24241930000.0
2084.0,23093113000.0,18562626000.0,23237716000.0,24274640000.0,21176779000.0,11534048000.0,24552380000.0
2085.0,22806840000.0,18210021000.0,22864765000.0,24001993000.0,21078352000.0,11068626000.0,24015307000.0
2086.0,23292740000.0,17807776000.0,22849268000.0,23706436000.0,20804366000.0,10691434000.0,23820814000.0
2087.0,22418330000.0,17480060000.0,22430366000.0,23528493000.0,20619237000.0,10405816000.0,23698844000.0
2088.0,22029451000.0,17154029000.0,22159305000.0,23294947000.0,20433934000.0,9954147000.0,23174648000.0
2089.0,21891267000.0,16844120000.0,22100994000.0,23034235000.0,20198625000.0,9631868000.0,22852150000.0
2090.0,21667826000.0,16507489000.0,21794090000.0,22818170000.0,20029254000.0,9310865000.0,22680257000.0
2091.0,21291313000.0,16181307000.0,21440614000.0,22470695000.0,19769770000.0,8926040000.0,22139867000.0
2092.0,21153298000.0,15822668000.0,21177297000.0,22173878000.0,19606220000.0,8616604000.0,21825077000.0
2093.0,20850729000.0,15365213000.0,20897143000.0,21919953000.0,19437842000.0,8217159700.0,21489187000.0
2094.0,20645069000.0,14981475000.0,20609184000.0,22938634000.0,19074611000.0,7940741600.0,21305004000.0
2095.0,20298256000.0,14657207000.0,20357642000.0,21578420000.0,18877331000.0,7700028000.0,20962986000.0
2096.0,20054080000.0,14296230000.0,20138715000.0,21300660000.0,19227030000.0,7491652600.0,20671961000.0
2097.0,19750530000.0,14011056000.0,19888732000.0,21117110000.0,18919782000.0,7320521700.0,20399229000.0
2098.0,19410400000.0,13782434000.0,19585114000.0,20830304000.0,18629603000.0,7097662500.0,20143440000.0
2099.0,19121838000.0,15287001000.0,19369951000.0,20553265000.0,18324781000.0,6838573600.0,19921482000.0
2100.0,18913255000.0,13266799000.0,19111893000.0,20307673000.0,18200246000.0,6605294600.0,19601234000.0
