time,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0
2056.0,24267954000.0,27765713000.0,16284008000.0,31858080000.0,35559700000.0
2057.0,23622062000.0,27567884000.0,15913620000.0,31672455000.0,35533836000.0
2058.0,23394468000.0,27702480000.0,15027074000.0,31189856000.0,34092186000.0
2059.0,22788057000.0,26095483000.0,14742276000.0,30911773000.0,33488263000.0
2060.0,22389854000.0,24974889000.0,14043531000.0,29247613000.0,33094205000.0
2061.0,22005447000.0,23940407000.0,13630185000.0,27922172000.0,31725610000.0
2062.0,21356773000.0,23047322000.0,12780968000.0,27462744000.0,30533788000.0
2063.0,20864279000.0,22320454000.0,12162185000.0,27223849000.0,29056018000.0
2064.0,20766374000.0,21921434000.0,11881305000.0,25832053000.0,28501426000.0
2065.0,20678582000.0,21805300000.0,11482925000.0,25975140000.0,29064490000.0
2066.0,20235373000.0,21047670000.0,11122052000.0,24659073000.0,26954764000.0
2067.0,19766122000.0,20727427000.0,11072299000.0,24022161000.0,26071171000.0
2068.0,19502305000.0,20281639000.0,10775332000.0,23384807000.0,26045768000.0
2069.0,19074310000.0,19832834000.0,10812192000.0,22813786000.0,24631670000.0
2070.0,19076858000.0,19125381000.0,10433971000.0,22820293000.0,24477075000.0
2071.0,18757126000.0,18477275000.0,10445114000.0,21570770000.0,24632945000.0
2072.0,18045147000.0,18170790000.0,10351752000.0,20793934000.0,24631230000.0
2073.0,17802630000.0,18219082000.0,10253754000.0,21272185000.0,25142735000.0
2074.0,16919698000.0,18052903000.0,10586102000.0,21457580000.0,24995533000.0
2075.0,16848476000.0,17618810000.0,11018411000.0,22180810000.0,24906500000.0
2076.0,16522021000.0,16431120000.0,10916515000.0,22719320000.0,25182753000.0
2077.0,16606541000.0,16853490000.0,10745561000.0,22302510000.0,25938704000.0
2078.0,15917148000.0,16944828000.0,10447543000.0,23215399000.0,25864425000.0
2079.0,15901713000.0,17090920000.0,10058202000.0,23550106000.0,25609394000.0
2080.0,16079739000.0,17428218000.0,9757088000.0,22490280000.0,25566298000.0
2081.0,16346191000.0,16970728000.0,9716760000.0,21977225000.0,25231643000.0
2082.0,16511559000.0,17926679000.0,9555976000.0,20906273000.0,26242636000.0
2083.0,16084505000.0,18373528000.0,9416775000.0,20397110000.0,25568793000.0
2084.0,15908395000.0,18406840000.0,9422875000.0,20143999000.0,24425976000.0
2085.0,15702940000.0,17784013000.0,9485195000.0,20132770000.0,24557365000.0
2086.0,15850829000.0,17565581000.0,9581961000.0,19989529000.0,24364575000.0
2087.0,15312330000.0,17737850000.0,9779996000.0,19824796000.0,23748778000.0
2088.0,15158646000.0,17275650000.0,9496187000.0,19928386000.0,23354722000.0
2089.0,15605046000.0,17285014000.0,10154745000.0,19601615000.0,22913884000.0
2090.0,15572947000.0,17397424000.0,10353870000.0,19508337000.0,22286033000.0
2091.0,15271540000.0,17724162000.0,10734133000.0,19481469000.0,22327816000.0
2092.0,15257722000.0,18394565000.0,11135069000.0,18811339000.0,22355175000.0
2093.0,15206196000.0,18698938000.0,11213598000.0,18925470000.0,22389094000.0
2094.0,15132442000.0,18772382000.0,11358500000.0,19845378000.0,22354868000.0
2095.0,15059172000.0,19337998000.0,11056905000.0,20198752000.0,22146175000.0
2096.0,15089148000.0,18715933000.0,11782163000.0,20082390000.0,22012406000.0
2097.0,15309617000.0,19305939000.0,11818490000.0,19581925000.0,22283692000.0
2098.0,15214728000.0,19101370000.0,11924509000.0,19474164000.0,21977223000.0
2099.0,15252089000.0,20017732000.0,11607038000.0,19429237000.0,21596940000.0
2100.0,15072175000.0,20255586000.0,11724003000.0,18829257000.0,21626597000.0
