time,MIROC6,TAIESM1,KACE-1-0-G,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL,CANESM5,EC-EARTH3,CNRM-CM6-1,IPSL-CM6A-LR,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4
2044.0,25012720000.0,20242192000.0,16607311000.0,34272068000.0,26235007000.0,13186224000.0,17379756000.0,25559912000.0,28533910000.0,23705911000.0,26281990000.0,35358590000.0,26762664000.0
2045.0,24638274000.0,19321407000.0,15799265000.0,33146268000.0,25629684000.0,12507650000.0,16457235000.0,24614025000.0,27472714000.0,23002497000.0,25421838000.0,35382055000.0,25295233000.0
2046.0,25010647000.0,18260384000.0,14928987000.0,33359972000.0,25212797000.0,11529800000.0,16063988000.0,24243372000.0,26939838000.0,22377556000.0,24651637000.0,34532356000.0,26163712000.0
2047.0,24367833000.0,17933507000.0,14672878000.0,32176222000.0,24313217000.0,10720046000.0,15269096000.0,23847696000.0,26887836000.0,21854173000.0,24676040000.0,33980748000.0,25467847000.0
2048.0,23898070000.0,16576325000.0,13955220000.0,32071635000.0,23604566000.0,10394239000.0,13949072000.0,23087133000.0,26627006000.0,20860107000.0,24005685000.0,33865044000.0,24130935000.0
2049.0,22438273000.0,16182460000.0,13112349000.0,31201098000.0,23007896000.0,9930884000.0,13479719000.0,22027899000.0,26666998000.0,20422300000.0,24082674000.0,32587014000.0,23592006000.0
2050.0,21837150000.0,15325719000.0,12611704000.0,30043967000.0,22722589000.0,9843576000.0,12818108000.0,21416819000.0,26403437000.0,19152472000.0,23272526000.0,31727366000.0,22788920000.0
2051.0,20804405000.0,14320559000.0,11744579000.0,29859084000.0,22095219000.0,9475767000.0,12555621000.0,21348141000.0,25002779000.0,18477920000.0,22463853000.0,30993476000.0,21874119000.0
2052.0,20927625000.0,14041781000.0,11370892000.0,28362394000.0,20971567000.0,8820287000.0,12019669000.0,20907502000.0,23923614000.0,17340240000.0,21637128000.0,30800613000.0,20824627000.0
2053.0,20611461000.0,13805801000.0,10656173000.0,28248054000.0,20583668000.0,8324751000.0,10786045000.0,20262801000.0,23752393000.0,16953394000.0,20896563000.0,29798550000.0,20633682000.0
2054.0,20238449000.0,13140765000.0,9976447000.0,27707367000.0,19616330000.0,7894715400.0,10555802000.0,20059202000.0,22882058000.0,16513394000.0,20328757000.0,28985414000.0,20769976000.0
2055.0,19507667000.0,12355935000.0,9337410000.0,27316700000.0,19124812000.0,7175238700.0,10787928000.0,19186962000.0,22114025000.0,16189184000.0,19640540000.0,27236958000.0,20173482000.0
2056.0,19183624000.0,11720404000.0,9184318000.0,25842883000.0,18170208000.0,6832221000.0,10071214000.0,18537470000.0,21480622000.0,16077523000.0,18960181000.0,25780607000.0,18850732000.0
2057.0,18829865000.0,10942999000.0,8804844000.0,24898535000.0,17464263000.0,6600144000.0,9510132000.0,17875761000.0,20444926000.0,15461887000.0,18256585000.0,25499353000.0,17562016000.0
2058.0,18279248000.0,10475061000.0,8440678000.0,22829630000.0,17108194000.0,6043296000.0,9243645000.0,17390930000.0,19929321000.0,14799938000.0,17349829000.0,25112482000.0,16653738000.0
2059.0,17387530000.0,10014460000.0,8222072300.0,22506789000.0,15832347000.0,5752236500.0,8256356000.0,16994689000.0,18997045000.0,14298496000.0,16788671000.0,24124617000.0,15735713000.0
2060.0,17326907000.0,9936659000.0,7755795500.0,21154509000.0,15117960000.0,5156978000.0,7691266000.0,16251225000.0,18459337000.0,13891251000.0,16242221000.0,23384270000.0,14487571000.0
2061.0,16924105000.0,9531404000.0,7657575000.0,20520456000.0,14386755000.0,4939226600.0,7029482000.0,15725386000.0,17222320000.0,13421569000.0,15042236000.0,22654073000.0,14096909000.0
2062.0,16147380000.0,8928956000.0,7547847700.0,20376934000.0,14029611000.0,4453041700.0,6312791000.0,14842593000.0,16521527000.0,12553776000.0,14026549000.0,22934530000.0,13763726000.0
2063.0,15172812000.0,8445478000.0,6978460000.0,20026898000.0,13757522000.0,4182368300.0,6120321500.0,14456454000.0,16087932000.0,12040271000.0,13564044000.0,22352191000.0,13073759000.0
2064.0,14589880000.0,8090045000.0,6599257000.0,19109782000.0,13186841000.0,4000233500.0,5815492000.0,14000656000.0,16106918000.0,11281451000.0,13509506000.0,22127735000.0,12693495000.0
