time,NORESM1-M,GFDL-ESM2G,CESM1-CAM5,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2042.0,6808410000000.0,6869817500000.0,6860062600000.0,6828854000000.0,6684273000000.0,6924536400000.0,6929335000000.0,6865685600000.0
2043.0,6777779000000.0,6839970300000.0,6829242000000.0,6811437000000.0,6654170000000.0,6914864300000.0,6897683400000.0,6833066500000.0
2044.0,6744767000000.0,6810577700000.0,6782054300000.0,6764306000000.0,6601516000000.0,6892167400000.0,6879344300000.0,6803825000000.0
2045.0,6715937400000.0,6793555000000.0,6727984500000.0,6724598600000.0,6573079400000.0,6874155500000.0,6839066400000.0,6761528000000.0
2046.0,6679761500000.0,6772806000000.0,6670811400000.0,6700686000000.0,6525983000000.0,6862424500000.0,6818690500000.0,6686498600000.0
2047.0,6634118600000.0,6747070700000.0,6632070700000.0,6646670600000.0,6482868000000.0,6844148400000.0,6782275600000.0,6597767000000.0
2048.0,6614755600000.0,6731651000000.0,6623754000000.0,6629213300000.0,6443164500000.0,6825983000000.0,6759933000000.0,6546199000000.0
2049.0,6570532400000.0,6715702000000.0,6594053000000.0,6609089600000.0,6403996000000.0,6801717000000.0,6730144500000.0,6509683000000.0
2050.0,6529113700000.0,6658695600000.0,6550179500000.0,6576138000000.0,6374821500000.0,6778325000000.0,6701365000000.0,6437810000000.0
2051.0,6496837000000.0,6650540300000.0,6516869400000.0,6546264000000.0,6327684000000.0,6766936000000.0,6672190000000.0,6371545700000.0
2052.0,6449025500000.0,6620519000000.0,6481978000000.0,6519176000000.0,6301516600000.0,6751949700000.0,6653368000000.0,6298043700000.0
2053.0,6388764400000.0,6591142000000.0,6447473000000.0,6473328400000.0,6270731000000.0,6707035000000.0,6633514600000.0,6214526700000.0
2054.0,6341376000000.0,6559750000000.0,6395748000000.0,6415660400000.0,6239089600000.0,6681870000000.0,6591593000000.0,6160073000000.0
2055.0,6297439700000.0,6547872700000.0,6366403000000.0,6389479000000.0,6207103300000.0,6656282000000.0,6563723500000.0,6060643500000.0
2056.0,6253599000000.0,6511168000000.0,6341823000000.0,6363108300000.0,6167051400000.0,6636699600000.0,6522797600000.0,5947366000000.0
2057.0,6212990000000.0,6465678500000.0,6304506600000.0,6298883600000.0,6124655300000.0,6592291400000.0,6493192000000.0,5859142300000.0
2058.0,6187798000000.0,6446158000000.0,6256253700000.0,6278512400000.0,6074515000000.0,6559467000000.0,6466560000000.0,5780692500000.0
2059.0,6163688000000.0,6410590500000.0,6228575500000.0,6256518500000.0,6036431300000.0,6537247500000.0,6453992000000.0,5654691400000.0
2060.0,6138068700000.0,6373023700000.0,6173557000000.0,6233365000000.0,6003668000000.0,6524626300000.0,6441403400000.0,5551313000000.0
2061.0,6087261600000.0,6341944400000.0,6129740000000.0,6177368000000.0,5940792300000.0,6514349700000.0,6417234300000.0,5499099000000.0
2062.0,6046763000000.0,6321598000000.0,6076905300000.0,6126148500000.0,5873642500000.0,6488713600000.0,6373716300000.0,5412131000000.0
2063.0,6019276000000.0,6288864000000.0,6026967000000.0,6087918500000.0,5811943000000.0,6455033300000.0,6352017600000.0,5303892400000.0
2064.0,5987319000000.0,6248143500000.0,5973356000000.0,6042518300000.0,5755367300000.0,6432191700000.0,6333314600000.0,5210211600000.0
2065.0,5955323000000.0,6218543000000.0,5907882000000.0,6010089500000.0,5709334300000.0,6393487000000.0,6303795000000.0,5108792000000.0
2066.0,5932457700000.0,6192812000000.0,5855931000000.0,5994151700000.0,5666811400000.0,6367550000000.0,6290733500000.0,4999288000000.0
2067.0,5887380000000.0,6181444000000.0,5803387400000.0,5965253000000.0,5621553000000.0,6316784400000.0,6278330400000.0,4865052400000.0
2068.0,5844234000000.0,6139278300000.0,5754762300000.0,5891461000000.0,5575414400000.0,6279419400000.0,6234816600000.0,4746871600000.0
2069.0,5773166400000.0,6104071300000.0,5693709500000.0,5831475600000.0,5513570000000.0,6252041000000.0,6209424300000.0,4659629000000.0
2070.0,5710011700000.0,6069137000000.0,5611371000000.0,5749221600000.0,5453378500000.0,6208138000000.0,6184960000000.0,4568934500000.0
2071.0,5656067700000.0,6035036700000.0,5543033300000.0,5683060700000.0,5388016000000.0,6187538000000.0,6136576000000.0,4375747000000.0
2072.0,5604564000000.0,5995133000000.0,5467585000000.0,5639850000000.0,5329115000000.0,6147460000000.0,6123603000000.0,4243531200000.0
2073.0,5554997600000.0,5956335300000.0,5372066000000.0,5591278000000.0,5276202700000.0,6121817400000.0,6098258500000.0,4121635300000.0
2074.0,5488307600000.0,5896466300000.0,5292139000000.0,5534270400000.0,5209517000000.0,6104386400000.0,6076616000000.0,3925993800000.0
2075.0,5408262500000.0,5869036000000.0,5209173000000.0,5505448700000.0,5135768000000.0,6084537000000.0,6038941000000.0,3787041000000.0
2076.0,5335214000000.0,5840514000000.0,5124429700000.0,5462016000000.0,5060816300000.0,6063275400000.0,6009288400000.0,3662009600000.0
2077.0,5265477000000.0,5795856000000.0,5021918000000.0,5396152500000.0,4982204500000.0,6026163700000.0,5954615000000.0,3514789800000.0
2078.0,5212516400000.0,5753731000000.0,4931866600000.0,5339101000000.0,4915774000000.0,5997741000000.0,5931737000000.0,3415676000000.0
2079.0,5146119000000.0,5729685600000.0,4827109700000.0,5283001000000.0,4855254500000.0,5974421700000.0,5897564000000.0,3344475400000.0
2080.0,5085782300000.0,5688452400000.0,4713982000000.0,5187746400000.0,4775522000000.0,5931981000000.0,5871024000000.0,3247750000000.0
2081.0,5012280000000.0,5644393400000.0,4596524000000.0,5137823000000.0,4711305000000.0,5887023000000.0,5833761000000.0,3144719500000.0
2082.0,4953191500000.0,5608057000000.0,4492165600000.0,5065142000000.0,4641473000000.0,5852069000000.0,5801076000000.0,3060957000000.0
2083.0,4888800000000.0,5576126000000.0,4358085500000.0,4988841000000.0,4558058000000.0,5818793000000.0,5754952000000.0,2979014400000.0
2084.0,4814769000000.0,5542545700000.0,4208609000000.0,4932153000000.0,4475429300000.0,5779546000000.0,5722928000000.0,2889942800000.0
2085.0,4720273400000.0,5517115000000.0,4077742000000.0,4895250000000.0,4376981000000.0,5741710000000.0,5682997000000.0,2824542600000.0
2086.0,4649280000000.0,5466873000000.0,3935171200000.0,4846664500000.0,4297439800000.0,5706658300000.0,5640478000000.0,2759683500000.0
2087.0,4592954000000.0,5422442000000.0,3819590000000.0,4770266000000.0,4219853300000.0,5654967000000.0,5593876700000.0,2664266700000.0
2088.0,4502447500000.0,5350798000000.0,3710518600000.0,4700822000000.0,4140495000000.0,5590994000000.0,5568401000000.0,2609651000000.0
2089.0,4417483400000.0,5309446000000.0,3624385000000.0,4628125000000.0,4067017400000.0,5558405400000.0,5510440400000.0,2554772800000.0
2090.0,4313711400000.0,5263933000000.0,3521245600000.0,4572423700000.0,3998555000000.0,5528301300000.0,5460249000000.0,2502225800000.0
2091.0,4223752000000.0,5204031000000.0,3418720300000.0,4505635000000.0,3936542800000.0,5487487000000.0,5433608000000.0,2445500000000.0
2092.0,4149881600000.0,5157439400000.0,3296906000000.0,4444892000000.0,3874901000000.0,5466222000000.0,5423932000000.0,2400002200000.0
2093.0,4079340200000.0,5113547000000.0,3204418000000.0,4397416800000.0,3802663200000.0,5430532600000.0,5390197000000.0,2329295200000.0
2094.0,3995252300000.0,5052293400000.0,3122394800000.0,4339786600000.0,3746792500000.0,5402693500000.0,5344404000000.0,2257858300000.0
2095.0,3939191200000.0,5005029000000.0,3018577400000.0,4290915600000.0,3693130300000.0,5374958600000.0,5281550000000.0,2200171700000.0
2096.0,3854127900000.0,4967754600000.0,2909399200000.0,4225778300000.0,3632256800000.0,5344752300000.0,5249531600000.0,2133266700000.0
2097.0,3793120400000.0,4898213000000.0,2815094000000.0,4155103200000.0,3577752600000.0,5291563000000.0,5192981400000.0,2088619100000.0
2098.0,3718389400000.0,4843092600000.0,2740554800000.0,4085480200000.0,3524539700000.0,5268268000000.0,5147775000000.0,2032870500000.0
2099.0,3631508400000.0,4790891300000.0,2658789000000.0,4021524000000.0,3464534400000.0,5204025500000.0,5097488000000.0,1962480200000.0
2100.0,3543713000000.0,4755038000000.0,2594638000000.0,3945097000000.0,3410017600000.0,5173127700000.0,5061243000000.0,1918839800000.0
