time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2048.0,6314708700000.0,6488771300000.0,6747215400000.0,5991533000000.0,6778271600000.0,6121263700000.0,6859494000000.0,6154823000000.0,5813858500000.0,6476651000000.0
2049.0,6273196600000.0,6448164000000.0,6698690400000.0,5943005000000.0,6744807300000.0,6058781700000.0,6836230600000.0,6059939000000.0,5724846000000.0,6448548400000.0
2050.0,6218943300000.0,6409659000000.0,6667728000000.0,5916401000000.0,6708717000000.0,5994181000000.0,6802170000000.0,5972320300000.0,5642364000000.0,6423548000000.0
2051.0,6158367600000.0,6371997000000.0,6639247700000.0,5882175000000.0,6672311000000.0,5966525000000.0,6792873500000.0,5919558000000.0,5550248000000.0,6391259500000.0
2052.0,6112120700000.0,6329887400000.0,6604647300000.0,5847521000000.0,6611084000000.0,5903024700000.0,6773075300000.0,5836156000000.0,5449376600000.0,6370022000000.0
2053.0,6052300000000.0,6291584000000.0,6570079400000.0,5808229000000.0,6578128000000.0,5837636000000.0,6765081000000.0,5763231600000.0,5380726000000.0,6328401000000.0
2054.0,6005781000000.0,6231442300000.0,6547941000000.0,5762004000000.0,6560327700000.0,5787069400000.0,6744749000000.0,5648769000000.0,5319418700000.0,6295216000000.0
2055.0,5960822700000.0,6209943400000.0,6514925400000.0,5708001600000.0,6534939500000.0,5734561500000.0,6727949400000.0,5553190300000.0,5225867000000.0,6261475600000.0
2056.0,5913943000000.0,6180138600000.0,6490141000000.0,5654192000000.0,6509680400000.0,5677756000000.0,6702172700000.0,5486057000000.0,5129236000000.0,6204381000000.0
2057.0,5858339000000.0,6141103000000.0,6476163700000.0,5571707000000.0,6477539400000.0,5623538000000.0,6657522300000.0,5410426000000.0,5020112000000.0,6154389300000.0
2058.0,5813412000000.0,6101615500000.0,6442847300000.0,5496050000000.0,6413708000000.0,5563112500000.0,6660000000000.0,5324627000000.0,4912831300000.0,6112933300000.0
2059.0,5773549000000.0,6048975000000.0,6420198000000.0,5448511500000.0,6368613000000.0,5523113500000.0,6647380400000.0,5244820400000.0,4790009500000.0,6075831000000.0
2060.0,5720279400000.0,5980602500000.0,6400225000000.0,5391299000000.0,6333891300000.0,5460374000000.0,6635260500000.0,5170774700000.0,4675627000000.0,6046088000000.0
2061.0,5679413700000.0,5938827000000.0,6372772500000.0,5335901000000.0,6289368000000.0,5407609700000.0,6623017300000.0,5114796000000.0,4563426000000.0,6012788500000.0
2062.0,5633096500000.0,5906224400000.0,6353182000000.0,5259473000000.0,6256475500000.0,5355187700000.0,6600435700000.0,5021553000000.0,4467832400000.0,5978234300000.0
2063.0,5581769300000.0,5873761500000.0,6337749600000.0,5187961000000.0,6198360000000.0,5316241500000.0,6575131000000.0,4924233000000.0,4392941800000.0,5945908000000.0
2064.0,5532674400000.0,5833260300000.0,6323382000000.0,5128626000000.0,6157371000000.0,5251134400000.0,6568593600000.0,4816437000000.0,4328014000000.0,5909810000000.0
2065.0,5502641600000.0,5764085700000.0,6299755500000.0,5072735400000.0,6116315500000.0,5180235000000.0,6558705500000.0,4761561600000.0,4240843500000.0,5864323300000.0
2066.0,5447724000000.0,5740921600000.0,6279790000000.0,5033299500000.0,6076151400000.0,5143836000000.0,6531940600000.0,4667101000000.0,4125753000000.0,5825144000000.0
2067.0,5403021700000.0,5696285000000.0,6248765000000.0,4977566700000.0,6026158000000.0,5092219600000.0,6501143000000.0,4607660000000.0,4040545800000.0,5794947000000.0
2068.0,5324206000000.0,5648324500000.0,6234665000000.0,4912389000000.0,5967748500000.0,5043670500000.0,6480539000000.0,4548926000000.0,3970747300000.0,5727976400000.0
2069.0,5264569300000.0,5615163000000.0,6196886000000.0,4850675000000.0,5927359500000.0,4994089000000.0,6461590000000.0,4483320400000.0,3862913600000.0,5695162300000.0
2070.0,5223451500000.0,5575802000000.0,6169754000000.0,4774034400000.0,5883298000000.0,4937459700000.0,6423675700000.0,4415847000000.0,3761144900000.0,5657592300000.0
2071.0,5195704000000.0,5543842000000.0,6153736600000.0,4685114600000.0,5842332500000.0,4892644600000.0,6412523000000.0,4326290000000.0,3678461800000.0,5614308700000.0
2072.0,5143406000000.0,5506271300000.0,6135504000000.0,4598745000000.0,5813248700000.0,4828111600000.0,6387446300000.0,4248377800000.0,3595484800000.0,5587170500000.0
2073.0,5049961000000.0,5490128500000.0,6119794700000.0,4526550500000.0,5757494000000.0,4786847500000.0,6373934400000.0,4151001200000.0,3509619300000.0,5556981000000.0
2074.0,5003969000000.0,5466287500000.0,6086220300000.0,4461336000000.0,5705389000000.0,4733094000000.0,6354429300000.0,4045510800000.0,3413826300000.0,5522065000000.0
2075.0,4937838000000.0,5436666000000.0,6061584500000.0,4385777400000.0,5677277000000.0,4672063000000.0,6330047300000.0,3935747400000.0,3338065000000.0,5490166000000.0
2076.0,4859689000000.0,5409840000000.0,6026835300000.0,4326963300000.0,5626418700000.0,4623688500000.0,6297597000000.0,3819057200000.0,3254983900000.0,5448815000000.0
2077.0,4803976000000.0,5372459000000.0,5991679700000.0,4261313200000.0,5591951500000.0,4558239000000.0,6273710000000.0,3733513000000.0,3173763800000.0,5390661000000.0
2078.0,4732376000000.0,5325994000000.0,5960426000000.0,4205795600000.0,5562149000000.0,4502380300000.0,6247450000000.0,3633314000000.0,3078851400000.0,5359806700000.0
2079.0,4652111000000.0,5286656000000.0,5927389400000.0,4141043700000.0,5506290700000.0,4438859700000.0,6228545000000.0,3558370200000.0,2953734300000.0,5336584000000.0
2080.0,4582411000000.0,5249022600000.0,5855083000000.0,4104996300000.0,5433682600000.0,4379266800000.0,6207411600000.0,3476539800000.0,2869888000000.0,5315615000000.0
2081.0,4526590000000.0,5205557500000.0,5815234700000.0,4053725600000.0,5351913000000.0,4311467400000.0,6185013000000.0,3377240000000.0,2804673000000.0,5294543300000.0
2082.0,4479993000000.0,5157841500000.0,5789081700000.0,4008738800000.0,5300313700000.0,4255917500000.0,6154716000000.0,3293523000000.0,2741478000000.0,5258652000000.0
2083.0,4417977300000.0,5121646000000.0,5764926700000.0,3965759800000.0,5232422600000.0,4206087600000.0,6131785000000.0,3204414000000.0,2654987000000.0,5242207000000.0
2084.0,4365769800000.0,5069314500000.0,5738639400000.0,3905938800000.0,5197708400000.0,4145990300000.0,6105977600000.0,3116779000000.0,2611430800000.0,5228607300000.0
2085.0,4300074000000.0,5042363400000.0,5699713600000.0,3833846000000.0,5133016000000.0,4082677800000.0,6090097400000.0,3049584600000.0,2570362300000.0,5203518000000.0
