time,MRI-ESM2-0,KACE-1-0-G,EC-EARTH3,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,CESM2-WACCM,IITM-ESM,CANESM5,MPI-ESM1-2-HR,CNRM-CM6-1,IPSL-CM6A-LR,MIROC6,TAIESM1
2038.0,6577279500000.0,6626303500000.0,4889941400000.0,6940218400000.0,7099230700000.0,5459221000000.0,7107383400000.0,7167206000000.0,5655067400000.0,6994629500000.0,6973046000000.0,6589711000000.0,6806122300000.0,6050753000000.0
2039.0,6479722000000.0,6553101400000.0,4760922000000.0,6900368000000.0,7112356300000.0,5351144400000.0,7099135000000.0,7157165000000.0,5520780400000.0,6986930000000.0,6943277000000.0,6532672500000.0,6760262300000.0,5952685000000.0
2040.0,6395567000000.0,6450193000000.0,4603474600000.0,6896425600000.0,7107643400000.0,5191819000000.0,7046557000000.0,7125713600000.0,5425130400000.0,6955771000000.0,6911763700000.0,6508564000000.0,6704910000000.0,5872250000000.0
2041.0,6345595600000.0,6377216400000.0,4478163500000.0,6885565500000.0,7083340600000.0,5033112400000.0,7005015000000.0,7121573000000.0,5293144000000.0,6950886600000.0,6886861600000.0,6451429400000.0,6604065300000.0,5748804300000.0
2042.0,6323091000000.0,6260060600000.0,4363736800000.0,6874750500000.0,7061036300000.0,4869559000000.0,6990759700000.0,7110551700000.0,5122515000000.0,6943062000000.0,6824995000000.0,6350339000000.0,6508133000000.0,5658356000000.0
2043.0,6300649400000.0,6213046600000.0,4279508400000.0,6856560300000.0,7057852000000.0,4725641600000.0,6946463700000.0,7096918000000.0,4987982000000.0,6923751500000.0,6795413000000.0,6307345600000.0,6425427300000.0,5551643700000.0
2044.0,6231114600000.0,6144574000000.0,4144572100000.0,6828913000000.0,7043469500000.0,4566517500000.0,6907097000000.0,7108205500000.0,4848974600000.0,6856700300000.0,6769904000000.0,6264576300000.0,6304424000000.0,5469753600000.0
2045.0,6178862000000.0,6077135000000.0,4014508900000.0,6810257000000.0,7002299300000.0,4404104700000.0,6867910000000.0,7102910700000.0,4695876700000.0,6831512500000.0,6754212000000.0,6234151300000.0,6189720000000.0,5324378500000.0
2046.0,6101721000000.0,6005871600000.0,3856414500000.0,6785983300000.0,7024907000000.0,4249100700000.0,6843896700000.0,7082087500000.0,4576792000000.0,6817035300000.0,6719309600000.0,6172074000000.0,6099000400000.0,5242133400000.0
2047.0,6007641600000.0,5931216700000.0,3691754000000.0,6761929500000.0,7017094000000.0,4124799400000.0,6798655400000.0,7072903000000.0,4480324600000.0,6789879300000.0,6706685300000.0,6103925500000.0,6004440000000.0,5131090300000.0
2048.0,5912283000000.0,5854385400000.0,3586973500000.0,6749158000000.0,6984119600000.0,4040774600000.0,6746549500000.0,7046436000000.0,4342060200000.0,6740586300000.0,6692258400000.0,6085925700000.0,5905607300000.0,5055898500000.0
2049.0,5816927600000.0,5767802000000.0,3508151300000.0,6738331300000.0,6991797000000.0,3940703000000.0,6705710600000.0,7029515600000.0,4268670000000.0,6730251500000.0,6703599000000.0,6024486000000.0,5831438400000.0,4975426000000.0
