time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2081.0,3587253200000.0,4692920000000.0,4637352000000.0,6076344000000.0
2082.0,3540435300000.0,4647634000000.0,4571760400000.0,6060003000000.0
2083.0,3447938600000.0,4629407500000.0,4555889700000.0,6024598700000.0
2084.0,3405669000000.0,4601649000000.0,4515197600000.0,5995989300000.0
2085.0,3344247600000.0,4542316000000.0,4455743400000.0,5960548000000.0
2086.0,3277661400000.0,4500058000000.0,4421696600000.0,5907890600000.0
2087.0,3198887700000.0,4471712600000.0,4393729500000.0,5886780600000.0
2088.0,3138363600000.0,4441684000000.0,4367178300000.0,5878322300000.0
2089.0,3070254000000.0,4400173000000.0,4348523600000.0,5874180400000.0
2090.0,2996985700000.0,4375791300000.0,4331827600000.0,5834907600000.0
2091.0,2945953800000.0,4329301000000.0,4285501800000.0,5820640700000.0
2092.0,2887728200000.0,4268917800000.0,4264647700000.0,5780612300000.0
2093.0,2855111000000.0,4243370800000.0,4233488200000.0,5741683000000.0
2094.0,2813298700000.0,4169433000000.0,4206380700000.0,5710045000000.0
2095.0,2758285000000.0,4130846800000.0,4190612800000.0,5653090300000.0
2096.0,2704528600000.0,4072822300000.0,4153990700000.0,5627283000000.0
2097.0,2638362700000.0,4022178000000.0,4144035800000.0,5580907300000.0
2098.0,2565828000000.0,3985867500000.0,4118610400000.0,5542738700000.0
2099.0,2519714200000.0,3959885700000.0,4075907400000.0,5522259400000.0
2100.0,2477670300000.0,3952968200000.0,4041954800000.0,5499458000000.0
