time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2033.0,81619830000.0,80963940000.0,81840980000.0,82090250000.0,80921430000.0,78918460000.0,81830430000.0
2034.0,81276870000.0,80449266000.0,81323320000.0,81482736000.0,80394290000.0,78081210000.0,82698820000.0
2035.0,80863160000.0,79937150000.0,80811080000.0,81892120000.0,80043440000.0,77183560000.0,82203570000.0
2036.0,80151560000.0,79044310000.0,80235190000.0,80914550000.0,79468260000.0,76448694000.0,82263490000.0
2037.0,80297680000.0,78981080000.0,80529890000.0,80449000000.0,79040680000.0,75989920000.0,82695774000.0
2038.0,79717020000.0,78129470000.0,79607030000.0,81589730000.0,78457550000.0,75280020000.0,80936150000.0
2039.0,79386010000.0,77771686000.0,79120220000.0,79965000000.0,77670590000.0,74592985000.0,80453930000.0
2040.0,78787486000.0,77020135000.0,78727230000.0,79481000000.0,77238490000.0,73970270000.0,79790050000.0
2041.0,78405750000.0,76438140000.0,81336620000.0,79095240000.0,76646550000.0,73651134000.0,79416100000.0
2042.0,77942790000.0,75801390000.0,78380860000.0,78633160000.0,76311080000.0,73091860000.0,79244230000.0
2043.0,77485965000.0,75002270000.0,77632060000.0,78200970000.0,75771070000.0,72363704000.0,79717920000.0
2044.0,76925850000.0,74884540000.0,77234954000.0,77704585000.0,75508090000.0,71989660000.0,78642080000.0
2045.0,76482870000.0,73763850000.0,77790980000.0,78234255000.0,74871570000.0,71712130000.0,78385780000.0
2046.0,77838630000.0,73226610000.0,77146110000.0,77274630000.0,74268260000.0,70898370000.0,77979300000.0
2047.0,75851700000.0,72441370000.0,76415970000.0,76623060000.0,73330340000.0,70891315000.0,77418590000.0
2048.0,75258090000.0,71921810000.0,75874690000.0,76086790000.0,72645894000.0,69747040000.0,76868360000.0
2049.0,74841400000.0,71085000000.0,75677760000.0,75553800000.0,72373486000.0,69028340000.0,76462150000.0
2050.0,74335740000.0,70497630000.0,75139560000.0,75004920000.0,71692780000.0,68454930000.0,76015305000.0
2051.0,73925984000.0,70030500000.0,74592050000.0,74561640000.0,70914790000.0,67709350000.0,75393425000.0
2052.0,73536770000.0,69391620000.0,74213790000.0,73919350000.0,70092350000.0,67334150000.0,75055600000.0
2053.0,72805610000.0,68513070000.0,73716744000.0,73669345000.0,69383020000.0,66202210000.0,74607030000.0
2054.0,72209916000.0,67671750000.0,73349630000.0,73318965000.0,68538544000.0,65620670000.0,74197140000.0
2055.0,71740390000.0,66867490000.0,73109030000.0,72808980000.0,68144054000.0,64955474000.0,73877496000.0
2056.0,71339520000.0,66357195000.0,72463980000.0,72281860000.0,67506504000.0,64201340000.0,73368310000.0
2057.0,70678630000.0,66083050000.0,72069500000.0,71824520000.0,66838475000.0,63283024000.0,73522410000.0
2058.0,69923830000.0,65367155000.0,71630330000.0,71239540000.0,66306146000.0,62930120000.0,72606320000.0
2059.0,69407660000.0,64506487000.0,71203280000.0,70756655000.0,65736655000.0,62104630000.0,72126580000.0
2060.0,69148390000.0,63877304000.0,70922854000.0,70381560000.0,64668398000.0,61689324000.0,71515320000.0
2061.0,68636040000.0,63247570000.0,72873670000.0,70053390000.0,64158690000.0,60724347000.0,70970240000.0
2062.0,67807826000.0,62665850000.0,70689690000.0,69527690000.0,63565840000.0,60071674000.0,70629800000.0
2063.0,67598995000.0,61958988000.0,70189630000.0,68900760000.0,62892730000.0,59740210000.0,70267060000.0
2064.0,66944094000.0,61340353000.0,70996300000.0,68351398000.0,62154790000.0,58981060000.0,69834380000.0
2065.0,66271310000.0,60618890000.0,70975275000.0,67786494000.0,61301228000.0,58501770000.0,69892290000.0
2066.0,65681547000.0,60207450000.0,69172200000.0,67240430000.0,60905840000.0,57747247000.0,69201280000.0
2067.0,65171284000.0,59358274000.0,69289710000.0,67869245000.0,60593950000.0,57130136000.0,68795650000.0
2068.0,64626635000.0,58733814000.0,68836700000.0,66695475000.0,59839762000.0,56081228000.0,68629328000.0
2069.0,63938675000.0,58399360000.0,68240822000.0,66206183000.0,59221730000.0,55361626000.0,67809415000.0
2070.0,63277662000.0,57758822000.0,68019306000.0,65584190000.0,58698310000.0,54784225000.0,67221897000.0
2071.0,62747460000.0,57202545000.0,67785010000.0,64802950000.0,58021790000.0,54082077000.0,66733572000.0
2072.0,62257300000.0,56808477000.0,68230832000.0,64227295000.0,57383110000.0,53457535000.0,66174947000.0
2073.0,62017266000.0,55914280000.0,67024015000.0,63638475000.0,56851546000.0,52782370000.0,65382860000.0
2074.0,61466620000.0,55237620000.0,66814230000.0,62778925000.0,56224387000.0,52043596000.0,64789840000.0
2075.0,62204355000.0,54681080000.0,67773010000.0,62050038000.0,56162440000.0,51513164000.0,64380686000.0
2076.0,60725002000.0,54096740000.0,66100470000.0,61259158000.0,55355556000.0,50895147000.0,63779135000.0
2077.0,60243354000.0,53471040000.0,65574340000.0,60752507000.0,54948246000.0,50159480000.0,63440710000.0
2078.0,59977052000.0,53091426000.0,65234035000.0,60092158000.0,54533410000.0,49371640000.0,62845784000.0
2079.0,59414700000.0,53016773000.0,65768130000.0,59281224000.0,53915920000.0,48804016000.0,62183900000.0
2080.0,62665910000.0,52184355000.0,65000215000.0,58721477000.0,53253915000.0,48150417000.0,61374665000.0
2081.0,58864075000.0,51631540000.0,64426670000.0,58235556000.0,52915466000.0,48499040000.0,60785270000.0
2082.0,58581910000.0,51136602000.0,64131580000.0,57755240000.0,52197740000.0,47279763000.0,60268732000.0
2083.0,58555190000.0,50440800000.0,63812776000.0,57267724000.0,51468562000.0,46760880000.0,60020548000.0
2084.0,57882460000.0,49930230000.0,65037240000.0,56539290000.0,51116884000.0,46029124000.0,59203396000.0
2085.0,58909106000.0,49383780000.0,63413682000.0,55907940000.0,50338644000.0,45133267000.0,58614780000.0
2086.0,58068353000.0,48801493000.0,63015973000.0,55232147000.0,50020356000.0,44248570000.0,57935983000.0
2087.0,57475930000.0,48324060000.0,62667390000.0,54333840000.0,49316990000.0,44066263000.0,57158844000.0
2088.0,56672490000.0,47814430000.0,62377566000.0,53620077000.0,48632420000.0,43303686000.0,56750210000.0
2089.0,56250765000.0,47248536000.0,61969785000.0,52965080000.0,48089620000.0,42608075000.0,56187097000.0
2090.0,55797682000.0,46805385000.0,61627146000.0,52185050000.0,47495365000.0,42074490000.0,55829870000.0
2091.0,58507460000.0,46194397000.0,61370220000.0,51338160000.0,46724493000.0,41240633000.0,55255640000.0
2092.0,55719965000.0,45590163000.0,61015425000.0,50716790000.0,46031225000.0,40371704000.0,54668063000.0
2093.0,55841540000.0,45025477000.0,60711612000.0,49938340000.0,45480743000.0,39246803000.0,54148680000.0
2094.0,54742794000.0,44522516000.0,61888640000.0,49437050000.0,45048865000.0,38296093000.0,53658444000.0
2095.0,55006994000.0,44140536000.0,60264354000.0,48746824000.0,44677853000.0,37311680000.0,53211443000.0
2096.0,54616720000.0,43697540000.0,59768770000.0,47991060000.0,44081020000.0,36706020000.0,52632480000.0
2097.0,55310030000.0,43343876000.0,59258724000.0,47832050000.0,43706640000.0,36095800000.0,52157940000.0
2098.0,53963610000.0,42718618000.0,58938376000.0,46962594000.0,43246567000.0,35463475000.0,51553403000.0
2099.0,54788210000.0,42193105000.0,58622788000.0,46377670000.0,42515590000.0,34929914000.0,50752250000.0
2100.0,54386340000.0,41735350000.0,58205960000.0,45754980000.0,42043814000.0,34078312000.0,50254660000.0
