time,CESM2-WACCM,CANESM5,EC-EARTH3,MRI-ESM2-0,INM-CM4-8,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,TAIESM1,INM-CM5-0,NORESM2-MM,CMCC-CM2-SR5,IPSL-CM6A-LR,ACCESS-CM2,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG
2026.0,7218127700000.0,6910291000000.0,7033279500000.0,7072586000000.0,7218175400000.0,7193384000000.0,7251579400000.0,7106353700000.0,7237720000000.0,7168581400000.0,7081943400000.0,7161331600000.0,7177107400000.0,7211634400000.0,7229898500000.0,7210426400000.0,7197353300000.0,7174999000000.0,7029448500000.0
2027.0,7207904600000.0,6817311600000.0,6983354700000.0,7033986000000.0,7191017000000.0,7172979000000.0,7240480700000.0,7086655700000.0,7224721000000.0,7157153000000.0,7059311400000.0,7119499700000.0,7149292400000.0,7191922000000.0,7202338000000.0,7178602700000.0,7178682400000.0,7159378000000.0,6987700000000.0
2028.0,7205455000000.0,6728822000000.0,6961296000000.0,6989233000000.0,7174011000000.0,7166728600000.0,7230096000000.0,7066728000000.0,7190929700000.0,7137492700000.0,6989649000000.0,7087139000000.0,7133679600000.0,7168500700000.0,7185455000000.0,7147186000000.0,7148624000000.0,7141072600000.0,6939232000000.0
2029.0,7194974000000.0,6641225000000.0,6877695400000.0,6943744700000.0,7155131000000.0,7163856000000.0,7204584300000.0,7050772000000.0,7159214000000.0,7117952000000.0,6941956000000.0,7069392400000.0,7111110600000.0,7127249700000.0,7169995000000.0,7116227600000.0,7118625000000.0,7128515000000.0,6883774600000.0
2030.0,7184989600000.0,6564361500000.0,6816789000000.0,6887394000000.0,7135423000000.0,7145580400000.0,7185564700000.0,7028271500000.0,7146269000000.0,7086394000000.0,6896076000000.0,7018258600000.0,7079574000000.0,7071747500000.0,7135181000000.0,7097883000000.0,7109484000000.0,7098625000000.0,6821344000000.0
2031.0,7167373500000.0,6458609000000.0,6737135000000.0,6847586600000.0,7117165000000.0,7129843000000.0,7170073000000.0,7006399000000.0,7125297300000.0,7057780500000.0,6859907000000.0,6966752600000.0,7070131000000.0,7049180600000.0,7104983700000.0,7078445000000.0,7088810500000.0,7072306400000.0,6765791000000.0
2032.0,7155068400000.0,6374459700000.0,6654792000000.0,6803169500000.0,7088919500000.0,7118154000000.0,7157630600000.0,6972458400000.0,7105375400000.0,7041046000000.0,6799840000000.0,6945913700000.0,7067969500000.0,7009310600000.0,7080137000000.0,7053460000000.0,7050663000000.0,7055669000000.0,6718587700000.0
2033.0,7135867000000.0,6269954000000.0,6547937000000.0,6760399600000.0,7075382000000.0,7115772500000.0,7156800000000.0,6929666000000.0,7091717700000.0,7019250000000.0,6730473000000.0,6908492000000.0,7054708700000.0,6976821000000.0,7048835600000.0,7038054700000.0,7010525000000.0,7035978000000.0,6664288700000.0
2034.0,7121425000000.0,6173281500000.0,6456513000000.0,6712648500000.0,7056643300000.0,7101315000000.0,7133670000000.0,6897046000000.0,7071377400000.0,6989427000000.0,6666726000000.0,6865362000000.0,7019823600000.0,6933546000000.0,7033823700000.0,6995643500000.0,6997390400000.0,7014840300000.0,6608344000000.0
2035.0,7116971600000.0,6052608700000.0,6331214000000.0,6635668400000.0,7030206600000.0,7084680000000.0,7136222400000.0,6856236300000.0,7051681500000.0,6959147000000.0,6599233500000.0,6821252000000.0,7017997000000.0,6885526700000.0,7009122400000.0,6972816000000.0,6962480700000.0,7004553000000.0,6528657500000.0
