time,CCSM4,CESM1-CAM5
2265.0,19088944189856.0,3517660547774.0
2266.0,18990933027372.0,3465277504528.0
2267.0,18874216614984.0,3430265110152.0
2268.0,18759444915024.0,3397126789682.0
2269.0,18677460354524.0,3342543380340.0
2270.0,18572208769144.0,3289014395402.0
2271.0,18467031936130.0,3254053479114.0
2272.0,18337448575596.0,3222646801210.0
2273.0,18214289860708.0,3189864452192.0
2274.0,18116826710140.0,3175763190524.0
2275.0,17984864693096.0,3152884612646.0
2276.0,17859314060692.0,3128940908380.0
2277.0,17708748824472.0,3094421518142.0
2278.0,17645622990460.0,3066791036906.0
2279.0,17520171766400.0,3042034537794.0
2280.0,17435811668730.0,3010795808114.0
2281.0,17314117027720.0,2970841840236.0
2282.0,17232682753020.0,2939112987420.0
2283.0,17162227866860.0,2915414791366.0
2284.0,17114723197100.0,2890829989658.0
2285.0,17015187996576.0,2867481713706.0
2286.0,16941386538048.0,2854051557232.0
2287.0,16874637570620.0,2834237406552.0
2288.0,16791177457470.0,2817483596040.0
2289.0,16664600346208.0,2801586804658.0
2290.0,16575112351916.0,2796762567098.0
2291.0,16478737525236.0,2775997703926.0
2292.0,16397105154230.0,2749214993030.0
2293.0,16277878033724.0,2726796326240.0
2294.0,16220343792364.0,2714816602036.0
2295.0,16140617804976.0,2701954012692.0
2296.0,16080613418784.0,2689687766666.0
2297.0,15952017121696.0,2670775509232.0
2298.0,15868128441024.0,2650204950852.0
2299.0,15798467604588.0,2637018694480.0
2300.0,15713710283356.0,2620957929188.0
