time,IPSL-CM5A-LR,CNRM-CM5,GISS-E2-R,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,CSIRO-MK3-6-0,NORESM1-M,CANESM2,CCSM4
2057.0,2265679000000.0,3030073500000.0,2606232000000.0,2529117000000.0,2869206700000.0,3066042800000.0,3317101500000.0,2813989200000.0,2677628000000.0,2819247000000.0
2058.0,2227910500000.0,3005942600000.0,2593408000000.0,2496264700000.0,2855524400000.0,3033196400000.0,3306275500000.0,2786341000000.0,2662090700000.0,2800245800000.0
2059.0,2180229800000.0,2989587700000.0,2574786800000.0,2454789000000.0,2842288200000.0,3008718700000.0,3308150300000.0,2761491500000.0,2643923300000.0,2779044600000.0
2060.0,2140545200000.0,2973687300000.0,2557275000000.0,2420286000000.0,2830388200000.0,2991154800000.0,3316394800000.0,2746771800000.0,2615672600000.0,2752976000000.0
2061.0,2102986000000.0,2965999700000.0,2539581000000.0,2389744300000.0,2809417700000.0,2971618800000.0,3317141900000.0,2719637800000.0,2584929400000.0,2730139300000.0
2062.0,2059574700000.0,2946676000000.0,2532127500000.0,2358911400000.0,2775499400000.0,2942139600000.0,3318951200000.0,2708044800000.0,2566946600000.0,2704618300000.0
2063.0,2020399500000.0,2929146000000.0,2514507800000.0,2330622200000.0,2749867200000.0,2919006700000.0,3318774500000.0,2688059200000.0,2526524700000.0,2687435000000.0
2064.0,1982036000000.0,2909721300000.0,2499070000000.0,2297386200000.0,2720065700000.0,2902891400000.0,3316961000000.0,2659675500000.0,2500031000000.0,2661072500000.0
2065.0,1945091600000.0,2896583000000.0,2480397000000.0,2269835400000.0,2692655000000.0,2876637000000.0,3319728400000.0,2632023800000.0,2470706700000.0,2636769400000.0
2066.0,1910665600000.0,2876295000000.0,2460078000000.0,2243076000000.0,2678960400000.0,2848022300000.0,3319683400000.0,2611688500000.0,2429361800000.0,2608237400000.0
2067.0,1877708800000.0,2855382800000.0,2450565600000.0,2208897400000.0,2661035500000.0,2816259400000.0,3309140000000.0,2588621100000.0,2411206300000.0,2580699700000.0
2068.0,1841098400000.0,2832043600000.0,2438506200000.0,2175071200000.0,2636695200000.0,2800319000000.0,3310702000000.0,2554127500000.0,2398811800000.0,2547232500000.0
2069.0,1801884400000.0,2808906800000.0,2419853600000.0,2136421600000.0,2615970000000.0,2780397300000.0,3302113100000.0,2524353100000.0,2376866700000.0,2515839700000.0
2070.0,1769035300000.0,2790002000000.0,2412493000000.0,2110721800000.0,2595032400000.0,2754883400000.0,3287639000000.0,2492869000000.0,2353321500000.0,2486670700000.0
2071.0,1736414700000.0,2770553000000.0,2408492800000.0,2081038800000.0,2568555900000.0,2735509600000.0,3266446600000.0,2467445000000.0,2320875000000.0,2441226500000.0
2072.0,1705175300000.0,2746141600000.0,2398741600000.0,2048817000000.0,2544162300000.0,2735224000000.0,3256312700000.0,2432316500000.0,2300465000000.0,2414205700000.0
2073.0,1674154000000.0,2730377000000.0,2391860800000.0,2019616400000.0,2520369000000.0,2711426700000.0,3234313500000.0,2408084100000.0,2271611000000.0,2387080400000.0
2074.0,1641474400000.0,2704888600000.0,2369208000000.0,1994931000000.0,2488777800000.0,2683396200000.0,3214160000000.0,2382722200000.0,2233696300000.0,2361687500000.0
2075.0,1613957400000.0,2679267700000.0,2352452500000.0,1968446500000.0,2469260000000.0,2657063500000.0,3205269600000.0,2351415200000.0,2205428700000.0,2339452200000.0
2076.0,1591514900000.0,2638321800000.0,2333885900000.0,1941020700000.0,2444776200000.0,2623715000000.0,3201737000000.0,2325236700000.0,2170373000000.0,2312167200000.0
2077.0,1563185500000.0,2608022000000.0,2316183500000.0,1912120900000.0,2424795800000.0,2598235500000.0,3201753400000.0,2289971800000.0,2140478400000.0,2287588300000.0
2078.0,1532407000000.0,2576622300000.0,2296034000000.0,1883772600000.0,2402087900000.0,2578248000000.0,3208392700000.0,2263724900000.0,2102835800000.0,2261142500000.0
2079.0,1511833300000.0,2553471300000.0,2284676200000.0,1853455100000.0,2385692000000.0,2551159500000.0,3185192500000.0,2239819400000.0,2082308400000.0,2237626000000.0
2080.0,1487579300000.0,2522501600000.0,2270743200000.0,1826864500000.0,2374027400000.0,2530495400000.0,3160795500000.0,2204639200000.0,2054128500000.0,2207622400000.0
