time,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CNRM-CM5,GFDL-CM3,CCSM4,MPI-ESM-LR
2049.0,2317323000000.0,2299897800000.0,2616607400000.0,2209873400000.0,2334740400000.0,2221487400000.0,2447096200000.0,2374903000000.0,1496932800000.0,2311340700000.0,2403442000000.0
2050.0,2292593200000.0,2272143900000.0,2600547600000.0,2190129200000.0,2309521400000.0,2186282500000.0,2415528000000.0,2358190500000.0,1438922000000.0,2300563000000.0,2383326200000.0
2051.0,2262389800000.0,2245450500000.0,2588860000000.0,2188919600000.0,2277238400000.0,2169693900000.0,2398393700000.0,2334326000000.0,1382354900000.0,2287141700000.0,2362113000000.0
2052.0,2244342000000.0,2220465800000.0,2570468200000.0,2151792500000.0,2232471500000.0,2158192400000.0,2383552700000.0,2309919900000.0,1334055900000.0,2266946900000.0,2341988700000.0
2053.0,2224464000000.0,2207327700000.0,2553265300000.0,2115561200000.0,2201595400000.0,2138666200000.0,2378624100000.0,2289012300000.0,1289982700000.0,2245576400000.0,2306611000000.0
2054.0,2205910600000.0,2173371700000.0,2553593000000.0,2085954900000.0,2179292900000.0,2102204300000.0,2360840300000.0,2268974800000.0,1230617000000.0,2226767500000.0,2266224100000.0
2055.0,2187997600000.0,2151617700000.0,2542994700000.0,2059673400000.0,2156194200000.0,2060814600000.0,2353085800000.0,2245183400000.0,1182296400000.0,2199432700000.0,2240322500000.0
2056.0,2162322400000.0,2130320800000.0,2530698000000.0,2035831000000.0,2123528400000.0,2034287400000.0,2336837000000.0,2231154500000.0,1123918800000.0,2181007000000.0,2223743200000.0
2057.0,2150606300000.0,2118724900000.0,2540784000000.0,2011077400000.0,2086822500000.0,2025239500000.0,2321689000000.0,2222205400000.0,1089792400000.0,2181448600000.0,2210238800000.0
2058.0,2129321500000.0,2099734900000.0,2553704000000.0,1977973900000.0,2073284700000.0,1991908700000.0,2320539600000.0,2195437600000.0,1059536300000.0,2180248200000.0,2198024900000.0
2059.0,2104258100000.0,2079186900000.0,2558708700000.0,1969138700000.0,2033404200000.0,1963258400000.0,2311334700000.0,2179180400000.0,1021462250000.0,2154483000000.0,2170523500000.0
2060.0,2070141100000.0,2068618700000.0,2565039000000.0,1960100900000.0,2005627400000.0,1945136000000.0,2294412000000.0,2152721300000.0,986455000000.0,2140310100000.0,2166830800000.0
2061.0,2059930400000.0,2049914700000.0,2561557700000.0,1926654200000.0,1983683900000.0,1919878400000.0,2293803000000.0,2130966100000.0,956257200000.0,2129185500000.0,2142405700000.0
