time,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,ACCESS-CM2,ACCESS-ESM1-5,CESM2,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,IPSL-CM6A-LR,CESM2-WACCM,TAIESM1
2050.0,1833090700.0,1834529000.0,1834087200.0,1954831400.0,2012728700.0,2142560400.0,1210168200.0,1647084300.0,2115751000.0,2007706100.0,1736299500.0,2312374800.0,1917862100.0,1965322400.0,1375570000.0,1709632900.0,1554416100.0,1889957200.0,1297315600.0
2051.0,1799070300.0,1792490000.0,1784210600.0,1893448000.0,1957976000.0,2118804000.0,1151183700.0,1583110400.0,2096024700.0,1957023200.0,1686277000.0,2284187000.0,1866750800.0,1943220900.0,1302323500.0,1705289300.0,1478644700.0,1844152600.0,1224059600.0
2052.0,1738383600.0,1750436100.0,1730961500.0,1838683500.0,1915431200.0,2083598500.0,1088497800.0,1530352300.0,2050568700.0,1895470700.0,1623951400.0,2256524500.0,1806319200.0,1899147500.0,1241996800.0,1649441200.0,1412341400.0,1795005200.0,1185665000.0
2053.0,1680482800.0,1683709200.0,1708582800.0,1770326100.0,1865734400.0,2046893000.0,1048045950.0,1468352100.0,1994085400.0,1824268900.0,1575581200.0,2220691700.0,1774551000.0,1838643000.0,1187002200.0,1591511800.0,1349177200.0,1754428000.0,1126559100.0
2054.0,1644615400.0,1605010400.0,1649330400.0,1728126100.0,1810943900.0,1996048500.0,993584700.0,1380480400.0,1949604000.0,1788427800.0,1519638300.0,2201585200.0,1730857600.0,1803539500.0,1147271700.0,1552231200.0,1294723800.0,1678168700.0,1071136830.0
2055.0,1599843300.0,1555240700.0,1624163800.0,1665691600.0,1769897100.0,1932062200.0,954571200.0,1319810200.0,1900413200.0,1754283600.0,1466990500.0,2165172500.0,1678126100.0,1755146200.0,1082795600.0,1521352400.0,1234234400.0,1613805400.0,1011928500.0
2056.0,1565773300.0,1513533600.0,1577978900.0,1591950200.0,1726527000.0,1845353200.0,899080600.0,1267972500.0,1833647900.0,1714566400.0,1417239900.0,2130101100.0,1624285800.0,1724588200.0,1044672300.0,1475635700.0,1169563300.0,1685493000.0,956285000.0
2057.0,1522186000.0,1447832000.0,1541261400.0,1547968900.0,1683566800.0,1796730800.0,866988700.0,1206772400.0,1789763100.0,1660349400.0,1386477300.0,2121688200.0,1575103000.0,1692936100.0,989246900.0,1436187400.0,1116225000.0,1529967400.0,923522300.0
2058.0,1486455200.0,1414956700.0,1497680600.0,1493623900.0,1652034700.0,1758542600.0,820380700.0,1156586500.0,1735374200.0,1638827300.0,1332152400.0,2074304800.0,1517062500.0,1697705500.0,936900400.0,1477703200.0,1061426900.0,1475319700.0,879505100.0
2059.0,1445503900.0,1365615700.0,1443850100.0,1443599200.0,1616693400.0,1707470100.0,781198600.0,1103813500.0,1709136400.0,1572474500.0,1307090000.0,2048729700.0,1528062500.0,1684042000.0,905835100.0,1392276100.0,1012375360.0,1448430000.0,836123260.0
2060.0,1398633900.0,1295898800.0,1397875000.0,1361634300.0,1563826000.0,1671857000.0,742959600.0,1059280900.0,1630834200.0,1513347000.0,1252971800.0,2016542700.0,1481367000.0,1604069000.0,866681900.0,1349236700.0,967462800.0,1403780000.0,786502600.0
2061.0,1363735400.0,1239913500.0,1359468000.0,1320357000.0,1512312800.0,1624072200.0,690719940.0,997867300.0,1582976300.0,1466489300.0,1213843300.0,1980137500.0,1443702500.0,1558911600.0,818792770.0,1321269600.0,920970560.0,1348538200.0,740368000.0
2062.0,1341020200.0,1175189800.0,1318165900.0,1259040400.0,1458597900.0,1584272600.0,655679500.0,958394050.0,1529923600.0,1395291500.0,1191644200.0,1933746800.0,1424001800.0,1530175400.0,792562240.0,1287548000.0,874901600.0,1304697600.0,708464400.0
2063.0,1353640700.0,1120829200.0,1270454300.0,1225911600.0,1377638700.0,1542874900.0,625788160.0,917873000.0,1490530000.0,1372308600.0,1159999000.0,1883466200.0,1398237300.0,1496169900.0,781513400.0,1259502300.0,824295100.0,1264263600.0,678590850.0
2064.0,1284149600.0,1066251300.0,1221922200.0,1187166800.0,1330395800.0,1506914000.0,590463040.0,885714400.0,1447158000.0,1303021200.0,1125970400.0,1844931800.0,1363130000.0,1468536400.0,749592200.0,1244239600.0,778467500.0,1243249900.0,647657540.0
2065.0,1251984300.0,1018388900.0,1176417900.0,1129191300.0,1282973600.0,1440697600.0,555047360.0,844062000.0,1659627900.0,1266967700.0,1090244900.0,1799137800.0,1326340100.0,1417176300.0,720242500.0,1219434100.0,738444800.0,1198507500.0,623860100.0
2066.0,1208715300.0,969891650.0,1141240000.0,1094231600.0,1206416000.0,1395041500.0,529898980.0,811031230.0,1516868900.0,1206921300.0,1066723000.0,1745005000.0,1290839400.0,1390674000.0,700613100.0,1183711600.0,702350460.0,1142505500.0,602317000.0
2067.0,1177642400.0,921564900.0,1099354500.0,1031153860.0,1161190800.0,1348580700.0,507476200.0,773077500.0,1358983700.0,1160991100.0,1038785100.0,1691544000.0,1266956800.0,1357285000.0,665824200.0,1139602400.0,666420600.0,1109320300.0,582844800.0
2068.0,1148627000.0,881690700.0,1049923200.0,991446660.0,1126902400.0,1314217900.0,484274000.0,728911300.0,1325518200.0,1116395300.0,1314080900.0,1645079200.0,1243993500.0,1313652100.0,632759230.0,1113432200.0,635405950.0,1076987800.0,560889100.0
2069.0,1126164600.0,840699900.0,1034779500.0,949029300.0,1091950300.0,1277211300.0,460128030.0,688557060.0,1282975900.0,1109256200.0,1006403000.0,1596600600.0,1235189800.0,1272470300.0,607064700.0,1146827100.0,601482500.0,1045766300.0,534772200.0
2070.0,1092518900.0,810695700.0,980195400.0,905058400.0,1071769540.0,1225754200.0,437584540.0,655221600.0,1214936800.0,1068048000.0,972198460.0,1549724900.0,1199464800.0,1229461900.0,578346700.0,1101803100.0,569426050.0,1030603200.0,516210850.0
2071.0,1065803140.0,786368200.0,950443460.0,874608500.0,1039640260.0,1165692900.0,409356830.0,614407700.0,1148892400.0,1038035300.0,947830400.0,1514763600.0,1161192400.0,1187596400.0,550768260.0,1051158300.0,544235500.0,987295170.0,493615780.0
2072.0,1023788000.0,758354400.0,942104770.0,831523100.0,1013743000.0,1132919000.0,392703650.0,577048260.0,1127349900.0,1000674600.0,915427400.0,1481101300.0,1121849200.0,1144677600.0,532926940.0,1011374300.0,510398050.0,969365440.0,469746600.0
2073.0,990956800.0,722344700.0,986122800.0,782487100.0,967579300.0,1082832600.0,369358100.0,546140800.0,1096189700.0,972732400.0,886607500.0,1435036700.0,1097614700.0,1099930600.0,508887900.0,984309950.0,478374430.0,921753700.0,446366660.0
