time,GISS-E2-R,CANESM2,CESM1-CAM5,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CCSM4,MPI-ESM-LR,IPSL-CM5A-LR
2072.0,20898413000.0,18492465000.0,20171061000.0,19871062000.0,19015762000.0,21826998000.0,23539378000.0,20558617000.0,20273904000.0,21429926000.0,20679890000.0
2073.0,20851198000.0,18411213000.0,20051556000.0,19743205000.0,18847689000.0,21695347000.0,23515181000.0,20594868000.0,20204829000.0,21284660000.0,20702968000.0
2074.0,20730718000.0,18215242000.0,19873427000.0,19575826000.0,18737010000.0,21852824000.0,23362726000.0,20451645000.0,20034499000.0,21193520000.0,20638271000.0
2075.0,20694704000.0,18113341000.0,19703593000.0,19479925000.0,18582495000.0,21723177000.0,23255958000.0,20265787000.0,19881951000.0,21093941000.0,20429152000.0
2076.0,21004116000.0,17953917000.0,19563310000.0,19311569000.0,18542072000.0,21477163000.0,23131032000.0,20154960000.0,19728566000.0,20956324000.0,20313901000.0
2077.0,20582578000.0,17857116000.0,19390376000.0,19185064000.0,18396550000.0,21400269000.0,23081247000.0,20079151000.0,19587426000.0,20895402000.0,20248478000.0
2078.0,20529334000.0,17748972000.0,19196926000.0,19037317000.0,18267660000.0,21321617000.0,22963962000.0,19956318000.0,19879690000.0,21201095000.0,20146514000.0
2079.0,20551715000.0,17639520000.0,19000721000.0,18925365000.0,18119707000.0,21206397000.0,22881272000.0,19867978000.0,19514331000.0,20921004000.0,20035037000.0
2080.0,20582220000.0,17493615000.0,18911357000.0,18769357000.0,18030506000.0,21146472000.0,22858906000.0,19768492000.0,19548856000.0,20648165000.0,19920583000.0
2081.0,20380006000.0,17391692000.0,18808700000.0,18642043000.0,17859482000.0,21090542000.0,22806671000.0,19682025000.0,19392340000.0,20550064000.0,19796298000.0
2082.0,20268091000.0,17241730000.0,18628241000.0,18541455000.0,17767730000.0,20946637000.0,22727060000.0,19542094000.0,19166966000.0,20434606000.0,19676373000.0
2083.0,20146563000.0,17136466000.0,18419073000.0,18404368000.0,17633513000.0,20812591000.0,22529726000.0,19479261000.0,19077827000.0,20392660000.0,19523176000.0
2084.0,20178532000.0,17243253000.0,18228216000.0,18241497000.0,17430153000.0,20771273000.0,22516042000.0,19353463000.0,19461224000.0,20212535000.0,19430623000.0
2085.0,20633537000.0,17024501000.0,18099479000.0,18135888000.0,17298704000.0,20685095000.0,22247066000.0,19422896000.0,18971374000.0,20305439000.0,19378315000.0
2086.0,20175860000.0,16843701000.0,17932145000.0,17983500000.0,17386205000.0,20511093000.0,22400735000.0,19286055000.0,18789878000.0,21062066000.0,19297760000.0
2087.0,20137800000.0,16767477000.0,17793890000.0,17862930000.0,18394466000.0,20479744000.0,22142237000.0,19186330000.0,18588029000.0,20093815000.0,19148120000.0
2088.0,19909173000.0,16632414000.0,17665843000.0,17783747000.0,17131211000.0,20364753000.0,21966287000.0,19025017000.0,18480849000.0,19950653000.0,19062335000.0
2089.0,19828662000.0,16546946000.0,17551170000.0,17581007000.0,16950466000.0,20326222000.0,21867920000.0,18924108000.0,18361377000.0,19817855000.0,18965236000.0
2090.0,19920116000.0,16523692000.0,17506420000.0,17448055000.0,16848100000.0,20162960000.0,21740920000.0,18859315000.0,18173500000.0,19681665000.0,18905709000.0
2091.0,19736263000.0,16456438000.0,17285984000.0,17358390000.0,16702353000.0,20073865000.0,21635006000.0,18763225000.0,18057780000.0,19654990000.0,18801918000.0
2092.0,19615805000.0,16334372000.0,17143534000.0,17193632000.0,16612929000.0,19964514000.0,21599170000.0,19082640000.0,17947527000.0,19707316000.0,18700544000.0
2093.0,19593600000.0,16225124000.0,17113055000.0,17089720000.0,16504121000.0,19894272000.0,21627386000.0,18607686000.0,17844562000.0,19487842000.0,18804683000.0
2094.0,19475120000.0,16268063000.0,16938700000.0,17152161000.0,16404348000.0,19829326000.0,21619878000.0,18504878000.0,17978034000.0,19379436000.0,18513670000.0
2095.0,19987132000.0,16117024000.0,16852080000.0,16860888000.0,16319882000.0,19695909000.0,21350466000.0,18434494000.0,17760279000.0,19279962000.0,18558366000.0
2096.0,19512980000.0,15996361000.0,16788006000.0,16651004000.0,16524690000.0,21099166000.0,21512610000.0,18397055000.0,17617742000.0,19175043000.0,18494325000.0
2097.0,19384908000.0,15906224000.0,16727624000.0,16461410000.0,16167725000.0,20035598000.0,21923394000.0,18297410000.0,17498840000.0,19413891000.0,18319909000.0
2098.0,19303743000.0,15817142000.0,16567866000.0,16293038000.0,16030601000.0,19642583000.0,21343957000.0,18194416000.0,17476490000.0,19168184000.0,18298421000.0
2099.0,19210977000.0,15755690000.0,16480538000.0,16136064000.0,15942490000.0,19408951000.0,22700310000.0,18372819000.0,17368973000.0,19137070000.0,18208582000.0
2100.0,19168797000.0,15637487000.0,16376078000.0,16007088000.0,15843024000.0,19360043000.0,21652281000.0,18100509000.0,17292767000.0,18993906000.0,18090435000.0
