time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2044.0,2429366600000.0,2482041800000.0,2258915300000.0,2171219300000.0,2279345800000.0,2434401800000.0,2521253500000.0,2670019500000.0,2244723300000.0,2548765800000.0,1717815100000.0
2045.0,2401379000000.0,2462752700000.0,2214188000000.0,2111374400000.0,2264532800000.0,2427409400000.0,2488941400000.0,2648820000000.0,2198315200000.0,2515425000000.0,1667811000000.0
2046.0,2369054000000.0,2444355200000.0,2166064500000.0,2047145100000.0,2231625800000.0,2379923600000.0,2440755700000.0,2614010600000.0,2155338400000.0,2495142400000.0,1617403800000.0
2047.0,2317305800000.0,2411434900000.0,2111602600000.0,2020153900000.0,2180969500000.0,2335358600000.0,2404080000000.0,2588088500000.0,2108943800000.0,2471994900000.0,1555924600000.0
2048.0,2286735000000.0,2384454000000.0,2062492900000.0,1970762000000.0,2148983400000.0,2301898300000.0,2385126600000.0,2574485600000.0,2077592300000.0,2443331500000.0,1489161600000.0
2049.0,2257227600000.0,2344823800000.0,2016423000000.0,1918847500000.0,2112789500000.0,2261283500000.0,2355325600000.0,2553271500000.0,2033729700000.0,2393007200000.0,1426722300000.0
2050.0,2211331400000.0,2324667800000.0,1980929700000.0,1884273400000.0,2068357200000.0,2234293200000.0,2317892500000.0,2536759600000.0,1981448000000.0,2362557600000.0,1374943000000.0
2051.0,2175825100000.0,2297543000000.0,1939816400000.0,1835234900000.0,2027389500000.0,2189255900000.0,2285341000000.0,2522854000000.0,1946482900000.0,2331853700000.0,1324984200000.0
2052.0,2141508900000.0,2262782400000.0,1912133600000.0,1800144600000.0,1987131500000.0,2170757200000.0,2274717900000.0,2479600200000.0,1899547500000.0,2293748200000.0,1265900800000.0
2053.0,2125772900000.0,2226633600000.0,1875218500000.0,1747724500000.0,1956345400000.0,2137405400000.0,2253533000000.0,2474327700000.0,1861963700000.0,2265462900000.0,1211079000000.0
2054.0,2107854000000.0,2203227500000.0,1846319300000.0,1716846100000.0,1929428600000.0,2092342000000.0,2220499100000.0,2463147000000.0,1818246300000.0,2242113000000.0,1156427200000.0
2055.0,2082586800000.0,2179496400000.0,1820950500000.0,1660476500000.0,1884286400000.0,2062736300000.0,2184906700000.0,2438535000000.0,1779122800000.0,2217245000000.0,1104965100000.0
2056.0,2053595500000.0,2147717600000.0,1773156800000.0,1615432400000.0,1849576400000.0,2029119200000.0,2156021300000.0,2427259500000.0,1748406200000.0,2186137300000.0,1057229640000.0
2057.0,2022712300000.0,2118732600000.0,1720693600000.0,1578155500000.0,1806571400000.0,1979210100000.0,2122491200000.0,2408992500000.0,1711271600000.0,2158597500000.0,1019357600000.0
2058.0,2000590300000.0,2087996500000.0,1673093800000.0,1541277000000.0,1781326200000.0,1947491600000.0,2097225700000.0,2387258000000.0,1665701800000.0,2119940800000.0,982085000000.0
2059.0,1979749500000.0,2054897700000.0,1634926100000.0,1505719600000.0,1739917200000.0,1946658900000.0,2076798100000.0,2378275500000.0,1639933800000.0,2090922300000.0,936742940000.0
2060.0,1945896600000.0,2025611900000.0,1608000900000.0,1477797700000.0,1712367500000.0,1889386600000.0,2033710800000.0,2336845700000.0,1600427900000.0,2072267800000.0,896991170000.0
2061.0,1923699300000.0,1989101200000.0,1581286800000.0,1452040700000.0,1690419100000.0,1870963800000.0,2015286000000.0,2311769600000.0,1564093600000.0,2032531900000.0,865388100000.0
2062.0,1903335200000.0,1961229800000.0,1540551300000.0,1415786300000.0,1657991900000.0,1849771200000.0,1976235200000.0,2295126000000.0,1527737100000.0,2000998200000.0,830043400000.0
2063.0,1877336900000.0,1938119100000.0,1498671300000.0,1372912600000.0,1631354500000.0,1841868800000.0,1932230000000.0,2267987600000.0,1497558300000.0,1975064000000.0,797605040000.0
2064.0,1862252500000.0,1912249500000.0,1467051400000.0,1333320200000.0,1602168300000.0,1821392000000.0,1892489600000.0,2228714500000.0,1463361700000.0,1942916300000.0,764693900000.0
2065.0,1839235200000.0,1891523000000.0,1436986200000.0,1301092500000.0,1570561600000.0,1794911100000.0,1865556700000.0,2237047000000.0,1424064500000.0,1911179600000.0,733988200000.0
2066.0,1810434200000.0,1869254000000.0,1401570500000.0,1267961700000.0,1539161300000.0,1754650900000.0,1855200000000.0,2224188600000.0,1388205200000.0,1868113600000.0,704172260000.0
2067.0,1771040300000.0,1840153500000.0,1365846800000.0,1248523800000.0,1508057300000.0,1726994200000.0,1836068100000.0,2220198700000.0,1354498300000.0,1844238400000.0,672963700000.0
2068.0,1745290800000.0,1817382500000.0,1332161300000.0,1216479800000.0,1484928300000.0,1696141000000.0,1808464200000.0,2208096600000.0,1325049700000.0,1816839600000.0,647689400000.0
2069.0,1729831600000.0,1794264900000.0,1297905100000.0,1177817400000.0,1444250000000.0,1662003300000.0,1779697000000.0,2194641300000.0,1297880400000.0,1791113600000.0,620646500000.0
2070.0,1706019800000.0,1761538700000.0,1265374100000.0,1148177400000.0,1418100100000.0,1654557500000.0,1760223200000.0,2172056400000.0,1274915500000.0,1770947000000.0,599056200000.0
2071.0,1683671700000.0,1752246500000.0,1235620100000.0,1128447200000.0,1392192500000.0,1646408100000.0,1727291200000.0,2169363900000.0,1243217000000.0,1755219400000.0,577589540000.0
2072.0,1663567500000.0,1730937600000.0,1198282800000.0,1111659900000.0,1373278300000.0,1602243400000.0,1699032100000.0,2161703800000.0,1216095200000.0,1728568200000.0,553659330000.0
2073.0,1640974500000.0,1711790400000.0,1178582600000.0,1082508500000.0,1348468000000.0,1579607500000.0,1681173000000.0,2159584900000.0,1182349300000.0,1713824200000.0,534773070000.0
2074.0,1605599100000.0,1685906300000.0,1149531000000.0,1057634100000.0,1325271400000.0,1546375500000.0,1664476800000.0,2166168700000.0,1146370300000.0,1693695700000.0,519338300000.0
2075.0,1583757500000.0,1655013100000.0,1118345500000.0,1034167450000.0,1302452600000.0,1522057600000.0,1640709900000.0,2148540900000.0,1127588200000.0,1669809000000.0,500797670000.0
2076.0,1564011700000.0,1632032100000.0,1097824700000.0,1013381500000.0,1280124300000.0,1486677900000.0,1611964200000.0,2142418500000.0,1106427900000.0,1648014000000.0,485551540000.0
2077.0,1549065800000.0,1600332900000.0,1067747640000.0,993083060000.0,1259381700000.0,1469343600000.0,1580703800000.0,2116217000000.0,1085677440000.0,1630019400000.0,470090120000.0
2078.0,1532997000000.0,1572549700000.0,1048199500000.0,970842440000.0,1228580600000.0,1455105500000.0,1550623300000.0,2105831300000.0,1067362800000.0,1615603600000.0,452323200000.0
2079.0,1516353400000.0,1548134100000.0,1026204300000.0,952499200000.0,1197967000000.0,1443256500000.0,1543575200000.0,2095212400000.0,1050343240000.0,1596111500000.0,434242360000.0
2080.0,1493826300000.0,1525920700000.0,1004708300000.0,932571200000.0,1176988800000.0,1421891600000.0,1510374800000.0,2071971500000.0,1030324550000.0,1572885600000.0,419602100000.0
2081.0,1472049700000.0,1507702000000.0,975880850000.0,923076400000.0,1155954800000.0,1407320200000.0,1489709600000.0,2086725200000.0,1013213600000.0,1553970800000.0,407980080000.0
2082.0,1469460500000.0,1483738000000.0,964377700000.0,908351300000.0,1132212300000.0,1409254400000.0,1462126500000.0,2085536500000.0,995140040000.0,1533845400000.0,396978060000.0
2083.0,1448435300000.0,1465966000000.0,954082400000.0,886168550000.0,1106173100000.0,1392117700000.0,1440288600000.0,2056404700000.0,978687000000.0,1506845000000.0,384980400000.0
2084.0,1438237900000.0,1456108500000.0,931371550000.0,872544100000.0,1081413860000.0,1357040600000.0,1420146200000.0,2030926000000.0,962594540000.0,1484788900000.0,373414920000.0
2085.0,1427352500000.0,1429765600000.0,911500000000.0,850990860000.0,1069671060000.0,1347486900000.0,1396031600000.0,2017052100000.0,944873340000.0,1474930400000.0,364379340000.0
2086.0,1419135300000.0,1408320700000.0,898425750000.0,832245470000.0,1047168750000.0,1331056000000.0,1371203200000.0,2009440500000.0,927531140000.0,1460839600000.0,351297370000.0
2087.0,1402752700000.0,1383595900000.0,880676200000.0,819844350000.0,1020600450000.0,1317985000000.0,1348295700000.0,2000385900000.0,911648360000.0,1446639700000.0,343791100000.0
2088.0,1388210600000.0,1367595400000.0,863024100000.0,806612040000.0,1002160300000.0,1298762600000.0,1316980500000.0,1996717600000.0,893052200000.0,1437418000000.0,336480270000.0
2089.0,1383763100000.0,1340552800000.0,852936750000.0,788875050000.0,981638250000.0,1287826700000.0,1292182900000.0,1986188800000.0,872081800000.0,1420135500000.0,327303530000.0
2090.0,1375534000000.0,1326205200000.0,836502160000.0,771423500000.0,973870500000.0,1265592300000.0,1265711200000.0,1975924200000.0,854229700000.0,1409027100000.0,319415680000.0
2091.0,1352685200000.0,1305172900000.0,820389350000.0,756784600000.0,959673800000.0,1239634400000.0,1250021900000.0,1968420300000.0,835956400000.0,1400522000000.0,312499400000.0
2092.0,1335129500000.0,1287384900000.0,803912800000.0,737181700000.0,942180340000.0,1218299000000.0,1224282500000.0,1954937200000.0,822113530000.0,1397523700000.0,303633370000.0
2093.0,1326143000000.0,1260550200000.0,791377100000.0,719104700000.0,927472300000.0,1190095700000.0,1212868500000.0,1942858100000.0,808135560000.0,1383967800000.0,296369780000.0
2094.0,1311138900000.0,1231569300000.0,779507200000.0,707184560000.0,906466030000.0,1175403900000.0,1199860400000.0,1939531200000.0,790356500000.0,1373338500000.0,288317730000.0
2095.0,1295243800000.0,1215570000000.0,765112100000.0,697920100000.0,889060660000.0,1164512500000.0,1177959000000.0,1933301400000.0,775753400000.0,1368350300000.0,280083330000.0
2096.0,1285723700000.0,1200045300000.0,753402200000.0,686433900000.0,872704440000.0,1162780900000.0,1156817900000.0,1915031700000.0,763372400000.0,1360514400000.0,273561350000.0
2097.0,1273158200000.0,1177664400000.0,746527800000.0,678988600000.0,866834250000.0,1149255800000.0,1141756100000.0,1911109500000.0,751745200000.0,1350244500000.0,267367870000.0
2098.0,1261526500000.0,1163038700000.0,735634060000.0,662268900000.0,850068770000.0,1135869800000.0,1131940400000.0,1906840400000.0,736204800000.0,1336041900000.0,259924070000.0
2099.0,1249840200000.0,1148136700000.0,721199560000.0,652937100000.0,836362400000.0,1121225900000.0,1115859300000.0,1899220400000.0,717526900000.0,1318668600000.0,253362810000.0
2100.0,1242337100000.0,1133664300000.0,710591500000.0,637611500000.0,824386100000.0,1108429600000.0,1099875400000.0,1888386700000.0,707931870000.0,1313003300000.0,244607990000.0
