time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0
2037.0,11016457000.0,11525517000.0,10174758000.0,7279073000.0,10290002000.0
2038.0,10801609000.0,11825785000.0,9865135000.0,6809014000.0,9835854000.0
2039.0,10695372000.0,11257125000.0,9311114000.0,6444943400.0,9689430000.0
2040.0,10323865000.0,11041222000.0,8772949000.0,6200479000.0,9396093000.0
2041.0,10139291000.0,11129612000.0,8497085400.0,5893992000.0,9006670000.0
2042.0,9787395000.0,10746168000.0,8061234000.0,5628604400.0,8693647000.0
2043.0,9509076000.0,10892514000.0,7719753000.0,5198307300.0,8531132400.0
2044.0,9258017000.0,10296401000.0,7453718500.0,4946513000.0,8108955600.0
2045.0,9044548000.0,10064881000.0,7335748000.0,4642962000.0,7812037600.0
2046.0,8669846000.0,9839254000.0,6941670000.0,4306752500.0,7452159000.0
2047.0,8687780000.0,9725901000.0,6732581400.0,4077279200.0,7382632000.0
2048.0,8610855000.0,9557347000.0,6375468500.0,3831733200.0,7041146400.0
2049.0,8197452000.0,9724844000.0,6290084000.0,3658325500.0,6846785500.0
2050.0,8139165700.0,9420969000.0,6025073000.0,3554651600.0,6823016000.0
2051.0,7879095000.0,9539443000.0,5657262600.0,3403611000.0,6490692000.0
2052.0,7848740000.0,9850011000.0,5462142500.0,3185457200.0,6203496400.0
2053.0,7620605000.0,9061488000.0,5334157300.0,3116824000.0,6052781600.0
2054.0,7530054000.0,8662304000.0,5206961000.0,2875562800.0,5881196500.0
2055.0,7316268500.0,8646675000.0,4962204700.0,2669409800.0,5597904000.0
2056.0,7152426000.0,8397051400.0,4829298000.0,2438388200.0,5504543000.0
2057.0,6974181000.0,9073149000.0,4654993400.0,2278148900.0,5371705000.0
2058.0,6849106400.0,8456286700.0,4797625300.0,2239448600.0,5998564400.0
2059.0,6642583600.0,8317550600.0,4341899000.0,2120962000.0,5158915600.0
2060.0,6516353500.0,7967520300.0,4100160500.0,2010717300.0,4988652500.0
2061.0,6359811000.0,8169290000.0,5691340000.0,1832890200.0,4878558700.0
2062.0,6134424600.0,8158738400.0,4038296000.0,1750878000.0,4924241000.0
2063.0,6018551000.0,7641225700.0,3723358700.0,1678149600.0,4974160000.0
2064.0,6005295000.0,7938572000.0,3549653500.0,1559394300.0,5031927000.0
2065.0,5807458300.0,7744362000.0,3474226400.0,1581153500.0,4555969500.0
2066.0,5907160600.0,7427062300.0,3360594200.0,1469108500.0,4386682400.0
2067.0,5606103000.0,7226292000.0,3376595200.0,1424604500.0,4274043600.0
2068.0,5747868700.0,7119694000.0,3202734300.0,1230638300.0,5157226000.0
2069.0,5460722000.0,7022276600.0,3079657500.0,1153119400.0,4150405000.0
2070.0,5344787500.0,6836560000.0,2932257300.0,1118790500.0,4057208800.0
2071.0,5218206000.0,6995898400.0,2849739500.0,980720450.0,4292391400.0
2072.0,5158649300.0,7473291000.0,2721893600.0,881673700.0,4498892300.0
2073.0,5075077600.0,6993057300.0,2639992300.0,854804000.0,4155448300.0
2074.0,4988135400.0,6596880000.0,2513927400.0,883415740.0,5290738700.0
2075.0,4875678700.0,7037475300.0,2438141400.0,723904800.0,4001165800.0
2076.0,4953578000.0,6642066000.0,2445630500.0,672871360.0,3776500700.0
2077.0,4928544000.0,6452533000.0,2370021400.0,650034700.0,3651451100.0
2078.0,4824763000.0,6128538000.0,2249572900.0,603519500.0,3621715000.0
2079.0,4750364700.0,6006148600.0,2437801200.0,583320260.0,3466848300.0
2080.0,4680390700.0,6085608000.0,2099561600.0,555706240.0,3315454700.0
2081.0,4554512000.0,5932315600.0,2075204900.0,541919200.0,4009301500.0
2082.0,4467473400.0,5822368300.0,2010611200.0,445788740.0,3299527000.0
2083.0,4440443000.0,6880788500.0,1986886100.0,480803680.0,3488764400.0
2084.0,4662277000.0,5668309500.0,1881085700.0,425280600.0,3189097700.0
2085.0,5034685000.0,5706705000.0,1781264000.0,397824300.0,3134549800.0
2086.0,4976132600.0,5538470000.0,1906117000.0,373365020.0,3075143700.0
2087.0,4184502500.0,5411369000.0,2309632000.0,415226340.0,2978076000.0
2088.0,4103982800.0,5393961000.0,1708101800.0,346233060.0,3020797000.0
2089.0,4006562300.0,5735815700.0,1712817300.0,332494980.0,2935339000.0
2090.0,4159794400.0,5550480400.0,1654497400.0,296481200.0,2920965000.0
2091.0,3922080300.0,5247014400.0,1453489400.0,311827260.0,2817586700.0
2092.0,4258554400.0,5466203600.0,1398332500.0,464847940.0,2739665400.0
2093.0,4276177400.0,5185125400.0,2114030600.0,311889060.0,2639969000.0
2094.0,4351353000.0,7809094700.0,1513954200.0,293441300.0,2877132300.0
2095.0,3897959000.0,5842453500.0,1498713300.0,235971180.0,2758690800.0
2096.0,3809982500.0,5460891600.0,1394821400.0,228629570.0,2443003100.0
2097.0,4089186000.0,5280232400.0,2408992800.0,283529730.0,2577888000.0
2098.0,3713208300.0,5452751000.0,1725136300.0,229701140.0,2506706700.0
2099.0,3777098800.0,5143976400.0,1278712000.0,231334610.0,2399033300.0
2100.0,3706441500.0,4857627000.0,1239267300.0,227728560.0,2564880400.0
