time,BCC-CSM2-MR,EC-EARTH3,INM-CM4-8,CAMS-CSM1-0,EC-EARTH3-VEG,MPI-ESM1-2-HR,CANESM5,MRI-ESM2-0,FGOALS-F3-L,CESM2-WACCM,CESM2,GFDL-ESM4,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,NORESM2-MM,INM-CM5-0
2031.0,3349390000000.0,3174051000000.0,3416367600000.0,3225849000000.0,3315849200000.0,3334461500000.0,3115143100000.0,3249199400000.0,3338567200000.0,3325074300000.0,3377541000000.0,3381053600000.0,3401914800000.0,3326507700000.0,3409378300000.0,3398780600000.0,3260649800000.0
2032.0,3322649200000.0,3147569800000.0,3412751500000.0,3198456200000.0,3292500900000.0,3324825000000.0,3054927300000.0,3210962800000.0,3328171000000.0,3299589200000.0,3357353000000.0,3364857000000.0,3403322500000.0,3299723200000.0,3383532500000.0,3387832700000.0,3224477600000.0
2033.0,3304645000000.0,3103925000000.0,3412405300000.0,3179677000000.0,3272426700000.0,3302421400000.0,3006178800000.0,3189825300000.0,3308823500000.0,3287865400000.0,3343548400000.0,3350260600000.0,3393866000000.0,3279086700000.0,3355643500000.0,3382482600000.0,3203355600000.0
2034.0,3284238300000.0,3064670200000.0,3402677600000.0,3156010000000.0,3248086000000.0,3287641200000.0,2957736100000.0,3164964700000.0,3293168000000.0,3281026000000.0,3313579600000.0,3342047400000.0,3387143700000.0,3269776000000.0,3346968600000.0,3368890000000.0,3177214600000.0
2035.0,3260293300000.0,3039809500000.0,3393270000000.0,3132748000000.0,3227034800000.0,3275825000000.0,2921478800000.0,3132035000000.0,3279625400000.0,3260643000000.0,3304510700000.0,3318248400000.0,3377048600000.0,3257354700000.0,3328135000000.0,3360826600000.0,3156308100000.0
2036.0,3242303200000.0,3005969600000.0,3384240000000.0,3111288600000.0,3196381800000.0,3260023800000.0,2887674500000.0,3107396000000.0,3253815200000.0,3247162300000.0,3295473800000.0,3311549800000.0,3378271200000.0,3240689000000.0,3303155200000.0,3354774200000.0,3127409000000.0
2037.0,3231332000000.0,2964266000000.0,3367964800000.0,3087753800000.0,3173606800000.0,3249065400000.0,2836973000000.0,3086723300000.0,3243177400000.0,3221338000000.0,3267769400000.0,3301249600000.0,3377084500000.0,3222641800000.0,3287509600000.0,3345763000000.0,3111512400000.0
2038.0,3207868700000.0,2928180000000.0,3359025400000.0,3057713700000.0,3158361800000.0,3236769000000.0,2787907200000.0,3062427500000.0,3223182400000.0,3205207700000.0,3252778400000.0,3287116000000.0,3371144300000.0,3201739300000.0,3269879000000.0,3326115600000.0,3094637000000.0
2039.0,3195891400000.0,2899741000000.0,3336200800000.0,3034778000000.0,3131421000000.0,3218849400000.0,2751324700000.0,3040894300000.0,3205220500000.0,3181055000000.0,3244345500000.0,3271233400000.0,3381172400000.0,3192911800000.0,3257660600000.0,3314399000000.0,3057438400000.0
2040.0,3186017400000.0,2861010000000.0,3326500100000.0,3010800400000.0,3125213400000.0,3202646800000.0,2718651600000.0,3011031000000.0,3192479800000.0,3154519300000.0,3238744300000.0,3262562400000.0,3371750000000.0,3157678600000.0,3238852000000.0,3308909200000.0,3035248200000.0
2041.0,3173088500000.0,2824355700000.0,3311643700000.0,2977251200000.0,3088573000000.0,3190513700000.0,2671168500000.0,2970518300000.0,3177506400000.0,3123858600000.0,3228116700000.0,3250101000000.0,3375428500000.0,3126179100000.0,3231479500000.0,3306530000000.0,3012079600000.0
2042.0,3131335000000.0,2793646300000.0,3308508000000.0,2942412800000.0,3070372600000.0,3178977000000.0,2638811800000.0,2944066000000.0,3157001200000.0,3103976600000.0,3209688300000.0,3242887200000.0,3359629000000.0,3102513300000.0,3218184900000.0,3299334700000.0,2983725000000.0
2043.0,3103821400000.0,2765328500000.0,3286556000000.0,2920958400000.0,3047559300000.0,3171306700000.0,2596374600000.0,2921409300000.0,3135384000000.0,3082661700000.0,3197553000000.0,3227908300000.0,3358624800000.0,3075146300000.0,3208642000000.0,3293859000000.0,2958408800000.0
2044.0,3087418000000.0,2730174000000.0,3271428000000.0,2895001400000.0,3032666900000.0,3157987200000.0,2551222400000.0,2899805700000.0,3114676500000.0,3054792600000.0,3177796600000.0,3215043300000.0,3338390000000.0,3046804000000.0,3205092600000.0,3281248800000.0,2934851200000.0
2045.0,3074976600000.0,2707107300000.0,3255210600000.0,2865996200000.0,2998885200000.0,3143518000000.0,2505113300000.0,2881348000000.0,3102495200000.0,3032584800000.0,3171057100000.0,3206162200000.0,3331000000000.0,3020816600000.0,3195606100000.0,3274258800000.0,2900978800000.0
2046.0,3060487700000.0,2673616000000.0,3234009700000.0,2839724200000.0,2973132700000.0,3124613000000.0,2448232300000.0,2847796000000.0,3094005000000.0,3008623500000.0,3148390900000.0,3190547500000.0,3320044300000.0,2986678700000.0,3175840500000.0,3256125500000.0,2863648500000.0
2047.0,3042561500000.0,2634865000000.0,3219148200000.0,2802701300000.0,2947104400000.0,3111917000000.0,2401954200000.0,2822730700000.0,3067604600000.0,2980312000000.0,3132311000000.0,3182632400000.0,3306269400000.0,2955989200000.0,3162175000000.0,3244950600000.0,2828366200000.0
2048.0,3009705000000.0,2593567800000.0,3196422500000.0,2764191800000.0,2923270500000.0,3096312800000.0,2347721000000.0,2794288600000.0,3045404200000.0,2943246700000.0,3120983400000.0,3170600500000.0,3298934700000.0,2915456800000.0,3135517200000.0,3236502700000.0,2796533300000.0
2049.0,2985524200000.0,2560196000000.0,3174766000000.0,2742899200000.0,2902406200000.0,3078042200000.0,2297280300000.0,2777081200000.0,3026236500000.0,2927894500000.0,3098141800000.0,3155628400000.0,3299157700000.0,2876490600000.0,3121651000000.0,3226241600000.0,2773409000000.0
2050.0,2955780600000.0,2527719300000.0,3162886600000.0,2716739600000.0,2885416400000.0,3059581500000.0,2256159600000.0,2751517200000.0,3005150700000.0,2903166200000.0,3087777700000.0,3150168700000.0,3304437300000.0,2838371500000.0,3108613700000.0,3206772400000.0,2746481000000.0
2051.0,2934100500000.0,2491819500000.0,3151535500000.0,2701566700000.0,2869801500000.0,3034381300000.0,2211352000000.0,2736099400000.0,2988218300000.0,2893338600000.0,3072350000000.0,3140535200000.0,3299443500000.0,2798950500000.0,3091653700000.0,3187572200000.0,2727599400000.0
2052.0,2901336000000.0,2467020700000.0,3128000800000.0,2691777200000.0,2853212000000.0,3013608200000.0,2181295600000.0,2717315500000.0,2966585900000.0,2881333000000.0,3057354000000.0,3125218000000.0,3303404700000.0,2765739300000.0,3073145800000.0,3170235000000.0,2708979300000.0
2053.0,2872965600000.0,2436993600000.0,3119083000000.0,2674743300000.0,2828608500000.0,2999550700000.0,2144467800000.0,2694864200000.0,2934141400000.0,2865460700000.0,3043331000000.0,3120838200000.0,3286838300000.0,2733700300000.0,3051559600000.0,3158343000000.0,2680487700000.0
2054.0,2848991200000.0,2406412700000.0,3092849400000.0,2656877000000.0,2802797200000.0,2992901500000.0,2104883700000.0,2672656400000.0,2910192100000.0,2857693600000.0,3019845000000.0,3103440500000.0,3277931200000.0,2695814000000.0,3037122000000.0,3154527600000.0,2666017800000.0
2055.0,2824885000000.0,2376565000000.0,3060755000000.0,2646563000000.0,2777292700000.0,2978186800000.0,2060260600000.0,2655022200000.0,2886682500000.0,2852789200000.0,3013037800000.0,3097794400000.0,3272101300000.0,2672378800000.0,3024635300000.0,3134423800000.0,2640032000000.0
2056.0,2805006000000.0,2348802400000.0,3043573600000.0,2623284000000.0,2760490000000.0,2960593500000.0,2018006100000.0,2642211500000.0,2859463000000.0,2840123700000.0,2999055000000.0,3090124000000.0,3273303500000.0,2647323000000.0,3011241000000.0,3125115600000.0,2622303500000.0
2057.0,2781563600000.0,2321227000000.0,3023621800000.0,2612740200000.0,2738426000000.0,2946182700000.0,1977969900000.0,2624745000000.0,2846078800000.0,2829520200000.0,2982790800000.0,3076634400000.0,3288155000000.0,2616955500000.0,2988032400000.0,3104262300000.0,2605879400000.0
