time,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CNRM-CM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR,CCSM4
2056.0,6780679600000.0,4965393000000.0,4722965600000.0,6790019000000.0,6669197600000.0,6595065400000.0,5986266000000.0,6736175000000.0,6500540500000.0,6608136000000.0,7126081000000.0
2057.0,6749805300000.0,4859276300000.0,4613448700000.0,6746890300000.0,6624445500000.0,6560683700000.0,5907809300000.0,6685838000000.0,6445428000000.0,6545568000000.0,7080789000000.0
2058.0,6711400700000.0,4749909000000.0,4520314700000.0,6699688700000.0,6581427600000.0,6510838500000.0,5828585700000.0,6652455000000.0,6379849000000.0,6505567000000.0,7047278000000.0
2059.0,6664010300000.0,4645363000000.0,4425741000000.0,6638553500000.0,6531770000000.0,6461398700000.0,5772751000000.0,6604045400000.0,6324798600000.0,6469395000000.0,6986456000000.0
2060.0,6634975000000.0,4546596000000.0,4335689300000.0,6584066400000.0,6478816600000.0,6418872000000.0,5690999000000.0,6558025000000.0,6266078400000.0,6435076000000.0,6955402000000.0
2061.0,6592136000000.0,4451374500000.0,4225862000000.0,6541527000000.0,6438017600000.0,6363198500000.0,5616536000000.0,6514688000000.0,6197343000000.0,6403374700000.0,6915521000000.0
2062.0,6549187000000.0,4369158200000.0,4136048800000.0,6463503000000.0,6391452000000.0,6333465000000.0,5539883000000.0,6470110300000.0,6134146500000.0,6363212700000.0,6880655600000.0
2063.0,6513472600000.0,4273378000000.0,4047232300000.0,6415956000000.0,6333106000000.0,6292166000000.0,5480502000000.0,6423423500000.0,6072148000000.0,6319801000000.0,6841977000000.0
2064.0,6477348000000.0,4189278700000.0,3947930600000.0,6363082700000.0,6291571300000.0,6251545000000.0,5403421700000.0,6376729000000.0,5991406000000.0,6271941000000.0,6794580600000.0
2065.0,6452508400000.0,4097149000000.0,3847040000000.0,6301048000000.0,6240569000000.0,6208962400000.0,5328862000000.0,6333467700000.0,5936413000000.0,6227446700000.0,6753174400000.0
2066.0,6419556300000.0,4009863000000.0,3750290800000.0,6221070300000.0,6207722500000.0,6151561300000.0,5253271000000.0,6297618000000.0,5855272000000.0,6184125000000.0,6705363600000.0
2067.0,6395034300000.0,3928939000000.0,3654954300000.0,6175664400000.0,6170140000000.0,6080155400000.0,5175081000000.0,6255697500000.0,5764555500000.0,6128209000000.0,6657579000000.0
2068.0,6359291500000.0,3835237200000.0,3567716000000.0,6128658300000.0,6130560400000.0,6049495500000.0,5104663000000.0,6208267000000.0,5701763000000.0,6073607000000.0,6622643500000.0
2069.0,6323868500000.0,3736084000000.0,3471577400000.0,6079762700000.0,6070173000000.0,5998356500000.0,5017412000000.0,6160881500000.0,5632967000000.0,6031851000000.0,6569981400000.0
2070.0,6284923400000.0,3649221000000.0,3382982200000.0,6029845000000.0,6030879000000.0,5968809000000.0,4929016600000.0,6122986000000.0,5565447000000.0,6001302000000.0,6515426600000.0
2071.0,6252709500000.0,3566927000000.0,3297850000000.0,5977886700000.0,5981777000000.0,5922721600000.0,4852842000000.0,6086492000000.0,5492147500000.0,5946045000000.0,6467822000000.0
2072.0,6222694600000.0,3480000000000.0,3224606900000.0,5933602700000.0,5937369700000.0,5877969500000.0,4785262000000.0,6049158000000.0,5414576500000.0,5900295700000.0,6422107000000.0
2073.0,6164619700000.0,3388532600000.0,3134571400000.0,5890771500000.0,5885728000000.0,5809768000000.0,4707021000000.0,5999329500000.0,5360091000000.0,5857657000000.0,6370939600000.0
2074.0,6138262700000.0,3308182600000.0,3047798900000.0,5853784600000.0,5841912600000.0,5751795400000.0,4648652000000.0,5958159300000.0,5295654300000.0,5808620300000.0,6321205700000.0
2075.0,6097325000000.0,3228656200000.0,2970112500000.0,5799677000000.0,5793235000000.0,5712038600000.0,4570421000000.0,5912620000000.0,5230381000000.0,5752223700000.0,6269547000000.0
2076.0,6057058400000.0,3150297400000.0,2879991600000.0,5723677000000.0,5748763000000.0,5675179600000.0,4487406000000.0,5862556000000.0,5154710500000.0,5702249600000.0,6222946000000.0
2077.0,6024818300000.0,3073400400000.0,2797372200000.0,5676909000000.0,5698775700000.0,5641928000000.0,4412302400000.0,5826739700000.0,5077780000000.0,5656125000000.0,6177123000000.0
2078.0,5990078500000.0,2988882500000.0,2701951500000.0,5616083400000.0,5648389000000.0,5596623000000.0,4344187500000.0,5764363600000.0,5017409400000.0,5594813000000.0,6133446600000.0
2079.0,5956456400000.0,2916313200000.0,2619918500000.0,5581798000000.0,5596068700000.0,5550429400000.0,4287507000000.0,5707240300000.0,4959380700000.0,5546795000000.0,6084868700000.0
2080.0,5934152700000.0,2832050000000.0,2550563000000.0,5560509400000.0,5538901400000.0,5504794000000.0,4220477000000.0,5651119500000.0,4905708300000.0,5518125400000.0,6040780000000.0
2081.0,5898169000000.0,2754276800000.0,2469356600000.0,5500097300000.0,5493008400000.0,5451713000000.0,4135629400000.0,5598870000000.0,4835578500000.0,5463479000000.0,5996933500000.0
2082.0,5862933400000.0,2676713300000.0,2397342500000.0,5439313000000.0,5428608000000.0,5410245300000.0,4068683000000.0,5559290400000.0,4768789400000.0,5391748400000.0,5935587700000.0
2083.0,5830036000000.0,2603937400000.0,2323841800000.0,5392153000000.0,5373594400000.0,5360260000000.0,4010078600000.0,5506859000000.0,4697438000000.0,5334321600000.0,5891421000000.0
2084.0,5792028700000.0,2528917600000.0,2245850600000.0,5321902000000.0,5320085600000.0,5313830300000.0,3947077000000.0,5452852000000.0,4636526000000.0,5290507400000.0,5860272600000.0
2085.0,5754343000000.0,2468198200000.0,2174825300000.0,5261802000000.0,5288473700000.0,5267124000000.0,3876455400000.0,5394879500000.0,4564348000000.0,5232575600000.0,5815763000000.0
2086.0,5716929700000.0,2400285400000.0,2105129700000.0,5205737300000.0,5252162500000.0,5210163400000.0,3809915000000.0,5332170000000.0,4495428000000.0,5208947600000.0,5778417600000.0
2087.0,5686527000000.0,2332426200000.0,2044534000000.0,5153958700000.0,5208998400000.0,5133650400000.0,3746659800000.0,5279462700000.0,4419438000000.0,5165218300000.0,5728575700000.0
2088.0,5653851000000.0,2266188500000.0,1971796400000.0,5103106000000.0,5180702000000.0,5071346600000.0,3680122700000.0,5227852300000.0,4343102400000.0,5131697400000.0,5692099000000.0
2089.0,5624862600000.0,2188978600000.0,1907397000000.0,5062829000000.0,5139474000000.0,5020623000000.0,3621520700000.0,5178789500000.0,4270005200000.0,5072001400000.0,5647981000000.0
2090.0,5589700000000.0,2130352500000.0,1849094400000.0,5003588700000.0,5103314000000.0,4975058000000.0,3551808200000.0,5134791000000.0,4211091700000.0,5021263000000.0,5610752400000.0
2091.0,5563480500000.0,2067114900000.0,1792495000000.0,4953094000000.0,5057597700000.0,4935227000000.0,3488066800000.0,5081356000000.0,4151210100000.0,4995672000000.0,5566788000000.0
2092.0,5527136000000.0,2007806800000.0,1742445700000.0,4889240000000.0,5026291000000.0,4875535000000.0,3438630700000.0,5046383700000.0,4081615600000.0,4942481000000.0,5506507700000.0
2093.0,5497199500000.0,1951227700000.0,1687279900000.0,4844042600000.0,4991283000000.0,4831018000000.0,3394121500000.0,4997013600000.0,4017459300000.0,4895294000000.0,5474390000000.0
2094.0,5457496000000.0,1891814900000.0,1631684100000.0,4779102700000.0,4952062700000.0,4781063500000.0,3341638000000.0,4946722000000.0,3954525600000.0,4855197000000.0,5439561400000.0
2095.0,5427634400000.0,1833193300000.0,1582282800000.0,4732647600000.0,4907868000000.0,4722662600000.0,3277286000000.0,4901010700000.0,3896352400000.0,4805241600000.0,5407172000000.0
2096.0,5389406400000.0,1772171700000.0,1537109900000.0,4686741000000.0,4866306500000.0,4666052600000.0,3220073000000.0,4849377000000.0,3838163300000.0,4753512700000.0,5390164000000.0
2097.0,5357827000000.0,1717799600000.0,1493464800000.0,4623799700000.0,4829578500000.0,4597347000000.0,3169737200000.0,4814808300000.0,3778310300000.0,4723723000000.0,5365521400000.0
2098.0,5309683700000.0,1662356300000.0,1446163500000.0,4586993000000.0,4782160300000.0,4552211300000.0,3123067200000.0,4769457400000.0,3712402600000.0,4680771400000.0,5330954600000.0
2099.0,5280438400000.0,1608860000000.0,1397293300000.0,4544636400000.0,4739359600000.0,4488024300000.0,3084039700000.0,4714008700000.0,3652259200000.0,4630547000000.0,5298143000000.0
2100.0,5246111000000.0,1561553400000.0,1347461200000.0,4502022000000.0,4698681600000.0,4444132000000.0,3034751400000.0,4674343700000.0,3586402800000.0,4588334000000.0,5279290000000.0
