time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2037.0,44101610000.0,45572362000.0,46578328000.0,46086380000.0,46430384000.0,44567433000.0,45311566000.0,45026894000.0,43051553000.0,45677170000.0,46795630000.0,45194297000.0,44983902000.0,43814170000.0
2038.0,43615343000.0,45558125000.0,46328680000.0,45728535000.0,46214030000.0,44163580000.0,44986474000.0,44825473000.0,42544132000.0,45385904000.0,46045680000.0,44838937000.0,44451205000.0,43386500000.0
2039.0,43266343000.0,45325746000.0,46196530000.0,45428736000.0,45943562000.0,43714232000.0,44628460000.0,44420088000.0,41972990000.0,45009215000.0,45790720000.0,44603843000.0,44081193000.0,42900120000.0
2040.0,42806590000.0,44734600000.0,46083236000.0,45114266000.0,45565310000.0,43386966000.0,44188692000.0,43971305000.0,41537450000.0,44922376000.0,45686706000.0,44135453000.0,43711336000.0,42453668000.0
2041.0,42555920000.0,44368286000.0,45650575000.0,44816957000.0,45194183000.0,42922463000.0,43740434000.0,43477942000.0,40921952000.0,44451283000.0,45476650000.0,43740406000.0,43222196000.0,41864600000.0
2042.0,41909903000.0,43951698000.0,45401395000.0,44488890000.0,45334413000.0,42469855000.0,43315253000.0,43057720000.0,40615027000.0,44101200000.0,44964100000.0,43269562000.0,42686930000.0,41256230000.0
2043.0,41400220000.0,43606760000.0,45060805000.0,44159280000.0,44796470000.0,42108650000.0,42854650000.0,42653690000.0,40095252000.0,44030513000.0,44497592000.0,42824712000.0,42344850000.0,40771404000.0
2044.0,41033320000.0,43211276000.0,44908855000.0,43717380000.0,44726910000.0,41738290000.0,42704350000.0,42198716000.0,39290850000.0,43994333000.0,44182536000.0,42416247000.0,41914440000.0,40331290000.0
2045.0,40545830000.0,42820907000.0,44606644000.0,43137220000.0,45303968000.0,41345905000.0,42286910000.0,41773257000.0,38668173000.0,43424547000.0,44114050000.0,41976560000.0,41318310000.0,39792914000.0
2046.0,39989494000.0,42620543000.0,44381330000.0,42784910000.0,43879620000.0,40948590000.0,41783607000.0,41306284000.0,38214540000.0,42995160000.0,43747860000.0,41481340000.0,40930742000.0,39202380000.0
2047.0,39770210000.0,42111390000.0,43991230000.0,42836240000.0,43598905000.0,40383560000.0,41380490000.0,40916427000.0,38215045000.0,42613367000.0,43297670000.0,40947770000.0,41042596000.0,38735800000.0
2048.0,39130137000.0,41712080000.0,43596923000.0,43234497000.0,43316326000.0,39903154000.0,40893837000.0,40270815000.0,37476530000.0,42419794000.0,43031904000.0,40445366000.0,40051786000.0,38159190000.0
2049.0,38625340000.0,41176416000.0,43277066000.0,42155102000.0,42984240000.0,39330124000.0,40454270000.0,40066056000.0,36944626000.0,42261420000.0,42742387000.0,39988110000.0,39535948000.0,37656810000.0
2050.0,38203867000.0,40625820000.0,42953654000.0,41566323000.0,42490770000.0,38829867000.0,40157910000.0,39346872000.0,36275245000.0,41796730000.0,42572200000.0,39444185000.0,38880600000.0,37015736000.0
2051.0,37858350000.0,40151822000.0,42578174000.0,41079992000.0,41986314000.0,38201475000.0,39747590000.0,38784110000.0,35788310000.0,41295080000.0,41944674000.0,38931767000.0,38275000000.0,36319840000.0
2052.0,37477730000.0,39636410000.0,42205420000.0,40816510000.0,41480815000.0,37660234000.0,39196300000.0,38293144000.0,35206025000.0,40936490000.0,41541444000.0,38450930000.0,37828514000.0,35724296000.0
