time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2205.0,50703210000.0,21951074000.0,42237686000.0
2206.0,50253885000.0,21382263000.0,41909910000.0
2207.0,50702442000.0,21261242000.0,41122935000.0
2208.0,50593804000.0,21102254000.0,42822898000.0
2209.0,51273030000.0,26695522000.0,40901956000.0
2210.0,52122030000.0,26077426000.0,40370300000.0
2211.0,50740326000.0,22589078000.0,40982150000.0
2212.0,51680977000.0,22208270000.0,42295824000.0
2213.0,51225743000.0,21454768000.0,40012440000.0
2214.0,53874290000.0,26688154000.0,43471032000.0
2215.0,52759233000.0,22905762000.0,40670540000.0
2216.0,55265473000.0,22177010000.0,42810053000.0
2217.0,52567530000.0,21285818000.0,40710060000.0
2218.0,51210760000.0,21139941000.0,39365063000.0
2219.0,53728014000.0,21128862000.0,41486606000.0
2220.0,52333350000.0,20770054000.0,40543044000.0
2221.0,51175190000.0,20648387000.0,41408100000.0
2222.0,50313482000.0,20495921000.0,45958990000.0
2223.0,49962873000.0,23741467000.0,39818900000.0
2224.0,49808044000.0,20769729000.0,40047935000.0
2225.0,51174630000.0,20690002000.0,39322186000.0
2226.0,50556936000.0,20872393000.0,41245372000.0
2227.0,51338650000.0,21272758000.0,38940980000.0
2228.0,51239860000.0,20490238000.0,39071445000.0
2229.0,49935080000.0,20575031000.0,39324210000.0
2230.0,50925860000.0,24356594000.0,38944770000.0
2231.0,49706390000.0,20836495000.0,39101340000.0
2232.0,53389898000.0,20105255000.0,38780203000.0
2233.0,51304366000.0,20499806000.0,40488215000.0
2234.0,52164977000.0,20272732000.0,39997223000.0
2235.0,49927565000.0,20926150000.0,41041650000.0
2236.0,50858627000.0,20345540000.0,41885557000.0
2237.0,49505990000.0,20122812000.0,39502550000.0
2238.0,50280080000.0,19757093000.0,39184785000.0
2239.0,48766850000.0,20688394000.0,38289297000.0
2240.0,50039150000.0,23435504000.0,37866713000.0
2241.0,49432846000.0,21060104000.0,39339310000.0
2242.0,49181710000.0,22157855000.0,37890140000.0
2243.0,48482080000.0,20634792000.0,39428630000.0
2244.0,49223442000.0,19898604000.0,39621610000.0
2245.0,49643700000.0,20748220000.0,45253510000.0
2246.0,48647365000.0,20103272000.0,42218080000.0
2247.0,48622730000.0,19475919000.0,45530108000.0
2248.0,49110155000.0,19676006000.0,42678325000.0
2249.0,48575300000.0,21150015000.0,39154120000.0
2250.0,48483766000.0,20737542000.0,38925857000.0
2251.0,48552042000.0,19736822000.0,38519845000.0
2252.0,50115830000.0,20211724000.0,38384714000.0
2253.0,50992116000.0,19676447000.0,37765140000.0
2254.0,48691204000.0,20167995000.0,39153443000.0
2255.0,51408167000.0,19328027000.0,39863296000.0
2256.0,49028473000.0,21021354000.0,38381875000.0
2257.0,48844222000.0,20397435000.0,39567140000.0
2258.0,48156590000.0,19327850000.0,43659567000.0
2259.0,47898900000.0,19099027000.0,39159630000.0
2260.0,47521497000.0,19473068000.0,37959324000.0
2261.0,47485670000.0,18985046000.0,48916900000.0
2262.0,48631984000.0,19451963000.0,40727704000.0
2263.0,51434930000.0,18965033000.0,38018190000.0
2264.0,50639745000.0,18731057000.0,37498490000.0
2265.0,51378254000.0,18606150000.0,39714284000.0
2266.0,49342464000.0,24330684000.0,43886850000.0
2267.0,48797712000.0,24517845000.0,40953696000.0
2268.0,48719790000.0,21449763000.0,38465008000.0
2269.0,48730747000.0,19316767000.0,38811750000.0
2270.0,52820718000.0,18857589000.0,37873828000.0
2271.0,51167760000.0,18859946000.0,37225693000.0
2272.0,51059687000.0,20660736000.0,37394770000.0
2273.0,49850966000.0,18413107000.0,38675840000.0
2274.0,48821030000.0,18565048000.0,36786364000.0
2275.0,50698280000.0,24842254000.0,37414416000.0
2276.0,53312758000.0,20475079000.0,36757713000.0
2277.0,50505675000.0,18960845000.0,37779247000.0
2278.0,51077886000.0,18811700000.0,41523053000.0
2279.0,48876970000.0,18475254000.0,37119470000.0
2280.0,50794586000.0,18665861000.0,36673843000.0
2281.0,49251783000.0,18267433000.0,36888072000.0
2282.0,50189750000.0,18549287000.0,36454744000.0
2283.0,49250560000.0,18973168000.0,38270718000.0
2284.0,49609800000.0,18345710000.0,39433265000.0
2285.0,47790985000.0,18588133000.0,39887440000.0
2286.0,47453900000.0,18202960000.0,37693854000.0
2287.0,47972282000.0,18825136000.0,37145756000.0
2288.0,48030220000.0,18041364000.0,39187670000.0
2289.0,47860064000.0,18002550000.0,37668010000.0
2290.0,48883573000.0,17909744000.0,44774707000.0
2291.0,56021656000.0,17817897000.0,42343682000.0
2292.0,51349606000.0,18704370000.0,40839530000.0
2293.0,49540080000.0,18037727000.0,37613867000.0
2294.0,48482950000.0,17822593000.0,38055764000.0
2295.0,48929214000.0,23362294000.0,39186973000.0
2296.0,47657226000.0,18494226000.0,39134134000.0
2297.0,48274964000.0,17893366000.0,37008430000.0
2298.0,47113306000.0,17831197000.0,37888356000.0
2299.0,47112897000.0,17724223000.0,37677980000.0
2300.0,49016260000.0,17554145000.0,36649345000.0
